query,gt_key1,gt_val1,gt_key2,gt_val2,gt_key3,gt_val3,gt_key4,gt_val4,gt_key5,gt_val5,gt_key6,gt_val6,gt_key7,gt_val7,gt_key8,gt_val8,gt_key9,gt_val9,gt_key10,gt_val10,gt_key11,gt_val11,,qmeans_key1,qmeans_val1,qmeans_key2,qmeans_val2,qmeans_key3,qmeans_val3,qmeans_key4,qmeans_val4,qmeans_key5,qmeans_val5,qmeans_key6,qmeans_val6,qmeans_key7,qmeans_val7,,gemma_key1,gemma_val1,gemma_key2,gemma_val2,gemma_key3,gemma_val3,gemma_key4,gemma_val4,gemma_key5,gemma_val5,gemma_key6,gemma_val6,gemma_key7,gemma_val7,gemma_key8,gemma_val8,gemma_key9,gemma_val9,,qmeans_key_match,gemma_key_match,qmeans_kv_match,gemma_kv_match,qmeans_val_any_match,gemma_val_any_match,total_gold_attrs
1500 kv ccw multirotor motor,part type,motor,rated speed,1500 kv,feature,ccw multirotor,,,,,,,,,,,,,,,,,,power,1500 kv,motor type,multirotor,product,motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,3
Panasonic Geared Motor,brand,Panasonic,part type,motor,driven type,geared,,,,,,,,,,,,,,,,,,brand,panasonic,product,panasonic geared motor,,,,,,,,,,,,part type,motor,brand,Panasonic,driven type,geared,,,,,,,,,,,,,,1,3,1,3,1,3,3
worm geared brake motor,part type,motor,driven type,worm geared brake,,,,,,,,,,,,,,,,,,,,motor type,worm,product,worm geared brake motor,,,,,,,,,,,,part type,motor,driven type,worm geared,feature,brake,,,,,,,,,,,,,,0,2,0,1,0,1,2
eletical motors 40hp,part type,motor,power source,electric,horsepower,40hp,,,,,,,,,,,,,,,,,,power,40hp,product,motors,,,,,,,,,,,,part type,motors,power,40hp,driven type,eletical,,,,,,,,,,,,,,0,1,0,0,1,1,3
Rotomotive Induction Motor 3 Phase,brand,Rotomotive,part type,motor,driven type,induction,phase,3,,,,,,,,,,,,,,,,no of phase,3 phase,motor type,induction,brand,rotomotive,product,induction motor,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,0,4
100 W Chimney Motor,part type,motor,usage,chimney,power,100 W,,,,,,,,,,,,,,,,,,power,100 w,usage,chimney,product,chimney motor,,,,,,,,,,part type,motor,power,100 W,usage,Chimney,,,,,,,,,,,,,,2,3,2,3,2,3,3
1 for reselling piece Panasonic Geared Motor,brand,Panasonic,part type,motor,driven type,geared,quantity,1,,,,,,,,,,,,,,,,brand,panasonic,product,panasonic geared motor,,,,,,,,,,,,part type,geared motor,brand,Panasonic,quantity,1,feature,for reselling,,,,,,,,,,,,1,3,1,2,1,2,4
Motor Cover,part type,motor cover,,,,,,,,,,,,,,,,,,,,,,motor part type,cover,product,motor cover,,,,,,,,,,,,part type,cover,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1
b04420065,model name/number,b04420065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model name/number,b04420065,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1
1 piece Slip Rings,part type,slip rings,quantity,1,,,,,,,,,,,,,,,,,,,,set contains,1 piece,motor part type,slip,product,slip rings,,,,,,,,,,part type,Slip Rings,quantity,1,,,,,,,,,,,,,,,,0,2,0,2,1,2,2
venex 3 phase dol motor starter,brand,venex,part type,motor starter,phase,3,starter type,dol,,,,,,,,,,,,,,,,phase,3 phase,starter type,dol,usage,motor starter,brand,venex,product,3 phase dol motor starter,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,3,0,4
Used Crompton Greaves Motor,brand,Crompton Greaves,part type,motor,feature,used,,,,,,,,,,,,,,,,,,brand,crompton,part type,motor,condition,used,product,crompton greaves motor,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,2,0,3
Mobile Starter Prime,part type,starter,feature,mobile prime,,,,,,,,,,,,,,,,,,,,model name/number,prime,product,mobile starter,,,,,,,,,,,,part type,starter,brand,Prime,usage,Mobile,,,,,,,,,,,,,,0,1,0,1,0,1,2
1kw( 1.3hp) bldc motor,part type,motor,driven type,bldc,power,1kw,horsepower,1.3hp,,,,,,,,,,,,,,,,power,1kw( 1.3hp),motor type,bldc,product,bldc motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,4
1kw( 1.3hp) bldc motor near jharsuguda,part type,motor,driven type,bldc,power,1kw,horsepower,1.3hp,location/city,jharsuguda,,,,,,,,,,,,,,power,1kw( 1.3hp),motor type,bldc,product,bldc motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,5
spg motor,brand,spg,part type,motor,,,,,,,,,,,,,,,,,,,,part type,motor,product,motor,,,,,,,,,,,,brand,spg,part type,motor,,,,,,,,,,,,,,,,1,2,1,2,1,2,2
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,brand,Crompton Greaves,part type,motor,horsepower,5 hp,power,3.70 kw,phase,3,rpm,1450 rpm,mounting type,foot mount,,,,,,,,,,speed,1450 rpm,phase,3 phase,power,3.70 kw,horsepower,5 hp,brand,crompton,mounting type,foot,product,crompton greaves motor,,brand,crompton greaves,part type,motor,driven type,3 phase,horsepower,5 hp,power,3.70 kw,rpm,1450,mounting type,foot mount,,,,,,5,6,2,5,3,5,7
Vacuum Cleaner Motors,part type,motor,usage,vacuum cleaner,,,,,,,,,,,,,,,,,,,,part type,motors,usage,vacuum cleaner,product,vacuum cleaner motors,,,,,,,,,,part type,motor,usage,vacuum cleaner,,,,,,,,,,,,,,,,2,2,1,2,1,2,2
Siemens Electric Three Phase Motor,brand,Siemens,part type,motor,power source,electric,phase,3,,,,,,,,,,,,,,,,power source,electric,brand,siemens,phase,three phase,product,siemens electric three phase motor,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,2,0,4
panasonic gear box MY9G30B,brand,panasonic,part type,gear box,model name/number,MY9G30B,,,,,,,,,,,,,,,,,,model name/number,my9g30b,brand,panasonic,product,gear box,,,,,,,,,,brand,panasonic,part type,gear box,model name/number,MY9G30B,,,,,,,,,,,,,,2,3,2,3,3,3,3
Three Phase Dol Starter (elcw-s-digi),part type,starter,phase,3,starter type,dol,model name/number,elcw-s-digi,,,,,,,,,,,,,,,,model name/number,(elcw-s-digi),starter type,dol,phase,three phase,product,three phase dol starter,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,1,0,4
Motor Plate,part type,motor plate,,,,,,,,,,,,,,,,,,,,,,motor part type,plate,product,motor plate,,,,,,,,,,,,part type,Plate,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1
three phase dol dry run motor starter,part type,motor starter,phase,3,starter type,dol,feature,dry run,,,,,,,,,,,,,,,,starter type,dol,usage,motor starter,phase,three phase,product,motor starter,,,,,,,,part type,motor starter,phase,three phase,starter type,dol,feature,dry run,,,,,,,,,,,,2,4,1,3,2,3,4
Single Phase Electric Motor,part type,motor,phase,single,power source,electric,,,,,,,,,,,,,,,,,,power source,electric,no of phase,single phase,product,single phase electric motor,,,,,,,,,,part type,motor,phase,Single Phase,power source,Electric,,,,,,,,,,,,,,1,3,1,2,1,2,3
auto switch,part type,auto switch,,,,,,,,,,,,,,,,,,,,,,product,auto switch,,,,,,,,,,,,,,part type,auto switch,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1
Mdt Knx Actuator Automation Products Dealer,brand,Mdt,part type,actuator,feature,Knx automation products,,,,,,,,,,,,,,,,,,product,automation products,business type,dealer,model name/number,knx,brand,mdt,,,,,,,,brand,Mdt,part type,actuator,feature,Knx,usage,Automation Products,,,,,,,,,,,,1,3,1,2,1,2,3
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),part type,auto switch,phase,3,starter type,DOL,feature,with timer with connector rocker switch,,,,,,,,,,,,,,,,starter type,dol,phase,three phase,product,three phase dol auto switch,,,,,,,,,,part type,Auto Switch,phase,Three Phase,starter type,DOL,feature,With Timer; With Connector; Rocker Switch,,,,,,,,,,,,2,4,1,2,1,2,4
Hydraulic Motor,part type,motor,driven type,hydraulic,,,,,,,,,,,,,,,,,,,,power source,hydraulic,product,hydraulic motor,,,,,,,,,,,,part type,motor,driven type,hydraulic,,,,,,,,,,,,,,,,0,2,0,2,1,2,2
sliding door motor,part type,motor,usage,sliding door,,,,,,,,,,,,,,,,,,,,usage,door,open style,sliding,product,sliding door motor,,,,,,,,,,part type,motor,usage,sliding door,,,,,,,,,,,,,,,,1,2,0,2,0,2,2
solenoid-switches,part type,solenoid switches,,,,,,,,,,,,,,,,,,,,,,product,solenoid-switches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
symphony air cooler motor,brand,symphony,part type,motor,usage,air cooler,,,,,,,,,,,,,,,,,,usage,cooler,part type,motor,brand,symphony,product,symphony air cooler motor,,,,,,,,part type,motor,brand,symphony,usage,air cooler,,,,,,,,,,,,,,3,3,2,3,2,3,3
PBL Geared Motors,brand,PBL,part type,motor,driven type,geared,,,,,,,,,,,,,,,,,,brand,pbl,product,pbl geared motors,,,,,,,,,,,,part type,geared motors,brand,PBL,,,,,,,,,,,,,,,,1,2,1,1,1,1,3
super max oil immersed dol motor starter,brand,super max,part type,motor starter,starter type,dol,feature,oil immersed,,,,,,,,,,,,,,,,starter type,dol,usage,motor starter,brand,super max,product,dol motor starter,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,3,0,4
Sunflag Table Fan Motor,brand,Sunflag,part type,motor,usage,table fan,,,,,,,,,,,,,,,,,,brand,sunflag,usage,table fan,product,table fan motor,,,,,,,,,,part type,fan motor,brand,Sunflag,usage,Table,,,,,,,,,,,,,,2,3,2,1,2,1,3
Industrial Motors,part type,motor,application,industrial,,,,,,,,,,,,,,,,,,,,usage,industrial,product,industrial motors,,,,,,,,,,,,part type,motor,usage,industrial,,,,,,,,,,,,,,,,0,1,0,1,1,2,2
crompton 3 phase motor 7.5 hp i3,brand,crompton,part type,motor,phase,3,horsepower,7.5 hp,efficiency,i3,,,,,,,,,,,,,,no of phase,3 phase,power,7.5 hp,brand,crompton,processor,i3,product,crompton 3 phase motor,,,,,,brand,crompton,part type,motor,driven type,3 phase,horsepower,7.5 hp,feature,i3,,,,,,,,,,1,3,1,3,3,4,5
linear actuator control board,part type,control board,feature,linear actuator,,,,,,,,,,,,,,,,,,,,product,linear actuator,,,,,,,,,,,,,,part type,actuator control board,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,2
panasonic gar box,brand,panasonic,part type,gear box,,,,,,,,,,,,,,,,,,,,packaging type,box,brand,panasonic,product,panasonic,,,,,,,,,,brand,panasonic,part type,gar box,,,,,,,,,,,,,,,,1,2,1,1,1,1,2
à¤¡à¥à¤°à¥‹à¤¨ à¤¡à¥€à¤¸à¥€ à¤®à¥‹à¤Ÿà¤°,part type,motor,power source,DC,usage,drone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part type,motor,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
single phase servo motor,part type,motor,phase,single,driven type,servo,,,,,,,,,,,,,,,,,,product,single phase servo motor,phase,single phase,,,,,,,,,,,,part type,servo motor,phase,single phase,,,,,,,,,,,,,,,,1,2,0,0,0,0,3
single phase mild steel geared motor,part type,motor,phase,single,material,mild steel,driven type,geared,,,,,,,,,,,,,,,,material,mild steel,phase,single phase,product,mild steel geared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,1,0,4
Gold Power Single Phase Induction Motor,brand,Gold Power,part type,motor,phase,single,driven type,induction,,,,,,,,,,,,,,,,brand,gold power,motor type,induction motor,no of phase,single phase,product,single phase induction motor,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,4
Siemens 3TW72911AW78,brand,Siemens,model name/number,3TW72911AW78,,,,,,,,,,,,,,,,,,,,model name/number,3tw72911aw78,brand,siemens,product,siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2
Siemens 3TW72911AW74,brand,Siemens,model name/number,3TW72911AW74,,,,,,,,,,,,,,,,,,,,model name/number,3tw72911aw74,brand,siemens,product,siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2
Siemens 3TW72911AW72,brand,Siemens,model name/number,3TW72911AW72,,,,,,,,,,,,,,,,,,,,model name/number,3tw72911aw72,brand,siemens,product,siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2
Siemens 3TW72911AW71,brand,Siemens,model name/number,3TW72911AW71,,,,,,,,,,,,,,,,,,,,model name/number,3tw72911aw71,brand,siemens,product,siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2
Vertical Hollow Shaft Motor Service,part type,motor,orientation,vertical,feature,hollow shaft service,,,,,,,,,,,,,,,,,,orientation,vertical,product,vertical hollow shaft motor,,,,,,,,,,,,part type,motor,orientation,Vertical,feature,Hollow Shaft,,,,,,,,,,,,,,1,3,1,2,1,2,3
Siemens 3TW72911AW69,brand,Siemens,model name/number,3TW72911AW69,,,,,,,,,,,,,,,,,,,,model name/number,3tw72911aw69,brand,siemens,product,siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2
Siemens 3TW72911AW68,brand,Siemens,model name/number,3TW72911AW68,,,,,,,,,,,,,,,,,,,,model name/number,3tw72911aw68,brand,siemens,product,siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2
Siemens 3TW72911AW66,brand,Siemens,model name/number,3TW72911AW66,,,,,,,,,,,,,,,,,,,,model name/number,3tw72911aw66,brand,siemens,product,siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2
Siemens 3TW72911AW64,brand,Siemens,model name/number,3TW72911AW64,,,,,,,,,,,,,,,,,,,,model name/number,3tw72911aw64,brand,siemens,product,siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2
100 HP to 2000 HP  Slip Ring Motor Starter,part type,motor starter,horsepower,100 HP to 2000 HP,driven type,slip ring,,,,,,,,,,,,,,,,,,power,100 hp to 2000 hp,usage,motor starter,starter type,slip ring,product,slip ring motor starter,,,,,,,,part type,motor starter,power,100 HP to 2000 HP,,,,,,,,,,,,,,,,0,1,0,1,3,2,3
Crompton Single Phase Electric Motor,brand,Crompton,part type,motor,phase,single,power source,electric,,,,,,,,,,,,,,,,brand,crompton,no of phase,single phase,product,crompton single phase electric motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,4
6 for business use piece electronic Valve Positioners,part type,valve positioner,quantity,6,feature,electronic,,,,,,,,,,,,,,,,,,product,valve positioners,,,,,,,,,,,,,,part type,Valve Positioners,quantity,6,usage,business use,,,,,,,,,,,,,,0,2,0,1,0,1,3
drondch motor,part type,motor,,,,,,,,,,,,,,,,,,,,,,part type,motor,product,motor,,,,,,,,,,,,brand,drondch,part type,motor,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
STP-43D2035 Stepper Motor,part type,motor,driven type,stepper,model name/number,STP-43D2035,,,,,,,,,,,,,,,,,,motor type,stepper motor,model name/number,stp-43d2035,product,stepper motor,,,,,,,,,,part type,motor,model name/number,STP-43D2035,driven type,stepper,,,,,,,,,,,,,,1,3,1,3,1,3,3
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,brand,SIEMENS,part type,motor,series,SIMOTICS S-1FK2,driven type,servo,model name/number,1FK2104-6AF01-1MB0,,,,,,,,,,,,,,model name/number,1fk2104-6af01-1mb0,usage,servo motor,brand,siemens,product,servo motor,,,,,,,,part type,servo motor,brand,SIEMENS,model name/number,SIMOTICS S-1FK2 1FK2104-6AF01-1MB0,,,,,,,,,,,,,,2,3,2,1,2,1,5
Crompton 0.5hp Motor,brand,Crompton,part type,motor,horsepower,0.5hp,,,,,,,,,,,,,,,,,,power,0.5hp,brand,crompton,part type,motor,product,0.5hp motor,,,,,,,,part type,Motor,brand,Crompton,horsepower,0.5hp,,,,,,,,,,,,,,2,3,2,3,3,3,3
Jencode Hollow Shaft Encoder,brand,Jencode,part type,encoder,shaft diameter,hollow shaft,,,,,,,,,,,,,,,,,,encoder type,hollow shaft,product,hollow shaft encoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,3
AC MOTARS,part type,motor,power source,AC,,,,,,,,,,,,,,,,,,,,power source,ac,product,ac motars,,,,,,,,,,,,part type,motor,driven type,AC,,,,,,,,,,,,,,,,1,1,1,1,1,2,2
Hadrulicl Power motar,part type,motor,driven type,hydraulic,feature,power,,,,,,,,,,,,,,,,,,product,motar,,,,,,,,,,,,,,part type,motor,driven type,hydraulic,power source,hydraulic,,,,,,,,,,,,,,0,2,0,2,0,2,3
RC Car Brushless ESC Platinum Edition 120A,part type,ESC,driven type,brushless,usage,RC car,current,120A,grade,Platinum Edition,,,,,,,,,,,,,,product,platinum,,,,,,,,,,,,,,brand,RC Car,part type,ESC,model name/number,Platinum Edition,current,120A,,,,,,,,,,,,0,2,0,2,0,4,5
RPG15Q Motor,part type,motor,model name/number,RPG15Q,,,,,,,,,,,,,,,,,,,,part type,motor,model name/number,rpg15q,product,motor,,,,,,,,,,part type,Motor,model name/number,RPG15Q,,,,,,,,,,,,,,,,2,2,2,2,2,2,2
Honeywell V4055 Fuild Power Actuator,brand,Honeywell,part type,actuator,model name/number,V4055,feature,fluid power,,,,,,,,,,,,,,,,brand,honeywell,actuator type,power actuator,model name/number,v4055,product,honeywell,,,,,,,,brand,Honeywell,part type,actuator,model name/number,V4055,driven type,fluid power,,,,,,,,,,,,2,3,2,3,2,4,4
servo motor .,part type,motor,driven type,servo,,,,,,,,,,,,,,,,,,,,product,servo motor,,,,,,,,,,,,,,part type,servo motor,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,2
L & T SOFT STARTOR,brand,L & T,part type,starter,starter type,soft,,,,,,,,,,,,,,,,,,brand,l & t,product,l & t,,,,,,,,,,,,brand,L & T,part type,soft startor,,,,,,,,,,,,,,,,1,2,1,1,1,1,3
775 dc motor,part type,motor,power source,DC,model name/number,775,,,,,,,,,,,,,,,,,,model name/number,775,motor type,dc,product,775 dc motor,,,,,,,,,,part type,motor,driven type,dc,model name/number,775,,,,,,,,,,,,,,1,2,1,2,2,3,3
Brake Motors,part type,motor,feature,brake,,,,,,,,,,,,,,,,,,,,product,brake motors,,,,,,,,,,,,,,part type,Brake Motors,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,2
1FK2104-6AF01-1MB0,model name/number,1FK2104-6AF01-1MB0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model name/number,1FK2104-6AF01-1MB0,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1
Electric Motor,part type,motor,power source,electric,,,,,,,,,,,,,,,,,,,,power source,electric,product,electric motor,,,,,,,,,,,,part type,motor,power source,electric,,,,,,,,,,,,,,,,1,2,1,2,1,2,2
3 phase 415 V 0.09KW Motor,part type,motor,phase,3,voltage,415 V,power,0.09KW,,,,,,,,,,,,,,,,power,0.09kw,voltage,415 v,product,3 phase,,,,,,,,,,part type,Motor,power,0.09KW,phase,3 phase,voltage,415 V,,,,,,,,,,,,2,4,2,3,2,3,4
crompton motors crompton motor 5 hp single phase near patna,brand,crompton,part type,motor,horsepower,5 hp,phase,single,location/city,patna,,,,,,,,,,,,,,power,5 hp,brand,crompton,phase,single phase,product,single phase,,,,,,,,brand,crompton,part type,motor,horsepower,5 hp,phase,single phase,location/city,patna,,,,,,,,,,2,5,1,4,2,4,5
12v 775 Dc Motor,part type,motor,power source,DC,voltage,12v,model name/number,775,,,,,,,,,,,,,,,,voltage,12v,motor type,dc,product,775 dc motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,0,4
Linear Actuator,part type,actuator,driven type,linear,,,,,,,,,,,,,,,,,,,,valve motion,linear,product,linear actuator,,,,,,,,,,,,part type,actuator,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,2
"Gold Power Single Phase Induction Motor, Voltage: 220V",brand,Gold Power,part type,motor,phase,single,driven type,induction,voltage,220V,,,,,,,,,,,,,,voltage,220v,brand,gold power,motor type,induction,no of phase,single phase,product,single phase,,,,,,part type,motor,brand,Gold Power,driven type,induction,phase,single phase,voltage,220V,,,,,,,,,,2,5,2,4,3,4,5
dc motors,part type,motor,power source,DC,,,,,,,,,,,,,,,,,,,,motor type,dc,product,dc motors,,,,,,,,,,,,part type,motor,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,2
dol starter,part type,starter,starter type,dol,,,,,,,,,,,,,,,,,,,,starter type,dol,feeder type,starter,product,dol starter,,,,,,,,,,part type,starter,starter type,dol,,,,,,,,,,,,,,,,1,2,1,2,2,2,2
Wages Patti,part type,wages patti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part type,wages,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1
Lift Motor,part type,motor,usage,lift,,,,,,,,,,,,,,,,,,,,usage,lift,part type,motor,product,lift motor,,,,,,,,,,part type,motor,usage,Lift,,,,,,,,,,,,,,,,2,2,2,2,2,2,2
0.25HP Single Phase Electric Motor,part type,motor,horsepower,0.25HP,phase,single,power source,electric,,,,,,,,,,,,,,,,power,0.25hp,product,single phase electric motor,no of phase,single phase,,,,,,,,,,part type,motor,power,0.25HP,phase,Single Phase,power source,Electric,,,,,,,,,,,,0,3,0,2,1,3,4
12v dc dual shaft motor,part type,motor,power source,DC,voltage,12v,feature,dual shaft,,,,,,,,,,,,,,,,voltage,12v dc,product,motor,,,,,,,,,,,,voltage,12v dc,part type,motor,driven type,dual shaft,,,,,,,,,,,,,,1,2,0,1,1,2,4
single phase submersible pump starter,part type,pump starter,phase,single,feature,submersible,,,,,,,,,,,,,,,,,,phase,single phase,usage,submersible pump,product,single phase submersible pump starter,,,,,,,,,,part type,starter,phase,single phase,,,,,,,,,,,,,,,,1,2,0,0,0,0,3
Bharat Bijlee Ie3 Motor,brand,Bharat Bijlee,part type,motor,efficiency,Ie3,,,,,,,,,,,,,,,,,,brand,bharat bijlee,efficiency,ie3,product,ie3 motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,3
Crompton Single Phase Vibrator,brand,Crompton,part type,vibrator,phase,single,,,,,,,,,,,,,,,,,,brand/make,crompton,phase,single phase,product,single phase,,,,,,,,,,brand,Crompton,part type,vibrator,phase,single phase,,,,,,,,,,,,,,1,3,0,2,1,2,3
Telescopic Brushes,part type,brushes,feature,telescopic,,,,,,,,,,,,,,,,,,,,brush type,telescopic,product,telescopic brushes,,,,,,,,,,,,part type,brushes,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,2
Carbon Brush,part type,carbon brush,,,,,,,,,,,,,,,,,,,,,,material,carbon,product,carbon brush,,,,,,,,,,,,part type,brush,material,carbon,,,,,,,,,,,,,,,,0,1,0,0,1,0,1
electric gate motor,part type,motor,usage,gate,power source,electric,,,,,,,,,,,,,,,,,,power source,electric,usage,gate,product,electric gate motor,,,,,,,,,,part type,gate motor,power source,electric,,,,,,,,,,,,,,,,2,2,2,1,2,1,3
