query,ok,key_count,attributes_json
Siemens 3TW72911AW78,True,3,"{""model name/number"": ""3tw72911aw78"", ""brand"": ""siemens"", ""product"": ""siemens""}"
Siemens 3TW72911AW74,True,3,"{""model name/number"": ""3tw72911aw74"", ""brand"": ""siemens"", ""product"": ""siemens""}"
Siemens 3TW72911AW72,True,3,"{""model name/number"": ""3tw72911aw72"", ""brand"": ""siemens"", ""product"": ""siemens""}"
Siemens 3TW72911AW71,True,3,"{""model name/number"": ""3tw72911aw71"", ""brand"": ""siemens"", ""product"": ""siemens""}"
Vertical Hollow Shaft Motor Service,True,2,"{""orientation"": ""vertical"", ""product"": ""vertical hollow shaft motor""}"
Siemens 3TW72911AW69,True,3,"{""model name/number"": ""3tw72911aw69"", ""brand"": ""siemens"", ""product"": ""siemens""}"
Siemens 3TW72911AW68,True,3,"{""model name/number"": ""3tw72911aw68"", ""brand"": ""siemens"", ""product"": ""siemens""}"
Siemens 3TW72911AW66,True,3,"{""model name/number"": ""3tw72911aw66"", ""brand"": ""siemens"", ""product"": ""siemens""}"
Siemens 3TW72911AW64,True,3,"{""model name/number"": ""3tw72911aw64"", ""brand"": ""siemens"", ""product"": ""siemens""}"
100 HP to 2000 HP  Slip Ring Motor Starter,True,4,"{""power"": ""100 hp to 2000 hp"", ""usage"": ""motor starter"", ""starter type"": ""slip ring"", ""product"": ""slip ring motor starter""}"
Crompton Single Phase Electric Motor,True,3,"{""brand"": ""crompton"", ""no of phase"": ""single phase"", ""product"": ""crompton single phase electric motor""}"
6 for business use piece electronic Valve Positioners,True,1,"{""product"": ""valve positioners""}"
drondch motor,True,2,"{""part type"": ""motor"", ""product"": ""motor""}"
STP-43D2035 Stepper Motor,True,3,"{""motor type"": ""stepper motor"", ""model name/number"": ""stp-43d2035"", ""product"": ""stepper motor""}"
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,True,4,"{""model name/number"": ""1fk2104-6af01-1mb0"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
Crompton 0.5hp Motor,True,4,"{""power"": ""0.5hp"", ""brand"": ""crompton"", ""part type"": ""motor"", ""product"": ""0.5hp motor""}"
Jencode Hollow Shaft Encoder,True,2,"{""encoder type"": ""hollow shaft"", ""product"": ""hollow shaft encoder""}"
AC MOTARS,True,2,"{""power source"": ""ac"", ""product"": ""ac motars""}"
Hadrulicl Power motar,True,1,"{""product"": ""motar""}"
RC Car Brushless ESC Platinum Edition 120A,True,1,"{""product"": ""platinum""}"
RPG15Q Motor,True,3,"{""part type"": ""motor"", ""model name/number"": ""rpg15q"", ""product"": ""motor""}"
Honeywell V4055 Fuild Power Actuator,True,4,"{""brand"": ""honeywell"", ""actuator type"": ""power actuator"", ""model name/number"": ""v4055"", ""product"": ""honeywell""}"
servo motor .,True,1,"{""product"": ""servo motor""}"
L & T SOFT STARTOR,True,2,"{""brand"": ""l & t"", ""product"": ""l & t""}"
775 dc motor,True,3,"{""model name/number"": ""775"", ""motor type"": ""dc"", ""product"": ""775 dc motor""}"
Brake Motors,True,1,"{""product"": ""brake motors""}"
1FK2104-6AF01-1MB0,True,0,{}
Electric Motor,True,2,"{""power source"": ""electric"", ""product"": ""electric motor""}"
3 phase 415 V 0.09KW Motor,True,3,"{""power"": ""0.09kw"", ""voltage"": ""415 v"", ""product"": ""3 phase""}"
crompton motors crompton motor 5 hp single phase near patna,True,4,"{""power"": ""5 hp"", ""brand"": ""crompton"", ""phase"": ""single phase"", ""product"": ""single phase""}"
12v 775 Dc Motor,True,3,"{""voltage"": ""12v"", ""motor type"": ""dc"", ""product"": ""775 dc motor""}"
Linear Actuator,True,2,"{""valve motion"": ""linear"", ""product"": ""linear actuator""}"
"Gold Power Single Phase Induction Motor, Voltage: 220V",True,5,"{""voltage"": ""220v"", ""brand"": ""gold power"", ""motor type"": ""induction"", ""no of phase"": ""single phase"", ""product"": ""single phase""}"
dc motors,True,2,"{""motor type"": ""dc"", ""product"": ""dc motors""}"
dol starter,True,3,"{""starter type"": ""dol"", ""feeder type"": ""starter"", ""product"": ""dol starter""}"
Wages Patti,True,0,{}
Lift Motor,True,3,"{""usage"": ""lift"", ""part type"": ""motor"", ""product"": ""lift motor""}"
0.25HP Single Phase Electric Motor,True,3,"{""power"": ""0.25hp"", ""product"": ""single phase electric motor"", ""no of phase"": ""single phase""}"
12v dc dual shaft motor,True,2,"{""voltage"": ""12v dc"", ""product"": ""motor""}"
single phase submersible pump starter,True,3,"{""phase"": ""single phase"", ""usage"": ""submersible pump"", ""product"": ""single phase submersible pump starter""}"
Bharat Bijlee Ie3 Motor,True,3,"{""brand"": ""bharat bijlee"", ""efficiency"": ""ie3"", ""product"": ""ie3 motor""}"
Crompton Single Phase Vibrator,True,3,"{""brand/make"": ""crompton"", ""phase"": ""single phase"", ""product"": ""single phase""}"
Telescopic Brushes,True,2,"{""brush type"": ""telescopic"", ""product"": ""telescopic brushes""}"
Carbon Brush,True,2,"{""material"": ""carbon"", ""product"": ""carbon brush""}"
electric gate motor,True,3,"{""power source"": ""electric"", ""usage"": ""gate"", ""product"": ""electric gate motor""}"
"101-200 KW 1 HP Bharat Bijlee Ac Motor, 1500 rpm",True,6,"{""horsepower"": ""1 hp"", ""power"": ""101-200 kw"", ""speed"": ""1500 rpm"", ""motor type"": ""ac"", ""brand"": ""bharat bijlee"", ""product"": ""1 hp""}"
Auto Switch for 3 Phase Motor,True,3,"{""phase"": ""3 phase"", ""usage"": ""motor"", ""product"": ""auto switch""}"
crompton motors crompton motor 5 hp single phase,True,4,"{""power"": ""5 hp"", ""brand"": ""crompton"", ""no of phase"": ""single phase"", ""product"": ""single phase""}"
Motors,True,1,"{""product"": ""motors""}"
electrical motor,True,3,"{""power source"": ""electrical"", ""part type"": ""motor"", ""product"": ""electrical motor""}"
"0.37 KW 0.5 HP Bharat Bijlee Electric Motor, 1500 rpm",True,5,"{""power"": ""0.37 kw"", ""horsepower"": ""0.5 hp"", ""speed"": ""1500 rpm"", ""brand"": ""bharat bijlee"", ""power source"": ""electric""}"
Three Phase Bharat Bijlee Motor,True,4,"{""brand"": ""bharat bijlee"", ""part type"": ""motor"", ""phase"": ""three phase"", ""product"": ""bharat bijlee motor""}"
peco pk1 3 phase dol motor starter,True,4,"{""phase"": ""3 phase"", ""starter type"": ""dol"", ""brand"": ""peco"", ""product"": ""3 phase dol motor starter""}"
Dol Motor Starter Dmc,True,4,"{""material"": ""dmc"", ""starter type"": ""dol"", ""usage"": ""motor starter"", ""product"": ""dol motor starter""}"
tower-fan-motor,True,1,"{""product"": ""tower-fan-motor""}"
"11 KW 15 HP Crompton Greaves Electric Motor, 1000 rpm",True,6,"{""speed"": ""1000 rpm"", ""power"": ""11 kw"", ""horsepower"": ""15 hp"", ""brand"": ""crompton"", ""power source"": ""electric"", ""product"": ""crompton greaves""}"
"3 Phase Induction Motor, 3600 rpm, 4 Pole",True,4,"{""no of phase"": ""3 phase"", ""speed"": ""3600"", ""motor type"": ""induction"", ""product"": ""3 phase""}"
Siemens Electric Motor,True,3,"{""power source"": ""electric"", ""brand"": ""siemens"", ""product"": ""siemens electric motor""}"
"3.7 KW 5 HP Crompton Greaves AC motor, 1500 rpm",True,6,"{""speed"": ""1500 rpm"", ""power"": ""3.7 kw"", ""horsepower"": ""5 hp"", ""motor type"": ""ac"", ""brand"": ""crompton"", ""product"": ""crompton greaves""}"
Crompton,True,2,"{""brand"": ""crompton"", ""product"": ""crompton""}"
Crompton Greaves Industrial Motors,True,3,"{""brand"": ""crompton"", ""usage"": ""industrial"", ""product"": ""crompton greaves industrial motors""}"
White Motor Starter,True,3,"{""usage"": ""motor starter"", ""color"": ""white"", ""product"": ""motor starter""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0 2.7 kW,True,5,"{""model name/number"": ""1fk2106-4af10-1ma0"", ""power"": ""2.7 kw"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
CG Three Phase Crompton Greaves Flameproof Motor,True,5,"{""model name/number"": ""cg"", ""brand"": ""crompton"", ""motor type"": ""flameproof motor"", ""phase"": ""three phase"", ""product"": ""crompton greaves flameproof motor""}"
Makita HR-2440 Armature By PowerSpeed,True,3,"{""type of power tool"": ""armature"", ""brand"": ""powerspeed"", ""product"": ""armature""}"
bldc 50w 24v 3000rpm,True,4,"{""voltage"": ""24v"", ""speed"": ""3000rpm"", ""power"": ""50w"", ""motor type"": ""bldc""}"
Mixer Grinder Motor,True,3,"{""usage"": ""mixer grinder"", ""part type"": ""motor"", ""product"": ""mixer grinder motor""}"
3000 rpm 24 v bldc 50w 24v 3000rpm,True,4,"{""voltage"": ""24 v"", ""speed"": ""3000 rpm"", ""power"": ""50w"", ""product"": ""rpm""}"
three phase 5 ac induction motor piece 10 hp 1440 rpm Three Phase Induction Motor Cg Make 3 HP,True,6,"{""rated power"": ""10 hp"", ""speed"": ""1440 rpm"", ""motor type"": ""ac induction"", ""brand"": ""cg"", ""no of phase"": ""three phase"", ""product"": ""three phase induction motor""}"
motor protection cover,True,2,"{""usage"": ""motor protection"", ""product"": ""motor protection""}"
Dwe4235 Armature,True,3,"{""motor part type"": ""armature"", ""model number"": ""dwe4235"", ""product"": ""armature""}"
AM Gold Motor Starter,True,2,"{""usage"": ""motor starter"", ""product"": ""motor starter""}"
R. S. Series Geared Motors,True,2,"{""series"": ""r. s. series"", ""product"": ""geared motors""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0 1 kW,True,5,"{""power"": ""1 kw"", ""model name/number"": ""1fk2104-6af01-1sb0"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
3000  rpm 24  v 10 bldc 50w 24v 3000rpm,True,4,"{""voltage"": ""24 v"", ""speed"": ""3000 rpm"", ""power"": ""50w"", ""product"": ""10""}"
24  v 10 bldc 50w 24v 3000rpm,True,5,"{""voltage"": ""24 v"", ""speed"": ""3000rpm"", ""power"": ""50w"", ""motor type"": ""bldc"", ""product"": ""10""}"
makita mt240 cb203a cut off carbon brush,True,3,"{""type"": ""cut off carbon brush"", ""brush no."": ""mt240 cb203a"", ""product"": ""carbon brush""}"
2 hp gear motor,True,3,"{""power"": ""2 hp"", ""motor type"": ""gear motor"", ""product"": ""gear motor""}"
Induction Motor Cg Make,True,3,"{""brand"": ""cg"", ""motor type"": ""induction"", ""product"": ""induction motor""}"
Dual shaft Motor,True,1,"{""product"": ""motor""}"
ac servo motor 750w,True,4,"{""power"": ""750w"", ""motor type"": ""ac"", ""usage"": ""servo"", ""product"": ""ac servo motor""}"
ats480c66y,True,0,{}
Kirloskar Electric Motor,True,3,"{""power source"": ""electric"", ""brand"": ""kirloskar"", ""product"": ""kirloskar electric motor""}"
three  phase 1 ATS480C66Y,True,3,"{""model name/number"": ""ats480c66y"", ""phase"": ""three phase"", ""product"": ""three phase""}"
l and t mpower pro mobile motor starter,True,4,"{""brand"": ""l and t"", ""usage"": ""motor starter"", ""model name/number"": ""mpower pro"", ""product"": ""mobile motor starter""}"
zd motor 25 w small ac geared motors 220v,True,5,"{""voltage"": ""220v"", ""power"": ""25 w"", ""motor type"": ""ac"", ""brand"": ""zd"", ""product"": ""ac geared motors""}"
kitchen hood motor,True,2,"{""usage"": ""kitchen"", ""product"": ""kitchen hood""}"
kapcon simi cooler motor,True,3,"{""usage"": ""cooler motor"", ""brand"": ""kapcon"", ""product"": ""cooler motor""}"
Jayashree Rotory Encoder Hollow Shaft,True,2,"{""product"": ""rotory encoder"", ""brand"": ""jayashree""}"
20w fan dc motor,True,4,"{""power"": ""20w"", ""motor type"": ""dc"", ""usage"": ""fan"", ""product"": ""dc motor""}"
Wet Rice Grinders AUE Motors,True,2,"{""usage"": ""rice grinders"", ""product"": ""wet rice grinders""}"
Electronic Starter,True,3,"{""power source"": ""electronic"", ""feeder type"": ""starter"", ""product"": ""electronic starter""}"
AC Synchronous Motors,True,2,"{""motor type"": ""ac"", ""product"": ""ac synchronous motors""}"
Jayashree Encoder  : Hollow Shaft  J-50T,True,2,"{""product"": ""hollow shaft"", ""brand"": ""jayashree""}"
Motor,True,2,"{""part type"": ""motor"", ""product"": ""motor""}"
Remi Centrifuge Carbon Brush,True,3,"{""type"": ""carbon brush"", ""brand"": ""remi"", ""product"": ""remi centrifuge carbon brush""}"
High po re,True,1,"{""product"": ""po""}"
volvo & ir l&t case vibration motor shaft,True,2,"{""motor part type"": ""shaft"", ""product"": ""vibration motor""}"
Rawat+Induction+Motors,True,0,{}
havells single phase motor,True,4,"{""brand"": ""havells"", ""part type"": ""motor"", ""phase"": ""single phase"", ""product"": ""havells single phase motor""}"
HAVELLS 3 PHASE MOTORSIE2/IE3,True,3,"{""phase"": ""3 phase"", ""brand"": ""havells"", ""product"": ""3 phase""}"
DHARMENDRA,True,1,"{""product"": ""dharmendra""}"
vertical helical gear motor 5 hp,True,4,"{""power"": ""5 hp"", ""motor type"": ""helical gear"", ""orientation"": ""vertical"", ""product"": ""vertical helical gear motor""}"
Bosch parts,True,2,"{""brand"": ""bosch"", ""product"": ""bosch parts""}"
Panasonic AC Servo Motor,True,4,"{""motor type"": ""ac"", ""brand"": ""panasonic"", ""usage"": ""servo"", ""product"": ""panasonic ac servo motor""}"
squirrel-cage-motors,True,2,"{""shape"": ""squirrel-cage-motors"", ""product"": ""squirrel-cage-motors""}"
Belimo Damper Actuator,True,3,"{""brand"": ""belimo"", ""structure"": ""damper actuator"", ""product"": ""belimo damper actuator""}"
Squirrel Cage Induction Motor tefc type,True,2,"{""motor type"": ""squirrel cage induction"", ""product"": ""squirrel cage induction motor""}"
fn20c motor,True,3,"{""model name/number"": ""fn20c"", ""part type"": ""motor"", ""product"": ""motor""}"
fireproof motor,True,2,"{""part type"": ""motor"", ""product"": ""motor""}"
Minas A6 Panasonic  Servo Motor & Driver,True,3,"{""model name/number"": ""minas a6"", ""brand"": ""panasonic"", ""product"": ""panasonic servo motor""}"
Planetary Gear Motor,True,1,"{""product"": ""planetary gear motor""}"
Squirrel Cage Induction Motor tefc type 415v,True,3,"{""voltage"": ""415v"", ""motor type"": ""squirrel cage induction"", ""product"": ""squirrel cage induction motor""}"
vertical helical gear motor,True,3,"{""motor type"": ""helical gear"", ""orientation"": ""vertical"", ""product"": ""vertical helical gear motor""}"
2 advanced features 2 10 hp mobile starter,True,2,"{""power"": ""10 hp"", ""product"": ""mobile starter""}"
Helical Geared Motor,True,1,"{""product"": ""helical geared motor""}"
dvd motor,True,2,"{""part type"": ""motor"", ""product"": ""motor""}"
2 hp three phase induction motor,True,4,"{""rated power"": ""2 hp"", ""motor type"": ""induction motor"", ""no of phase"": ""three phase"", ""product"": ""2 hp three phase induction motor""}"
Direct oil immersed starter skn Kelson U Kit Set,True,1,"{""product"": ""oil immersed starter""}"
Rolling Shutter Motor,True,2,"{""usage"": ""rolling shutter"", ""product"": ""rolling shutter motor""}"
Delton Three Single Phase Oil Starter,True,3,"{""brand"": ""delton"", ""phase"": ""three single phase"", ""product"": ""single phase""}"
Shaft Encoder,True,1,"{""product"": ""shaft encoder""}"
CTV 110 Unimotion Servo Motor,True,2,"{""model name/number"": ""ctv 110"", ""product"": ""servo motor""}"
Crompton Single Phase Motor,True,4,"{""brand"": ""crompton"", ""part type"": ""motor"", ""phase"": ""single phase"", ""product"": ""crompton single phase motor""}"
crompton single phase cooler motor,True,4,"{""usage"": ""cooler motor"", ""brand"": ""crompton"", ""phase"": ""single phase"", ""product"": ""single phase cooler motor""}"
crompton greaves energy efficient motor,True,2,"{""brand"": ""crompton"", ""product"": ""energy efficient motor""}"
180 Watt Electro Magnetic Brake Motor,True,3,"{""power"": ""180 watt"", ""motor type"": ""electro magnetic brake"", ""product"": ""electro magnetic brake""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-5AK00-0SB0 0.12 kW,True,5,"{""power"": ""0.12 kw"", ""model name/number"": ""1fk2104-5ak00-0sb0"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF10-0SA0 2.7 kW,True,3,"{""output power"": ""2.7 kw"", ""brand"": ""siemens"", ""product"": ""servo moter""}"
Servo Motor,True,1,"{""product"": ""servo motor""}"
copper sewing machine motor armature,True,4,"{""motor part type"": ""armature"", ""material type"": ""copper"", ""usage"": ""sewing machine"", ""product"": ""sewing machine motor armature""}"
cooler motor high speed,True,3,"{""usage"": ""cooler motor"", ""speed"": ""high speed"", ""product"": ""cooler motor""}"
cooler hee motor,True,3,"{""usage"": ""cooler"", ""part type"": ""motor"", ""product"": ""cooler""}"
Kerovit Ege Actuation Plate,True,2,"{""product"": ""actuation"", ""brand"": ""kerovit""}"
ABB Soft Starters,True,3,"{""brand"": ""abb"", ""starter type"": ""soft"", ""product"": ""abb soft starters""}"
Bullet Farrata Fan Motor,True,3,"{""usage"": ""farrata fan"", ""part type"": ""motor"", ""product"": ""bullet farrata fan""}"
happymodel motor,True,2,"{""part type"": ""motor"", ""product"": ""motor""}"
Double Shaft Motor,True,1,"{""product"": ""double shaft motor""}"
incubator turning motor,True,3,"{""usage"": ""incubator"", ""type"": ""turning motor"", ""product"": ""incubator""}"
abb motor,True,3,"{""brand"": ""abb"", ""part type"": ""motor"", ""product"": ""abb motor""}"
2hp single phase motor cg model gf7010,True,4,"{""power"": ""2hp"", ""model name/number"": ""gf7010"", ""phase"": ""single phase"", ""product"": ""2hp single phase motor""}"
2hp single phase motor near kolkata cg model no gf7010,True,4,"{""power"": ""2hp"", ""model name/number"": ""gf7010"", ""phase"": ""single phase"", ""product"": ""2hp single phase motor""}"
100 HP Slip Ring Motor Starter,True,4,"{""power"": ""100 hp"", ""usage"": ""motor starter"", ""starter type"": ""slip ring"", ""product"": ""slip ring motor starter""}"
battery operated pmdc motor,True,3,"{""power source"": ""battery"", ""motor type"": ""pmdc"", ""product"": ""battery operated""}"
Automatic Door Motor,True,3,"{""automation grade"": ""automatic"", ""usage"": ""door"", ""product"": ""automatic door motor""}"
Automatic Rolling Shutters Motor,True,3,"{""automation grade"": ""automatic"", ""usage"": ""rolling shutters"", ""product"": ""automatic rolling shutters motor""}"
Nxu Gear Brake Motor In Pune,True,2,"{""motor type"": ""gear brake motor"", ""product"": ""gear brake motor""}"
Bosch Carbon Brushes,True,2,"{""brand"": ""bosch"", ""product"": ""bosch carbon brushes""}"
1 piece 750 watt 3000 rpm AC Servo Motor,True,4,"{""speed"": ""3000 rpm"", ""power"": ""750 watt"", ""motor type"": ""ac"", ""product"": ""ac servo motor""}"
Arun D O L Motor Starter,True,3,"{""brand"": ""arun"", ""usage"": ""motor starter"", ""product"": ""motor starter""}"
v12 mobile starter,True,2,"{""model name/number"": ""v12"", ""product"": ""mobile starter""}"
1 hp motor,True,3,"{""power"": ""1 hp"", ""part type"": ""motor"", ""product"": ""1 hp motor""}"
angle grinder armature,True,3,"{""usage"": ""angle grinder"", ""motor part type"": ""armature"", ""product"": ""angle grinder armature""}"
ola motor,True,3,"{""part type"": ""motor"", ""brand"": ""ola"", ""product"": ""motor""}"
altistart 22 soft starters,True,3,"{""model name/number"": ""altistart 22"", ""starter type"": ""soft"", ""product"": ""soft starters""}"
tawagawa hollow encoder ts 5700n8500,True,2,"{""encoder type"": ""hollow encoder"", ""product"": ""encoder""}"
tawagawa hollow encoder ts-5700n8500,True,2,"{""encoder type"": ""hollow encoder"", ""product"": ""encoder""}"
actuator model %3A rr a50 d,True,2,"{""model name/number"": ""%3a rr a50 d"", ""product"": ""actuator""}"
86HS120 Two Phase Stepper Motor,True,4,"{""model name/number"": ""86hs120"", ""motor type"": ""stepper motor"", ""phase"": ""two phase"", ""product"": ""stepper motor""}"
86 HS 65 Two Phase Stepper Motor,True,4,"{""model name/number"": ""86 hs 65"", ""motor type"": ""stepper motor"", ""phase"": ""two phase"", ""product"": ""stepper motor""}"
Ola motot,True,2,"{""brand"": ""ola"", ""product"": ""ola""}"
Swing Gate Motor,True,2,"{""usage"": ""gate"", ""product"": ""swing gate motor""}"
COPCARBON BRUSH 25X40X10,True,3,"{""size"": ""25x40x10"", ""bristle material"": ""copcarbon"", ""product"": ""brush""}"
DC GEAR MOTOR,True,2,"{""motor type"": ""dc gear"", ""product"": ""dc gear motor""}"
motor-armature,True,2,"{""part type"": ""motor-armature"", ""product"": ""motor-armature""}"
57 HS 22 Two Phase Stepper Motor,True,4,"{""model name/number"": ""57 hs 22"", ""motor type"": ""stepper motor"", ""phase"": ""two phase"", ""product"": ""stepper motor""}"
57 HS 13 Two Phase Stepper Motor,True,4,"{""model name/number"": ""57 hs 13"", ""motor type"": ""stepper motor"", ""phase"": ""two phase"", ""product"": ""stepper motor""}"
57 HS 09 Two Phase Stepper Motor,True,4,"{""model name/number"": ""57 hs 09"", ""motor type"": ""stepper motor"", ""phase"": ""two phase"", ""product"": ""stepper motor""}"
