query,ok,key_count,raw_output,attributes_json,norm_attributes_json
1 for reselling piece Panasonic Geared Motor,True,5,"{   ""motor_type"": ""Geared Motor"",   ""brand"": ""Panasonic"",   ""quantity"": ""1"",   ""purpose"": ""for reselling"",   ""condition"": ""piece"" } <end","{""motor_type"": ""Geared Motor"", ""brand"": ""Panasonic"", ""quantity"": ""1"", ""purpose"": ""for reselling"", ""condition"": ""piece""}","{""motor_type"": ""Geared Motor"", ""brand"": ""Panasonic"", ""quantity"": ""1"", ""purpose"": ""for reselling"", ""condition"": ""piece""}"
Motor Cover,True,1,"{attribute: ""Motor Cover""}<turn|>","{""attribute"": ""Motor Cover""}",{}
b04420065,True,1,"{attribute: ""b04420065""} <","{""attribute"": ""b04420065""}",{}
1 piece Slip Rings,True,2,"{ ""component"": ""Slip Rings"", ""quantity"": ""1 piece""}<","{""component"": ""Slip Rings"", ""quantity"": ""1 piece""}","{""component"": ""Slip Rings"", ""quantity"": ""1 piece""}"
venex 3 phase dol motor starter,False,0,"{power_source}:""venex",{},{}
Used Crompton Greaves Motor,True,3,"{   ""Condition"": ""Used"",   ""Brand"": ""Crompton Greaves"",   ""Feature"": ""Motor"" }","{""Condition"": ""Used"", ""Brand"": ""Crompton Greaves"", ""Feature"": ""Motor""}","{""Condition"": ""Used"", ""brand"": ""Crompton Greaves"", ""feature"": ""Motor""}"
Mobile Starter Prime,True,1,"{attributes: ""Prime"", ""power source"": ""Mobile Starter""} <","{""power source"": ""Mobile Starter""}","{""power source"": ""Mobile Starter""}"
1kw( 1.3hp) bldc motor,False,0,"{power_consumption}: ""1kw",{},{}
1kw( 1.3hp) bldc motor near jharsuguda,True,3,"{   ""motor_power"": ""1kw( 1.3hp)"",   ""brand_or_type"": ""bldc motor"",   ""location"": ""near jharsuguda"" }","{""motor_power"": ""1kw( 1.3hp)"", ""brand_or_type"": ""bldc motor"", ""location"": ""near jharsuguda""}","{""motor_power"": ""1kw( 1.3hp)"", ""brand_or_type"": ""bldc motor"", ""location/city"": ""near jharsuguda""}"
spg motor,False,0,"{power_source}: ""spg",{},{}
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,True,6,"{   ""motor"": ""foot mount"",   ""power"": ""5 hp"",   ""brand"": ""crompton greaves"",   ""voltage"": ""3 phase"",   ""speed"": ""1450 rpm"",   ""power_consumption"": ""3.70 kw"" }","{""motor"": ""foot mount"", ""power"": ""5 hp"", ""brand"": ""crompton greaves"", ""voltage"": ""3 phase"", ""speed"": ""1450 rpm"", ""power_consumption"": ""3.70 kw""}","{""part type"": ""foot mount"", ""power"": ""5 hp"", ""brand"": ""crompton greaves"", ""voltage"": ""3 phase"", ""speed"": ""1450 rpm"", ""power_consumption"": ""3.70 kw""}"
Vacuum Cleaner Motors,True,2,"{   ""power source"": ""Motors"",   ""type"": ""Vacuum Cleaner"" }<turn|><end","{""power source"": ""Motors"", ""type"": ""Vacuum Cleaner""}","{""power source"": ""Motors"", ""type"": ""Vacuum Cleaner""}"
Siemens Electric Three Phase Motor,False,0,{power_source}: Siemens Electric Three,{},{}
panasonic gear box MY9G30B,False,0,"{brand_or_model_line}: ""MY9",{},{}
Three Phase Dol Starter (elcw-s-digi),False,0,"{power_source}:""Three Phase",{},{}
Motor Plate,False,0,"{part_of_plate}: """,{},{}
three phase dol dry run motor starter,True,2,"{   ""power source"": ""three phase"",   ""condition"": ""dol dry run motor starter"" } <end","{""power source"": ""three phase"", ""condition"": ""dol dry run motor starter""}","{""power source"": ""three phase"", ""condition"": ""dol dry run motor starter""}"
Single Phase Electric Motor,False,0,"{power_source}: ""Single Phase",{},{}
auto switch,True,1,"{attribute: ""auto switch""}<turn|>","{""attribute"": ""auto switch""}",{}
Mdt Knx Actuator Automation Products Dealer,True,2,"{   ""Product Type"": ""Knx Actuator Automation Products"",   ""Role"": ""Dealer"",   ""Mdt"" }","{""Product Type"": ""Knx Actuator Automation Products"", ""Role"": ""Dealer""}","{""Product Type"": ""Knx Actuator Automation Products"", ""Role"": ""Dealer""}"
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),True,4,"{   ""power_source"": ""DOL"",   ""operation"": ""Auto Switch With Timer"",   ""switch_type"": ""With Connector (Rocker Switch)"",   ""phase"": ""Three Phase"" }","{""power_source"": ""DOL"", ""operation"": ""Auto Switch With Timer"", ""switch_type"": ""With Connector (Rocker Switch)"", ""phase"": ""Three Phase""}","{""power source"": ""DOL"", ""operation"": ""Auto Switch With Timer"", ""switch_type"": ""With Connector (Rocker Switch)"", ""phase"": ""Three Phase""}"
Hydraulic Motor,False,0,"{power_source}: ""Hydraulic",{},{}
sliding door motor,True,1,"{feature: ""sliding door"", ""power source"": ""motor""}<turn|><","{""power source"": ""motor""}","{""power source"": ""motor""}"
solenoid-switches,True,1,"{operation_method: ""solenoid-switches""}<turn|><end","{""operation_method"": ""solenoid-switches""}","{""operation_method"": ""solenoid-switches""}"
symphony air cooler motor,True,2,"{product_type: ""air cooler"", ""brand_or_part_of_series"": ""symphony"", ""feature"": ""motor""}<turn|>","{""brand_or_part_of_series"": ""symphony"", ""feature"": ""motor""}","{""brand_or_part_of_series"": ""symphony"", ""feature"": ""motor""}"
PBL Geared Motors,True,2,"{   ""power_source"": ""Geared Motors"",   ""model_number"": ""PBL"" }<turn|><","{""power_source"": ""Geared Motors"", ""model_number"": ""PBL""}","{""power source"": ""Geared Motors"", ""model name/number"": ""PBL""}"
super max oil immersed dol motor starter,True,4,"{   ""motor"": ""dol motor starter"",   ""oil"": ""immersed"",   ""power"": ""super max"",   ""attribute"": ""oil"" }<turn|>","{""motor"": ""dol motor starter"", ""oil"": ""immersed"", ""power"": ""super max"", ""attribute"": ""oil""}","{""part type"": ""dol motor starter"", ""oil"": ""immersed"", ""power"": ""super max""}"
Sunflag Table Fan Motor,True,2,"{product_type: ""Table Fan"", ""Brand_or_Feature"": ""Sunflag"", ""Part_of_turn"": ""Motor""}<turn|><","{""Brand_or_Feature"": ""Sunflag"", ""Part_of_turn"": ""Motor""}","{""Brand_or_Feature"": ""Sunflag"", ""Part_of_turn"": ""Motor""}"
Industrial Motors,False,0,{power_source}:Industrial Motors<,{},{}
crompton 3 phase motor 7.5 hp i3,False,0,{brand/model}: crompton i,{},{}
linear actuator control board,True,1,"{   ""control board"": ""linear actuator control board"" }<turn|>","{""control board"": ""linear actuator control board""}","{""part type"": ""linear actuator control board""}"
panasonic gar box,True,1,"{brand_or_type: ""panasonic"", ""packaging"": ""gar box""}<turn|><|channel>","{""packaging"": ""gar box""}","{""packaging"": ""gar box""}"
ड्रोन डीसी मोटर,True,1,"{key-value attributes: ""ड्रोन डीसी मोटर""}<turn|><|channel>thought","{""key-value attributes"": ""ड्रोन डीसी मोटर""}","{""key-value attributes"": ""ड्रोन डीसी मोटर""}"
single phase servo motor,False,0,"{power_source}: ""single phase",{},{}
single phase mild steel geared motor,True,3,"{   ""motor_type"": ""geared motor"",   ""material"": ""mild steel"",   ""power"": ""single phase"" } <end","{""motor_type"": ""geared motor"", ""material"": ""mild steel"", ""power"": ""single phase""}","{""motor_type"": ""geared motor"", ""material"": ""mild steel"", ""power"": ""single phase""}"
Gold Power Single Phase Induction Motor,True,3,"{   ""Power"": ""Single Phase Induction Motor"",   ""Value"": ""Gold"",   ""Key Feature"": ""Power"" }","{""Power"": ""Single Phase Induction Motor"", ""Value"": ""Gold"", ""Key Feature"": ""Power""}","{""power"": ""Single Phase Induction Motor"", ""Value"": ""Gold"", ""Key Feature"": ""Power""}"
Siemens 3TW72911AW78,True,1,{key-value attributes: Siemens 3TW72911AW78},"{""key-value attributes"": ""Siemens 3TW72911AW78""}","{""key-value attributes"": ""Siemens 3TW72911AW78""}"
Siemens 3TW72911AW74,True,1,{key-value attributes: Siemens 3TW72911AW74},"{""key-value attributes"": ""Siemens 3TW72911AW74""}","{""key-value attributes"": ""Siemens 3TW72911AW74""}"
Siemens 3TW72911AW72,True,1,{key-value attributes: Siemens 3TW72911AW72},"{""key-value attributes"": ""Siemens 3TW72911AW72""}","{""key-value attributes"": ""Siemens 3TW72911AW72""}"
Siemens 3TW72911AW71,True,1,{key-value attributes: Siemens 3TW72911AW71},"{""key-value attributes"": ""Siemens 3TW72911AW71""}","{""key-value attributes"": ""Siemens 3TW72911AW71""}"
Vertical Hollow Shaft Motor Service,True,4,"{   ""Service"": ""Service"",   ""Shaft"": ""Hollow Shaft"",   ""Motor"": ""Motor"",   ""Orientation"": ""Vertical"" }<turn|><","{""Service"": ""Service"", ""Shaft"": ""Hollow Shaft"", ""Motor"": ""Motor"", ""Orientation"": ""Vertical""}","{""Service"": ""Service"", ""Shaft"": ""Hollow Shaft"", ""part type"": ""Motor"", ""orientation"": ""Vertical""}"
Siemens 3TW72911AW69,True,1,{key-value attributes: Siemens 3TW72911AW69},"{""key-value attributes"": ""Siemens 3TW72911AW69""}","{""key-value attributes"": ""Siemens 3TW72911AW69""}"
Siemens 3TW72911AW68,True,1,{key-value attributes: Siemens 3TW72911AW68},"{""key-value attributes"": ""Siemens 3TW72911AW68""}","{""key-value attributes"": ""Siemens 3TW72911AW68""}"
Siemens 3TW72911AW66,True,1,{key-value attributes: Siemens 3TW72911AW66},"{""key-value attributes"": ""Siemens 3TW72911AW66""}","{""key-value attributes"": ""Siemens 3TW72911AW66""}"
Siemens 3TW72911AW64,True,1,{key-value attributes: Siemens 3TW72911AW64},"{""key-value attributes"": ""Siemens 3TW72911AW64""}","{""key-value attributes"": ""Siemens 3TW72911AW64""}"
100 HP to 2000 HP  Slip Ring Motor Starter,True,2,"{   ""Motor"": ""Slip Ring Motor Starter"",   ""Power"": ""100 HP to 2000 HP"" }","{""Motor"": ""Slip Ring Motor Starter"", ""Power"": ""100 HP to 2000 HP""}","{""part type"": ""Slip Ring Motor Starter"", ""power"": ""100 HP to 2000 HP""}"
Crompton Single Phase Electric Motor,True,2,"{   ""Motor"": ""Single Phase Electric Motor"",   ""Brand"": ""Crompton"" }","{""Motor"": ""Single Phase Electric Motor"", ""Brand"": ""Crompton""}","{""part type"": ""Single Phase Electric Motor"", ""brand"": ""Crompton""}"
6 for business use piece electronic Valve Positioners,True,4,"{   ""quantity"": ""6"",   ""condition"": ""piece"",   ""electronic"": ""electronic Valve Positioners"",   ""intended_use"": ""for business use"" } <","{""quantity"": ""6"", ""condition"": ""piece"", ""electronic"": ""electronic Valve Positioners"", ""intended_use"": ""for business use""}","{""quantity"": ""6"", ""condition"": ""piece"", ""electronic"": ""electronic Valve Positioners"", ""intended_use"": ""for business use""}"
drondch motor,True,1,"{attribute: ""drondch motor""}<turn|><end","{""attribute"": ""drondch motor""}",{}
STP-43D2035 Stepper Motor,True,1,"{product_code: ""STP-43D2035"", ""motor_type"": ""Stepper Motor""} <","{""motor_type"": ""Stepper Motor""}","{""motor_type"": ""Stepper Motor""}"
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,True,2,"{   ""model_number"": ""SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"",   ""brand_or_series"": ""SIEMENS SIMOTICS"" }","{""model_number"": ""SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"", ""brand_or_series"": ""SIEMENS SIMOTICS""}","{""model name/number"": ""SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"", ""brand_or_series"": ""SIEMENS SIMOTICS""}"
Crompton 0.5hp Motor,True,2,"{brand_or_name: ""Crompton"", ""power"": ""0.5hp"", ""motor"": ""Motor""}<turn|>","{""power"": ""0.5hp"", ""motor"": ""Motor""}","{""power"": ""0.5hp"", ""part type"": ""Motor""}"
Jencode Hollow Shaft Encoder,True,2,"{ ""Feature"": ""Hollow Shaft Encoder"", ""Jencode"": ""Jencode""}<end","{""Feature"": ""Hollow Shaft Encoder"", ""Jencode"": ""Jencode""}","{""feature"": ""Hollow Shaft Encoder"", ""Jencode"": ""Jencode""}"
AC MOTARS,False,0,"{power_source}:{""type"":",{},{}
Hadrulicl Power motar,True,1,"{power source: ""Hadrulicl Power motar""}<turn|><|channel>thought","{""power source"": ""Hadrulicl Power motar""}","{""power source"": ""Hadrulicl Power motar""}"
RC Car Brushless ESC Platinum Edition 120A,True,4,"{   ""Model Type"": ""RC Car"",   ""Power"": ""120A"",   ""Brushes"": ""Brushless ESC"",   ""Edition"": ""Platinum Edition"" }","{""Model Type"": ""RC Car"", ""Power"": ""120A"", ""Brushes"": ""Brushless ESC"", ""Edition"": ""Platinum Edition""}","{""Model Type"": ""RC Car"", ""power"": ""120A"", ""Brushes"": ""Brushless ESC"", ""Edition"": ""Platinum Edition""}"
RPG15Q Motor,True,2,"{attribute: ""Motor"", model_number: ""RPG15Q""}","{""attribute"": ""Motor"", ""model_number"": ""RPG15Q""}","{""model name/number"": ""RPG15Q""}"
Honeywell V4055 Fuild Power Actuator,True,1,"{   ""Honeywell"": ""V4055 Fuild Power Actuator"" } <end","{""Honeywell"": ""V4055 Fuild Power Actuator""}","{""Honeywell"": ""V4055 Fuild Power Actuator""}"
servo motor .,True,1,"{""power_source"": ""servo motor .""} <","{""power_source"": ""servo motor .""}","{""power source"": ""servo motor .""}"
L & T SOFT STARTOR,True,1,"{attribute: ""L & T SOFT STARTOR""}","{""attribute"": ""L & T SOFT STARTOR""}",{}
775 dc motor,False,0,{power_source}:775,{},{}
Brake Motors,False,0,{power_source}:Brake Motors,{},{}
1FK2104-6AF01-1MB0,True,1,"{attribute: ""1FK2104-6AF01-1MB0""}","{""attribute"": ""1FK2104-6AF01-1MB0""}",{}
Electric Motor,True,1,"{power_source: ""Electric Motor""}<turn|><end","{""power_source"": ""Electric Motor""}","{""power source"": ""Electric Motor""}"
3 phase 415 V 0.09KW Motor,False,0,"{power_consumption}: ""0.",{},{}
crompton motors crompton motor 5 hp single phase near patna,True,5,"{   ""motor"": ""crompton motor"",   ""power"": ""5 hp"",   ""voltage"": ""single phase"",   ""location"": ""near patna"",   ""brand"": ""crompton"" } <","{""motor"": ""crompton motor"", ""power"": ""5 hp"", ""voltage"": ""single phase"", ""location"": ""near patna"", ""brand"": ""crompton""}","{""part type"": ""crompton motor"", ""power"": ""5 hp"", ""voltage"": ""single phase"", ""location/city"": ""near patna"", ""brand"": ""crompton""}"
12v 775 Dc Motor,False,0,"{voltage}: """,{},{}
Linear Actuator,True,1,"{attribute: ""Linear Actuator""}","{""attribute"": ""Linear Actuator""}",{}
"Gold Power Single Phase Induction Motor, Voltage: 220V",True,4,"{   ""Power"": ""Single Phase"",   ""Motor"": ""Induction Motor, Voltage: 220V"",   ""Value"": ""Gold"",   ""Power Source"": ""Power"" }","{""Power"": ""Single Phase"", ""Motor"": ""Induction Motor, Voltage: 220V"", ""Value"": ""Gold"", ""Power Source"": ""Power""}","{""power"": ""Single Phase"", ""part type"": ""Induction Motor, Voltage: 220V"", ""Value"": ""Gold"", ""power source"": ""Power""}"
dc motors,False,0,{power_source}:dc motors<,{},{}
dol starter,True,1,"{attribute: ""dol starter""}<turn|>","{""attribute"": ""dol starter""}",{}
Wages Patti,False,0,{value}W,{},{}
Lift Motor,True,1,"{attribute: ""Lift Motor""}<turn|>","{""attribute"": ""Lift Motor""}",{}
0.25HP Single Phase Electric Motor,False,0,"{power_output}: ""0.",{},{}
12v dc dual shaft motor,False,0,"{voltage}: """,{},{}
single phase submersible pump starter,True,3,"{   ""pump type"": ""submersible pump"",   ""operation"": ""starter"",   ""power"": ""single phase"" }<turn|>","{""pump type"": ""submersible pump"", ""operation"": ""starter"", ""power"": ""single phase""}","{""pump type"": ""submersible pump"", ""operation"": ""starter"", ""power"": ""single phase""}"
Bharat Bijlee Ie3 Motor,False,0,{brand/seller/other}:Bharat,{},{}
Crompton Single Phase Vibrator,True,2,"{attribute: ""Single Phase Vibrator"", brand: ""Crompton""}","{""attribute"": ""Single Phase Vibrator"", ""brand"": ""Crompton""}","{""brand"": ""Crompton""}"
Telescopic Brushes,True,1,"{attribute: ""Telescopic Brushes""}<turn|><","{""attribute"": ""Telescopic Brushes""}",{}
Carbon Brush,True,1,"{attribute: ""Carbon Brush""}<turn|>","{""attribute"": ""Carbon Brush""}",{}
electric gate motor,True,1,"{power_source: ""electric gate motor""}<turn|><|channel>","{""power_source"": ""electric gate motor""}","{""power source"": ""electric gate motor""}"
"101-200 KW 1 HP Bharat Bijlee Ac Motor, 1500 rpm",True,3,"{   ""Power"": ""101-200 KW"",   ""Brand"": ""Bharat Bijlee"",   ""Motor"": ""Ac Motor, 1500 rpm"",   ""Power"": ""1 HP"" } <end","{""Power"": ""1 HP"", ""Brand"": ""Bharat Bijlee"", ""Motor"": ""Ac Motor, 1500 rpm""}","{""power"": ""1 HP"", ""brand"": ""Bharat Bijlee"", ""part type"": ""Ac Motor, 1500 rpm""}"
Auto Switch for 3 Phase Motor,True,1,"{   ""function"": ""Auto Switch for 3 Phase Motor"" } <end","{""function"": ""Auto Switch for 3 Phase Motor""}","{""function"": ""Auto Switch for 3 Phase Motor""}"
crompton motors crompton motor 5 hp single phase,True,4,"{   ""motor"": ""crompton motor"",   ""power"": ""5 hp"",   ""brand"": ""crompton"",   ""voltage"": ""single phase"" }","{""motor"": ""crompton motor"", ""power"": ""5 hp"", ""brand"": ""crompton"", ""voltage"": ""single phase""}","{""part type"": ""crompton motor"", ""power"": ""5 hp"", ""brand"": ""crompton"", ""voltage"": ""single phase""}"
Motors,True,1,"{power_source: ""Motors""}","{""power_source"": ""Motors""}","{""power source"": ""Motors""}"
electrical motor,False,0,{power_source}:electrical motor<,{},{}
"0.37 KW 0.5 HP Bharat Bijlee Electric Motor, 1500 rpm",True,3,"{   ""Power"": ""0.37 KW"",   ""Bharat Bijlee Electric Motor"": ""0.5 HP"",   ""Speed"": ""1500 rpm"" } <","{""Power"": ""0.37 KW"", ""Bharat Bijlee Electric Motor"": ""0.5 HP"", ""Speed"": ""1500 rpm""}","{""power"": ""0.37 KW"", ""Bharat Bijlee Electric Motor"": ""0.5 HP"", ""speed"": ""1500 rpm""}"
Three Phase Bharat Bijlee Motor,False,0,"{power_source}:""Bharat Bij",{},{}
peco pk1 3 phase dol motor starter,False,0,{product_line}:peco pk,{},{}
Dol Motor Starter Dmc,True,2,"{ ""Dmc"": ""Dol Motor Starter"", ""value"": ""Dmc"" }<turn|><|channel>","{""Dmc"": ""Dol Motor Starter"", ""value"": ""Dmc""}","{""Dmc"": ""Dol Motor Starter"", ""value"": ""Dmc""}"
tower-fan-motor,True,1,"{designation: ""tower-fan-motor""}<turn|>","{""designation"": ""tower-fan-motor""}","{""designation"": ""tower-fan-motor""}"
"11 KW 15 HP Crompton Greaves Electric Motor, 1000 rpm",True,4,"{   ""Motor"": ""Electric Motor, 1000 rpm"",   ""Power"": ""11 KW"",   ""Brand"": ""Crompton Greaves"",   ""Horsepower"": ""15 HP"" }","{""Motor"": ""Electric Motor, 1000 rpm"", ""Power"": ""11 KW"", ""Brand"": ""Crompton Greaves"", ""Horsepower"": ""15 HP""}","{""part type"": ""Electric Motor, 1000 rpm"", ""power"": ""11 KW"", ""brand"": ""Crompton Greaves"", ""horsepower"": ""15 HP""}"
"3 Phase Induction Motor, 3600 rpm, 4 Pole",True,3,"{   ""Motor"": ""3 Phase Induction Motor"",   ""Speed"": ""3600 rpm"",   ""Pole"": ""4 Pole"" }","{""Motor"": ""3 Phase Induction Motor"", ""Speed"": ""3600 rpm"", ""Pole"": ""4 Pole""}","{""part type"": ""3 Phase Induction Motor"", ""speed"": ""3600 rpm"", ""Pole"": ""4 Pole""}"
Siemens Electric Motor,False,0,{power_source}: Siemens Electric Motor,{},{}
"3.7 KW 5 HP Crompton Greaves AC motor, 1500 rpm",True,5,"{   ""power"": ""3.7 KW"",   ""motor_type"": ""AC motor"",   ""speed"": ""1500 rpm"",   ""brand"": ""Crompton Greaves"",   ""power_consumption"": ""5 HP"" </start_of_turn><turn|>","{""power"": ""3.7 KW"", ""motor_type"": ""AC motor"", ""speed"": ""1500 rpm"", ""brand"": ""Crompton Greaves"", ""power_consumption"": ""5 HP""}","{""power"": ""3.7 KW"", ""motor_type"": ""AC motor"", ""speed"": ""1500 rpm"", ""brand"": ""Crompton Greaves"", ""power_consumption"": ""5 HP""}"
Crompton,False,0,{brand/name}: Crompton<,{},{}
Crompton Greaves Industrial Motors,True,2,"{   ""Brand"": ""Crompton Greaves"",   ""Power Source"": ""Industrial Motors"" }<turn|><end","{""Brand"": ""Crompton Greaves"", ""Power Source"": ""Industrial Motors""}","{""brand"": ""Crompton Greaves"", ""power source"": ""Industrial Motors""}"
White Motor Starter,True,1,"{color: ""White"", ""Feature"": ""Motor Starter""} <end","{""Feature"": ""Motor Starter""}","{""feature"": ""Motor Starter""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0 2.7 kW,True,2,"{   ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0"",   ""power"": ""2.7 kW"" } <end","{""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0"", ""power"": ""2.7 kW""}","{""model name/number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0"", ""power"": ""2.7 kW""}"
CG Three Phase Crompton Greaves Flameproof Motor,True,4,"{   ""Brand"": ""Crompton Greaves"",   ""Power"": ""Three Phase"",   ""Feature"": ""Flameproof Motor"",   ""CG"": ""CG"" } <","{""Brand"": ""Crompton Greaves"", ""Power"": ""Three Phase"", ""Feature"": ""Flameproof Motor"", ""CG"": ""CG""}","{""brand"": ""Crompton Greaves"", ""power"": ""Three Phase"", ""feature"": ""Flameproof Motor"", ""CG"": ""CG""}"
Makita HR-2440 Armature By PowerSpeed,True,3,"{   ""Model Number"": ""Makita HR-2440"",   ""Key Attribute"": ""By PowerSpeed"",   ""Part"": ""Armature"" }","{""Model Number"": ""Makita HR-2440"", ""Key Attribute"": ""By PowerSpeed"", ""Part"": ""Armature""}","{""model number"": ""Makita HR-2440"", ""Key Attribute"": ""By PowerSpeed"", ""Part"": ""Armature""}"
bldc 50w 24v 3000rpm,False,0,{power_consumption}50w,{},{}
Mixer Grinder Motor,True,2,"{attribute: ""Motor"", function: ""Mixer Grinder""} <","{""attribute"": ""Motor"", ""function"": ""Mixer Grinder""}","{""function"": ""Mixer Grinder""}"
3000 rpm 24 v bldc 50w 24v 3000rpm,True,4,"{speed_rpm: ""3000rpm"", ""voltage"": ""24v"", ""motor_type"": ""bldc"", ""speed"": ""3000 rpm"", ""power"": ""24v 50w""}","{""voltage"": ""24v"", ""motor_type"": ""bldc"", ""speed"": ""3000 rpm"", ""power"": ""24v 50w""}","{""voltage"": ""24v"", ""motor_type"": ""bldc"", ""speed"": ""3000 rpm"", ""power"": ""24v 50w""}"
three phase 5 ac induction motor piece 10 hp 1440 rpm Three Phase Induction Motor Cg Make 3 HP,True,7,"{   ""power source"": ""Three Phase Induction Motor"",   ""motor type"": ""5 ac induction motor"",   ""speed"": ""1440 rpm"",   ""brand"": ""Cg Make"",   ""part"": ""piece"",   ""power"": ""10 hp"",   ""additional power"": ""3 HP"" } <end","{""power source"": ""Three Phase Induction Motor"", ""motor type"": ""5 ac induction motor"", ""speed"": ""1440 rpm"", ""brand"": ""Cg Make"", ""part"": ""piece"", ""power"": ""10 hp"", ""additional power"": ""3 HP""}","{""power source"": ""Three Phase Induction Motor"", ""driven type"": ""5 ac induction motor"", ""speed"": ""1440 rpm"", ""brand"": ""Cg Make"", ""part"": ""piece"", ""power"": ""10 hp"", ""additional power"": ""3 HP""}"
motor protection cover,True,1,"{attribute: ""motor protection cover""}","{""attribute"": ""motor protection cover""}",{}
Dwe4235 Armature,True,1,"{armature: ""Dwe4235""}<end_of","{""armature"": ""Dwe4235""}","{""armature"": ""Dwe4235""}"
AM Gold Motor Starter,True,1,"{key-value attributes: ""AM Gold Motor Starter""}","{""key-value attributes"": ""AM Gold Motor Starter""}","{""key-value attributes"": ""AM Gold Motor Starter""}"
R. S. Series Geared Motors,True,2,"{   ""Series"": ""R. S. Series"",   ""Power Source"": ""Geared Motors"" }<turn|><","{""Series"": ""R. S. Series"", ""Power Source"": ""Geared Motors""}","{""series"": ""R. S. Series"", ""power source"": ""Geared Motors""}"
