query,gold_key,gold_value,qmeans_value,v6_value,qmeans_match,v6_match
1kw( 1.3hp) bldc motor near jharsuguda,power,1kw,1kw( 1.3hp),,FALSE,FALSE
1kw( 1.3hp) bldc motor near jharsuguda,horsepower,1.3hp,,,FALSE,FALSE
1kw( 1.3hp) bldc motor near jharsuguda,location/city,jharsuguda,,,FALSE,FALSE
spg motor,brand,spg,,spg,FALSE,TRUE
spg motor,part type,motor,motor,motor,TRUE,TRUE
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,brand,Crompton Greaves,crompton,crompton greaves,FALSE,TRUE
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,part type,motor,,motor,FALSE,TRUE
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,horsepower,5 hp,5 hp,5 hp,TRUE,TRUE
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,power,3.70 kw,3.70 kw,3.70 kw,TRUE,TRUE
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,phase,3,3 phase,,FALSE,FALSE
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,rpm,1450 rpm,,1450,FALSE,FALSE
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,mounting type,foot mount,foot,foot mount,FALSE,TRUE
Vacuum Cleaner Motors,part type,motor,motors,motor,FALSE,TRUE
Vacuum Cleaner Motors,usage,vacuum cleaner,vacuum cleaner,vacuum cleaner,TRUE,TRUE
Siemens Electric Three Phase Motor,brand,Siemens,siemens,,TRUE,FALSE
Siemens Electric Three Phase Motor,part type,motor,,,FALSE,FALSE
Siemens Electric Three Phase Motor,power source,electric,electric,,TRUE,FALSE
Siemens Electric Three Phase Motor,phase,3,three phase,,FALSE,FALSE
panasonic gear box MY9G30B,brand,panasonic,panasonic,panasonic,TRUE,TRUE
panasonic gear box MY9G30B,part type,gear box,,gear box,FALSE,TRUE
panasonic gear box MY9G30B,model name/number,MY9G30B,my9g30b,MY9G30B,TRUE,TRUE
Three Phase Dol Starter (elcw-s-digi),part type,starter,,,FALSE,FALSE
Three Phase Dol Starter (elcw-s-digi),phase,3,three phase,,FALSE,FALSE
Three Phase Dol Starter (elcw-s-digi),starter type,dol,dol,,TRUE,FALSE
Three Phase Dol Starter (elcw-s-digi),model name/number,elcw-s-digi,(elcw-s-digi),,FALSE,FALSE
Motor Plate,part type,motor plate,,Plate,FALSE,FALSE
three phase dol dry run motor starter,part type,motor starter,,motor starter,FALSE,TRUE
three phase dol dry run motor starter,phase,3,three phase,three phase,FALSE,FALSE
three phase dol dry run motor starter,starter type,dol,dol,dol,TRUE,TRUE
three phase dol dry run motor starter,feature,dry run,,dry run,FALSE,TRUE
Single Phase Electric Motor,part type,motor,,motor,FALSE,TRUE
Single Phase Electric Motor,phase,single,,Single Phase,FALSE,FALSE
Single Phase Electric Motor,power source,electric,electric,Electric,TRUE,TRUE
auto switch,part type,auto switch,,auto switch,FALSE,TRUE
Mdt Knx Actuator Automation Products Dealer,brand,Mdt,mdt,Mdt,TRUE,TRUE
Mdt Knx Actuator Automation Products Dealer,part type,actuator,,actuator,FALSE,TRUE
Mdt Knx Actuator Automation Products Dealer,feature,Knx automation products,,Knx,FALSE,FALSE
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),part type,auto switch,,Auto Switch,FALSE,TRUE
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),phase,3,three phase,Three Phase,FALSE,FALSE
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),starter type,DOL,dol,DOL,TRUE,TRUE
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),feature,with timer with connector rocker switch,,With Timer; With Connector; Rocker Switch,FALSE,FALSE
Hydraulic Motor,part type,motor,,motor,FALSE,TRUE
Hydraulic Motor,driven type,hydraulic,,hydraulic,FALSE,TRUE
sliding door motor,part type,motor,,motor,FALSE,TRUE
sliding door motor,usage,sliding door,door,sliding door,FALSE,TRUE
solenoid-switches,part type,solenoid switches,,,FALSE,FALSE
symphony air cooler motor,brand,symphony,symphony,symphony,TRUE,TRUE
symphony air cooler motor,part type,motor,motor,motor,TRUE,TRUE
symphony air cooler motor,usage,air cooler,cooler,air cooler,FALSE,TRUE
PBL Geared Motors,brand,PBL,pbl,PBL,TRUE,TRUE
PBL Geared Motors,part type,motor,,geared motors,FALSE,FALSE
PBL Geared Motors,driven type,geared,,,FALSE,FALSE
super max oil immersed dol motor starter,brand,super max,super max,,TRUE,FALSE
super max oil immersed dol motor starter,part type,motor starter,,,FALSE,FALSE
super max oil immersed dol motor starter,starter type,dol,dol,,TRUE,FALSE
super max oil immersed dol motor starter,feature,oil immersed,,,FALSE,FALSE
Sunflag Table Fan Motor,brand,Sunflag,sunflag,Sunflag,TRUE,TRUE
Sunflag Table Fan Motor,part type,motor,,fan motor,FALSE,FALSE
Sunflag Table Fan Motor,usage,table fan,table fan,Table,TRUE,FALSE
Industrial Motors,part type,motor,,motor,FALSE,TRUE
Industrial Motors,application,industrial,,,FALSE,FALSE
crompton 3 phase motor 7.5 hp i3,brand,crompton,crompton,crompton,TRUE,TRUE
crompton 3 phase motor 7.5 hp i3,part type,motor,,motor,FALSE,TRUE
crompton 3 phase motor 7.5 hp i3,phase,3,,,FALSE,FALSE
crompton 3 phase motor 7.5 hp i3,horsepower,7.5 hp,,7.5 hp,FALSE,TRUE
crompton 3 phase motor 7.5 hp i3,efficiency,i3,,,FALSE,FALSE
linear actuator control board,part type,control board,,actuator control board,FALSE,FALSE
linear actuator control board,feature,linear actuator,,,FALSE,FALSE
panasonic gar box,brand,panasonic,panasonic,panasonic,TRUE,TRUE
panasonic gar box,part type,gear box,,gar box,FALSE,FALSE
à¤¡à¥à¤°à¥‹à¤¨ à¤¡à¥€à¤¸à¥€ à¤®à¥‹à¤Ÿà¤°,part type,motor,,motor,FALSE,TRUE
à¤¡à¥à¤°à¥‹à¤¨ à¤¡à¥€à¤¸à¥€ à¤®à¥‹à¤Ÿà¤°,power source,DC,,,FALSE,FALSE
à¤¡à¥à¤°à¥‹à¤¨ à¤¡à¥€à¤¸à¥€ à¤®à¥‹à¤Ÿà¤°,usage,drone,,,FALSE,FALSE
single phase servo motor,part type,motor,,servo motor,FALSE,FALSE
single phase servo motor,phase,single,single phase,single phase,FALSE,FALSE
single phase servo motor,driven type,servo,,,FALSE,FALSE
single phase mild steel geared motor,part type,motor,,,FALSE,FALSE
single phase mild steel geared motor,phase,single,single phase,,FALSE,FALSE
single phase mild steel geared motor,material,mild steel,mild steel,,TRUE,FALSE
single phase mild steel geared motor,driven type,geared,,,FALSE,FALSE
Gold Power Single Phase Induction Motor,brand,Gold Power,gold power,,TRUE,FALSE
Gold Power Single Phase Induction Motor,part type,motor,,,FALSE,FALSE
Gold Power Single Phase Induction Motor,phase,single,,,FALSE,FALSE
Gold Power Single Phase Induction Motor,driven type,induction,,,FALSE,FALSE
Siemens 3TW72911AW78,brand,Siemens,siemens,,TRUE,FALSE
Siemens 3TW72911AW78,model name/number,3TW72911AW78,3tw72911aw78,,TRUE,FALSE
Siemens 3TW72911AW74,brand,Siemens,siemens,,TRUE,FALSE
Siemens 3TW72911AW74,model name/number,3TW72911AW74,3tw72911aw74,,TRUE,FALSE
Siemens 3TW72911AW72,brand,Siemens,siemens,,TRUE,FALSE
Siemens 3TW72911AW72,model name/number,3TW72911AW72,3tw72911aw72,,TRUE,FALSE
Siemens 3TW72911AW71,brand,Siemens,siemens,,TRUE,FALSE
Siemens 3TW72911AW71,model name/number,3TW72911AW71,3tw72911aw71,,TRUE,FALSE
Vertical Hollow Shaft Motor Service,part type,motor,,motor,FALSE,TRUE
Vertical Hollow Shaft Motor Service,orientation,vertical,vertical,Vertical,TRUE,TRUE
Vertical Hollow Shaft Motor Service,feature,hollow shaft service,,Hollow Shaft,FALSE,FALSE
Siemens 3TW72911AW69,brand,Siemens,siemens,,TRUE,FALSE
Siemens 3TW72911AW69,model name/number,3TW72911AW69,3tw72911aw69,,TRUE,FALSE
Siemens 3TW72911AW68,brand,Siemens,siemens,,TRUE,FALSE
Siemens 3TW72911AW68,model name/number,3TW72911AW68,3tw72911aw68,,TRUE,FALSE
Siemens 3TW72911AW66,brand,Siemens,siemens,,TRUE,FALSE
Siemens 3TW72911AW66,model name/number,3TW72911AW66,3tw72911aw66,,TRUE,FALSE
Siemens 3TW72911AW64,brand,Siemens,siemens,,TRUE,FALSE
Siemens 3TW72911AW64,model name/number,3TW72911AW64,3tw72911aw64,,TRUE,FALSE
100 HP to 2000 HP  Slip Ring Motor Starter,part type,motor starter,,motor starter,FALSE,TRUE
100 HP to 2000 HP  Slip Ring Motor Starter,horsepower,100 HP to 2000 HP,,,FALSE,FALSE
100 HP to 2000 HP  Slip Ring Motor Starter,driven type,slip ring,,,FALSE,FALSE
Crompton Single Phase Electric Motor,brand,Crompton,crompton,,TRUE,FALSE
Crompton Single Phase Electric Motor,part type,motor,,,FALSE,FALSE
Crompton Single Phase Electric Motor,phase,single,,,FALSE,FALSE
Crompton Single Phase Electric Motor,power source,electric,,,FALSE,FALSE
6 for business use piece electronic Valve Positioners,part type,valve positioner,,Valve Positioners,FALSE,FALSE
6 for business use piece electronic Valve Positioners,quantity,6,,6,FALSE,TRUE
6 for business use piece electronic Valve Positioners,feature,electronic,,,FALSE,FALSE
drondch motor,part type,motor,motor,motor,TRUE,TRUE
STP-43D2035 Stepper Motor,part type,motor,,motor,FALSE,TRUE
STP-43D2035 Stepper Motor,driven type,stepper,,stepper,FALSE,TRUE
STP-43D2035 Stepper Motor,model name/number,STP-43D2035,stp-43d2035,STP-43D2035,TRUE,TRUE
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,brand,SIEMENS,siemens,SIEMENS,TRUE,TRUE
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,part type,motor,,servo motor,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,series,SIMOTICS S-1FK2,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,driven type,servo,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,model name/number,1FK2104-6AF01-1MB0,1fk2104-6af01-1mb0,SIMOTICS S-1FK2 1FK2104-6AF01-1MB0,TRUE,FALSE
Crompton 0.5hp Motor,brand,Crompton,crompton,Crompton,TRUE,TRUE
Crompton 0.5hp Motor,part type,motor,motor,Motor,TRUE,TRUE
Crompton 0.5hp Motor,horsepower,0.5hp,,0.5hp,FALSE,TRUE
Jencode Hollow Shaft Encoder,brand,Jencode,,,FALSE,FALSE
Jencode Hollow Shaft Encoder,part type,encoder,,,FALSE,FALSE
Jencode Hollow Shaft Encoder,shaft diameter,hollow shaft,,,FALSE,FALSE
AC MOTARS,part type,motor,,motor,FALSE,TRUE
AC MOTARS,power source,AC,ac,,TRUE,FALSE
Hadrulicl Power motar,part type,motor,,motor,FALSE,TRUE
Hadrulicl Power motar,driven type,hydraulic,,hydraulic,FALSE,TRUE
Hadrulicl Power motar,feature,power,,,FALSE,FALSE
RC Car Brushless ESC Platinum Edition 120A,part type,ESC,,ESC,FALSE,TRUE
RC Car Brushless ESC Platinum Edition 120A,driven type,brushless,,,FALSE,FALSE
RC Car Brushless ESC Platinum Edition 120A,usage,RC car,,,FALSE,FALSE
RC Car Brushless ESC Platinum Edition 120A,current,120A,,120A,FALSE,TRUE
RC Car Brushless ESC Platinum Edition 120A,grade,Platinum Edition,,,FALSE,FALSE
RPG15Q Motor,part type,motor,motor,Motor,TRUE,TRUE
RPG15Q Motor,model name/number,RPG15Q,rpg15q,RPG15Q,TRUE,TRUE
Honeywell V4055 Fuild Power Actuator,brand,Honeywell,honeywell,Honeywell,TRUE,TRUE
Honeywell V4055 Fuild Power Actuator,part type,actuator,,actuator,FALSE,TRUE
Honeywell V4055 Fuild Power Actuator,model name/number,V4055,v4055,V4055,TRUE,TRUE
Honeywell V4055 Fuild Power Actuator,feature,fluid power,,,FALSE,FALSE
servo motor .,part type,motor,,servo motor,FALSE,FALSE
servo motor .,driven type,servo,,,FALSE,FALSE
L & T SOFT STARTOR,brand,L & T,l & t,L & T,TRUE,TRUE
L & T SOFT STARTOR,part type,starter,,soft startor,FALSE,FALSE
L & T SOFT STARTOR,starter type,soft,,,FALSE,FALSE
775 dc motor,part type,motor,,motor,FALSE,TRUE
775 dc motor,power source,DC,,,FALSE,FALSE
775 dc motor,model name/number,775,775,775,TRUE,TRUE
Brake Motors,part type,motor,,Brake Motors,FALSE,FALSE
Brake Motors,feature,brake,,,FALSE,FALSE
1FK2104-6AF01-1MB0,model name/number,1FK2104-6AF01-1MB0,,1FK2104-6AF01-1MB0,FALSE,TRUE
Electric Motor,part type,motor,,motor,FALSE,TRUE
Electric Motor,power source,electric,electric,electric,TRUE,TRUE
3 phase 415 V 0.09KW Motor,part type,motor,,Motor,FALSE,TRUE
3 phase 415 V 0.09KW Motor,phase,3,,3 phase,FALSE,FALSE
3 phase 415 V 0.09KW Motor,voltage,415 V,415 v,415 V,TRUE,TRUE
3 phase 415 V 0.09KW Motor,power,0.09KW,0.09kw,0.09KW,TRUE,TRUE
crompton motors crompton motor 5 hp single phase near patna,brand,crompton,crompton,crompton,TRUE,TRUE
crompton motors crompton motor 5 hp single phase near patna,part type,motor,,motor,FALSE,TRUE
crompton motors crompton motor 5 hp single phase near patna,horsepower,5 hp,,5 hp,FALSE,TRUE
crompton motors crompton motor 5 hp single phase near patna,phase,single,single phase,single phase,FALSE,FALSE
crompton motors crompton motor 5 hp single phase near patna,location/city,patna,,patna,FALSE,TRUE
12v 775 Dc Motor,part type,motor,,,FALSE,FALSE
12v 775 Dc Motor,power source,DC,,,FALSE,FALSE
12v 775 Dc Motor,voltage,12v,12v,,TRUE,FALSE
12v 775 Dc Motor,model name/number,775,,,FALSE,FALSE
Linear Actuator,part type,actuator,,actuator,FALSE,TRUE
Linear Actuator,driven type,linear,,,FALSE,FALSE
"Gold Power Single Phase Induction Motor, Voltage: 220V",brand,Gold Power,gold power,Gold Power,TRUE,TRUE
"Gold Power Single Phase Induction Motor, Voltage: 220V",part type,motor,,motor,FALSE,TRUE
"Gold Power Single Phase Induction Motor, Voltage: 220V",phase,single,,single phase,FALSE,FALSE
"Gold Power Single Phase Induction Motor, Voltage: 220V",driven type,induction,,induction,FALSE,TRUE
"Gold Power Single Phase Induction Motor, Voltage: 220V",voltage,220V,220v,220V,TRUE,TRUE
dc motors,part type,motor,,motor,FALSE,TRUE
dc motors,power source,DC,,,FALSE,FALSE
dol starter,part type,starter,,starter,FALSE,TRUE
dol starter,starter type,dol,dol,dol,TRUE,TRUE
Wages Patti,part type,wages patti,,wages,FALSE,FALSE
Lift Motor,part type,motor,motor,motor,TRUE,TRUE
Lift Motor,usage,lift,lift,Lift,TRUE,TRUE
0.25HP Single Phase Electric Motor,part type,motor,,motor,FALSE,TRUE
0.25HP Single Phase Electric Motor,horsepower,0.25HP,,,FALSE,FALSE
0.25HP Single Phase Electric Motor,phase,single,,Single Phase,FALSE,FALSE
0.25HP Single Phase Electric Motor,power source,electric,,Electric,FALSE,TRUE
12v dc dual shaft motor,part type,motor,,motor,FALSE,TRUE
12v dc dual shaft motor,power source,DC,,,FALSE,FALSE
12v dc dual shaft motor,voltage,12v,12v dc,12v dc,FALSE,FALSE
12v dc dual shaft motor,feature,dual shaft,,,FALSE,FALSE
single phase submersible pump starter,part type,pump starter,,starter,FALSE,FALSE
single phase submersible pump starter,phase,single,single phase,single phase,FALSE,FALSE
single phase submersible pump starter,feature,submersible,,,FALSE,FALSE
Bharat Bijlee Ie3 Motor,brand,Bharat Bijlee,bharat bijlee,,TRUE,FALSE
Bharat Bijlee Ie3 Motor,part type,motor,,,FALSE,FALSE
Bharat Bijlee Ie3 Motor,efficiency,Ie3,ie3,,TRUE,FALSE
Crompton Single Phase Vibrator,brand,Crompton,,Crompton,FALSE,TRUE
Crompton Single Phase Vibrator,part type,vibrator,,vibrator,FALSE,TRUE
Crompton Single Phase Vibrator,phase,single,single phase,single phase,FALSE,FALSE
Telescopic Brushes,part type,brushes,,brushes,FALSE,TRUE
Telescopic Brushes,feature,telescopic,,,FALSE,FALSE
Carbon Brush,part type,carbon brush,,brush,FALSE,FALSE
electric gate motor,part type,motor,,gate motor,FALSE,FALSE
electric gate motor,usage,gate,gate,,TRUE,FALSE
electric gate motor,power source,electric,electric,electric,TRUE,TRUE
"101-200 KW 1 HP Bharat Bijlee Ac Motor, 1500 rpm",brand,Bharat Bijlee,bharat bijlee,Bharat Bijlee,TRUE,TRUE
"101-200 KW 1 HP Bharat Bijlee Ac Motor, 1500 rpm",part type,motor,,motor,FALSE,TRUE
"101-200 KW 1 HP Bharat Bijlee Ac Motor, 1500 rpm",power source,AC,,,FALSE,FALSE
"101-200 KW 1 HP Bharat Bijlee Ac Motor, 1500 rpm",power,101-200 KW,101-200 kw,101-200 KW,TRUE,TRUE
"101-200 KW 1 HP Bharat Bijlee Ac Motor, 1500 rpm",horsepower,1 HP,1 hp,1 HP,TRUE,TRUE
"101-200 KW 1 HP Bharat Bijlee Ac Motor, 1500 rpm",rpm,1500 rpm,,1500,FALSE,FALSE
Auto Switch for 3 Phase Motor,part type,auto switch,,Auto Switch,FALSE,TRUE
Auto Switch for 3 Phase Motor,usage,3 phase motor,motor,,FALSE,FALSE
Auto Switch for 3 Phase Motor,phase,3,3 phase,3 Phase,FALSE,FALSE
crompton motors crompton motor 5 hp single phase,brand,crompton,crompton,crompton,TRUE,TRUE
crompton motors crompton motor 5 hp single phase,part type,motor,,motor,FALSE,TRUE
crompton motors crompton motor 5 hp single phase,horsepower,5 hp,,5 hp,FALSE,TRUE
crompton motors crompton motor 5 hp single phase,phase,single,,single phase,FALSE,FALSE
Motors,part type,motor,,motor,FALSE,TRUE
electrical motor,part type,motor,motor,motor,TRUE,TRUE
electrical motor,power source,electric,electrical,electrical,FALSE,FALSE
"0.37 KW 0.5 HP Bharat Bijlee Electric Motor, 1500 rpm",brand,Bharat Bijlee,bharat bijlee,Bharat Bijlee,TRUE,TRUE
"0.37 KW 0.5 HP Bharat Bijlee Electric Motor, 1500 rpm",part type,motor,,motor,FALSE,TRUE
"0.37 KW 0.5 HP Bharat Bijlee Electric Motor, 1500 rpm",power source,electric,electric,,TRUE,FALSE
"0.37 KW 0.5 HP Bharat Bijlee Electric Motor, 1500 rpm",power,0.37 KW,0.37 kw,0.37 KW,TRUE,TRUE
"0.37 KW 0.5 HP Bharat Bijlee Electric Motor, 1500 rpm",horsepower,0.5 HP,0.5 hp,0.5 HP,TRUE,TRUE
"0.37 KW 0.5 HP Bharat Bijlee Electric Motor, 1500 rpm",rpm,1500 rpm,,1500,FALSE,FALSE
Three Phase Bharat Bijlee Motor,brand,Bharat Bijlee,bharat bijlee,Bharat Bijlee,TRUE,TRUE
Three Phase Bharat Bijlee Motor,part type,motor,motor,motor,TRUE,TRUE
Three Phase Bharat Bijlee Motor,phase,3,three phase,Three Phase,FALSE,FALSE
peco pk1 3 phase dol motor starter,brand,peco,peco,,TRUE,FALSE
peco pk1 3 phase dol motor starter,part type,motor starter,,,FALSE,FALSE
peco pk1 3 phase dol motor starter,model name/number,pk1,,,FALSE,FALSE
peco pk1 3 phase dol motor starter,phase,3,3 phase,,FALSE,FALSE
peco pk1 3 phase dol motor starter,starter type,dol,dol,,TRUE,FALSE
Dol Motor Starter Dmc,part type,motor starter,,motor starter,FALSE,TRUE
Dol Motor Starter Dmc,starter type,dol,dol,,TRUE,FALSE
Dol Motor Starter Dmc,model name/number,Dmc,,Dmc,FALSE,TRUE
tower-fan-motor,part type,motor,,,FALSE,FALSE
tower-fan-motor,usage,tower fan,,,FALSE,FALSE
"11 KW 15 HP Crompton Greaves Electric Motor, 1000 rpm",brand,Crompton Greaves,crompton,Crompton Greaves,FALSE,TRUE
"11 KW 15 HP Crompton Greaves Electric Motor, 1000 rpm",part type,motor,,motor,FALSE,TRUE
"11 KW 15 HP Crompton Greaves Electric Motor, 1000 rpm",power source,electric,electric,,TRUE,FALSE
"11 KW 15 HP Crompton Greaves Electric Motor, 1000 rpm",power,11 KW,11 kw,11 KW,TRUE,TRUE
"11 KW 15 HP Crompton Greaves Electric Motor, 1000 rpm",horsepower,15 HP,15 hp,15 HP,TRUE,TRUE
"11 KW 15 HP Crompton Greaves Electric Motor, 1000 rpm",rpm,1000 rpm,,1000,FALSE,FALSE
"3 Phase Induction Motor, 3600 rpm, 4 Pole",part type,motor,,,FALSE,FALSE
"3 Phase Induction Motor, 3600 rpm, 4 Pole",phase,3,,,FALSE,FALSE
"3 Phase Induction Motor, 3600 rpm, 4 Pole",driven type,induction,,,FALSE,FALSE
"3 Phase Induction Motor, 3600 rpm, 4 Pole",rpm,3600 rpm,,,FALSE,FALSE
"3 Phase Induction Motor, 3600 rpm, 4 Pole",poles,4,,,FALSE,FALSE
Siemens Electric Motor,brand,Siemens,siemens,Siemens,TRUE,TRUE
Siemens Electric Motor,part type,motor,,motor,FALSE,TRUE
Siemens Electric Motor,power source,electric,electric,electric,TRUE,TRUE
"3.7 KW 5 HP Crompton Greaves AC motor, 1500 rpm",brand,Crompton Greaves,crompton,Crompton Greaves,FALSE,TRUE
