query,ok,key_count,raw_output,attributes_json,norm_attributes_json
venex 3 phase dol motor starter,True,3,"{""motor"": ""dol motor starter"", ""phase"": ""3 phase"", ""brand"": ""venex""} </","{""motor"": ""dol motor starter"", ""phase"": ""3 phase"", ""brand"": ""venex""}","{""part type"": ""dol motor starter"", ""phase"": ""3 phase"", ""brand"": ""venex""}"
Used Crompton Greaves Motor,True,3,"{""condition"": ""Used"", ""brand"": ""Crompton Greaves"", ""power source"": ""Motor""}","{""condition"": ""Used"", ""brand"": ""Crompton Greaves"", ""power source"": ""Motor""}","{""condition"": ""Used"", ""brand"": ""Crompton Greaves"", ""power source"": ""Motor""}"
Mobile Starter Prime,True,2,"{""starter"": ""Prime"", ""mobility"": ""Mobile Starter""} </start","{""starter"": ""Prime"", ""mobility"": ""Mobile Starter""}","{""starter"": ""Prime"", ""mobility"": ""Mobile Starter""}"
1kw( 1.3hp) bldc motor,True,2,"{""motor_type"": ""bldc motor"", ""power"": ""1kw( 1.3hp)""} </start","{""motor_type"": ""bldc motor"", ""power"": ""1kw( 1.3hp)""}","{""motor_type"": ""bldc motor"", ""power"": ""1kw( 1.3hp)""}"
1kw( 1.3hp) bldc motor near jharsuguda,True,3,"{""motor_type"": ""bldc motor"", ""power"": ""1kw( 1.3hp)"", ""location"": ""near jharsuguda""} </","{""motor_type"": ""bldc motor"", ""power"": ""1kw( 1.3hp)"", ""location"": ""near jharsuguda""}","{""motor_type"": ""bldc motor"", ""power"": ""1kw( 1.3hp)"", ""location/city"": ""near jharsuguda""}"
spg motor,True,1,"{""motor"": ""spg motor""}","{""motor"": ""spg motor""}","{""part type"": ""spg motor""}"
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,True,7,"{""motor"": ""motor"", ""horsepower"": ""5 hp"", ""rpm"": ""1450"", ""phase"": ""3 phase"", ""brand"": ""crompton greaves"", ""mount"": ""foot mount"", ""power_consumption"": ""3.70 kw""} </start","{""motor"": ""motor"", ""horsepower"": ""5 hp"", ""rpm"": ""1450"", ""phase"": ""3 phase"", ""brand"": ""crompton greaves"", ""mount"": ""foot mount"", ""power_consumption"": ""3.70 kw""}","{""part type"": ""motor"", ""horsepower"": ""5 hp"", ""rpm"": ""1450"", ""phase"": ""3 phase"", ""brand"": ""crompton greaves"", ""mount"": ""foot mount"", ""power_consumption"": ""3.70 kw""}"
Vacuum Cleaner Motors,True,2,"{""type"": ""Vacuum Cleaner"", ""power source"": ""Motors""} </","{""type"": ""Vacuum Cleaner"", ""power source"": ""Motors""}","{""type"": ""Vacuum Cleaner"", ""power source"": ""Motors""}"
Siemens Electric Three Phase Motor,True,1,"{""motor_type"": ""Siemens Electric Three Phase Motor""} </start","{""motor_type"": ""Siemens Electric Three Phase Motor""}","{""motor_type"": ""Siemens Electric Three Phase Motor""}"
panasonic gear box MY9G30B,True,3,"{""brand"": ""panasonic"", ""model_number"": ""MY9G30B"", ""type"": ""gear box""}","{""brand"": ""panasonic"", ""model_number"": ""MY9G30B"", ""type"": ""gear box""}","{""brand"": ""panasonic"", ""model name/number"": ""MY9G30B"", ""type"": ""gear box""}"
Three Phase Dol Starter (elcw-s-digi),True,2,"{""phase"": ""Three Phase"", ""model_number"": ""Dol Starter (elcw-s-digi)""} </start","{""phase"": ""Three Phase"", ""model_number"": ""Dol Starter (elcw-s-digi)""}","{""phase"": ""Three Phase"", ""model name/number"": ""Dol Starter (elcw-s-digi)""}"
Motor Plate,True,2,"{""part"": ""Plate"", ""power_source"": ""Motor""} </","{""part"": ""Plate"", ""power_source"": ""Motor""}","{""part"": ""Plate"", ""power source"": ""Motor""}"
three phase dol dry run motor starter,True,2,"{""power_source"": ""three phase"", ""motor_starter"": ""dol dry run motor""}","{""power_source"": ""three phase"", ""motor_starter"": ""dol dry run motor""}","{""power source"": ""three phase"", ""motor_starter"": ""dol dry run motor""}"
Single Phase Electric Motor,True,1,"{""power_source"": ""Single Phase Electric Motor""}","{""power_source"": ""Single Phase Electric Motor""}","{""power source"": ""Single Phase Electric Motor""}"
auto switch,True,1,"{""attribute"": ""auto switch""}","{""attribute"": ""auto switch""}",{}
Mdt Knx Actuator Automation Products Dealer,True,2,"{""product_type"": ""Dealer"", ""attributes"": ""Mdt Knx Actuator Automation Products""} </start","{""product_type"": ""Dealer"", ""attributes"": ""Mdt Knx Actuator Automation Products""}","{""product_type"": ""Dealer""}"
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),True,2,"{""power_source"": ""Three Phase DOL"", ""switch_type"": ""Auto Switch With Timer With Connector (Rocker Switch)""}","{""power_source"": ""Three Phase DOL"", ""switch_type"": ""Auto Switch With Timer With Connector (Rocker Switch)""}","{""power source"": ""Three Phase DOL"", ""switch_type"": ""Auto Switch With Timer With Connector (Rocker Switch)""}"
Hydraulic Motor,True,1,"{""power_source"": ""Hydraulic Motor""} <","{""power_source"": ""Hydraulic Motor""}","{""power source"": ""Hydraulic Motor""}"
sliding door motor,True,2,"{""door type"": ""sliding door"", ""power source"": ""motor""}","{""door type"": ""sliding door"", ""power source"": ""motor""}","{""door type"": ""sliding door"", ""power source"": ""motor""}"
solenoid-switches,True,1,"{""type_of_switch"": ""solenoid-switches""}","{""type_of_switch"": ""solenoid-switches""}","{""type_of_switch"": ""solenoid-switches""}"
symphony air cooler motor,True,3,"{""product_type"": ""air cooler"", ""brand"": ""symphony"", ""power_source"": ""motor""} </start","{""product_type"": ""air cooler"", ""brand"": ""symphony"", ""power_source"": ""motor""}","{""product_type"": ""air cooler"", ""brand"": ""symphony"", ""power source"": ""motor""}"
PBL Geared Motors,True,2,"{""product_code"": ""PBL"", ""power_source"": ""Geared Motors""}","{""product_code"": ""PBL"", ""power_source"": ""Geared Motors""}","{""model name/number"": ""PBL"", ""power source"": ""Geared Motors""}"
super max oil immersed dol motor starter,True,2,"{""motor"": ""dol motor starter"", ""oil immersed"", ""attribute"": ""super max""}","{""motor"": ""dol motor starter"", ""attribute"": ""super max""}","{""part type"": ""dol motor starter""}"
Sunflag Table Fan Motor,True,3,"{""product_type"": ""Table Fan"", ""brand"": ""Sunflag"", ""power_source"": ""Motor""}","{""product_type"": ""Table Fan"", ""brand"": ""Sunflag"", ""power_source"": ""Motor""}","{""product_type"": ""Table Fan"", ""brand"": ""Sunflag"", ""power source"": ""Motor""}"
Industrial Motors,True,1,"{""power_source"": ""Industrial Motors""} <end","{""power_source"": ""Industrial Motors""}","{""power source"": ""Industrial Motors""}"
crompton 3 phase motor 7.5 hp i3,True,4,"{""phase"": ""3 phase motor"", ""brand"": ""crompton"", ""attribute"": ""i3"", ""horsepower"": ""7.5 hp""}","{""phase"": ""3 phase motor"", ""brand"": ""crompton"", ""attribute"": ""i3"", ""horsepower"": ""7.5 hp""}","{""phase"": ""3 phase motor"", ""brand"": ""crompton"", ""horsepower"": ""7.5 hp""}"
linear actuator control board,True,1,"{""control board"": ""linear actuator control board""} </","{""control board"": ""linear actuator control board""}","{""part type"": ""linear actuator control board""}"
panasonic gar box,True,2,"{""brand"": ""panasonic"", ""packaging"": ""gar box""} <","{""brand"": ""panasonic"", ""packaging"": ""gar box""}","{""brand"": ""panasonic"", ""packaging"": ""gar box""}"
ड्रोन डीसी मोटर,True,2,"{""motor_type"": ""डीसी मोटर"", ""type"": ""ड्रोन""}","{""motor_type"": ""डीसी मोटर"", ""type"": ""ड्रोन""}","{""motor_type"": ""डीसी मोटर"", ""type"": ""ड्रोन""}"
single phase servo motor,True,2,"{""power_source"": ""single phase"", ""motor_type"": ""servo motor""} </","{""power_source"": ""single phase"", ""motor_type"": ""servo motor""}","{""power source"": ""single phase"", ""motor_type"": ""servo motor""}"
single phase mild steel geared motor,True,3,"{""motor_type"": ""geared motor"", ""material"": ""mild steel"", ""power_supply"": ""single phase""} </","{""motor_type"": ""geared motor"", ""material"": ""mild steel"", ""power_supply"": ""single phase""}","{""motor_type"": ""geared motor"", ""material"": ""mild steel"", ""power_supply"": ""single phase""}"
Gold Power Single Phase Induction Motor,True,3,"{""motor_type"": ""Single Phase Induction Motor"", ""value"": ""Gold"", ""power"": ""Power""}","{""motor_type"": ""Single Phase Induction Motor"", ""value"": ""Gold"", ""power"": ""Power""}","{""motor_type"": ""Single Phase Induction Motor"", ""value"": ""Gold"", ""power"": ""Power""}"
Siemens 3TW72911AW78,True,2,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW78""}","{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW78""}","{""brand"": ""Siemens"", ""model name/number"": ""3TW72911AW78""}"
Siemens 3TW72911AW74,True,2,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW74""}","{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW74""}","{""brand"": ""Siemens"", ""model name/number"": ""3TW72911AW74""}"
Siemens 3TW72911AW72,True,2,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW72""}","{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW72""}","{""brand"": ""Siemens"", ""model name/number"": ""3TW72911AW72""}"
Siemens 3TW72911AW71,True,2,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW71""}","{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW71""}","{""brand"": ""Siemens"", ""model name/number"": ""3TW72911AW71""}"
Vertical Hollow Shaft Motor Service,True,3,"{""shaft"": ""Hollow Shaft"", ""motor"": ""Motor Service"", ""orientation"": ""Vertical""} </start","{""shaft"": ""Hollow Shaft"", ""motor"": ""Motor Service"", ""orientation"": ""Vertical""}","{""shaft"": ""Hollow Shaft"", ""part type"": ""Motor Service"", ""orientation"": ""Vertical""}"
Siemens 3TW72911AW69,True,2,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW69""}","{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW69""}","{""brand"": ""Siemens"", ""model name/number"": ""3TW72911AW69""}"
Siemens 3TW72911AW68,True,2,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW68""}","{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW68""}","{""brand"": ""Siemens"", ""model name/number"": ""3TW72911AW68""}"
Siemens 3TW72911AW66,True,2,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW66""}","{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW66""}","{""brand"": ""Siemens"", ""model name/number"": ""3TW72911AW66""}"
Siemens 3TW72911AW64,True,2,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW64""}","{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW64""}","{""brand"": ""Siemens"", ""model name/number"": ""3TW72911AW64""}"
100 HP to 2000 HP  Slip Ring Motor Starter,True,2,"{""motor_type"": ""Slip Ring Motor Starter"", ""power_output"": ""100 HP to 2000 HP""} </start","{""motor_type"": ""Slip Ring Motor Starter"", ""power_output"": ""100 HP to 2000 HP""}","{""motor_type"": ""Slip Ring Motor Starter"", ""power_output"": ""100 HP to 2000 HP""}"
Crompton Single Phase Electric Motor,True,2,"{""motor_type"": ""Single Phase Electric Motor"", ""brand"": ""Crompton""}","{""motor_type"": ""Single Phase Electric Motor"", ""brand"": ""Crompton""}","{""motor_type"": ""Single Phase Electric Motor"", ""brand"": ""Crompton""}"
6 for business use piece electronic Valve Positioners,True,2,"{""attribute"": ""6 for business use piece"", ""type"": ""electronic Valve Positioners""}","{""attribute"": ""6 for business use piece"", ""type"": ""electronic Valve Positioners""}","{""type"": ""electronic Valve Positioners""}"
drondch motor,True,1,"{""motor"": ""drondch motor""} </start","{""motor"": ""drondch motor""}","{""part type"": ""drondch motor""}"
STP-43D2035 Stepper Motor,True,2,"{""motor_type"": ""Stepper Motor"", ""model_number"": ""STP-43D2035""} </","{""motor_type"": ""Stepper Motor"", ""model_number"": ""STP-43D2035""}","{""motor_type"": ""Stepper Motor"", ""model name/number"": ""STP-43D2035""}"
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,True,3,"{""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"", ""attribute"": ""SIEMENS""}","{""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"", ""attribute"": ""SIEMENS""}","{""motor_type"": ""SERVO MOTOR"", ""model name/number"": ""SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0""}"
Crompton 0.5hp Motor,True,2,"{""power"": ""0.5hp Motor"", ""brand"": ""Crompton""} </","{""power"": ""0.5hp Motor"", ""brand"": ""Crompton""}","{""power"": ""0.5hp Motor"", ""brand"": ""Crompton""}"
Jencode Hollow Shaft Encoder,True,2,"{""Shaft Type"": ""Hollow Shaft Encoder"", ""Code"": ""Jencode""} </","{""Shaft Type"": ""Hollow Shaft Encoder"", ""Code"": ""Jencode""}","{""Shaft Type"": ""Hollow Shaft Encoder"", ""Code"": ""Jencode""}"
AC MOTARS,True,1,"{""power_source"": ""AC MOTARS""} <","{""power_source"": ""AC MOTARS""}","{""power source"": ""AC MOTARS""}"
Hadrulicl Power motar,True,1,"{""power source"": ""Hadrulicl Power motar""} </start","{""power source"": ""Hadrulicl Power motar""}","{""power source"": ""Hadrulicl Power motar""}"
RC Car Brushless ESC Platinum Edition 120A,True,3,"{""Edition"": ""Platinum Edition"", ""Model"": ""RC Car Brushless ESC"", ""Current"": ""120A""} <","{""Edition"": ""Platinum Edition"", ""Model"": ""RC Car Brushless ESC"", ""Current"": ""120A""}","{""Edition"": ""Platinum Edition"", ""model name/number"": ""RC Car Brushless ESC"", ""current"": ""120A""}"
RPG15Q Motor,True,2,"{""model_number"": ""RPG15Q"", ""power_source"": ""Motor""}","{""model_number"": ""RPG15Q"", ""power_source"": ""Motor""}","{""model name/number"": ""RPG15Q"", ""power source"": ""Motor""}"
Honeywell V4055 Fuild Power Actuator,True,3,"{""power_source"": ""Fuild Power Actuator"", ""model_number"": ""V4055"", ""brand"": ""Honeywell""}","{""power_source"": ""Fuild Power Actuator"", ""model_number"": ""V4055"", ""brand"": ""Honeywell""}","{""power source"": ""Fuild Power Actuator"", ""model name/number"": ""V4055"", ""brand"": ""Honeywell""}"
servo motor .,True,1,"{""power_source"": ""servo motor .""} </","{""power_source"": ""servo motor .""}","{""power source"": ""servo motor .""}"
L & T SOFT STARTOR,True,1,"{""attribute"": ""L & T SOFT STARTOR""}","{""attribute"": ""L & T SOFT STARTOR""}",{}
775 dc motor,True,2,"{""motor"": ""dc motor"", ""value"": ""775""}","{""motor"": ""dc motor"", ""value"": ""775""}","{""part type"": ""dc motor"", ""value"": ""775""}"
Brake Motors,True,1,"{""key_attributes"": ""Brake Motors""} </","{""key_attributes"": ""Brake Motors""}",{}
1FK2104-6AF01-1MB0,True,1,"{""attribute"": ""1FK2104-6AF01-1MB0""}","{""attribute"": ""1FK2104-6AF01-1MB0""}",{}
Electric Motor,True,1,"{""power_source"": ""Electric Motor""} <end","{""power_source"": ""Electric Motor""}","{""power source"": ""Electric Motor""}"
3 phase 415 V 0.09KW Motor,True,3,"{""power"": ""0.09KW"", ""voltage"": ""3 phase 415 V"", ""component"": ""Motor""}","{""power"": ""0.09KW"", ""voltage"": ""3 phase 415 V"", ""component"": ""Motor""}","{""power"": ""0.09KW"", ""voltage"": ""3 phase 415 V"", ""component"": ""Motor""}"
crompton motors crompton motor 5 hp single phase near patna,True,5,"{""motor"": ""crompton motor"", ""power"": ""5 hp"", ""phase"": ""single phase"", ""location"": ""near patna"", ""brand"": ""crompton""} </start","{""motor"": ""crompton motor"", ""power"": ""5 hp"", ""phase"": ""single phase"", ""location"": ""near patna"", ""brand"": ""crompton""}","{""part type"": ""crompton motor"", ""power"": ""5 hp"", ""phase"": ""single phase"", ""location/city"": ""near patna"", ""brand"": ""crompton""}"
12v 775 Dc Motor,True,3,"{""motor_type"": ""Dc Motor"", ""voltage"": ""12v"", ""speed"": ""775""} </start","{""motor_type"": ""Dc Motor"", ""voltage"": ""12v"", ""speed"": ""775""}","{""motor_type"": ""Dc Motor"", ""voltage"": ""12v"", ""speed"": ""775""}"
Linear Actuator,True,1,"{""actuator_type"": ""Linear Actuator""}","{""actuator_type"": ""Linear Actuator""}","{""actuator_type"": ""Linear Actuator""}"
"Gold Power Single Phase Induction Motor, Voltage: 220V",True,3,"{""motor_type"": ""Single Phase Induction Motor, Voltage: 220V"", ""value"": ""Gold"", ""power"": ""Power""}","{""motor_type"": ""Single Phase Induction Motor, Voltage: 220V"", ""value"": ""Gold"", ""power"": ""Power""}","{""motor_type"": ""Single Phase Induction Motor, Voltage: 220V"", ""value"": ""Gold"", ""power"": ""Power""}"
dc motors,True,1,"{""power_source"": ""dc motors""} <end","{""power_source"": ""dc motors""}","{""power source"": ""dc motors""}"
dol starter,False,0,"{""dol starter""}",{},{}
Wages Patti,True,2,"{""designation"": ""Patti"", ""compensation"": ""Wages""}","{""designation"": ""Patti"", ""compensation"": ""Wages""}","{""designation"": ""Patti"", ""compensation"": ""Wages""}"
Lift Motor,True,1,"{""feature"": ""Lift Motor""}","{""feature"": ""Lift Motor""}","{""feature"": ""Lift Motor""}"
0.25HP Single Phase Electric Motor,True,3,"{""power"": ""0.25HP"", ""motor"": ""Electric Motor"", ""phase"": ""Single Phase""}","{""power"": ""0.25HP"", ""motor"": ""Electric Motor"", ""phase"": ""Single Phase""}","{""power"": ""0.25HP"", ""part type"": ""Electric Motor"", ""phase"": ""Single Phase""}"
12v dc dual shaft motor,True,2,"{""power_source"": ""12v dc"", ""drive"": ""dual shaft motor""}","{""power_source"": ""12v dc"", ""drive"": ""dual shaft motor""}","{""power source"": ""12v dc"", ""drive"": ""dual shaft motor""}"
single phase submersible pump starter,True,3,"{""pump type"": ""submersible pump"", ""power"": ""single phase"", ""feature"": ""starter""} </","{""pump type"": ""submersible pump"", ""power"": ""single phase"", ""feature"": ""starter""}","{""pump type"": ""submersible pump"", ""power"": ""single phase"", ""feature"": ""starter""}"
Bharat Bijlee Ie3 Motor,True,2,"{""motor"": ""Ie3 Motor"", ""query"": ""Bharat Bijlee""} </start","{""motor"": ""Ie3 Motor"", ""query"": ""Bharat Bijlee""}","{""part type"": ""Ie3 Motor""}"
Crompton Single Phase Vibrator,True,2,"{""attribute"": ""Single Phase Vibrator"", ""brand"": ""Crompton""} </start","{""attribute"": ""Single Phase Vibrator"", ""brand"": ""Crompton""}","{""brand"": ""Crompton""}"
Telescopic Brushes,True,2,"{""brushes"": ""Telescopic"", ""type"": ""Brushes""}","{""brushes"": ""Telescopic"", ""type"": ""Brushes""}","{""brushes"": ""Telescopic"", ""type"": ""Brushes""}"
Carbon Brush,False,0,,{},{}
electric gate motor,True,1,"{""power_source"": ""electric gate motor""} </","{""power_source"": ""electric gate motor""}","{""power source"": ""electric gate motor""}"
"101-200 KW 1 HP Bharat Bijlee Ac Motor, 1500 rpm",True,4,"{""power_consumption"": ""101-200 KW"", ""motor_type"": ""Ac Motor, 1500 rpm"", ""brand"": ""Bharat Bijlee"", ""horsepower"": ""1 HP""} </","{""power_consumption"": ""101-200 KW"", ""motor_type"": ""Ac Motor, 1500 rpm"", ""brand"": ""Bharat Bijlee"", ""horsepower"": ""1 HP""}","{""power_consumption"": ""101-200 KW"", ""motor_type"": ""Ac Motor, 1500 rpm"", ""brand"": ""Bharat Bijlee"", ""horsepower"": ""1 HP""}"
Auto Switch for 3 Phase Motor,True,1,"{""function"": ""Auto Switch for 3 Phase Motor""}","{""function"": ""Auto Switch for 3 Phase Motor""}","{""function"": ""Auto Switch for 3 Phase Motor""}"
crompton motors crompton motor 5 hp single phase,True,4,"{""motor"": ""crompton motor"", ""power"": ""5 hp"", ""phase"": ""single phase"", ""brand"": ""crompton""} </start","{""motor"": ""crompton motor"", ""power"": ""5 hp"", ""phase"": ""single phase"", ""brand"": ""crompton""}","{""part type"": ""crompton motor"", ""power"": ""5 hp"", ""phase"": ""single phase"", ""brand"": ""crompton""}"
Motors,True,1,"{""power_source"": ""Motors""}","{""power_source"": ""Motors""}","{""power source"": ""Motors""}"
electrical motor,True,1,"{""power_source"": ""electrical motor""} </start","{""power_source"": ""electrical motor""}","{""power source"": ""electrical motor""}"
"0.37 KW 0.5 HP Bharat Bijlee Electric Motor, 1500 rpm",True,4,"{""power_consumption"": ""0.37 KW"", ""motor_type"": ""Electric Motor, 1500 rpm"", ""brand"": ""Bharat Bijlee"", ""hp"": ""0.5 HP""} </start","{""power_consumption"": ""0.37 KW"", ""motor_type"": ""Electric Motor, 1500 rpm"", ""brand"": ""Bharat Bijlee"", ""hp"": ""0.5 HP""}","{""power_consumption"": ""0.37 KW"", ""motor_type"": ""Electric Motor, 1500 rpm"", ""brand"": ""Bharat Bijlee"", ""horsepower"": ""0.5 HP""}"
Three Phase Bharat Bijlee Motor,True,1,"{""power_source"": ""Three Phase Bharat Bijlee Motor""} </start","{""power_source"": ""Three Phase Bharat Bijlee Motor""}","{""power source"": ""Three Phase Bharat Bijlee Motor""}"
peco pk1 3 phase dol motor starter,True,4,"{""motor"": ""dol motor starter"", ""phase"": ""3 phase"", ""product_code"": ""pk1"", ""material"": ""peco""}","{""motor"": ""dol motor starter"", ""phase"": ""3 phase"", ""product_code"": ""pk1"", ""material"": ""peco""}","{""part type"": ""dol motor starter"", ""phase"": ""3 phase"", ""model name/number"": ""pk1"", ""material"": ""peco""}"
Dol Motor Starter Dmc,True,2,"{""motor_starter"": ""Dol Motor Starter"", ""Dmc"": ""Dmc""} </","{""motor_starter"": ""Dol Motor Starter"", ""Dmc"": ""Dmc""}","{""motor_starter"": ""Dol Motor Starter"", ""Dmc"": ""Dmc""}"
tower-fan-motor,True,1,"{""fan-type"": ""tower-fan-motor""}","{""fan-type"": ""tower-fan-motor""}","{""fan-type"": ""tower-fan-motor""}"
