Query,Key Match Count,Value Match Count,Gemma Unique Keys,QMeans Unique Keys,Gemma Unique Values,QMeans Unique Values,Key Match %,Value Match %,Gemma: Value - Keys,QMeans: Value - Keys,Matched Keys,Matched Values,Gemma Only Keys,QMeans Only Keys
1 for business use piece 22 kw Allen Bradley 150-C43NBD SMC-3 Soft Starter 43A 480V 3-Phase 100-240V AC Control,0,0,0,6,0,6,N/A,N/A,,150-c43nbd - model name/number |||| 22 kw - power |||| 3-phase - phase |||| 480v - voltage |||| allen bradley - brand |||| soft starter - starter type,,,,brand | model name/number | phase | power | starter type | voltage
1 for business use piece ABB Soft Starters,3,1,15,3,4,3,20.0%,25.0%,Business Use - usage_application | application | usage | suitable_for |||| ABB - brand | company | manufacturer | make |||| 1 - number_of_poles | no_of_poles | poles |||| Soft Starters - type | product_type | device_type | starter_type,abb - brand |||| business - usage |||| soft - starter type,brand | starter type | usage,abb,application | company | device type | make | manufacturer | no of poles | number of poles | poles | product type | suitable for | type | usage application,
1 for reselling piece Panasonic Geared Motor,1,1,11,1,3,1,9.1%,33.3%,1 - number_of_poles | no_of_poles | poles |||| For Reselling - usage_application | application | usage | suitable_for |||| Panasonic - brand | company | manufacturer | make,panasonic - brand,brand,panasonic,application | company | make | manufacturer | no of poles | number of poles | poles | suitable for | usage | usage application,
1 hp bench polisher motor,0,1,8,2,2,2,0.0%,50.0%,1 HP - horsepower | horse_power | hp | motor_horsepower |||| Bench Polisher - type | motor_type | product_type | device_type,1 hp - motor power |||| bench polisher motor - product,,1 hp,device type | horse power | horsepower | hp | motor horsepower | motor type | product type | type,motor power | product
1 hp motor,0,1,4,2,1,2,0.0%,100.0%,1 HP - horsepower | horse_power | hp | motor_horsepower,1 hp - power |||| motor - part type,,1 hp,horse power | horsepower | hp | motor horsepower,part type | power
1 phase electric motor,1,1,4,2,1,2,25.0%,100.0%,1 Phase - phase | number_of_phase | input_phase | phase_type,1 phase - phase |||| electric - power source,phase,1 phase,input phase | number of phase | phase type,power source
1 piece 750 watt 3000 rpm AC Servo Motor,1,3,12,4,4,4,8.3%,75.0%,AC - power_source | power_supply | power_type |||| 3000 RPM - number_of_poles | no_of_poles | poles |||| 1 piece - number_of_phase | phase | number_of_phase | input_phase |||| 750 Watt - power | wattage | motor_power,3000 rpm - speed |||| 750 watt - power |||| ac - motor type |||| servo motor - product,power,3000 rpm | 750 watt | ac,input phase | motor power | no of poles | number of phase | number of poles | phase | poles | power source | power supply | power type | wattage,motor type | product | speed
1 piece ABB Soft Starters,1,2,7,3,2,3,14.3%,100.0%,ABB - brand | company | manufacturer | make |||| 1 Piece - number_of_poles | no_of_poles | poles,1 piece - quantity per pack |||| abb - brand |||| soft - starter type,brand,1 piece | abb,company | make | manufacturer | no of poles | number of poles | poles,quantity per pack | starter type
1 piece Allen Bradley Soft Starters,1,2,7,3,2,3,14.3%,100.0%,Allen Bradley - brand | company | manufacturer | make |||| 1 Piece - number_of_poles | no_of_poles | poles,1 piece - quantity per pack |||| allen bradley - brand |||| soft - starter type,brand,1 piece | allen bradley,company | make | manufacturer | no of poles | number of poles | poles,quantity per pack | starter type
1 piece Slip Rings,0,1,6,2,2,2,0.0%,50.0%,1 Piece - number_of_poles | no_of_poles | poles |||| Slip Rings - type | motor_type | product_type,1 piece - set contains |||| slip - motor part type,,1 piece,motor type | no of poles | number of poles | poles | product type | type,motor part type | set contains
1.5 KW Halcyon Three Phase Induction Motor,1,3,9,4,3,4,11.1%,100.0%,Three Phase - power_source | power_supply | power_type |||| 1.5 KW - power | wattage | motor_power |||| Halcyon - brand | company | manufacturer,1.5 kw - rated power |||| halcyon - brand |||| induction motor - motor type |||| three phase - no of phase,brand,1.5 kw | halcyon | three phase,company | manufacturer | motor power | power | power source | power supply | power type | wattage,motor type | no of phase | rated power
1.5 kw crompton single phase motor,2,3,10,3,3,3,20.0%,100.0%,Single Phase - power_source | power_supply | power_type |||| 1.5 KW - power | wattage | motor_power |||| Crompton - brand | company | manufacturer | make,1.5 kw - power |||| crompton - brand |||| single phase - phase,brand | power,1.5 kw | crompton | single phase,company | make | manufacturer | motor power | power source | power supply | power type | wattage,phase
10 HP Transtech Gear Electric Motor,1,2,8,4,2,4,12.5%,100.0%,10 HP - horsepower | horse_power | hp | motor_horsepower |||| Transtech - brand | company | manufacturer | make,10 hp - power |||| electric - power source |||| gear - motor type |||| transtech - brand,brand,10 hp | transtech,company | horse power | horsepower | hp | make | manufacturer | motor horsepower,motor type | power | power source
10 hp crompton motor,1,2,8,3,2,3,12.5%,100.0%,10 HP - horsepower | horse_power | hp | motor_horsepower |||| Crompton - brand | company | manufacturer | make,10 hp - power |||| crompton - brand |||| motor - part type,brand,10 hp | crompton,company | horse power | horsepower | hp | make | manufacturer | motor horsepower,part type | power
100 HP Slip Ring Motor Starter,0,1,7,3,2,3,0.0%,50.0%,100 HP - horsepower | horse_power | hp | motor_horsepower |||| Slip Ring Motor Starter - power_source | power_supply | power_type,100 hp - power |||| motor starter - usage |||| slip ring - starter type,,100 hp,horse power | horsepower | hp | motor horsepower | power source | power supply | power type,power | starter type | usage
100 HP to 2000 HP  Slip Ring Motor Starter,1,1,7,3,1,3,14.3%,100.0%,100 HP to 2000 HP - horsepower | horse_power | hp | motor_horsepower |||| 100 HP to 2000 HP - power | wattage | power_rating,100 hp to 2000 hp - power |||| motor starter - usage |||| slip ring - starter type,power,100 hp to 2000 hp,horse power | horsepower | hp | motor horsepower | power rating | wattage,starter type | usage
100 W Chimney Motor,2,2,8,2,2,2,25.0%,100.0%,100 W - power_source | power_supply | power_type | power |||| Chimney - usage_application | application | usage | suitable_for,100 w - power |||| chimney - usage,power | usage,100 w | chimney,application | power source | power supply | power type | suitable for | usage application,
100 mm linear motor,0,1,6,1,1,1,0.0%,100.0%,100 mm - size | dimension | frame_size | number_of_poles | no_of_poles | poles,100 mm - diameter,,100 mm,dimension | frame size | no of poles | number of poles | poles | size,diameter
1000 RPM Electric Sliding Gate Motor,3,3,11,3,3,3,27.3%,100.0%,1000 RPM - speed | power_source | usage_application |||| 1000 RPM - rpm | power_supply | application |||| 1000 RPM - motor_speed | power_type | usage |||| 1000 RPM - rated_speed | suitable_for,1000 rpm - speed |||| electric - power source |||| sliding gate - usage,power source | speed | usage,1000 rpm | electric | sliding gate,application | motor speed | power supply | power type | rated speed | rpm | suitable for | usage application,
1000 n (100 kg) 1 100 mm 24 v telescopic linear actuators,1,2,13,2,4,2,7.7%,50.0%,1000 N (100 Kg) - capacity | load_capacity | weight_capacity | lifting_capacity |||| 1 - number_of_poles | no_of_poles | poles |||| 100 mm - diameter | shaft_diameter | inner_diameter |||| 24 V - voltage | operating_voltage | supply_voltage,100 mm - stroke length |||| 24 v - voltage,voltage,100 mm | 24 v,capacity | diameter | inner diameter | lifting capacity | load capacity | no of poles | number of poles | operating voltage | poles | shaft diameter | supply voltage | weight capacity,stroke length
105 W Alqer 16 Inch Super Cooler Motor,3,3,13,4,4,4,23.1%,75.0%,105 W - power_source | power_supply | power_type |||| 16 Inch - size | dimension | frame_size |||| Alqer - brand | company | manufacturer | make |||| Super Cooler - usage_application | application | usage,105 w - power |||| 16 inch - size |||| alqer - brand |||| cooler motor - usage,brand | size | usage,105 w | 16 inch | alqer,application | company | dimension | frame size | make | manufacturer | power source | power supply | power type | usage application,power
105 Wat Single Phase Cooler Motor,1,2,6,3,2,3,16.7%,100.0%,Single Phase - power_source | power_supply | power_type |||| 105 Wat - wattage | power | motor_power,105 wat - power |||| cooler motor - usage |||| single phase - phase,power,105 wat | single phase,motor power | power source | power supply | power type | wattage,phase | usage
10hp motor,0,1,4,2,1,2,0.0%,100.0%,10HP - horsepower | horse_power | hp | motor_horsepower,10hp - power |||| motor - part type,,10hp,horse power | horsepower | hp | motor horsepower,part type | power
10m3flow rate 30 mtr headpumpwith motor,1,1,8,2,2,2,12.5%,50.0%,10m3flow rate - capacity | load_capacity | weight_capacity | lifting_capacity |||| 30 mtr - head | lift | lifting_height | pressure,10m3flow - model name/number |||| 30 mtr - head,head,30 mtr,capacity | lift | lifting capacity | lifting height | load capacity | pressure | weight capacity,model name/number
10w deep freezer motor,1,2,7,3,2,3,14.3%,100.0%,10W - power_source | power_supply | power_type |||| Deep Freezer - usage_application | application | usage | suitable_for,10w - power |||| deep freezer - usage |||| motor - spare type,usage,10w | deep freezer,application | power source | power supply | power type | suitable for | usage application,power | spare type
110HS20 Two Phase Stepper Motor,1,2,8,3,2,3,12.5%,100.0%,Two Phase - phase | phase_type | number_of_phase | input_phase |||| 110HS20 - model_number | model_name | model | model_no,110hs20 - model name/number |||| stepper motor - motor type |||| two phase - phase,phase,110hs20 | two phase,input phase | model | model name | model no | model number | number of phase | phase type,model name/number | motor type
11KW Kirloskar Electric Motor,2,2,10,3,3,3,20.0%,66.7%,Electric - power_source | power_supply | power_type |||| Kirloskar - brand | company | manufacturer | make |||| 11KW - power | wattage | motor_power,11kw - power |||| electric motor - product |||| kirloskar - brand,brand | power,11kw | kirloskar,company | make | manufacturer | motor power | power source | power supply | power type | wattage,product
12 Inch 3000W Scooter Brushless DC Wheel Hub Motor Controller,1,3,14,4,4,4,7.1%,75.0%,3000W - power_source | power_supply | power_type |||| 12 Inch - diameter | shaft_diameter | inner_diameter |||| Scooter - usage_application | application | usage | suitable_for |||| Brushless DC - brand | company | manufacturer | make,12 inch - wheel size |||| 3000w - power |||| dc - motor type |||| scooter - usage,usage,12 inch | 3000w | scooter,application | brand | company | diameter | inner diameter | make | manufacturer | power source | power supply | power type | shaft diameter | suitable for | usage application,motor type | power | wheel size
12v 775 Dc Motor,1,1,8,2,2,2,12.5%,50.0%,12V - voltage | operating_voltage | supply_voltage | rated_voltage |||| 775 - speed | rpm | motor_speed | rated_speed,12v - voltage |||| dc - motor type,voltage,12v,motor speed | operating voltage | rated speed | rated voltage | rpm | speed | supply voltage,motor type
12v bldc,2,2,8,2,2,2,25.0%,100.0%,12V - voltage | operating_voltage | supply_voltage | rated_voltage |||| BLDC - type | motor_type | product_type | device_type,12v - voltage |||| bldc - motor type,motor type | voltage,12v | bldc,device type | operating voltage | product type | rated voltage | supply voltage | type,
12v dc dual shaft motor,1,1,7,1,2,1,14.3%,50.0%,12V DC - voltage | operating_voltage | supply_voltage | rated_voltage |||| Dual Shaft - number_of_shaft | no_of_shaft | shaft_number,12v dc - voltage,voltage,12v dc,no of shaft | number of shaft | operating voltage | rated voltage | shaft number | supply voltage,
12v dc motor,1,0,5,2,1,2,20.0%,0.0%,12V DC - voltage | operating_voltage | supply_voltage | rated_voltage | power_source,12v - voltage |||| dc - motor type,voltage,,operating voltage | power source | rated voltage | supply voltage,motor type
130 Flat Motor,1,1,8,1,2,1,12.5%,50.0%,130 - model_number | model_name | model | model_no |||| Flat Motor - type | motor_type | product_type | device_type,130 - model number,model number,130,device type | model | model name | model no | motor type | product type | type,
1400 rpm 230 v apex cool 410w single phase exhaust fan motor,0,0,0,5,0,5,N/A,N/A,,1400 rpm - speed |||| 230 v - voltage |||| 410w - power |||| exhaust fan - usage |||| single phase - phase,,,,phase | power | speed | usage | voltage
1400 rpm apex cool 410w single phase exhaust fan motor,2,3,14,4,4,4,14.3%,75.0%,1400 RPM - speed | rpm | motor_speed | rated_speed |||| Single Phase - power_source | power_supply | power_type |||| 410W - power_rating | wattage | power |||| Apex Cool - brand | company | manufacturer | make,1400 rpm - speed |||| 410w - power |||| exhaust fan - usage |||| single phase - phase,power | speed,1400 rpm | 410w | single phase,brand | company | make | manufacturer | motor speed | power rating | power source | power supply | power type | rated speed | rpm | wattage,phase | usage
1400 rpm single phase 230 v 230v apex cool 410w single phase exhaust fan motor,0,0,0,6,0,6,N/A,N/A,,1400 rpm - speed |||| 230 v 230v - voltage |||| 410w - power |||| apex - brand |||| exhaust fan - usage |||| single phase - phase,,,,brand | phase | power | speed | usage | voltage
1400 rpm single phase 230 v flange mounted 230v apex cool 410w exhaust fan motor,0,0,0,6,0,6,N/A,N/A,,1400 rpm - speed |||| 230 v - voltage |||| 410w - power |||| exhaust fan - usage |||| flange - mounting type |||| single phase - phase,,,,mounting type | phase | power | speed | usage | voltage
1440 rpm three phase 9841043643 3 hp crompton greaves motor,0,0,0,5,0,5,N/A,N/A,,1440 rpm - speed |||| 3 hp - power |||| 9841043643 - model name/number |||| crompton - brand |||| three phase - phase,,,,brand | model name/number | phase | power | speed
1450 Rpm 1 Hp Motor Cg Make,2,3,11,3,3,3,18.2%,100.0%,1450 Rpm - speed | rpm | motor_speed | rated_speed |||| 1 Hp - power_source | power_supply | power_type |||| Cg - brand | company | manufacturer | make,1 hp - power |||| 1450 rpm - speed |||| cg - brand,brand | speed,1 hp | 1450 rpm | cg,company | make | manufacturer | motor speed | power source | power supply | power type | rated speed | rpm,power
15 hp motor,0,1,4,2,1,2,0.0%,100.0%,15 HP - horsepower | horse_power | hp | motor_horsepower,15 hp - power |||| motor - part type,,15 hp,horse power | horsepower | hp | motor horsepower,part type | power
1500 cfm FAN MOTOR,0,1,8,2,2,2,0.0%,50.0%,1500 CFM - capacity | load_capacity | weight_capacity | lifting_capacity |||| FAN MOTOR - power_source | power_supply | power_type | power_requirement,1500 cfm - power |||| fan - usage,,1500 cfm,capacity | lifting capacity | load capacity | power requirement | power source | power supply | power type | weight capacity,power | usage
1500 kv ccw multirotor motor,0,2,9,2,3,2,0.0%,66.7%,CCW - power_source | power_supply | power_type |||| 1500 KV - voltage | operating_voltage | supply_voltage |||| Multirotor - number_of_poles | no_of_poles | poles,1500 kv - power |||| multirotor - motor type,,1500 kv | multirotor,no of poles | number of poles | operating voltage | poles | power source | power supply | power type | supply voltage | voltage,motor type | power
150HP 960 RPM ELECTRIC MOTOR,1,2,8,2,2,2,12.5%,100.0%,150HP - horsepower | horse_power | hp | motor_horsepower |||| 960 RPM - speed | rpm | motor_speed | rated_speed,150hp - power |||| 960 rpm - speed,speed,150hp | 960 rpm,horse power | horsepower | hp | motor horsepower | motor speed | rated speed | rpm,power
150c43nbd smc3 soft starter,0,2,11,3,3,3,0.0%,66.7%,SMC3 - brand | company | manufacturer | make |||| 150C43NBD - model_number | model_name | model | model_no |||| 150C - ambient_temperature | operating_temperature | temperature_range,150c43nbd - model name/number |||| smc3 - series |||| soft starter - starter type,,150c43nbd | smc3,ambient temperature | brand | company | make | manufacturer | model | model name | model no | model number | operating temperature | temperature range,model name/number | series | starter type
170M7167-6500A,0,0,4,0,1,0,0.0%,0.0%,170M7167-6500A - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
18 inch g c exhaust fan motor housing,1,1,8,3,2,3,12.5%,50.0%,18 inch - size | dimension | frame_size | casing_size |||| G C - material | body_material | material_type | casing_material,18 inch - size |||| exhaust fan - usage |||| motor housing - motor part type,size,18 inch,body material | casing material | casing size | dimension | frame size | material | material type,motor part type | usage
180 Watt Electro Magnetic Brake Motor,0,2,6,2,2,2,0.0%,100.0%,Electro Magnetic Brake - power_source | power_supply | power_type |||| 180 Watt - power_rating | wattage | motor_power,180 watt - power |||| electro magnetic brake - motor type,,180 watt | electro magnetic brake,motor power | power rating | power source | power supply | power type | wattage,motor type | power
1FK2104-6AF01-1MB0,0,0,4,0,1,0,0.0%,0.0%,1FK2104-6AF01-1MB0 - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
1FK2104-6AF01-1SB0,0,0,4,0,1,0,0.0%,0.0%,1FK2104-6AF01-1SB0 - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
1FK2104-6AF10-0MB0,0,0,4,0,1,0,0.0%,0.0%,1FK2104-6AF10-0MB0 - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
1FK2104-6AF10-0SB0,0,0,4,0,1,0,0.0%,0.0%,1FK2104-6AF10-0SB0 - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
1FK2104-6AF10-1MB0,0,0,4,0,1,0,0.0%,0.0%,1FK2104-6AF10-1MB0 - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
1FK2104-6AF11-0MB0,0,0,4,0,1,0,0.0%,0.0%,1FK2104-6AF11-0MB0 - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
1HP Single Phase Godrej Lawkim Foot Mounted,3,2,16,4,4,4,18.8%,50.0%,1HP - horsepower | horse_power | hp | motor_horsepower |||| Godrej Lawkim - brand | company | manufacturer | make |||| Single Phase - phase | phase_type | number_of_phase | input_phase |||| Foot Mounted - mounting_type | mounting | mounting_style | mounting_method,1hp - motor horsepower |||| godrej - brand |||| lawkim - model name/number |||| single phase - phase,brand | motor horsepower | phase,1hp | single phase,company | horse power | horsepower | hp | input phase | make | manufacturer | mounting | mounting method | mounting style | mounting type | number of phase | phase type,model name/number
1hp single phase ac motor,0,2,8,2,2,2,0.0%,100.0%,1HP - horsepower | horse_power | hp | motor_horsepower |||| Single Phase - phase | phase_type | number_of_phase | input_phase,1hp - power |||| single phase - no of phase,,1hp | single phase,horse power | horsepower | hp | input phase | motor horsepower | number of phase | phase | phase type,no of phase | power
1hp three phase ac vibration motor,1,1,9,3,3,3,11.1%,33.3%,Three Phase AC - power_source | power_supply | power_type |||| 1HP - power | wattage | motor_power |||| Vibration Motor - usage_application | application | usage,1hp - power |||| ac vibration motor - motor type |||| three phase - phase,power,1hp,application | motor power | power source | power supply | power type | usage | usage application | wattage,motor type | phase
1kw( 1.3hp) bldc motor,1,2,8,2,2,2,12.5%,100.0%,1KW( 1.3HP) - power_source | power_supply | power_type | power |||| BLDC - model_number | model_name | model | model_no,1kw( 1.3hp) - power |||| bldc - motor type,power,1kw( 1.3hp) | bldc,model | model name | model no | model number | power source | power supply | power type,motor type
1kw( 1.3hp) bldc motor near jharsuguda,1,1,10,2,3,2,10.0%,33.3%,Electric - power_source | power_supply | power_type |||| 1KW( 1.3HP) - power | wattage | motor_power |||| Near Jharsuguda - location | usage_application | application | suitable_for,1kw( 1.3hp) - power |||| bldc - motor type,power,1kw( 1.3hp),application | location | motor power | power source | power supply | power type | suitable for | usage application | wattage,motor type
1le7501‑1bb23‑5aa4,0,0,4,0,1,0,0.0%,0.0%,1LE7501-1BB23-5AA4 - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
2 200 w chimney motor,1,2,10,2,3,2,10.0%,66.7%,2 - power_source | power_supply | power_type |||| 200 W - power_rating | wattage | motor_power |||| Chimney - usage_application | application | usage | suitable_for,200 w - power |||| chimney - usage,usage,200 w | chimney,application | motor power | power rating | power source | power supply | power type | suitable for | usage application | wattage,power
2 HP single phase,1,2,7,2,2,2,14.3%,100.0%,2 HP - horsepower | horse_power | hp | motor_horsepower |||| Single Phase - phase | phase_type | number_of_phase,2 hp - power |||| single phase - phase,phase,2 hp | single phase,horse power | horsepower | hp | motor horsepower | number of phase | phase type,power
2 advanced features 2 10 hp mobile starter,1,1,15,1,4,1,6.7%,25.0%,Mobile Starter - power_source | power_supply | power_type |||| 2 - number_of_poles | no_of_poles | poles |||| 10 HP - power | wattage | motor_power |||| 2 - number_of_phase | phase | number_of_phase | input_phase |||| Advanced Features - features | feature | product_features,10 hp - power,power,10 hp,feature | features | input phase | motor power | no of poles | number of phase | number of poles | phase | poles | power source | power supply | power type | product features | wattage,
2 hp flange motor,1,2,8,2,2,2,12.5%,100.0%,2 HP - horsepower | horse_power | hp | motor_horsepower |||| Flange - mounting_type | mounting | mounting_style | mounting_method,2 hp - power |||| flange - mounting type,mounting type,2 hp | flange,horse power | horsepower | hp | motor horsepower | mounting | mounting method | mounting style,power
2 hp gear motor,0,1,4,2,1,2,0.0%,100.0%,2 HP - horsepower | horse_power | hp | motor_horsepower,2 hp - power |||| gear motor - motor type,,2 hp,horse power | horsepower | hp | motor horsepower,motor type | power
2 hp three phase induction motor,0,2,8,3,2,3,0.0%,100.0%,2 HP - horsepower | horse_power | hp | motor_horsepower |||| Three Phase - phase | phase_type | number_of_phase | input_phase,2 hp - rated power |||| induction motor - motor type |||| three phase - no of phase,,2 hp | three phase,horse power | horsepower | hp | input phase | motor horsepower | number of phase | phase | phase type,motor type | no of phase | rated power
2 hp three phase motor,1,2,6,2,2,2,16.7%,100.0%,Three Phase - power_source | power_supply | power_type |||| 2 HP - power | wattage | motor_power,2 hp - power |||| three phase - no of phase,power,2 hp | three phase,motor power | power source | power supply | power type | wattage,no of phase
20 HP Three Phase Electric Motor,0,2,8,3,2,3,0.0%,100.0%,20 HP - horsepower | horse_power | hp | motor_horsepower |||| Three Phase - phase | phase_type | number_of_phase | input_phase,20 hp - power |||| electric motor - product |||| three phase - no of phase,,20 hp | three phase,horse power | horsepower | hp | input phase | motor horsepower | number of phase | phase | phase type,no of phase | power | product
20 hp motor,0,1,4,2,1,2,0.0%,100.0%,20 HP - horsepower | horse_power | hp | motor_horsepower,20 hp - power |||| motor - part type,,20 hp,horse power | horsepower | hp | motor horsepower,part type | power
200HP Abb Induction Motor,1,2,8,3,2,3,12.5%,100.0%,200HP - horsepower | horse_power | hp | motor_horsepower |||| ABB - brand | company | manufacturer | make,200hp - rated power |||| abb - brand |||| induction motor - motor type,brand,200hp | abb,company | horse power | horsepower | hp | make | manufacturer | motor horsepower,motor type | rated power
200KW Flange Induction Motor,1,2,8,3,2,3,12.5%,100.0%,200KW - power | wattage | motor_power | power_rating |||| Flange - mounting_type | mounting | mounting_style | mounting_method,200kw - rated power |||| flange - mounting type |||| induction motor - motor type,mounting type,200kw | flange,motor power | mounting | mounting method | mounting style | power | power rating | wattage,motor type | rated power
20W ALUMINUM HOUSING,2,1,8,2,2,2,25.0%,50.0%,20W - power | wattage | motor_power | power_rating |||| ALUMINUM HOUSING - material | body_material | material_type | casing_material,20w - wattage |||| aluminum - body material,body material | wattage,20w,casing material | material | material type | motor power | power | power rating,
20hp Abb Induction Motor,1,2,8,3,2,3,12.5%,100.0%,20HP - horsepower | horse_power | hp | motor_horsepower |||| ABB - brand | company | manufacturer | make,20hp - rated power |||| abb - brand |||| induction motor - motor type,brand,20hp | abb,company | horse power | horsepower | hp | make | manufacturer | motor horsepower,motor type | rated power
20w fan dc motor,1,2,7,3,2,3,14.3%,100.0%,DC - power_source | power_supply | power_type |||| 20W - power | wattage | motor_power | power_rating,20w - power |||| dc - motor type |||| fan - usage,power,20w | dc,motor power | power rating | power source | power supply | power type | wattage,motor type | usage
220  v 1 dual shaft BLOWER FAN MOTOR,2,2,10,4,3,4,20.0%,66.7%,220 V - voltage | operating_voltage | supply_voltage | rated_voltage |||| 1 - number_of_poles | no_of_poles | poles |||| Dual Shaft - shaft_type | shaft | inner_shaft,220 v - voltage |||| blower fan - usage |||| dual shaft - shaft type |||| motor - part type,shaft type | voltage,220 v | dual shaft,inner shaft | no of poles | number of poles | operating voltage | poles | rated voltage | shaft | supply voltage,part type | usage
220 v dual shaft BLOWER FAN MOTOR,1,2,11,4,3,4,9.1%,66.7%,220 V - voltage | operating_voltage | supply_voltage | rated_voltage |||| Dual Shaft - number_of_poles | no_of_poles | poles |||| BLOWER FAN MOTOR - type | motor_type | product_type | device_type,220 v - voltage |||| blower fan - usage |||| dual shaft - shaft type |||| motor - part type,voltage,220 v | dual shaft,device type | motor type | no of poles | number of poles | operating voltage | poles | product type | rated voltage | supply voltage | type,part type | shaft type | usage
220hp 960 rpm ELECTRIC MOTOR,1,2,12,2,3,2,8.3%,66.7%,220HP - horsepower | horse_power | hp | motor_horsepower |||| 960 RPM - speed | rpm | motor_speed | rated_speed |||| ELECTRIC MOTOR - power_source | power_supply | power_type | power_rating,220hp - power |||| 960 rpm - speed,speed,220hp | 960 rpm,horse power | horsepower | hp | motor horsepower | motor speed | power rating | power source | power supply | power type | rated speed | rpm,power
2283752193 motor6v 20a,1,2,12,2,3,2,8.3%,66.7%,6V - voltage | operating_voltage | supply_voltage | rated_voltage |||| 20A - current | current_rating | rated_current | input_current |||| 2283752193 - model_number | model_name | model | model_no,2283752193 - model name/number |||| 20a - current,current,20a | 2283752193,current rating | input current | model | model name | model no | model number | operating voltage | rated current | rated voltage | supply voltage | voltage,model name/number
