query,success,unique_value_count,total_key_count,raw_output,attributes_json,input_tokens,output_tokens,cost
brushless dc motor,True,1,3,"{""attributes"":[{""attribute_key"":""motor_type"",""value"":""brushless dc motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""bldc"",""value"":""brushless dc motor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""type"",""value"":""brushless dc motor"",""key_priority"":3,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""brushless dc motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""bldc"", ""value"": ""brushless dc motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""type"", ""value"": ""brushless dc motor"", ""key_priority"": 3, ""attribute_priority"": 1}]}",2457,178,$0.001496
ABB Electric Motor,True,2,5,"{""attributes"":[{""attribute_key"":""brand"",""value"":""abb"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""abb"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""product_type"",""value"":""electric motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""motor_type"",""value"":""electric motor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""category"",""value"":""electric motor"",""key_priority"":3,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""abb"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""abb"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""electric motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""motor_type"", ""value"": ""electric motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""category"", ""value"": ""electric motor"", ""key_priority"": 3, ""attribute_priority"": 2}]}",2457,1247,$0.003099
sensor plate,True,1,3,"{""attributes"":[{""attribute_key"":""product_type"",""value"":""sensor plate"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""type"",""value"":""sensor plate"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""category"",""value"":""sensor plate"",""key_priority"":3,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""product_type"", ""value"": ""sensor plate"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""type"", ""value"": ""sensor plate"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""category"", ""value"": ""sensor plate"", ""key_priority"": 3, ""attribute_priority"": 1}]}",2456,167,$0.001478
electronic components bo moters,True,2,4,"{""attributes"":[{""attribute_key"":""category"",""value"":""electronic components"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""department"",""value"":""electronic components"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""motor_type"",""value"":""bo moters"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""type"",""value"":""bo moters"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""category"", ""value"": ""electronic components"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""department"", ""value"": ""electronic components"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""bo moters"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""type"", ""value"": ""bo moters"", ""key_priority"": 2, ""attribute_priority"": 2}]}",2459,2522,$0.005012
1500 kv ccw multirotor motor,True,3,7,"{""attributes"":[{""attribute_key"":""kv_rating"",""value"":""1500 kv"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""kv"",""value"":""1500 kv"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""rotation"",""value"":""ccw"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""direction"",""value"":""ccw"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""rotation_direction"",""value"":""ccw"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""application"",""value"":""multirotor motor"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""use"",""value"":""multirotor motor"",""key_priority"":2,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""kv_rating"", ""value"": ""1500 kv"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""kv"", ""value"": ""1500 kv"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""rotation"", ""value"": ""ccw"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""direction"", ""value"": ""ccw"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""rotation_direction"", ""value"": ""ccw"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""application"", ""value"": ""multirotor motor"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""use"", ""value"": ""multirotor motor"", ""key_priority"": 2, ""attribute_priority"": 3}]}",2465,2901,$0.005584
Panasonic Geared Motor,True,3,5,"{""attributes"":[{""attribute_key"":""brand"",""value"":""Panasonic"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""Panasonic"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""motor_type"",""value"":""Geared Motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""type"",""value"":""Geared Motor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""feature"",""value"":""Geared"",""key_priority"":3,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""Panasonic"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""Panasonic"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""Geared Motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""type"", ""value"": ""Geared Motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""feature"", ""value"": ""Geared"", ""key_priority"": 3, ""attribute_priority"": 2}]}",2458,218,$0.001556
worm geared brake motor,True,3,5,"{""attributes"":[{""attribute_key"":""gear_type"",""value"":""worm geared"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""gearing"",""value"":""worm geared"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""feature"",""value"":""brake"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""brake"",""value"":""brake"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""motor_type"",""value"":""motor"",""key_priority"":1,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""gear_type"", ""value"": ""worm geared"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""gearing"", ""value"": ""worm geared"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""feature"", ""value"": ""brake"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""brake"", ""value"": ""brake"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""motor_type"", ""value"": ""motor"", ""key_priority"": 1, ""attribute_priority"": 3}]}",2458,1711,$0.003796
eletical motors 40hp,True,2,5,"{""attributes"":[{""attribute_key"":""category"",""value"":""eletical motors"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""product_type"",""value"":""eletical motors"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""horsepower"",""value"":""40hp"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""power"",""value"":""40hp"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""hp"",""value"":""40hp"",""key_priority"":3,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""category"", ""value"": ""eletical motors"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""eletical motors"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""horsepower"", ""value"": ""40hp"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""power"", ""value"": ""40hp"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""hp"", ""value"": ""40hp"", ""key_priority"": 3, ""attribute_priority"": 2}]}",2461,212,$0.001548
Rotomotive Induction Motor 3 Phase,True,3,6,"{""attributes"":[{""attribute_key"":""brand"",""value"":""Rotomotive"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""Rotomotive"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""motor_type"",""value"":""Induction Motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""type"",""value"":""Induction Motor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""phase"",""value"":""3 Phase"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""phase_type"",""value"":""3 Phase"",""key_priority"":2,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""Rotomotive"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""Rotomotive"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""Induction Motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""type"", ""value"": ""Induction Motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""phase"", ""value"": ""3 Phase"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""phase_type"", ""value"": ""3 Phase"", ""key_priority"": 2, ""attribute_priority"": 3}]}",2461,249,$0.001604
100 W Chimney Motor,True,2,5,"{""attributes"":[{""attribute_key"":""power"",""value"":""100 w"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""wattage"",""value"":""100 w"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""application"",""value"":""chimney motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""use"",""value"":""chimney motor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""motor_type"",""value"":""chimney motor"",""key_priority"":3,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""power"", ""value"": ""100 w"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""wattage"", ""value"": ""100 w"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""application"", ""value"": ""chimney motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""use"", ""value"": ""chimney motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""motor_type"", ""value"": ""chimney motor"", ""key_priority"": 3, ""attribute_priority"": 2}]}",2462,2424,$0.004867
1 for reselling piece Panasonic Geared Motor,True,4,8,"```json
{""attributes"":[{""attribute_key"":""brand"",""value"":""Panasonic"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""Panasonic"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""motor_type"",""value"":""Geared Motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""type"",""value"":""Geared Motor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""quantity"",""value"":""1 piece"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""unit"",""value"":""1 piece"",""key_priority"":2,""attribute_priority"":3},{""attribute_key"":""intent"",""value"":""reselling"",""key_priority"":1,""attribute_priority"":4},{""attribute_key"":""purpose"",""value"":""reselling"",""key_priority"":2,""attribute_priority"":4}]}
```","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""Panasonic"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""Panasonic"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""Geared Motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""type"", ""value"": ""Geared Motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""quantity"", ""value"": ""1 piece"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""unit"", ""value"": ""1 piece"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""intent"", ""value"": ""reselling"", ""key_priority"": 1, ""attribute_priority"": 4}, {""attribute_key"": ""purpose"", ""value"": ""reselling"", ""key_priority"": 2, ""attribute_priority"": 4}]}",2464,280,$0.001652
Motor Cover,True,1,3,"{""attributes"":[{""attribute_key"":""product_type"",""value"":""motor cover"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""category"",""value"":""motor cover"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""item"",""value"":""motor cover"",""key_priority"":3,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""product_type"", ""value"": ""motor cover"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""category"", ""value"": ""motor cover"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""item"", ""value"": ""motor cover"", ""key_priority"": 3, ""attribute_priority"": 1}]}",2456,195,$0.001520
b04420065,True,1,3,"{""attributes"":[{""attribute_key"":""part_number"",""value"":""b04420065"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""model_number"",""value"":""b04420065"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""mpn"",""value"":""b04420065"",""key_priority"":3,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""part_number"", ""value"": ""b04420065"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""model_number"", ""value"": ""b04420065"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""mpn"", ""value"": ""b04420065"", ""key_priority"": 3, ""attribute_priority"": 1}]}",2463,187,$0.001512
1 piece Slip Rings,True,2,4,"{""attributes"":[{""attribute_key"":""quantity"",""value"":""1 piece"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""unit"",""value"":""1 piece"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""product_type"",""value"":""Slip Rings"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""category"",""value"":""Slip Rings"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""quantity"", ""value"": ""1 piece"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""unit"", ""value"": ""1 piece"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""Slip Rings"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""category"", ""value"": ""Slip Rings"", ""key_priority"": 2, ""attribute_priority"": 2}]}",2459,192,$0.001518
venex 3 phase dol motor starter,True,4,7,"{""attributes"":[{""attribute_key"":""brand"",""value"":""venex"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""phase"",""value"":""3 phase"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""phase_type"",""value"":""3 phase"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""starter_type"",""value"":""dol"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""type"",""value"":""dol"",""key_priority"":2,""attribute_priority"":3},{""attribute_key"":""product_type"",""value"":""motor starter"",""key_priority"":1,""attribute_priority"":4},{""attribute_key"":""category"",""value"":""motor starter"",""key_priority"":2,""attribute_priority"":4}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""venex"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""phase"", ""value"": ""3 phase"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""phase_type"", ""value"": ""3 phase"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""starter_type"", ""value"": ""dol"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""type"", ""value"": ""dol"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""product_type"", ""value"": ""motor starter"", ""key_priority"": 1, ""attribute_priority"": 4}, {""attribute_key"": ""category"", ""value"": ""motor starter"", ""key_priority"": 2, ""attribute_priority"": 4}]}",2462,1298,$0.003178
