query,gt_success,gemma_success,gt_total_keys,gt_unique_values,gemma_total_keys,gemma_unique_values,matched_key_count,matched_value_count,gt_only_key_count,gemma_only_key_count,key_match_rate,value_match_rate,perfect_match_count,partial_match_count,matched_keys,gt_only_keys,gemma_only_keys,matched_values,key_match_details_json,value_match_details_json,priority_alignment_json
5hp flour mill motor,True,True,5,2,8,2,2,0,3,6,40.00%,0.00%,0,0,horsepower; hp,power; motor type; product type,application; usage; horse power; motor horsepower; suitable for; usage application,,"[{""normalized_key"": ""horsepower"", ""gt_key"": ""horsepower"", ""gt_value"": ""5 hp"", ""gt_key_priority"": 2, ""gt_attr_priority"": 2, ""gemma_key"": ""horsepower"", ""gemma_value"": ""5HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""hp"", ""gt_key"": ""hp"", ""gt_value"": ""5 hp"", ""gt_key_priority"": 3, ""gt_attr_priority"": 2, ""gemma_key"": ""hp"", ""gemma_value"": ""5HP"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
5hp motor,True,True,5,2,4,1,2,0,3,2,40.00%,0.00%,0,0,horsepower; hp,power; motor type; product type,motor horsepower; horse power,,"[{""normalized_key"": ""horsepower"", ""gt_key"": ""horsepower"", ""gt_value"": ""5 hp"", ""gt_key_priority"": 2, ""gt_attr_priority"": 2, ""gemma_key"": ""horsepower"", ""gemma_value"": ""5HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""hp"", ""gt_key"": ""hp"", ""gt_value"": ""5 hp"", ""gt_key_priority"": 3, ""gt_attr_priority"": 2, ""gemma_key"": ""hp"", ""gemma_value"": ""5HP"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
5r/min 1.5w 50/60hz motor,True,True,4,2,11,3,2,0,2,9,50.00%,0.00%,0,0,wattage; power,motor type; product type,power rating; frequency; motor power; rated speed; speed; motor speed; frequency hertz; operating frequency; rpm,,"[{""normalized_key"": ""wattage"", ""gt_key"": ""wattage"", ""gt_value"": ""1.5 w"", ""gt_key_priority"": 2, ""gt_attr_priority"": 2, ""gemma_key"": ""wattage"", ""gemma_value"": ""1.5W"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": true}, {""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""1.5 w"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""gemma_key"": ""power"", ""gemma_value"": ""1.5W"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": true}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
6 for business use piece electronic Valve Positioners,True,True,4,1,14,4,1,0,3,13,25.00%,0.00%,0,0,application,use; category; product category,device type; motor type; product type; usage; usage application; no of poles; number of poles; quantity; poles; type; suitable for; number of pieces; number of units,,"[{""normalized_key"": ""application"", ""gt_key"": ""application"", ""gt_value"": ""actuator"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""application"", ""gemma_value"": ""Business Use"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": true}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
600 kg sliding gate motor,True,True,2,1,8,2,2,0,0,6,100.00%,0.00%,0,0,motor type; product type,,lifting capacity; device type; weight capacity; capacity; load capacity; type,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Sliding Gate Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Sliding Gate Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
60W Desert Cooler Motor,True,True,6,3,8,2,2,0,4,6,33.33%,0.00%,0,0,application; power,use; wattage; motor type; product type,usage; power source; power supply; suitable for; power type; usage application,,"[{""normalized_key"": ""application"", ""gt_key"": ""application"", ""gt_value"": ""cooler"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""gemma_key"": ""application"", ""gemma_value"": ""Desert Cooler Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""60 w"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""gemma_key"": ""power"", ""gemma_value"": ""60W"", ""gemma_key_priority"": 4, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
65X50X25MM CARBON BRUSH,True,True,4,2,7,2,0,0,4,7,0.00%,0.00%,0,0,,use; category; application; product category,body material; material type; material; size; casing material; frame size; dimension,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
6FC5357-0BA11-1AE0,True,True,3,1,4,1,2,1,1,2,66.67%,100.00%,2,0,model number; model,part number,model name; model no,6fc5357-0ba11-1ae0,"[{""normalized_key"": ""model number"", ""gt_key"": ""model_number"", ""gt_value"": ""6FC5357-0BA11-1AE0"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""model_number"", ""gemma_value"": ""6FC5357-0BA11-1AE0"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": true}, {""normalized_key"": ""model"", ""gt_key"": ""model"", ""gt_value"": ""6FC5357-0BA11-1AE0"", ""gt_key_priority"": 3, ""gt_attr_priority"": 1, ""gemma_key"": ""model"", ""gemma_value"": ""6FC5357-0BA11-1AE0"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": true}]","[{""value"": ""6fc5357-0ba11-1ae0"", ""gt_original"": ""6FC5357-0BA11-1AE0"", ""gemma_original"": ""6FC5357-0BA11-1AE0"", ""gt_keys"": [{""key"": ""model_number"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""part_number"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""model"", ""key_priority"": 3, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""model_number"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""model_name"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""model"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""model_no"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": true}]","{""perfect_matches"": [{""key"": ""model number"", ""value"": ""6FC5357-0BA11-1AE0"", ""priorities"": ""key_prio=1, attr_prio=1""}, {""key"": ""model"", ""value"": ""6FC5357-0BA11-1AE0"", ""priorities"": ""key_prio=3, attr_prio=1""}], ""partial_matches"": []}"
6ik180gu 240 w motor,True,True,4,2,8,2,1,1,3,7,25.00%,50.00%,0,1,power,wattage; motor type; product type,model name; power source; model; power supply; model number; model no; power type,240 w,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""240 w"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""gemma_key"": ""power"", ""gemma_value"": ""240 W"", ""gemma_key_priority"": 4, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": true}]","[{""value"": ""240 w"", ""gt_original"": ""240 w"", ""gemma_original"": ""240 W"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""wattage"", ""key_priority"": 2, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""power_source"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""power_supply"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""power_type"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""power"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""power"", ""value"": ""240 w"", ""gt_priorities"": ""key_prio=1, attr_prio=2"", ""gemma_priorities"": ""key_prio=4, attr_prio=2""}]}"
7.5 kw 10 hp havells induction motor,True,True,11,4,10,3,5,1,5,5,50.00%,25.00%,0,3,power; manufacturer; company; wattage; brand,motor type; product type; hp; horsepower; kilowatt,make; motor power; power source; power supply; power type,havells,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""10 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""gemma_key"": ""power"", ""gemma_value"": ""7.5 KW 10 HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""7.5 kw"", ""gt_key_priority"": 1, ""gt_attr_priority"": 4, ""gemma_key"": ""power"", ""gemma_value"": ""7.5 KW 10 HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""manufacturer"", ""gt_key"": ""manufacturer"", ""gt_value"": ""havells"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""manufacturer"", ""gemma_value"": ""Havells"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 3, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""company"", ""gt_key"": ""company"", ""gt_value"": ""havells"", ""gt_key_priority"": 3, ""gt_attr_priority"": 1, ""gemma_key"": ""company"", ""gemma_value"": ""Havells"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 3, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""wattage"", ""gt_key"": ""wattage"", ""gt_value"": ""7.5 kw"", ""gt_key_priority"": 3, ""gt_attr_priority"": 4, ""gemma_key"": ""wattage"", ""gemma_value"": ""7.5 KW 10 HP"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""havells"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""brand"", ""gemma_value"": ""Havells"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 3, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}]","[{""value"": ""havells"", ""gt_original"": ""havells"", ""gemma_original"": ""Havells"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""company"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""manufacturer"", ""key_priority"": 3, ""attr_priority"": 3}, {""key"": ""make"", ""key_priority"": 4, ""attr_priority"": 3}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""manufacturer"", ""value"": ""havells"", ""gt_priorities"": ""key_prio=2, attr_prio=1"", ""gemma_priorities"": ""key_prio=3, attr_prio=3""}, {""key"": ""company"", ""value"": ""havells"", ""gt_priorities"": ""key_prio=3, attr_prio=1"", ""gemma_priorities"": ""key_prio=2, attr_prio=3""}, {""key"": ""brand"", ""value"": ""havells"", ""gt_priorities"": ""key_prio=1, attr_prio=1"", ""gemma_priorities"": ""key_prio=1, attr_prio=3""}]}"
730 Frame Slipring Induction Motor,True,True,4,2,7,2,2,1,2,5,50.00%,50.00%,0,0,motor type; product type,frame size; frame,device type; no of poles; number of poles; poles; type,730,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""induction motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Slipring"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""induction motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Slipring"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]","[{""value"": ""730"", ""gt_original"": ""730"", ""gemma_original"": ""730"", ""gt_keys"": [{""key"": ""frame_size"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""frame"", ""key_priority"": 2, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""number_of_poles"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""no_of_poles"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""poles"", ""key_priority"": 3, ""attr_priority"": 1}], ""under_same_key"": false}]","{""perfect_matches"": [], ""partial_matches"": []}"
75 HP Crompton Industrial Motors,True,True,8,3,8,2,5,2,3,3,62.50%,66.67%,0,5,manufacturer; company; hp; horsepower; brand,power; motor type; product type,make; motor horsepower; horse power,crompton; 75 hp,"[{""normalized_key"": ""manufacturer"", ""gt_key"": ""manufacturer"", ""gt_value"": ""crompton"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""manufacturer"", ""gemma_value"": ""Crompton"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""company"", ""gt_key"": ""company"", ""gt_value"": ""crompton"", ""gt_key_priority"": 3, ""gt_attr_priority"": 1, ""gemma_key"": ""company"", ""gemma_value"": ""Crompton"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""hp"", ""gt_key"": ""hp"", ""gt_value"": ""75 hp"", ""gt_key_priority"": 3, ""gt_attr_priority"": 3, ""gemma_key"": ""hp"", ""gemma_value"": ""75 HP"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""horsepower"", ""gt_key"": ""horsepower"", ""gt_value"": ""75 hp"", ""gt_key_priority"": 2, ""gt_attr_priority"": 3, ""gemma_key"": ""horsepower"", ""gemma_value"": ""75 HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""crompton"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""brand"", ""gemma_value"": ""Crompton"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}]","[{""value"": ""crompton"", ""gt_original"": ""crompton"", ""gemma_original"": ""Crompton"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""company"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""manufacturer"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""make"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": true}, {""value"": ""75 hp"", ""gt_original"": ""75 hp"", ""gemma_original"": ""75 HP"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 3}], ""gemma_keys"": [{""key"": ""horsepower"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""horse_power"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""motor_horsepower"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""manufacturer"", ""value"": ""crompton"", ""gt_priorities"": ""key_prio=2, attr_prio=1"", ""gemma_priorities"": ""key_prio=3, attr_prio=2""}, {""key"": ""company"", ""value"": ""crompton"", ""gt_priorities"": ""key_prio=3, attr_prio=1"", ""gemma_priorities"": ""key_prio=2, attr_prio=2""}, {""key"": ""hp"", ""value"": ""75 hp"", ""gt_priorities"": ""key_prio=3, attr_prio=3"", ""gemma_priorities"": ""key_prio=3, attr_prio=1""}, {""key"": ""horsepower"", ""value"": ""75 hp"", ""gt_priorities"": ""key_prio=2, attr_prio=3"", ""gemma_priorities"": ""key_prio=1, attr_prio=1""}, {""key"": ""brand"", ""value"": ""crompton"", ""gt_priorities"": ""key_prio=1, attr_prio=1"", ""gemma_priorities"": ""key_prio=1, attr_prio=2""}]}"
75 Hp Induction Motor,True,True,5,2,4,1,2,1,3,2,40.00%,50.00%,0,2,horsepower; hp,power; motor type; product type,motor horsepower; horse power,75 hp,"[{""normalized_key"": ""horsepower"", ""gt_key"": ""horsepower"", ""gt_value"": ""75 hp"", ""gt_key_priority"": 2, ""gt_attr_priority"": 2, ""gemma_key"": ""horsepower"", ""gemma_value"": ""75 Hp"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""hp"", ""gt_key"": ""hp"", ""gt_value"": ""75 hp"", ""gt_key_priority"": 3, ""gt_attr_priority"": 2, ""gemma_key"": ""hp"", ""gemma_value"": ""75 Hp"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}]","[{""value"": ""75 hp"", ""gt_original"": ""75 hp"", ""gemma_original"": ""75 Hp"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""horsepower"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""horse_power"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""motor_horsepower"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""horsepower"", ""value"": ""75 hp"", ""gt_priorities"": ""key_prio=2, attr_prio=2"", ""gemma_priorities"": ""key_prio=1, attr_prio=1""}, {""key"": ""hp"", ""value"": ""75 hp"", ""gt_priorities"": ""key_prio=3, attr_prio=2"", ""gemma_priorities"": ""key_prio=3, attr_prio=1""}]}"
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,True,True,4,2,18,5,1,0,3,17,25.00%,0.00%,0,0,application,use; category; product category,body material; device type; material type; motor type; material; product type; size; usage; no of poles; number of poles; casing material; dimension; poles; type; frame size; suitable for; usage application,,"[{""normalized_key"": ""application"", ""gt_key"": ""application"", ""gt_value"": ""automotive"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""application"", ""gemma_value"": ""75"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 5, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
75 kw 100 hp induction motor,True,True,8,3,9,3,4,3,3,5,57.14%,100.00%,2,2,wattage; power; horsepower; hp,kilowatt; motor type; product type,motor power; power source; power supply; horse power; power type,100 hp; 75 kw; induction motor,"[{""normalized_key"": ""wattage"", ""gt_key"": ""wattage"", ""gt_value"": ""75 kw"", ""gt_key_priority"": 3, ""gt_attr_priority"": 3, ""gemma_key"": ""wattage"", ""gemma_value"": ""75 kW"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 3, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""100 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""gemma_key"": ""power"", ""gemma_value"": ""75 kW"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 3, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""75 kw"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""gemma_key"": ""power"", ""gemma_value"": ""75 kW"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 3, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": true}, {""normalized_key"": ""horsepower"", ""gt_key"": ""horsepower"", ""gt_value"": ""100 hp"", ""gt_key_priority"": 2, ""gt_attr_priority"": 2, ""gemma_key"": ""horsepower"", ""gemma_value"": ""100 HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""hp"", ""gt_key"": ""hp"", ""gt_value"": ""100 hp"", ""gt_key_priority"": 3, ""gt_attr_priority"": 2, ""gemma_key"": ""hp"", ""gemma_value"": ""100 HP"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": true}]","[{""value"": ""100 hp"", ""gt_original"": ""100 hp"", ""gemma_original"": ""100 HP"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""horsepower"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""horse_power"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 2}], ""under_same_key"": true}, {""value"": ""75 kw"", ""gt_original"": ""75 kw"", ""gemma_original"": ""75 kW"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""kilowatt"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""wattage"", ""key_priority"": 3, ""attr_priority"": 3}], ""gemma_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""wattage"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""motor_power"", ""key_priority"": 3, ""attr_priority"": 3}], ""under_same_key"": true}, {""value"": ""induction motor"", ""gt_original"": ""induction motor"", ""gemma_original"": ""Induction Motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""power_source"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""power_supply"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""power_type"", ""key_priority"": 3, ""attr_priority"": 1}], ""under_same_key"": false}]","{""perfect_matches"": [{""key"": ""power"", ""value"": ""75 kw"", ""priorities"": ""key_prio=1, attr_prio=3""}, {""key"": ""hp"", ""value"": ""100 hp"", ""priorities"": ""key_prio=3, attr_prio=2""}], ""partial_matches"": [{""key"": ""wattage"", ""value"": ""75 kw"", ""gt_priorities"": ""key_prio=3, attr_prio=3"", ""gemma_priorities"": ""key_prio=2, attr_prio=3""}, {""key"": ""horsepower"", ""value"": ""100 hp"", ""gt_priorities"": ""key_prio=2, attr_prio=2"", ""gemma_priorities"": ""key_prio=1, attr_prio=2""}]}"
