success,query,gemini_dataset_attr_count,gemini_dataset_isq_list,gemini_dataset_isq_pipe,gemini_dataset_raw_output,error
True,Electric Wood Shavings Extractor,0,[],,"```python
[]
```",
True,Automatic Monolayer Blown Film Extrusion Machine,3,"['[""automatic:automation grade:specification""', '""monolayer:layer:specification""', '""blown film extrusion machine:machine type:specification""]']","[""automatic:automation grade:specification"" | ""monolayer:layer:specification"" | ""blown film extrusion machine:machine type:specification""]","```python
[""automatic:automation grade:specification"", ""monolayer:layer:specification"", ""blown film extrusion machine:machine type:specification""]
```",
True,Extruder,0,[],,"```python
[]
```",
True,co extruder machine,0,[],,[],
True,Solid Phase Extraction vacuum Manifold,0,[],,"```python
[]
```",
True,Aluminum Plant,0,[],,"```python
[]
```",
True,rag gold refined,0,[],,[],
True,benchtop extruder,0,[],,[],
True,Metal Refining Plant,0,[],,[],
True,soap extruder machine,0,[],,[],
True,Automatic Gold Refining Machine,4,"['automatic:automation grade:specification', 'gold refining plant:usage/application:specification', 'automatic gold refining machine:dimension:specification', 'gold refining plant:product type:specification']",automatic:automation grade:specification | gold refining plant:usage/application:specification | automatic gold refining machine:dimension:specification | gold refining plant:product type:specification,"[""automatic:automation grade:specification"", ""gold refining plant:usage/application:specification"", ""automatic gold refining machine:dimension:specification"", ""gold refining plant:product type:specification""]",
True,Cable Extruder,0,[],,[],
True,extruder-machine,0,[],,[],
True,Mini Extruder Machine,0,[],,"```python
[]
```",
True,Twin Screw Extruder,2,"['twin screw:screw design:specification', 'twin screw:type of extruder:specification']",twin screw:screw design:specification | twin screw:type of extruder:specification,"[""twin screw:screw design:specification"", ""twin screw:type of extruder:specification""]",
True,blown-film-extrusion-machine,0,[],,"```python
[]
```",
True,cable extruder machine,2,"['cable extruder:type:specification', 'electric:power source:specification']",cable extruder:type:specification | electric:power source:specification,"[""cable extruder:type:specification"", ""electric:power source:specification""]",
True,pv solar cable extrusion line machines - labh group,3,"['[""electric:power source:specification""', '""cable extruder:type:specification""', '""industrial:usage/application:specification""]']","[""electric:power source:specification"" | ""cable extruder:type:specification"" | ""industrial:usage/application:specification""]","```python
[""electric:power source:specification"", ""cable extruder:type:specification"", ""industrial:usage/application:specification""]
```",
True,pvc cable extruder,2,"['pvc:plastic processed:specification', 'cable extruder:type:specification']",pvc:plastic processed:specification | cable extruder:type:specification,"[""pvc:plastic processed:specification"", ""cable extruder:type:specification""]",
True,extruder 180 sq mm cables,0,[],,"```python
[]
```",
True,twin screw extruder ldpe plastic recycling line  production capacity: 500 kghr,3,"['[""twin screw:screw design:specification""', '""plastic:material to be extruded:specification""', '""500 kg/hr:production capacity:specification""]']","[""twin screw:screw design:specification"" | ""plastic:material to be extruded:specification"" | ""500 kg/hr:production capacity:specification""]","```python
[""twin screw:screw design:specification"", ""plastic:material to be extruded:specification"", ""500 kg/hr:production capacity:specification""]
```",
True,"Twin Screw Extruder Ldpe Plastic Recycling Line, Production Capacity: 500 kg/hr",3,"['[""twin screw:type:specification""', '""plastic:material to be extruded:specification""', '""500 kg/hr:production capacity:specification""]']","[""twin screw:type:specification"" | ""plastic:material to be extruded:specification"" | ""500 kg/hr:production capacity:specification""]","```python
[""twin screw:type:specification"", ""plastic:material to be extruded:specification"", ""500 kg/hr:production capacity:specification""]
```",
True,extruder 180 sq mm,0,[],,"```python
[]
```",
True,ABA 2 Layer Blown Film Machine,3,"['aba:model name/number:specification', '2 layer:layer:specification', 'blown film extrusion machine:machine type:specification']",aba:model name/number:specification | 2 layer:layer:specification | blown film extrusion machine:machine type:specification,"[""aba:model name/number:specification"", ""2 layer:layer:specification"", ""blown film extrusion machine:machine type:specification""]",
True,Herbal Extraction Plant,0,[],,"```python
[]
```",
True,Liquid Extraction Systems,0,[],,[],
True,Aluminum Extrusion Plant,1,['aluminium extrusion:usage/application:specification'],aluminium extrusion:usage/application:specification,"[""aluminium extrusion:usage/application:specification""]",
True,Aluminium Ectrusion Plant.,0,[],,"```python
[]
```",
True,Aluminium Extrusion Plant,2,"['aluminium extrusion:usage/application:specification', 'aluminium:material to be extruded:specification']",aluminium extrusion:usage/application:specification | aluminium:material to be extruded:specification,"[""aluminium extrusion:usage/application:specification"", ""aluminium:material to be extruded:specification""]",
True,solvent-extraction-systems,0,[],,"```python
[]
```",
True,complete aluminum extrusion plant .,2,"['[""aluminium extrusion:usage/application:specification""', '""plant type:plant type:specification""]']","[""aluminium extrusion:usage/application:specification"" | ""plant type:plant type:specification""]","```python
[""aluminium extrusion:usage/application:specification"", ""plant type:plant type:specification""]
```",
True,Gold Refining Equipment,0,[],,[],
True,Cannabis Extraction Plant,0,[],,[],
True,Herbal Extraction Plant Machinery,1,['herbal extraction:usage/application:specification'],herbal extraction:usage/application:specification,"[""herbal extraction:usage/application:specification""]",
True,Basket Extruder Machine,0,[],,"```python
[]
```",
True,5 kg automatic gold refining machine,2,"['5 kg:capacity(kg):specification', 'automatic:automation grade:specification']",5 kg:capacity(kg):specification | automatic:automation grade:specification,"[""5 kg:capacity(kg):specification"", ""automatic:automation grade:specification""]",
True,food grade twin screw extruder,2,"['twin screw:screw design:specification', 'food grade:grade standard:specification']",twin screw:screw design:specification | food grade:grade standard:specification,"[""twin screw:screw design:specification"", ""food grade:grade standard:specification""]",
True,bollman extractor material,0,[],,[],
True,Extraction Plants and Extruders,0,[],,[],
True,twin screw extruder for lab,2,"['[""twin screw:screw design:specification""', '""lab:industry type:specification""]']","[""twin screw:screw design:specification"" | ""lab:industry type:specification""]","```python
[""twin screw:screw design:specification"", ""lab:industry type:specification""]
```",
True,twin screw extruder for plastics,2,"['[""twin screw:screw design:specification""', '""plastic:material to be extruded:specification""]']","[""twin screw:screw design:specification"" | ""plastic:material to be extruded:specification""]","```python
[""twin screw:screw design:specification"", ""plastic:material to be extruded:specification""]
```",
True,Bench-top Co-rotating Twin-screw Extruders,0,[],,"```python
[]
```",
True,Metal solvent extraction plant,0,[],,"```python
[]
```",
True,gold tunch machine,0,[],,[],
True,Hira Solvent Extraction Parts,0,[],,[],
True,automatic no Twin Screw Extruder,0,[],,"```python
[]
```",
True,एक्सट्रूडर₹1.5 – ₹ 2 लाख,0,[],,[],
True,Artificial Rice Extrusion Plant,0,[],,[],
True,Gold Refining,0,[],,"```python
[]
```",
True,wire extruder head,0,[],,[],
True,25 mm wire extruder head,0,[],,"```python
[]
```",
True,tube extrusion machine 500 kg/hr extruder machine,2,"['[""tube extrusion machine:type:specification""', '""500 kg/hr:production capacity:specification""]']","[""tube extrusion machine:type:specification"" | ""500 kg/hr:production capacity:specification""]","```python
[""tube extrusion machine:type:specification"", ""500 kg/hr:production capacity:specification""]
```",
True,14000 RPM Centrifuge Extractor,0,[],,"```python
[]
```",
True,Hand Operated Bitumen Extractor,2,"['[""hand operated:hand operated:specification""', '""bitumen extractor:type of testing machines:specification""]']","[""hand operated:hand operated:specification"" | ""bitumen extractor:type of testing machines:specification""]","```python
[""hand operated:hand operated:specification"", ""bitumen extractor:type of testing machines:specification""]
```",
True,gold elctro refiing equpement,0,[],,"```python
[]
```",
True,New Jockey Extruder,0,[],,[],
True,two layer blown film extrusion machine,2,"['two layer:layer:specification', 'blown film extrusion machine:machine type:specification']",two layer:layer:specification | blown film extrusion machine:machine type:specification,"[""two layer:layer:specification"", ""blown film extrusion machine:machine type:specification""]",
True,एक्सट्रूडर₹1.5 – ₹5 लाख,0,[],,"```python
[]
```",
True,Aluminum Extrusion Laboratory Installation Service,3,"['[""aluminium extrusion:usage/application:specification""', '""india:country of origin:specification""', '""yes:installation services:specification""]']","[""aluminium extrusion:usage/application:specification"" | ""india:country of origin:specification"" | ""yes:installation services:specification""]","```python
[""aluminium extrusion:usage/application:specification"", ""india:country of origin:specification"", ""yes:installation services:specification""]
```",
True,herbal-extraction-plant,1,['herbal extraction:usage/application:specification'],herbal extraction:usage/application:specification,"[""herbal extraction:usage/application:specification""]",
True,oleoresin extraction plants,0,[],,[],
True,Steer Alpha18 Twin Screw Extruder,0,[],,"```python
[]
```",
True,2 kg automatic electrolytic gold refinery machine,2,"['[""2 kg:capacity(kg):specification""', '""automatic:automation grade:specification""]']","[""2 kg:capacity(kg):specification"" | ""automatic:automation grade:specification""]","```python
[""2 kg:capacity(kg):specification"", ""automatic:automation grade:specification""]
```",
True,2 kg fully automatic gold dust refinery machine (titanium body  aqua regia processing),4,"['[""2 kg:capacity(kg):specification""', '""fully automatic:automation grade:specification""', '""titanium:body material:specification""', '""aqua regia:process:specification""]']","[""2 kg:capacity(kg):specification"" | ""fully automatic:automation grade:specification"" | ""titanium:body material:specification"" | ""aqua regia:process:specification""]","```python
[""2 kg:capacity(kg):specification"", ""fully automatic:automation grade:specification"", ""titanium:body material:specification"", ""aqua regia:process:specification""]
```",
True,"2 kg Fully Automatic Gold Dust Refinery Machine (Titanium Body, Aqua Regia Processing)",3,"['[""2 kg:capacity(kg):specification""', '""Fully Automatic:automation grade:specification""', 'pp:body material:specification""]']","[""2 kg:capacity(kg):specification"" | ""Fully Automatic:automation grade:specification"" | pp:body material:specification""]","```python
[""2 kg:capacity(kg):specification"", ""Fully Automatic:automation grade:specification"", ""Titanium,pp:body material:specification""]
```",
True,automatic gold refining machine manfacturer 2kg in egypt  capacity(kg): 20 kg,3,"['[""automatic:automation grade:specification""', '""2 kg:capacity(kg):specification""', '""20 kg:capacity(kg):specification""]']","[""automatic:automation grade:specification"" | ""2 kg:capacity(kg):specification"" | ""20 kg:capacity(kg):specification""]","```python
[""automatic:automation grade:specification"", ""2 kg:capacity(kg):specification"", ""20 kg:capacity(kg):specification""]
```",
True,"Automatic Gold Refining Machine Manfacturer 2kg In Egypt, Capacity(kg): 20 kg",3,"['[""automatic:automation grade:specification""', '""2 kg:capacity(kg):specification""', '""20 kg:capacity(kg):specification""]']","[""automatic:automation grade:specification"" | ""2 kg:capacity(kg):specification"" | ""20 kg:capacity(kg):specification""]","```python
[""automatic:automation grade:specification"", ""2 kg:capacity(kg):specification"", ""20 kg:capacity(kg):specification""]
```",
True,automatic gold refining machine 2kg,2,"['[""automatic:automation grade:specification""', '""2 kg:capacity(kg):specification""]']","[""automatic:automation grade:specification"" | ""2 kg:capacity(kg):specification""]","```python
[""automatic:automation grade:specification"", ""2 kg:capacity(kg):specification""]
```",
True,Extruder Cutter,0,[],,"```python
[]
```",
True,automaticsilverrefiningplant50kg,0,[],,"```python
[]
```",
True,Automatic Silver Refining Plant (50kg),3,"['[""automatic:automation grade:specification""', '""silver:metal:specification""', '""50 kg:capacity(kg):specification""]']","[""automatic:automation grade:specification"" | ""silver:metal:specification"" | ""50 kg:capacity(kg):specification""]","```python
[""automatic:automation grade:specification"", ""silver:metal:specification"", ""50 kg:capacity(kg):specification""]
```",
True,silver refiningplant,2,"['silver refining plant:usage/application:specification', 'silver:metal:specification']",silver refining plant:usage/application:specification | silver:metal:specification,"[""silver refining plant:usage/application:specification"", ""silver:metal:specification""]",
True,PP Sheet Extruder Machine,4,"['[""pp:material:specification""', '""sheet:output shape:specification""', '""extruder:extruder:specification""', '""machine:product type:specification""]']","[""pp:material:specification"" | ""sheet:output shape:specification"" | ""extruder:extruder:specification"" | ""machine:product type:specification""]","```python
[""pp:material:specification"", ""sheet:output shape:specification"", ""extruder:extruder:specification"", ""machine:product type:specification""]
```",
True,automatic+silver+refining+plant+(50kg),3,"['[""automatic:automation grade:specification""', '""silver:metal:specification""', '""50 kg:capacity(kg):specification""]']","[""automatic:automation grade:specification"" | ""silver:metal:specification"" | ""50 kg:capacity(kg):specification""]","```python
[""automatic:automation grade:specification"", ""silver:metal:specification"", ""50 kg:capacity(kg):specification""]
```",
True,10 Silver Refining Plant,0,[],,"```python
[]
```",
True,silver gold refining machine,2,"['silver:metal:specification', 'gold:metal:specification']",silver:metal:specification | gold:metal:specification,"[""silver:metal:specification"", ""gold:metal:specification""]",
True,Solvent Extraction Systems,0,[],,[],
True,5Kg Gold  Refining Machine,2,"['5 kg:capacity(kg):specification', 'gold refining plant:product type:specification']",5 kg:capacity(kg):specification | gold refining plant:product type:specification,"[""5 kg:capacity(kg):specification"", ""gold refining plant:product type:specification""]",
True,Extraction Machinery,0,[],,[],
True,Bak,0,[],,"```python
[]
```",
True,Centrifuge Extractor,0,[],,"```python
[]
```",
True,automatic silver refining plant,2,"['automatic:automation grade:specification', 'silver refining plant:usage/application:specification']",automatic:automation grade:specification | silver refining plant:usage/application:specification,"[""automatic:automation grade:specification"", ""silver refining plant:usage/application:specification""]",
True,silver-refining--plant,6,"['silver refining plant:usage/application:specification', 'silver refining plant:heating range:specification', 'silver refining plant:dimension:specification', 'silver refining plant:material:specification', 'silver refining plant:product type:specification', 'silver refining plant:packaging type:specification']",silver refining plant:usage/application:specification | silver refining plant:heating range:specification | silver refining plant:dimension:specification | silver refining plant:material:specification | silver refining plant:product type:specification | silver refining plant:packaging type:specification,"[""silver refining plant:usage/application:specification"", ""silver refining plant:heating range:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:material:specification"", ""silver refining plant:product type:specification"", ""silver refining plant:packaging type:specification""]",
True,Gold Refining System Plant,0,[],,"```python
[]
```",
True,Plastic Sheet Extrusion Plant,5,"['[""plastic:material to be extruded:specification""', '""automatic:automation grade:specification""', '""electric:power source:specification""', '""electric:power source:specification""', '""sheet:output shape:specification""]']","[""plastic:material to be extruded:specification"" | ""automatic:automation grade:specification"" | ""electric:power source:specification"" | ""electric:power source:specification"" | ""sheet:output shape:specification""]","```python
[""plastic:material to be extruded:specification"", ""automatic:automation grade:specification"", ""electric:power source:specification"", ""electric:power source:specification"", ""sheet:output shape:specification""]
```",
True,thiokol lp 12,0,[],,[],
True,silver refinery,0,[],,"```python
[]
```",
True,Extruder Machine mother baby,0,[],,"```python
[]
```",
True,T Die Sheet Extruder Machine,0,[],,"```python
[]
```",
True,5HP Twin Screw Extruder,3,"['[""5 hp:motor power:specification""', '""twin screw:screw design:specification""', '""extruder:type:specification""]']","[""5 hp:motor power:specification"" | ""twin screw:screw design:specification"" | ""extruder:type:specification""]","```python
[""5 hp:motor power:specification"", ""twin screw:screw design:specification"", ""extruder:type:specification""]
```",
True,solvent plant,0,[],,"```python
[]
```",
True,Two Layer Blown Film Extrusion Plant Exporter,3,"['two layer:layer:specification', 'automatic:automation grade:specification', 'automatic:machine type:specification']",two layer:layer:specification | automatic:automation grade:specification | automatic:machine type:specification,"[""two layer:layer:specification"", ""automatic:automation grade:specification"", ""automatic:machine type:specification""]",
True,PVC  Cable Extrusion Plant,2,"['pvc:plastic processed:specification', 'cable extruder:type:specification']",pvc:plastic processed:specification | cable extruder:type:specification,"[""pvc:plastic processed:specification"", ""cable extruder:type:specification""]",
True,gold and silver refining machine,2,"['gold:metal:specification', 'silver:metal:specification']",gold:metal:specification | silver:metal:specification,"[""gold:metal:specification"", ""silver:metal:specification""]",
True,Rice Bran Preparatory Section,0,[],,"```python
[]
```",
True,lab scale twin screw extruder 40 (kw) capacity:10 - 50 (kg/hour),3,"['[""twin screw:screw design:specification""', '""40:machine power (kw):specification""', '""10 - 50:output(kg/hr):specification""]']","[""twin screw:screw design:specification"" | ""40:machine power (kw):specification"" | ""10 - 50:output(kg/hr):specification""]","```python
[""twin screw:screw design:specification"", ""40:machine power (kw):specification"", ""10 - 50:output(kg/hr):specification""]
```",
True,Order Refine Machines,0,[],,[],
True,PP Mat Extruders,0,[],,"```python
[]
```",
True,film extrusion,0,[],,[],
True,250 kg/hr 0.5-4 inch twin screw thibak machine,3,"['[""250 kg/hr:production capacity:specification""', '""twin screw:screw design:specification""', '""0.5-4 inch:size/diameter:specification""]']","[""250 kg/hr:production capacity:specification"" | ""twin screw:screw design:specification"" | ""0.5-4 inch:size/diameter:specification""]","```python
[""250 kg/hr:production capacity:specification"", ""twin screw:screw design:specification"", ""0.5-4 inch:size/diameter:specification""]
```",
True,Tape Extrusion Plant,0,[],,"```python
[]
```",
True,PVC Blister film extrusion machine,0,[],,"```python
[]
```",
True,silver refining machine,2,"['silver:metal:specification', 'silver refining plant:usage/application:specification']",silver:metal:specification | silver refining plant:usage/application:specification,"[""silver:metal:specification"", ""silver refining plant:usage/application:specification""]",
True,twin screw-extruder,2,"['twin screw:screw design:specification', 'twin screw:type of extruder:specification']",twin screw:screw design:specification | twin screw:type of extruder:specification,"[""twin screw:screw design:specification"", ""twin screw:type of extruder:specification""]",
True,gold refinery machine,0,[],,[],
True,Solvent Extraction Plants,0,[],,[],
True,solvent-extraction-plant,0,[],,[],
True,500 tpd solvent-extraction-plant,2,"['500 tpd:capacity:specification', 'solvent extraction plant:usage/application:specification']",500 tpd:capacity:specification | solvent extraction plant:usage/application:specification,"[""500 tpd:capacity:specification"", ""solvent extraction plant:usage/application:specification""]",
True,automatic gold refining equipment,2,"['automatic:automation grade:specification', 'gold:metal:specification']",automatic:automation grade:specification | gold:metal:specification,"[""automatic:automation grade:specification"", ""gold:metal:specification""]",
True,double screw pasta extruder,0,[],,"```python
[]
```",
True,Power Cable Extrusion  150 Mm,1,"['[""150 micron:film thickness:specification""]']","[""150 micron:film thickness:specification""]","```python
[""150 micron:film thickness:specification""]
```",
True,pet sheet extrusion line,1,['pet:material to be extruded:specification'],pet:material to be extruded:specification,"[""pet:material to be extruded:specification""]",
True,Biodegradable Film Extrusion Machine,0,[],,"```python
[]
```",
True,basket extruder machine (pesticid ),3,"['horizontal:orientation:specification', 'pesticide insecticide:features:specification', 'extruder:extruder:specification']",horizontal:orientation:specification | pesticide insecticide:features:specification | extruder:extruder:specification,"[""horizontal:orientation:specification"", ""pesticide insecticide:features:specification"", ""extruder:extruder:specification""]",
True,Solid Phase Extraction System,0,[],,"```python
[]
```",
True,solid phase extraction,0,[],,"```python
[]
```",
True,flour extrooder machine,0,[],,"```python
[]
```",
True,ldpe blown film extrusion machine 20 kg/h,2,"['[""ldpe:plastic processed:specification""', '""20 kg/hr:production capacity:specification""]']","[""ldpe:plastic processed:specification"" | ""20 kg/hr:production capacity:specification""]","```python
[""ldpe:plastic processed:specification"", ""20 kg/hr:production capacity:specification""]
```",
True,ldpe blown film extrusion machine,2,"['ldpe:plastic processed:specification', 'blown film extrusion machine:machine type:specification']",ldpe:plastic processed:specification | blown film extrusion machine:machine type:specification,"[""ldpe:plastic processed:specification"", ""blown film extrusion machine:machine type:specification""]",
True,gold police machine,0,[],,[],
True,herbal decoction tank,0,[],,[],
True,Gold Refining Plant,0,[],,[],
True,Rice Bran Solvent Extraction Plant,3,"['[""solvent extraction plant:usage/application:specification""', '""solvent extraction:extraction method:specification""', '""rice bran:raw material:specification""]']","[""solvent extraction plant:usage/application:specification"" | ""solvent extraction:extraction method:specification"" | ""rice bran:raw material:specification""]","```python
[""solvent extraction plant:usage/application:specification"", ""solvent extraction:extraction method:specification"", ""rice bran:raw material:specification""]
```",
True,Two Layer Blown Film Extrusion Machinery in India,2,"['two layer:layer:specification', 'india:country of origin:specification']",two layer:layer:specification | india:country of origin:specification,"[""two layer:layer:specification"", ""india:country of origin:specification""]",
True,golden refined,0,[],,"```python
[]
```",
True,clay extruder,1,['clay extruder:type:specification'],clay extruder:type:specification,"[""clay extruder:type:specification""]",
True,"wdg basket extruder machine (pesticid ), production capacity: 200 kg/hr",1,"['[""200 kg/hr:production capacity:specification""]']","[""200 kg/hr:production capacity:specification""]","```python
[""200 kg/hr:production capacity:specification""]
```",
True,basket extruder machine pesticid,0,[],,"```python
[]
```",
True,extruder machine in noida,0,[],,[],
True,Mini Extruder Machine 3 Inch to 20 Inch,2,"['[""3 inch:size:specification""', '""20 inch:size:specification""]']","[""3 inch:size:specification"" | ""20 inch:size:specification""]","```python
[""3 inch:size:specification"", ""20 inch:size:specification""]
```",
True,bitumen extractor hand operated,2,"['[""hand operated:hand operated:specification""', '""bitumen extractor:type of testing machines:specification""]']","[""hand operated:hand operated:specification"" | ""bitumen extractor:type of testing machines:specification""]","```python
[""hand operated:hand operated:specification"", ""bitumen extractor:type of testing machines:specification""]
```",
True,sliver refinery palnt 10 kg,0,[],,"```python
[]
```",
True,automatic-gold-refining-machine,2,"['automatic:automation grade:specification', 'gold refining plant:usage/application:specification']",automatic:automation grade:specification | gold refining plant:usage/application:specification,"[""automatic:automation grade:specification"", ""gold refining plant:usage/application:specification""]",
True,lichen+moss,0,[],,[],
True,solvent turmeric extraction plant,1,['solvent:extraction method:specification'],solvent:extraction method:specification,"[""solvent:extraction method:specification""]",
True,automatic 30kg silver refining machine,2,"['[""automatic:automation grade:specification""', '""30 kg:capacity(kg):specification""]']","[""automatic:automation grade:specification"" | ""30 kg:capacity(kg):specification""]","```python
[""automatic:automation grade:specification"", ""30 kg:capacity(kg):specification""]
```",
True,5 TPH Metal Recovery Plant,0,[],,"```python
[]
```",
True,2 TPH Metal Recovery Plant,0,[],,"```python
[]
```",
True,compounding twin screw extruder,0,[],,"```python
[]
```",
True,Water Extraction Machine,0,[],,"```python
[]
```",
True,Oil Cooler For Solvent Extraction Plant,0,[],,"```python
[]
```",
True,Mechanical Solvent Wax Extraction Plant,0,[],,"```python
[]
```",
True,second hand pp granules extruder machine,2,"['second hand only:i deal in:specification', 'pp:material to be extruded:specification']",second hand only:i deal in:specification | pp:material to be extruded:specification,"[""second hand only:i deal in:specification"", ""pp:material to be extruded:specification""]",
True,Corotating Twin Screw Extruder,0,[],,"```python
[]
```",
True,three layer blown film extrusion machine,2,"['three layer:layer:specification', 'blown film extrusion machine:machine type:specification']",three layer:layer:specification | blown film extrusion machine:machine type:specification,"[""three layer:layer:specification"", ""blown film extrusion machine:machine type:specification""]",
True,rajangoan sp waluj aurangabad 431136,0,[],,[],
True,Vented Extruder,0,[],,"```python
[]
```",
True,plastic tube extrusion,2,"['plastic:material to be extruded:specification', 'tube extrusion machine:machine type:specification']",plastic:material to be extruded:specification | tube extrusion machine:machine type:specification,"[""plastic:material to be extruded:specification"", ""tube extrusion machine:machine type:specification""]",
True,mulch film machine manufacturers,1,['mulch film:usage/application:specification'],mulch film:usage/application:specification,"[""mulch film:usage/application:specification""]",
True,rice-bran-solvent-extraction-plant,2,"['solvent extraction plant:usage/application:specification', 'india:country of origin:specification']",solvent extraction plant:usage/application:specification | india:country of origin:specification,"[""solvent extraction plant:usage/application:specification"", ""india:country of origin:specification""]",
True,Automatic Silver Refining Machine,2,"['automatic:automation grade:specification', 'silver:metal:specification']",automatic:automation grade:specification | silver:metal:specification,"[""automatic:automation grade:specification"", ""silver:metal:specification""]",
True,famsun,0,[],,[],
True,semi automatic centrifugal water extractor machine,2,"['semi automatic:automation grade:specification', 'automatic:type:specification']",semi automatic:automation grade:specification | automatic:type:specification,"[""semi automatic:automation grade:specification"", ""automatic:type:specification""]",
True,centrifugal water extractor machine,0,[],,"```python
[]
```",
True,aloe vera gel nikaalne wali machine,0,[],,[],
True,Ergot mushroom,0,[],,"```python
[]
```",
True,planetary extruder machine,0,[],,[],
True,planetary extruder,0,[],,"```python
[]
```",
True,Barwell Eco20 Preformer,0,[],,"```python
[]
```",
True,suldin liquid 500ml,0,[],,"```python
[]
```",
True,"लूम,प्लांट,वाइंदर एवलेबल फॉर सेल (loom plant winder available for sale)",0,[],,"```python
[]
```",
True,लूम प्लांट वाइंदर एवलेबल फॉर सेल (Loom Plant Winder Available For Sale),0,[],,"```python
[]
```",
True,Loom Plant Winder Available for Sale,0,[],,"```python
[]
```",
True,"लूम,प्लांट,वाइंदर एवलेबल फॉर सेल",0,[],,"```python
[]
```",
True,लूम प्लांट वाइंदर एवलेबल फॉर सेल,0,[],,"```python
[]
```",
True,silver refinery machine,2,"['silver:metal:specification', 'silver refining plant:usage/application:specification']",silver:metal:specification | silver refining plant:usage/application:specification,"[""silver:metal:specification"", ""silver refining plant:usage/application:specification""]",
True,Drier unit with air blast in extruder machine,0,[],,[],
True,shilajit extract plant manufactures,0,[],,[],
True,gold popular machine,0,[],,"```python
[]
```",
