"fk_im_spec_master_desc","fk_im_spec_options_desc"
Automation Grade,Automatic
Phase,Single Phase
Phase,Single Phase
Frequency,"50 Hz"
Material,SS
Phase,Single Phase
Body Material,IRON
Phase,Shegal face 1.5kelo Wat
Usage/Application,Wire & cable
Country of Origin,Made in India
Phase,Single
Voltage,"230 Volts"
Installation Services,Yes
Brand,RAJCO
Country of Origin,Made in India
Purity,"99.9% Pure"
Country of Origin,Made in India
Installation Services,Yes
Phase,single
Bowl Capacity,"5"
Product Type,self
Phase,Three Phase
Voltage,"220 V"
Country of Origin,Made in India
Country of Origin,Made in India
Usage/Application,Chemical Laboratory
Phase,Single Phase
Automation Grade,Automatic
Body Material,SS
Brand,K-Jhil
I Deal In,New Only
Automation Grade,Semi-Automatic
Automation Grade,Semi-Automatic
Voltage,"380 V"
Country of Origin,Made in India
Usage/Application,mulch film
Plastic Processed,ld
Panel Thickness,"3 mm"
Automation Grade,Semi-Automatic
I Deal In,New Only
Country of Origin,Made in India
Packaging Type,Mannered
Material,Cast Iron
Voltage Supply,"230V"
Phase,Single Phase
Usage/Application,Industrial
Material,Silver Refining Plant
Packaging Type,Silver Refining Plant
Automation Grade,automatic
Body Material,ms
Phase,"1"
Country of Origin,Made in India
Automatic Grade,Semi-Automatic
I Deal In,New Only
Automation Grade,Automatic
I Deal In,New Only
Country of Origin,Made in India
Voltage,"220V"
Body Material,SS
I Deal In,New Only
Power,"220 V"
Operation Type,Semi-Automatic
Voltage,"440 V"
Material,SS 316L
Phase,SINGLE
Heating Range,"80C"
Installation Services,Yes
Brand,Gold star
Packaging Type,wooden
Brand,HE
Phase,Single
Power Source,Electric
Capacity,"100 TPD - 1000 TPD"
Condition,New
Voltage,"440 V"
Machine Power,"0-40"
Installation Services,Yes
Brand,Ek Danta Refiners
Phase,"3 phase"
Color,white
Body Material,Mild Steel
Installation Services,Yes
Power Source,Electric
Voltage,"220v"
Color,Blue
Power,Electric
Frequency,"50/60 Hz"
Automation Grade,Semi-Automatic
Phase,Three Phase
Voltage,"440v"
Automation Grade,Automatic
Country of Origin,India
Automation Grade,Semi-Automatic
Power,"220V"
Depth,ABC
Gases,NITRIC AND HCL
Power Source,"220 V"
Temperature,"100c"
Number Of Phases,"3"
Bowl Capacity,"1.5 liter"
I Deal In,New Only
Country of Origin,Made in India
Automation Grade,SEMIAUTOMATIC
Phase,SINGLE
Voltage,"380 V"
Phase,"3 phase"
Die Size,"100MM"
Installation Services,Yes
Design Type,Solvent Extraction Plant
Oil Tank Capacity,Standard
Thickness,Standard
Driven Type,Hand and Electric
Usage/Application,For the determination of Bitumen percentage in Bituminous mixtures
Installation Services,Yes
Phase,Three Phase
Power Source,Electric
Automation Grade,Automatic
Color,Blue
Hand Operated,No
Brand,AEC
Installation Services,Yes
Brand,Microgold
Installation Services,Yes
Body Material,Stainless steel
Country of Origin,Made in India
Brand,Prasad enterprise
Automation Grade,Semi-Automatic
Voltage (V),"50hp"
Line Speed,NA
Automation Grade,Semi-Automatic
Frequency,ZZZ
Flange Width,ABC
Power Source,Electric
Temperature,"100c"
Driven Type,Electric
Installation Services,Yes
Material,Stainless steel
Phase,Three Phase
Country of Origin,Made in India
Phase,Three Phase
Voltage,"220-400 VAC"
Features,SPE
Automation Grade,Automatic
Wire Material,Stainless Steel
Installation Services,Yes
Power,"2 HP"
Material,PP  or PVDF
Automatic Grade,Automatic and Semi Automatic 
Number Of Phases,Single and Three 
Material,Stainless Steel
Usage/Application,Herbal Extraction
Machine Type,Automatic
Production Capacity,"250 mt.per month"
Installation Services,Yes
Country of Origin,Made in India
Country of Origin,Made in India
Power Source,Electric
Voltage,"220 V"
Installation Services,Yes
Machine Type,Mother Baby Extruder
Phase,"3 Phase"
Country of Origin,Made in India
Body Material,"PP, UPVC, Titanium"
Frequency,"50 Hz"
Dimension,XXX
Body Material,P.P
Frequency,ZZZ
Installation Services,Yes
Packaging Type,Export Quality
Country of Origin,Made in India
Model Name/Number,AS 48
Phase,SINGLE/THREE
Power,"2 HP"
Installation Services,Yes
Depth,ABC
Gases,NITRIC
Height,LOW
Lead,"1 KW"
Power Source,"220 V"
Temperature,"100c"
Automation Grade,Automatic
Working Area,Industrial & Commerical
Country of Origin,Made in India
Production Capacity,"500mtr/min"
Power,Electronic
Machine Power,"25 HP"
Warranty,"1 Year"
Capacity,"500 Ton"
Automation Grade,Semi-Automatic
Frequency (Hz),"50 Hz"
Brand,Kabra
Output,"140-160 (Kg/Hour)"
Machine Type,"3 Layer ABA for LDPE & HDPE"
Size,"45mm*45mm"
Pressure,"75 Bar"
Phase,Three Phase
Brand,Jt
Voltage,"415 V"
Phase,Three
Installation Services,Yes
Country of Origin,Made in India
Phase,SINGLE PHASE A.C
Voltage Supply,"230 v, 50hz"
I Deal In,New Only
Automation Grade,Manual
Automation Grade,Automatic
Material,Stainless steel
Automatic Grade,Automatic
Installation Services,Yes
Motor Power,"1 Hp"
Color,"Transparent,Silver,etc"
Brand,M tech Jewel equipment
Capacity,"25 kg"
Installation Services,Yes
Material,Mild Steel
Brand,DDRI
Country of Origin,Made in India
Power Source,Electric
Automatic Grade,Automatic
Power,"220v"
Installation Services,Yes
Installation Services,Yes
Material,ABS
Material,Galvanized Iron
Body Material,Poly Proplyene
Voltage,"415 V"
Purity,"99.9% Pure"
Automation Grade,Automatic
Phase,Three Phase
Power,"2 Kw"
Frequency,"50 Hz"
Body Material,MS
Frequency,"50 Hz"
Voltage,"440 V"
Output(kg/hr),"0-50 "
Body Material,SS
Country of Origin,Made in India
Screw L/D,"18:1"
Usage/Application,Herbal extractor plant
Body Material,SS
Brand,SGSI
Color,Blue
Installation Services,No
I Deal In,New Only
Machine Type,automatic
Automatic Grade,Semi-Automatic
Country of Origin,Made in India
Material,Mild Steel
Frequency,"50Hz"
Surface Finishing,Paint Coated
Voltage,"220V"
Material,Stainless Steel
Frequency,"50Hz"
Material Grade,All type of SS & MS
Material To Be Extruded,Plastic
Brand,Affluent extrusion
Voltage,"360 V"
Usage/Application,Industrial
Automation Grade,Automatic
Bowl Capacity,"1000 Gms"
Automation Grade,Automatic
Power,"35-40 AMP"
Model Number,RF521
Phase,Single
Heating Range,"900"
Installation Services,Yes
Automation Grade,Automatic
Motor Power,"1400 Rpm"
Body Material,MS
Application,Cable Insulation extrusion line
Brand,Peak Test
Phase,Single Phase
Automation Grade,Automatic
Body Material,PP
Automation Grade,Automatic
Material,Stainless Steel
Country of Origin,Made in India
Automation Grade,Automatic
Material,Mild Steel
Machine Type,Automatic
Weight,"1000T"
Country of Origin,Made in India
Phase,"3"
Voltage,"220 v"
Model Name/Number,AZA 0944 CENTRIFUGE EXTRACTOR (HAND OPERATED)
Model Name/Number,AZA 0946 CENTRIFUGE EXTRACTOR (MOTORISED)
Production Capacity,"100 kg/hr"
Production Capacity,"50 kg/hr"
Capacity(kg),"100 kg"
Capacity,"5 Kg"
Production Capacity,"100 kg/hr"
Capacity(kg),"30 kg"
Capacity,"100kg"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Production Capacity,"200 kg/hr"
Capacity(kg),"5 kg"
Capacity,"100g 2kg"
Capacity(kg),"10 kg"
Capacity(kg),"5 kg"
Production Capacity,"100 kg/hr"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"100 TPD"
Production Capacity,"500 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"50 TPD"
Capacity,"250 KL TO 10000 KL"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"100 kg/hr"
Production Capacity,"500 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"50 kg"
Capacity,"10 TPD"
Capacity,"50 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Production Capacity,"200 kg/hr"
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Capacity,"5 kg"
Capacity,"100 TPD"
Capacity,"2000 TPD"
Capacity,"2000 TPD"
Capacity(kg),"5 kg"
Production Capacity,"500 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Capacity,"500 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Production Capacity,"500 kg/hr"
Production Capacity,"50 kg/hr"
Production Capacity,"50 kg/hr"
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"2000 TPD"
Capacity,"100 TPD"
Production Capacity,"50 kg/hr"
Capacity,"100 TPD"
Production Capacity,"500 kg/hr"
Capacity,"100 TPD"
Capacity,"5 kg"
Capacity(kg),"10"
Capacity,"1to 200 kg"
Capacity(kg),"10 kg"
Capacity,"5 kg"
Production Capacity,"100 kg/hr"
Capacity,"10 TPD"
Packaging Size,BASED ON SIZE
Production Capacity,"100 kg/hr"
Production Capacity,"1000 kg/hr"
Production Capacity,"500 kg/hr"
Capacity,"1 to100 KG"
Capacity(kg),"10"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Capacity,"10 TPD"
Production Capacity,"500 kg/hr"
Capacity,"20 kg"
Production Capacity,"90 kg to 450 kg per hour"
Production Capacity,"50 kg/hr"
Production Capacity,"50 kg/hr"
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"10 TPD"
Capacity,"10 TPD"
Production Capacity,"140 kg/hr"
Capacity,"2000 TPD"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Capacity,"100 TPD"
Production Capacity,"200 kg/hr"
Capacity(kg),"20 kg"
Production Capacity,"100 kg/hr"
Production Capacity,more than 1000 kg/hr
Capacity,"10 TPD"
Capacity,"50 TPD"
Production Capacity,"100 kg/hr"
Capacity,"500 TPD"
Machine Type,Die Casting Equipment
Capacity,"2000 TPD"
Capacity,"100 TPD"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Capacity,"10 TPD"
Max Force Or Load,"20 Ton"
Capacity,"10 TPD"
Capacity,"100 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Production Capacity,"200 kg/hr"
Production Capacity,"50 kg/hr"
Capacity,"30 TPD"
Capacity,"100 TPD"
Capacity,"10 TPD"
Capacity(kg),"20 kg"
Capacity,"100 TPD"
Capacity,"50 kg"
Capacity,"80 kg/hr"
Capacity,"5 kg"
Production Capacity,"500 kg/hr"
Production Capacity,"90 KG/HR"
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"10 TPD"
Capacity,"10TPD"
Capacity,"10TPD"
Production Capacity,"500 kg/hr"
Production Capacity,"200 kg/hr"
Capacity,"500L"
Capacity,"10TPD"
Capacity,"10tpd"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Production Capacity,"100 kg/hr"
Capacity(kg),"200"
Capacity,"1 TPD"
Capacity,"1 TPD"
Capacity,"5000 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"10TPD and More"
Capacity(kg),"1 Kg"
Capacity,"10 TPD"
Capacity,"1"
Capacity,"1"
Capacity,"1"
Capacity(kg),"50 kg"
Capacity(kg),"40 kg"
Capacity,"100L-20 Ton"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Production Capacity,"300 kg/hr"
Capacity,"100 TPD"
Production Capacity,"50 kg/hr"
Plastic Processed,PVC
Plastic Processed,PVC
Automation Grade,Semi-Automatic
Material,Stainless Steel
Machine Type,Twin Screw Extruder
Material,C.S./S.S.
Plastic Processed,PVC
Screw Design,CONICAL
Plastic Processed,PVC
Machine Type,Twin Screw Extruder
Screw Design,CONICAL
Type,Yarn Extruder
Capacity,"10-200"
Screw Design,twin screw
Automation Grade,Semi-Automatic
Frequency,"50 Hz"
Packaging Type,BOX BASED ON PRODUCT
Capacity,"1500 g"
Automation Grade,Manual
Plastic Processed,"PVC, Resion"
Machine Type,Twin Screw Extruder
Type Of Testing Machines,Bitumen Extractor
Capacity,"2800 RPM"
Material,HDPE
Brand,HCP
Type Of Testing Machines,Bitumen
Capacity,"5 ton melting furamce"
Power,Electric
Production Capacity,"60 Kg/hour"
Material,Mild Steel
Type,Yarn Extruder
Type,Fully Automatic
Material,Mild Steel
Automation Grade,Automatic
Screw Design,Design for special application
Material,C.S./S.S.
Capacity,"2 kg"
Brand,BESTCO
Brand,Teknik
Usage/Application,hospital and hotal
Material,Stainless Steel
Machine Type,Twin Screw Extruder
Machine Type,Twin Screw Extruder
Machine Type,Twin Screw Extruder
Machine Type,Twin Screw Extruder
Machine Type,Twin Screw Extruder
Plastic Processed,PVC
Machine Type,Tube Extrusion Machine
Usage/Application,Industrial
Capacity,"1500 gm"
Machine Type,Twin Screw Extruder
Screw Design,CONICAL
Material,Metal
Material,Aluminium
Power Consumption,"55 kW"
Material to be Extruded,Plastic
No of position,"96"
Capacity(kg),"10 kg"
Production Capacity,"500 kg/hr"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity(kg),"5 kg"
Production Capacity,"500 kg/hr"
Capacity,"30 kg"
Capacity(kg),"10"
Capacity,"10 TPD"
Capacity,"100 TPD"
Capacity,"10 TPD"
Production Capacity,"100 kg/hr"
Production Capacity,"200 kg/hr"
Production Capacity,"500 kg/hr"
Capacity,"1 to 200kg"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Production Capacity,"100 kg/hr"
Capacity,"10 TPD"
Capacity(kg),"5 kg"
Capacity,"2 Kg"
Production Capacity,"100 kg/hr"
Production Capacity,"200 kg/hr"
Capacity,"10 TPD"
Production Capacity,"100 kg/hr"
Capacity,"50 TPD"
Capacity,"100 TPD"
Capacity,"1000 TPD"
Production Capacity,"100 kg/hr"
Capacity(kg),"5 kg"
Capacity,"8 Kg"
Capacity,"500 kg/hr"
Capacity,"1000 - 1100 KG PER DAY"
Capacity(kg),"20 kg"
Production Capacity,"200 kg/hr"
Capacity,"40 TPD"
Capacity,"100 TPD"
Capacity,"3 Kg"
Production Capacity,"450 Kg/hr"
Production Capacity,"200 kg/hr"
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"5000 TPD"
Capacity,"10 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Production Capacity,"300 kg/hr"
Production Capacity,"200 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"1 to 100 kg"
Capacity,"1 TO 10 kg"
Production Capacity,"100 kg/hr"
Capacity,"10 TPD"
Capacity(kg),"5 kg"
Production Capacity,"100 kg/hr"
Capacity(kg),"10 kg"
Capacity,"10 TPD"
Material,Stainless Steel
Production Capacity,"50 kg/hr"
Production Capacity,"200 kg/hr"
Production Capacity,"500 kg/hr"
Capacity,"50-500 tons per day"
Capacity,"5 kg"
Production Capacity,"100 kg/hr"
Production Capacity,"200 kg/hr"
Capacity,"10 kg"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"5 kg"
Capacity(kg),"5 kg"
Production Capacity,"100 kg/hr"
Weighing Capacity,"30 Kg"
Production Capacity,"100 kg/hr"
Production Capacity,"50 kg/hr"
Production Capacity,more than 1000 kg/hr
Capacity,"100 TPD"
Production Capacity,"500 kg/hr"
Production Capacity,"100 kg/hr"
Production Capacity,"500 kg/hr"
Capacity,"50 Kg/h"
Capacity(kg),"5 kg"
Capacity,"1000 TPD"
Capacity,"5 kg"
Production Capacity,"100 kg/hr"
Capacity,"10 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Production Capacity,"100 kg/hr"
Size,"12 mm"
Production Capacity,"500 kg/hr"
Production Capacity,"300 kg/hr"
Production Capacity,"110 Kg/hr"
Capacity,"20 kg"
Production Capacity,"100 kg/hr"
Production Capacity,"500 kg/hr"
Production Capacity,"50 kg/hr"
Capacity,"100 TPD"
Capacity,"100 kg/hr"
Capacity,"5 kg"
Capacity,"100 kg"
Capacity,"100 kg"
Capacity,"1 to 2kg"
Capacity,"3KG"
Production Capacity,"2280 kg/hr"
Production Capacity,"300 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Capacity,"10TPD"
Capacity,"10TPD"
Capacity,"10TPD"
Production Capacity,"300 kg/hr"
Capacity,"10TPD"
Capacity(kg),"10"
Capacity(kg),"10"
Capacity(kg),"5 kg"
Production Capacity,"1000 kg/hr"
Capacity(kg),"5 kg"
Capacity(kg),"5 kg"
Capacity,"1 TPD"
Capacity,"1 TPD"
Production Capacity,"200"
Capacity,"1 TPD"
Production Capacity,"200 kg/hr"
Capacity,"200 TPD"
Capacity,"200 TPD"
Capacity,"200 TPD"
Production Capacity,"500 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"200 TPD"
Capacity,"500 TPD"
Capacity,"200 TPD"
Production Capacity,"500 kg/hr"
Capacity,"200 TPD"
Production Capacity,"100 kg/hr"
Production Capacity,"300 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"100 kg"
Capacity,high
Capacity,"200 TPD"
Production Capacity,"25 Kg/hr"
Capacity,"10 kg"
Capacity,"1"
Capacity,"1"
Capacity,"1"
Capacity,"1"
Capacity,"1"
Capacity,"1"
Capacity(kg),"10"
Capacity(kg),"5 kg"
Capacity,"500 TPD"
Capacity,"10 TPD"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Capacity,"200 TPD"
Capacity,"100 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"2000 TPD"
Production Capacity,"500 kg/hr"
Production Capacity,"100 kg/hr"
Production Capacity,"500 kg/hr"
Capacity,"10 TPD"
Capacity(kg),"5 kg"
Capacity(kg),"5 kg"
Capacity,"10 TPH"
Machine Type,Twin Screw Extruder
Packaging Size,BASED ON SIZE
Capacity,unl
Automation Grade,Automatic
Screw Design,COROTATING TWIN SCREW EXTRUDER
Machine Type,Twin Screw Extruder
Screw Design,Segmented
Brand,HPMC
Type,New
Capacity,"2kg"
Frequency,"50 Hz"
Capacity,"1500gm"
Machine Type,Twin Screw Extruder
Screw Type,Bimetallic
Capacity,"1.5L"
Type,Fully Automatic
Type,Yarn Extruder
Plastic Processed,pvc
Brand,Heaven Extrusions
Plastic Processed,PVC
Type,Fully Automatic
Screw Design,CONICAL
Material,LDPE
Brand,MALIK'S
Brand,Jaybe
Brand,NAVEEN
Capacity,"1500 gms"
Type,Fully Automatic
Brand,Famsun
Material To Be Extruded,Plastic
Usage/Application,Industrial
Brand,EUREKA
Screw Design,Universal
Capacity,"1500 Gm"
Capacity,"1500 gm"
Brand,Swaraj
Industry Type,Commercial
Screw Design,CONICAL
Screw Design,Swaraj Make
Material,Mild Steel
Plastic Processed,Plastic prosesh
Plastic Processed,PVC PIPE
Platform Size,"200*200 mm"
Plastic Processed,PVC
Automation Grade,Manual
Capacity,"1500g or 3000 g"
Material To Be Extruded,Aluminium
Material To Be Extruded,Alumunium
Screw Design,Parallel
Material,PVC
Body Material,Mild Steel
Usage/Application,Fire Fighting
No of position,"48"
Application,Laboratory Use
Model Name/Number,MP/EX-TAPE-110
Production Capacity,"50 kg/hr"
Production Capacity,"500 kg/hr"
Production Capacity,"10 kg"
Capacity,"2 Kg"
Production Capacity,"100 kg/hr"
Capacity,"50 kg"
Capacity,"10 TPD"
Capacity,"10 TPD"
Production Capacity,"500 kg/hr"
Production Capacity,"500 kg/hr"
Production Capacity,"200 kg/hr"
Capacity,"10 kg"
Production Capacity,"500 kg/hr"
Production Capacity,"100 kg/hr"
Capacity(kg),"20 kg"
Capacity(kg),"10"
Production Capacity,"200 kg/hr"
Capacity,"5 kg"
Production Capacity,"500 kg/hr"
Capacity(kg),"70 kg"
Capacity,"10 TPD"
Capacity,"10 kg/hr"
Capacity,"100 TPD"
Production Capacity,"1000 kg/hr"
Production Capacity,"100 kg/hr"
Plant Capacity,"100 LPH"
Production Capacity,"100 kg/hr"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity(kg),"5 kg"
Capacity(kg),"5 kg"
Capacity,"5 kg"
Capacity,"10 kg"
Capacity(kg),"20"
Capacity,"100 TPD"
Capacity(kg),"10"
Capacity,"1 to 100 kg"
Capacity,"5 kg"
Production Capacity,"50 kg/hr"
Machine Type,Automatic
Capacity,"100 TPD"
Production Capacity,"1000 kg/hr"
Production Capacity,"200 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"50 TPD"
Capacity,"200 TPD"
Capacity,"100 TPD"
Capacity,"10 TPD"
Capacity(kg),"5 kg"
Capacity,"50 kg"
Production Capacity,"500 kg/hr"
Capacity,"5000 TPD"
Production Capacity,"50 kg/hr"
Capacity,"10 TPD"
Capacity,"5 kg"
Capacity(kg),"10 kg"
Production Capacity,"50 kg/hr"
Production Capacity,"300 kg/hr"
Production Capacity,"200 kg/hr"
Capacity,"100 TPD"
Production Capacity,"100 kg/hr"
Production Capacity,"1000 kg/hr"
Capacity(kg),"20 kg"
Capacity(kg),"5 kg"
Capacity,"10 TPD"
Capacity,"10 TPD"
Production Capacity,"500 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"2 Kg"
Production Capacity,"100 kg/hr"
Capacity,"10 TPD"
Production Capacity,"1000 kg/hr"
Capacity,"100 TPD"
Production Capacity,"1000 kg/hr"
Capacity,"5 kg"
Capacity(kg),"30"
Capacity,"100kg"
Production Capacity,"50 kg/hr"
Capacity,"25 TPH"
Production Capacity,"100 kg/hr"
Production Capacity,"50 kg/hr"
Capacity,"10 TPD"
Production Capacity,"500 kg/hr"
Production Capacity,"50 kg/hr"
Production Capacity,"500 kg/hr"
Capacity,"500 TPD"
Capacity,"5000 TPD"
Capacity(kg),"90 kg"
Capacity,"80kg"
Capacity,"10 TPD"
Capacity,"10 TPD"
Production Capacity,"100 kg/hr"
Capacity,"10 TPD"
Production Capacity,"500 kg/hr"
Capacity,"5 kg"
Capacity,"100 TPD"
Capacity,"10 TPD"
Production Capacity,"200 kg/hr"
Capacity,"5000 TPD"
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Material,Mild Steel
Capacity,"100 TPD"
Capacity,"200 TPD"
Production Capacity,"300 kg/hr"
Capacity,"2 Kg"
Production Capacity,"50 kg/hr"
Capacity,"5 kg"
Production Capacity,more than 1000 kg/hr
Capacity,"100 kg/hr"
Capacity,"1TPD"
Capacity,"10TPD"
Capacity,"10TPD"
Capacity,"10tpd"
Production Capacity,"200 kg/hr"
Production Capacity,"100 kg/hr"
Capacity(kg),"10 kg"
Capacity,"1 TPD"
Production Capacity,"100 kg/hr"
Capacity,"1 TPD"
Capacity,"1 TPD"
Capacity,"1 TPD"
Capacity,"1 TPD"
Capacity(kg),"20 kg"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"200 TPD"
Capacity,"200 TDP"
Capacity,"20 ton to 300 ton"
Capacity,"5 kg"
Capacity,"100 TPD"
Production Capacity,"200 kg/hr"
Capacity,"100 TPD"
Capacity,"200 TPD"
Production Capacity,"100 kg/hr"
Production Capacity,"50 kg/hr"
Capacity,"100 L"
Capacity(kg),"10 kg"
Capacity,"20 kg"
Production Capacity,"200 kg/hr"
Capacity,"1"
Capacity,"1"
Capacity,"1"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"200 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"1000 TPD"
Production Capacity,"250 to 300 kg/hr"
Production Capacity,"1000 kg/hr"
Capacity,"100 TPD"
Production Capacity,"500 kg/hr"
Capacity,"25 kg/batch to 50 TPD"
Capacity(kg),"5 kg"
Type,Fully Automatic
Capacity,"500 g"
Material To Be Extruded,Aluminium
Plastic Processed,PVC
Material,Mild Steel
Electricity Connection,Single Phase
Packaging Type,Based on size
Capacity,"1500 grams"
