success,query,gemini_attr_count,gemini_isq_list,gemini_isq_pipe,gemini_raw_output
True,ricebran esterification plant,2,"['ricebran:material:specification', 'esterification:type:specification']",ricebran:material:specification | esterification:type:specification,"[""ricebran:material:specification"", ""esterification:type:specification""]"
True,gold-refining-plant,2,"['gold refining:usage:specification', 'plant:type:specification']",gold refining:usage:specification | plant:type:specification,"[""gold refining:usage:specification"", ""plant:type:specification""]"
True,ld extruder machine,2,"['extruder:type:specification', 'ld:material:specification']",extruder:type:specification | ld:material:specification,"[""extruder:type:specification"", ""ld:material:specification""]"
True,65mm ld extruder machine,3,"['65mm:size:specification', 'ld:material:specification', 'extruder:type:specification']",65mm:size:specification | ld:material:specification | extruder:type:specification,"[""65mm:size:specification"", ""ld:material:specification"", ""extruder:type:specification""]"
True,Solvent Extraction Plant Equipment,2,"['solvent extraction:usage:specification', 'equipment:product:specification']",solvent extraction:usage:specification | equipment:product:specification,"[""solvent extraction:usage:specification"", ""equipment:product:specification""]"
True,lab scale twin screw extruder,2,"['lab scale:usage:specification', 'twin screw extruder:type:specification']",lab scale:usage:specification | twin screw extruder:type:specification,"[""lab scale:usage:specification"", ""twin screw extruder:type:specification""]"
True,Silver Refining Plant,2,"['silver:usage:specification', 'refining:type:specification']",silver:usage:specification | refining:type:specification,"[""silver:usage:specification"", ""refining:type:specification""]"
True,Rice Bran Oil Extraction Plant and Machinery,4,"['rice bran oil:material:specification', 'extraction:process:specification', 'plant:type:specification', 'machinery:type:specification']",rice bran oil:material:specification | extraction:process:specification | plant:type:specification | machinery:type:specification,"[""rice bran oil:material:specification"", ""extraction:process:specification"", ""plant:type:specification"", ""machinery:type:specification""]"
True,twin screw extruder 50 kg/hr extruder machine,3,"['[""twin screw:type:specification""', '""50 kg/hr:capacity:specification""', '""extruder:type:specification""]']","[""twin screw:type:specification"" | ""50 kg/hr:capacity:specification"" | ""extruder:type:specification""]","```
[""twin screw:type:specification"", ""50 kg/hr:capacity:specification"", ""extruder:type:specification""]
```"
True,gold refining machine,2,"['gold:usage:specification', 'refining:process:specification']",gold:usage:specification | refining:process:specification,"[""gold:usage:specification"", ""refining:process:specification""]"
True,co rotating twin screw extruders,2,"['co rotating twin screw:type:specification', 'extruders:product:specification']",co rotating twin screw:type:specification | extruders:product:specification,"[""co rotating twin screw:type:specification"", ""extruders:product:specification""]"
True,Electric Wood Shavings Extractor,3,"['electric:power_source:specification', 'wood shavings:material:specification', 'extractor:type:specification']",electric:power_source:specification | wood shavings:material:specification | extractor:type:specification,"[""electric:power_source:specification"", ""wood shavings:material:specification"", ""extractor:type:specification""]"
True,Automatic Monolayer Blown Film Extrusion Machine,4,"['automatic:feature:specification', 'monolayer:layer:specification', 'film:usage:specification', 'extrusion:machine type:specification']",automatic:feature:specification | monolayer:layer:specification | film:usage:specification | extrusion:machine type:specification,"[""automatic:feature:specification"", ""monolayer:layer:specification"", ""film:usage:specification"", ""extrusion:machine type:specification""]"
True,Extruder,1,['extruder:type:specification'],extruder:type:specification,"[""extruder:type:specification""]"
True,co extruder machine,1,['extruder:type:specification'],extruder:type:specification,"[""extruder:type:specification""]"
True,Solid Phase Extraction vacuum Manifold,2,"['solid phase extraction:type:specification', 'vacuum manifold:type:specification']",solid phase extraction:type:specification | vacuum manifold:type:specification,"[""solid phase extraction:type:specification"", ""vacuum manifold:type:specification""]"
True,Aluminum Plant,2,"['aluminum:material:specification', 'plant:type:specification']",aluminum:material:specification | plant:type:specification,"[""aluminum:material:specification"", ""plant:type:specification""]"
True,rag gold refined,1,['gold:material:specification'],gold:material:specification,"[""gold:material:specification""]"
True,benchtop extruder,2,"['extruder:type:specification', 'benchtop:usage:specification']",extruder:type:specification | benchtop:usage:specification,"[""extruder:type:specification"", ""benchtop:usage:specification""]"
True,Metal Refining Plant,2,"['metal:material:specification', 'refining:type:specification']",metal:material:specification | refining:type:specification,"[""metal:material:specification"", ""refining:type:specification""]"
True,soap extruder machine,2,"['soap:product:specification', 'extruder:type:specification']",soap:product:specification | extruder:type:specification,"[""soap:product:specification"", ""extruder:type:specification""]"
True,Automatic Gold Refining Machine,2,"['gold refining:usage:specification', 'automatic:feature:specification']",gold refining:usage:specification | automatic:feature:specification,"[""gold refining:usage:specification"", ""automatic:feature:specification""]"
True,Cable Extruder,2,"['cable:usage:specification', 'extruder:type:specification']",cable:usage:specification | extruder:type:specification,"[""cable:usage:specification"", ""extruder:type:specification""]"
True,extruder-machine,1,['extruder:type:specification'],extruder:type:specification,"[""extruder:type:specification""]"
True,Mini Extruder Machine,2,"['extruder:type:specification', 'mini:size:specification']",extruder:type:specification | mini:size:specification,"[""extruder:type:specification"", ""mini:size:specification""]"
True,Twin Screw Extruder,2,"['twin screw:type:specification', 'extruder:type:specification']",twin screw:type:specification | extruder:type:specification,"[""twin screw:type:specification"", ""extruder:type:specification""]"
True,blown-film-extrusion-machine,2,"['film:usage:specification', 'extrusion:machine type:specification']",film:usage:specification | extrusion:machine type:specification,"[""film:usage:specification"", ""extrusion:machine type:specification""]"
True,cable extruder machine,2,"['cable:usage:specification', 'extruder:type:specification']",cable:usage:specification | extruder:type:specification,"[""cable:usage:specification"", ""extruder:type:specification""]"
True,pv solar cable extrusion line machines - labh group,2,"['[""pv solar cable:product:specification""', '""extrusion line:type:specification""]']","[""pv solar cable:product:specification"" | ""extrusion line:type:specification""]","```
[""pv solar cable:product:specification"", ""extrusion line:type:specification""]
```"
True,pvc cable extruder,3,"['pvc:material:specification', 'cable:usage:specification', 'extruder:type:specification']",pvc:material:specification | cable:usage:specification | extruder:type:specification,"[""pvc:material:specification"", ""cable:usage:specification"", ""extruder:type:specification""]"
True,extruder 180 sq mm cables,3,"['extruder:type:specification', '180 sq mm:size:specification', 'cables:product:specification']",extruder:type:specification | 180 sq mm:size:specification | cables:product:specification,"[""extruder:type:specification"", ""180 sq mm:size:specification"", ""cables:product:specification""]"
True,twin screw extruder ldpe plastic recycling line  production capacity: 500 kghr,4,"['[""twin screw extruder:type:specification""', '""ldpe:material:specification""', '""plastic recycling:usage:specification""', '""500 kghr:capacity:numeric""]']","[""twin screw extruder:type:specification"" | ""ldpe:material:specification"" | ""plastic recycling:usage:specification"" | ""500 kghr:capacity:numeric""]","```
[""twin screw extruder:type:specification"", ""ldpe:material:specification"", ""plastic recycling:usage:specification"", ""500 kghr:capacity:numeric""]
```"
True,"Twin Screw Extruder Ldpe Plastic Recycling Line, Production Capacity: 500 kg/hr",4,"['[""twin screw extruder:type:specification""', '""ldpe:material:specification""', '""plastic recycling:usage:specification""', '""500 kg/hr:capacity:numeric""]']","[""twin screw extruder:type:specification"" | ""ldpe:material:specification"" | ""plastic recycling:usage:specification"" | ""500 kg/hr:capacity:numeric""]","```
[""twin screw extruder:type:specification"", ""ldpe:material:specification"", ""plastic recycling:usage:specification"", ""500 kg/hr:capacity:numeric""]
```"
True,extruder 180 sq mm,2,"['180 sq mm:size:specification', 'extruder:type:specification']",180 sq mm:size:specification | extruder:type:specification,"[""180 sq mm:size:specification"", ""extruder:type:specification""]"
True,ABA 2 Layer Blown Film Machine,3,"['blown film:type:specification', '2 layer:configuration:specification', 'aba:model:specification']",blown film:type:specification | 2 layer:configuration:specification | aba:model:specification,"[""blown film:type:specification"", ""2 layer:configuration:specification"", ""aba:model:specification""]"
True,Herbal Extraction Plant,2,"['herbal:usage:specification', 'extraction:type:specification']",herbal:usage:specification | extraction:type:specification,"[""herbal:usage:specification"", ""extraction:type:specification""]"
True,Liquid Extraction Systems,2,"['liquid:material:specification', 'extraction:type:specification']",liquid:material:specification | extraction:type:specification,"[""liquid:material:specification"", ""extraction:type:specification""]"
True,Aluminum Extrusion Plant,2,"['aluminum:material:specification', 'extrusion:machine type:specification']",aluminum:material:specification | extrusion:machine type:specification,"[""aluminum:material:specification"", ""extrusion:machine type:specification""]"
True,Aluminium Ectrusion Plant.,2,"['aluminium:material:specification', 'ectrusion:machine type:specification']",aluminium:material:specification | ectrusion:machine type:specification,"[""aluminium:material:specification"", ""ectrusion:machine type:specification""]"
True,Aluminium Extrusion Plant,2,"['aluminium:material:specification', 'extrusion:machine type:specification']",aluminium:material:specification | extrusion:machine type:specification,"[""aluminium:material:specification"", ""extrusion:machine type:specification""]"
True,solvent-extraction-systems,1,['solvent extraction:usage:specification'],solvent extraction:usage:specification,"[""solvent extraction:usage:specification""]"
True,complete aluminum extrusion plant .,2,"['aluminum:material:specification', 'extrusion:machine type:specification']",aluminum:material:specification | extrusion:machine type:specification,"[""aluminum:material:specification"", ""extrusion:machine type:specification""]"
True,Gold Refining Equipment,3,"['gold:usage:specification', 'refining:process:specification', 'equipment:product:specification']",gold:usage:specification | refining:process:specification | equipment:product:specification,"[""gold:usage:specification"", ""refining:process:specification"", ""equipment:product:specification""]"
True,Cannabis Extraction Plant,2,"['cannabis:usage:specification', 'extraction:type:specification']",cannabis:usage:specification | extraction:type:specification,"[""cannabis:usage:specification"", ""extraction:type:specification""]"
True,Herbal Extraction Plant Machinery,3,"['herbal:usage:specification', 'extraction:process:specification', 'machinery:type:specification']",herbal:usage:specification | extraction:process:specification | machinery:type:specification,"[""herbal:usage:specification"", ""extraction:process:specification"", ""machinery:type:specification""]"
True,Basket Extruder Machine,2,"['extruder:type:specification', 'basket:type:specification']",extruder:type:specification | basket:type:specification,"[""extruder:type:specification"", ""basket:type:specification""]"
True,5 kg automatic gold refining machine,3,"['5 kg:capacity:specification', 'gold refining:usage:specification', 'automatic:feature:specification']",5 kg:capacity:specification | gold refining:usage:specification | automatic:feature:specification,"[""5 kg:capacity:specification"", ""gold refining:usage:specification"", ""automatic:feature:specification""]"
True,food grade twin screw extruder,2,"['food grade:usage:specification', 'twin screw extruder:type:specification']",food grade:usage:specification | twin screw extruder:type:specification,"[""food grade:usage:specification"", ""twin screw extruder:type:specification""]"
True,bollman extractor material,2,"['extractor:type:specification', 'material:usage:specification']",extractor:type:specification | material:usage:specification,"[""extractor:type:specification"", ""material:usage:specification""]"
True,Extraction Plants and Extruders,2,"['extraction:type:specification', 'extruder:type:specification']",extraction:type:specification | extruder:type:specification,"[""extraction:type:specification"", ""extruder:type:specification""]"
True,twin screw extruder for lab,2,"['twin screw extruder:type:specification', 'lab:usage:specification']",twin screw extruder:type:specification | lab:usage:specification,"[""twin screw extruder:type:specification"", ""lab:usage:specification""]"
True,twin screw extruder for plastics,2,"['twin screw:type:specification', 'plastics:material:specification']",twin screw:type:specification | plastics:material:specification,"[""twin screw:type:specification"", ""plastics:material:specification""]"
True,Bench-top Co-rotating Twin-screw Extruders,3,"['bench-top:usage:specification', 'co-rotating twin-screw:type:specification', 'extruders:product:specification']",bench-top:usage:specification | co-rotating twin-screw:type:specification | extruders:product:specification,"[""bench-top:usage:specification"", ""co-rotating twin-screw:type:specification"", ""extruders:product:specification""]"
True,Metal solvent extraction plant,2,"['metal:material:specification', 'solvent extraction:usage:specification']",metal:material:specification | solvent extraction:usage:specification,"[""metal:material:specification"", ""solvent extraction:usage:specification""]"
True,gold tunch machine,2,"['gold:material:specification', 'tunch:type:specification']",gold:material:specification | tunch:type:specification,"[""gold:material:specification"", ""tunch:type:specification""]"
True,Hira Solvent Extraction Parts,2,"['solvent extraction:usage:specification', 'parts:product:specification']",solvent extraction:usage:specification | parts:product:specification,"[""solvent extraction:usage:specification"", ""parts:product:specification""]"
True,automatic no Twin Screw Extruder,2,"['automatic:feature:specification', 'twin screw extruder:type:specification']",automatic:feature:specification | twin screw extruder:type:specification,"[""automatic:feature:specification"", ""twin screw extruder:type:specification""]"
True,एक्सट्रूडर₹1.5 – ₹ 2 लाख,2,"['₹1.5 – ₹ 2 लाख:price:specification', 'एक्सट्रूडर:type:specification']",₹1.5 – ₹ 2 लाख:price:specification | एक्सट्रूडर:type:specification,"[""₹1.5 – ₹ 2 लाख:price:specification"", ""एक्सट्रूडर:type:specification""]"
True,Artificial Rice Extrusion Plant,2,"['artificial rice:product:specification', 'extrusion:machine type:specification']",artificial rice:product:specification | extrusion:machine type:specification,"[""artificial rice:product:specification"", ""extrusion:machine type:specification""]"
True,Gold Refining,2,"['gold:usage:specification', 'refining:process:specification']",gold:usage:specification | refining:process:specification,"[""gold:usage:specification"", ""refining:process:specification""]"
True,wire extruder head,2,"['wire:material:specification', 'extruder head:component:specification']",wire:material:specification | extruder head:component:specification,"[""wire:material:specification"", ""extruder head:component:specification""]"
True,25 mm wire extruder head,3,"['25 mm:size:specification', 'wire:material:specification', 'extruder head:type:specification']",25 mm:size:specification | wire:material:specification | extruder head:type:specification,"[""25 mm:size:specification"", ""wire:material:specification"", ""extruder head:type:specification""]"
True,tube extrusion machine 500 kg/hr extruder machine,4,"['[""tube:product:specification""', '""extrusion:machine type:specification""', '""500 kg/hr:capacity:specification""', '""extruder:type:specification""]']","[""tube:product:specification"" | ""extrusion:machine type:specification"" | ""500 kg/hr:capacity:specification"" | ""extruder:type:specification""]","```
[""tube:product:specification"", ""extrusion:machine type:specification"", ""500 kg/hr:capacity:specification"", ""extruder:type:specification""]
```"
True,14000 RPM Centrifuge Extractor,2,"['14000:speed:specification', 'centrifuge extractor:product:specification']",14000:speed:specification | centrifuge extractor:product:specification,"[""14000:speed:specification"", ""centrifuge extractor:product:specification""]"
True,Hand Operated Bitumen Extractor,3,"['bitumen:material:specification', 'extractor:type:specification', 'hand operated:operation:specification']",bitumen:material:specification | extractor:type:specification | hand operated:operation:specification,"[""bitumen:material:specification"", ""extractor:type:specification"", ""hand operated:operation:specification""]"
True,gold elctro refiing equpement,2,"['gold:material:specification', 'refining:type:specification']",gold:material:specification | refining:type:specification,"[""gold:material:specification"", ""refining:type:specification""]"
True,New Jockey Extruder,1,['extruder:type:specification'],extruder:type:specification,"[""extruder:type:specification""]"
True,two layer blown film extrusion machine,3,"['two layer:layer:specification', 'film:usage:specification', 'extrusion:machine type:specification']",two layer:layer:specification | film:usage:specification | extrusion:machine type:specification,"[""two layer:layer:specification"", ""film:usage:specification"", ""extrusion:machine type:specification""]"
True,एक्सट्रूडर₹1.5 – ₹5 लाख,2,"['₹1.5 – ₹5 लाख:price:specification', 'एक्सट्रूडर:type:specification']",₹1.5 – ₹5 लाख:price:specification | एक्सट्रूडर:type:specification,"[""₹1.5 – ₹5 लाख:price:specification"", ""एक्सट्रूडर:type:specification""]"
True,Aluminum Extrusion Laboratory Installation Service,3,"['[""aluminum:material:specification""', '""extrusion:machine type:specification""', '""laboratory:usage:specification""]']","[""aluminum:material:specification"" | ""extrusion:machine type:specification"" | ""laboratory:usage:specification""]","```
[""aluminum:material:specification"", ""extrusion:machine type:specification"", ""laboratory:usage:specification""]
```"
True,herbal-extraction-plant,2,"['herbal:usage:specification', 'extraction:type:specification']",herbal:usage:specification | extraction:type:specification,"[""herbal:usage:specification"", ""extraction:type:specification""]"
True,oleoresin extraction plants,2,"['oleoresin:product:specification', 'extraction:type:specification']",oleoresin:product:specification | extraction:type:specification,"[""oleoresin:product:specification"", ""extraction:type:specification""]"
True,Steer Alpha18 Twin Screw Extruder,3,"['alpha18:model:specification', 'twin screw:type:specification', 'extruder:type:specification']",alpha18:model:specification | twin screw:type:specification | extruder:type:specification,"[""alpha18:model:specification"", ""twin screw:type:specification"", ""extruder:type:specification""]"
True,2 kg automatic electrolytic gold refinery machine,4,"['2 kg:capacity:specification', 'automatic:feature:specification', 'electrolytic:type:specification', 'gold refinery:product:specification']",2 kg:capacity:specification | automatic:feature:specification | electrolytic:type:specification | gold refinery:product:specification,"[""2 kg:capacity:specification"", ""automatic:feature:specification"", ""electrolytic:type:specification"", ""gold refinery:product:specification""]"
True,2 kg fully automatic gold dust refinery machine (titanium body  aqua regia processing),6,"['[""2 kg:capacity:specification""', '""gold dust:material:specification""', '""refinery:type:specification""', '""fully automatic:feature:specification""', '""titanium:material:specification""', '""aqua regia processing:usage:specification""]']","[""2 kg:capacity:specification"" | ""gold dust:material:specification"" | ""refinery:type:specification"" | ""fully automatic:feature:specification"" | ""titanium:material:specification"" | ""aqua regia processing:usage:specification""]","```
[""2 kg:capacity:specification"", ""gold dust:material:specification"", ""refinery:type:specification"", ""fully automatic:feature:specification"", ""titanium:material:specification"", ""aqua regia processing:usage:specification""]
```"
True,"2 kg Fully Automatic Gold Dust Refinery Machine (Titanium Body, Aqua Regia Processing)",6,"['[""2 kg:capacity:specification""', '""gold dust:material:specification""', '""refinery:type:specification""', '""fully automatic:feature:specification""', '""titanium:material:specification""', '""aqua regia processing:feature:specification""]']","[""2 kg:capacity:specification"" | ""gold dust:material:specification"" | ""refinery:type:specification"" | ""fully automatic:feature:specification"" | ""titanium:material:specification"" | ""aqua regia processing:feature:specification""]","```
[""2 kg:capacity:specification"", ""gold dust:material:specification"", ""refinery:type:specification"", ""fully automatic:feature:specification"", ""titanium:material:specification"", ""aqua regia processing:feature:specification""]
```"
True,automatic gold refining machine manfacturer 2kg in egypt  capacity(kg): 20 kg,6,"['[""gold refining:usage:specification""', '""automatic:feature:specification""', '""machine:type:specification""', '""2kg:capacity:specification""', '""egypt:location:specification""', '""20 kg:capacity:specification""]']","[""gold refining:usage:specification"" | ""automatic:feature:specification"" | ""machine:type:specification"" | ""2kg:capacity:specification"" | ""egypt:location:specification"" | ""20 kg:capacity:specification""]","```
[""gold refining:usage:specification"", ""automatic:feature:specification"", ""machine:type:specification"", ""2kg:capacity:specification"", ""egypt:location:specification"", ""20 kg:capacity:specification""]
```"
True,"Automatic Gold Refining Machine Manfacturer 2kg In Egypt, Capacity(kg): 20 kg",5,"['[""gold refining:usage:specification""', '""machine:type:specification""', '""2kg:capacity:specification""', '""egypt:location:specification""', '""20 kg:capacity:specification""]']","[""gold refining:usage:specification"" | ""machine:type:specification"" | ""2kg:capacity:specification"" | ""egypt:location:specification"" | ""20 kg:capacity:specification""]","```
[""gold refining:usage:specification"", ""machine:type:specification"", ""2kg:capacity:specification"", ""egypt:location:specification"", ""20 kg:capacity:specification""]
```"
True,automatic gold refining machine 2kg,3,"['[""gold refining:usage:specification""', '""automatic:feature:specification""', '""2kg:capacity:specification""]']","[""gold refining:usage:specification"" | ""automatic:feature:specification"" | ""2kg:capacity:specification""]","```
[""gold refining:usage:specification"", ""automatic:feature:specification"", ""2kg:capacity:specification""]
```"
True,Extruder Cutter,2,"['extruder:type:specification', 'cutter:type:specification']",extruder:type:specification | cutter:type:specification,"[""extruder:type:specification"", ""cutter:type:specification""]"
True,automaticsilverrefiningplant50kg,2,"['silver refining:usage:specification', '50kg:capacity:specification']",silver refining:usage:specification | 50kg:capacity:specification,"[""silver refining:usage:specification"", ""50kg:capacity:specification""]"
True,Automatic Silver Refining Plant (50kg),3,"['silver:material:specification', 'refining:type:specification', '50kg:capacity:specification']",silver:material:specification | refining:type:specification | 50kg:capacity:specification,"[""silver:material:specification"", ""refining:type:specification"", ""50kg:capacity:specification""]"
True,silver refiningplant,2,"['silver:usage:specification', 'refining:type:specification']",silver:usage:specification | refining:type:specification,"[""silver:usage:specification"", ""refining:type:specification""]"
True,PP Sheet Extruder Machine,2,"['pp:material:specification', 'extruder:type:specification']",pp:material:specification | extruder:type:specification,"[""pp:material:specification"", ""extruder:type:specification""]"
True,automatic+silver+refining+plant+(50kg),3,"['[""silver:material:specification""', '""refining:type:specification""', '""automatic:feature:specification""]']","[""silver:material:specification"" | ""refining:type:specification"" | ""automatic:feature:specification""]","```
[""silver:material:specification"", ""refining:type:specification"", ""automatic:feature:specification""]
```"
True,10 Silver Refining Plant,2,"['silver:material:specification', 'refining:type:specification']",silver:material:specification | refining:type:specification,"[""silver:material:specification"", ""refining:type:specification""]"
True,silver gold refining machine,3,"['silver:material:specification', 'gold:material:specification', 'refining:type:specification']",silver:material:specification | gold:material:specification | refining:type:specification,"[""silver:material:specification"", ""gold:material:specification"", ""refining:type:specification""]"
True,Solvent Extraction Systems,2,"['solvent extraction:usage:specification', 'systems:type:specification']",solvent extraction:usage:specification | systems:type:specification,"[""solvent extraction:usage:specification"", ""systems:type:specification""]"
True,5Kg Gold  Refining Machine,3,"['5kg:capacity:specification', 'gold:usage:specification', 'refining:type:specification']",5kg:capacity:specification | gold:usage:specification | refining:type:specification,"[""5kg:capacity:specification"", ""gold:usage:specification"", ""refining:type:specification""]"
True,Extraction Machinery,2,"['extraction:type:specification', 'machinery:type:specification']",extraction:type:specification | machinery:type:specification,"[""extraction:type:specification"", ""machinery:type:specification""]"
True,Bak,1,['bak:product:specification'],bak:product:specification,"[""bak:product:specification""]"
True,Centrifuge Extractor,2,"['centrifuge:type:specification', 'extractor:product:specification']",centrifuge:type:specification | extractor:product:specification,"[""centrifuge:type:specification"", ""extractor:product:specification""]"
True,automatic silver refining plant,3,"['silver:material:specification', 'refining:type:specification', 'automatic:feature:specification']",silver:material:specification | refining:type:specification | automatic:feature:specification,"[""silver:material:specification"", ""refining:type:specification"", ""automatic:feature:specification""]"
True,silver-refining--plant,2,"['silver:usage:specification', 'refining:type:specification']",silver:usage:specification | refining:type:specification,"[""silver:usage:specification"", ""refining:type:specification""]"
True,Gold Refining System Plant,3,"['gold:usage:specification', 'refining:process:specification', 'system:type:specification']",gold:usage:specification | refining:process:specification | system:type:specification,"[""gold:usage:specification"", ""refining:process:specification"", ""system:type:specification""]"
True,Plastic Sheet Extrusion Plant,2,"['plastic:material:specification', 'extrusion:machine type:specification']",plastic:material:specification | extrusion:machine type:specification,"[""plastic:material:specification"", ""extrusion:machine type:specification""]"
True,thiokol lp 12,1,['thiokol lp 12:product:specification'],thiokol lp 12:product:specification,"[""thiokol lp 12:product:specification""]"
True,silver refinery,2,"['silver:usage:specification', 'refinery:type:specification']",silver:usage:specification | refinery:type:specification,"[""silver:usage:specification"", ""refinery:type:specification""]"
True,Extruder Machine mother baby,3,"['extruder:type:specification', 'baby:usage:specification', 'mother:usage:specification']",extruder:type:specification | baby:usage:specification | mother:usage:specification,"[""extruder:type:specification"", ""baby:usage:specification"", ""mother:usage:specification""]"
True,T Die Sheet Extruder Machine,3,"['sheet:product:specification', 'extruder:type:specification', 'T Die:type:specification']",sheet:product:specification | extruder:type:specification | T Die:type:specification,"[""sheet:product:specification"", ""extruder:type:specification"", ""T Die:type:specification""]"
True,5HP Twin Screw Extruder,3,"['5HP:power:specification', 'twin screw:type:specification', 'extruder:type:specification']",5HP:power:specification | twin screw:type:specification | extruder:type:specification,"[""5HP:power:specification"", ""twin screw:type:specification"", ""extruder:type:specification""]"
True,solvent plant,1,['solvent:usage:specification'],solvent:usage:specification,"[""solvent:usage:specification""]"
True,Two Layer Blown Film Extrusion Plant Exporter,3,"['[""two layer:layer:specification""', '""blown film:usage:specification""', '""extrusion:machine type:specification""]']","[""two layer:layer:specification"" | ""blown film:usage:specification"" | ""extrusion:machine type:specification""]","```
[""two layer:layer:specification"", ""blown film:usage:specification"", ""extrusion:machine type:specification""]
```"
True,PVC  Cable Extrusion Plant,3,"['pvc:material:specification', 'cable:product:specification', 'extrusion:machine type:specification']",pvc:material:specification | cable:product:specification | extrusion:machine type:specification,"[""pvc:material:specification"", ""cable:product:specification"", ""extrusion:machine type:specification""]"
True,gold and silver refining machine,3,"['gold:material:specification', 'silver:material:specification', 'refining:type:specification']",gold:material:specification | silver:material:specification | refining:type:specification,"[""gold:material:specification"", ""silver:material:specification"", ""refining:type:specification""]"
True,Rice Bran Preparatory Section,2,"['rice bran:material:specification', 'preparatory:type:specification']",rice bran:material:specification | preparatory:type:specification,"[""rice bran:material:specification"", ""preparatory:type:specification""]"
True,lab scale twin screw extruder 40 (kw) capacity:10 - 50 (kg/hour),6,"['[""extruder:type:specification""', '""lab scale:usage:specification""', '""twin screw:type:specification""', '""40:power:numeric""', '""10 - 50:capacity:numeric""', '""kg/hour:capacity_unit:unit""]']","[""extruder:type:specification"" | ""lab scale:usage:specification"" | ""twin screw:type:specification"" | ""40:power:numeric"" | ""10 - 50:capacity:numeric"" | ""kg/hour:capacity_unit:unit""]","```
[""extruder:type:specification"", ""lab scale:usage:specification"", ""twin screw:type:specification"", ""40:power:numeric"", ""10 - 50:capacity:numeric"", ""kg/hour:capacity_unit:unit""]
```"
True,Order Refine Machines,1,['refine:type:specification'],refine:type:specification,"[""refine:type:specification""]"
True,PP Mat Extruders,3,"['pp:material:specification', 'mat:product:specification', 'extruder:type:specification']",pp:material:specification | mat:product:specification | extruder:type:specification,"[""pp:material:specification"", ""mat:product:specification"", ""extruder:type:specification""]"
True,film extrusion,2,"['film:usage:specification', 'extrusion:machine type:specification']",film:usage:specification | extrusion:machine type:specification,"[""film:usage:specification"", ""extrusion:machine type:specification""]"
