query,qmeans_attr_count,gemini_attr_count,gemma_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,gemma_attr_key_1,gemma_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,gemma_attr_key_2,gemma_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,gemma_attr_key_3,gemma_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,gemma_attr_key_4,gemma_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,gemma_attr_key_5,gemma_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,gemma_attr_key_6,gemma_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,gemma_attr_key_7,gemma_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,gemma_attr_key_8,gemma_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9,gemma_attr_key_9,gemma_attr_value_9,COUNT_MATCH,HIGH_COUNT,qmeans_vs_gemini_attr_1_key_match,qmeans_vs_gemini_attr_1_value_match,qmeans_vs_gemini_attr_2_key_match,qmeans_vs_gemini_attr_2_value_match,qmeans_vs_gemini_attr_3_key_match,qmeans_vs_gemini_attr_3_value_match,qmeans_vs_gemini_attr_4_key_match,qmeans_vs_gemini_attr_4_value_match,qmeans_vs_gemini_attr_5_key_match,qmeans_vs_gemini_attr_5_value_match,qmeans_vs_gemini_attr_6_key_match,qmeans_vs_gemini_attr_6_value_match,qmeans_vs_gemini_attr_7_key_match,qmeans_vs_gemini_attr_7_value_match,qmeans_vs_gemini_attr_8_key_match,qmeans_vs_gemini_attr_8_value_match,qmeans_vs_gemini_attr_9_key_match,qmeans_vs_gemini_attr_9_value_match,gemini_vs_qmeans_attr_1_key_match,gemini_vs_qmeans_attr_1_value_match,gemini_vs_qmeans_attr_2_key_match,gemini_vs_qmeans_attr_2_value_match,gemini_vs_qmeans_attr_3_key_match,gemini_vs_qmeans_attr_3_value_match,gemini_vs_qmeans_attr_4_key_match,gemini_vs_qmeans_attr_4_value_match,gemini_vs_qmeans_attr_5_key_match,gemini_vs_qmeans_attr_5_value_match,gemini_vs_qmeans_attr_6_key_match,gemini_vs_qmeans_attr_6_value_match,gemini_vs_qmeans_attr_7_key_match,gemini_vs_qmeans_attr_7_value_match,gemini_vs_qmeans_attr_8_key_match,gemini_vs_qmeans_attr_8_value_match,gemini_vs_qmeans_attr_9_key_match,gemini_vs_qmeans_attr_9_value_match,qmeans_vs_gemma_attr_1_key_match,qmeans_vs_gemma_attr_1_value_match,qmeans_vs_gemma_attr_2_key_match,qmeans_vs_gemma_attr_2_value_match,qmeans_vs_gemma_attr_3_key_match,qmeans_vs_gemma_attr_3_value_match,qmeans_vs_gemma_attr_4_key_match,qmeans_vs_gemma_attr_4_value_match,qmeans_vs_gemma_attr_5_key_match,qmeans_vs_gemma_attr_5_value_match,qmeans_vs_gemma_attr_6_key_match,qmeans_vs_gemma_attr_6_value_match,qmeans_vs_gemma_attr_7_key_match,qmeans_vs_gemma_attr_7_value_match,qmeans_vs_gemma_attr_8_key_match,qmeans_vs_gemma_attr_8_value_match,qmeans_vs_gemma_attr_9_key_match,qmeans_vs_gemma_attr_9_value_match,gemma_vs_qmeans_attr_1_key_match,gemma_vs_qmeans_attr_1_value_match,gemma_vs_qmeans_attr_2_key_match,gemma_vs_qmeans_attr_2_value_match,gemma_vs_qmeans_attr_3_key_match,gemma_vs_qmeans_attr_3_value_match,gemma_vs_qmeans_attr_4_key_match,gemma_vs_qmeans_attr_4_value_match,gemma_vs_qmeans_attr_5_key_match,gemma_vs_qmeans_attr_5_value_match,gemma_vs_qmeans_attr_6_key_match,gemma_vs_qmeans_attr_6_value_match,gemma_vs_qmeans_attr_7_key_match,gemma_vs_qmeans_attr_7_value_match,gemma_vs_qmeans_attr_8_key_match,gemma_vs_qmeans_attr_8_value_match,gemma_vs_qmeans_attr_9_key_match,gemma_vs_qmeans_attr_9_value_match,gemini_vs_gemma_attr_1_key_match,gemini_vs_gemma_attr_1_value_match,gemini_vs_gemma_attr_2_key_match,gemini_vs_gemma_attr_2_value_match,gemini_vs_gemma_attr_3_key_match,gemini_vs_gemma_attr_3_value_match,gemini_vs_gemma_attr_4_key_match,gemini_vs_gemma_attr_4_value_match,gemini_vs_gemma_attr_5_key_match,gemini_vs_gemma_attr_5_value_match,gemini_vs_gemma_attr_6_key_match,gemini_vs_gemma_attr_6_value_match,gemini_vs_gemma_attr_7_key_match,gemini_vs_gemma_attr_7_value_match,gemini_vs_gemma_attr_8_key_match,gemini_vs_gemma_attr_8_value_match,gemini_vs_gemma_attr_9_key_match,gemini_vs_gemma_attr_9_value_match,gemma_vs_gemini_attr_1_key_match,gemma_vs_gemini_attr_1_value_match,gemma_vs_gemini_attr_2_key_match,gemma_vs_gemini_attr_2_value_match,gemma_vs_gemini_attr_3_key_match,gemma_vs_gemini_attr_3_value_match,gemma_vs_gemini_attr_4_key_match,gemma_vs_gemini_attr_4_value_match,gemma_vs_gemini_attr_5_key_match,gemma_vs_gemini_attr_5_value_match,gemma_vs_gemini_attr_6_key_match,gemma_vs_gemini_attr_6_value_match,gemma_vs_gemini_attr_7_key_match,gemma_vs_gemini_attr_7_value_match,gemma_vs_gemini_attr_8_key_match,gemma_vs_gemini_attr_8_value_match,gemma_vs_gemini_attr_9_key_match,gemma_vs_gemini_attr_9_value_match
10 kg gold refinery machine,2,2,3,capacity,10 kg,capacity(kg),10 kg,capacity,10 kg,usage,gold refinery,metal,gold,type_of_testing_machines,machine,,,,,usage,gold refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemma,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,
10 kg gold refining filter,3,0,3,capacity,10 kg,,,capacity,10 kg,filter type,refining filter,,,purpose,gold refining,usage,gold,,,type,filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"qmeans,gemma",FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,
10 kg silver refining plant,3,1,2,capacity,10 kg,capacity(kg),10 kg,capacity,10 kg,refining material,silver,,,heating_range,silver refining plant,type,refining plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
100  kg%2 fhr co rotating twin screw extruders,1,2,2,capacity,100 kg%2 fhr,production capacity,100 kg/hr,capacity,100,,,screw design,twin screw,power_source,kg%2 fhr co rotating twin screw extruders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"gemini,gemma",FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
100  kg%2 fhr manual co rotating twin screw extruders,2,4,4,automation grade,manual,automation grade,manual,capacity,100,capacity,100 kg%2 fhr,production capacity,100 kg/hr,design,co rotating twin screw extruders,,,screw design,co rotating,speed,kg%2 fhr,,,type of extruder,twin screw,work_type,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"gemini,gemma",TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,TRUE,FALSE,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,
100 Kg Silver Refining Plant,3,2,2,capacity,100 kg,capacity(kg),100 kg,production,100 kg,refining material,silver,usage/application,silver refining plant,usage,silver refining plant,type,refining plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
100 kg Basket Extruder Machine,2,1,2,capacity,100 kg,capacity(kg),100 kg,capacity,100 kg,type,extruder,,,type,basket extruder machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"qmeans,gemma",FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
100 kg/hr Extruder Machine,2,1,2,capacity,100 kg/hr,production capacity,100 kg/hr,min_capacity,100 kg/hr,type,extruder,,,type,extruder machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"qmeans,gemma",FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,NA,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
100 kg/hr automatic twin screw extruder,2,4,2,automation grade,automatic,automation grade,automatic,machine_name,automatic twin screw extruder,capacity,100 kg/hr,plastic processed,extruder,min_capacity,100 kg/hr,,,production capacity,100 kg/hr,,,,,screw design,twin screw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemini,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
100 kg/hr ceramic extruder machine,3,1,2,capacity,100 kg/hr,production capacity,100 kg/hr,min_capacity,100 kg/hr,material,ceramic,,,type,ceramic extruder machine,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,FALSE,,,,,,,,,,,,,FALSE,NA,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
100 kg/hr manual twin screw extruder machine,2,3,3,automation grade,manual,automation grade,manual,min_capacity,100 kg/hr,capacity,100 kg/hr,production capacity,100 kg/hr,type,twin screw extruder machine,,,screw design,twin screw,work_type,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"gemini,gemma",TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,
100 kg/hr no Extruder Machine,2,0,3,capacity,100 kg/hr,,,floor_area,no,type,extruder,,,min_capacity,100 kg/hr,,,,,welding_type,extruder machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemma,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,
100 kg/hr no noodle extruder machine Sioplas HT - XLPE Cable Extrusion Line,1,4,4,capacity,100 kg/hr,hand operated,no,beater,no,,,material to be extruded,xlpe,brand,sioplas ht - xlpe cable extrusion line,,,plastic processed,extruder,min_capacity,100 kg/hr,,,production capacity,100 kg/hr,type,noodle extruder machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"gemini,gemma",FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,
100 kg/hr no tube extrusion machine Extruder Machine,1,0,4,capacity,100 kg/hr,,,beater,no,,,,,min_capacity,100 kg/hr,,,,,powerw,extruder machine,,,,,type,tube extrusion machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemma,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,
100 kg/hr no twin screw extruder Extruder Machine,2,0,4,capacity,100 kg/hr,,,cross_travel,no,machine type,screw,,,extruder_type,twin screw extruder,,,,,min_capacity,100 kg/hr,,,,,type,extruder machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemma,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,
