Query,Key Match Count,Value Match Count,GT Unique Keys,Gemini Unique Keys,GT Unique Values,Gemini Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemini: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemini Only Keys
1 fan motor,3,1,4,3,2,1,75.0%,50.0%,fan motor - motor_type | product_type |||| fan - application | use,fan motor - application | motor_type | use,application | motor type | use,fan motor,product type,
1 for business use piece 22 kw Allen Bradley 150-C43NBD SMC-3 Soft Starter 43A 480V 3-Phase 100-240V AC Control,5,3,14,20,6,11,35.7%,50.0%,allen bradley - brand | manufacturer | company |||| 22 kw - power | kilowatt | wattage |||| 480v - voltage | supply_voltage |||| 240v - voltage | supply_voltage |||| ac - current_type | supply_type |||| starter - application | use |||| starter - product_category | category,Allen Bradley - brand | manufacturer |||| 22 kw - power | wattage |||| 150-C43NBD - part_number | model_number |||| SMC-3 - series | product_family |||| Soft Starter - product_type | device_type |||| 43A - current_rating | amperage |||| 480V - voltage | operating_voltage |||| 3-Phase - phase | phase_type |||| 100-240V AC - control_voltage | control_input |||| 1 piece - quantity |||| business use - usage,brand | manufacturer | power | voltage | wattage,22 kw | 480v | allen bradley,application | category | company | current type | kilowatt | product category | supply type | supply voltage | use,amperage | control input | control voltage | current rating | device type | model number | operating voltage | part number | phase | phase type | product family | product type | quantity | series | usage
1 for business use piece ABB Soft Starters,4,1,7,6,2,3,57.1%,50.0%,abb - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,ABB - brand | manufacturer |||| Soft Starters - product_category | type |||| business use - application | usage,application | brand | manufacturer | product category,abb,category | company | use,type | usage
1 for reselling piece Panasonic Geared Motor,3,1,5,8,2,4,60.0%,50.0%,panasonic - brand | manufacturer | company |||| gear motor - motor_type | product_type,Panasonic - brand | manufacturer |||| Geared Motor - motor_type | type |||| 1 piece - quantity | unit |||| reselling - intent | purpose,brand | manufacturer | motor type,panasonic,company | product type,intent | purpose | quantity | type | unit
1 hp bench polisher motor,4,2,5,6,2,3,80.0%,100.0%,motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,1 hp - horsepower | power | hp |||| bench polisher - application | machine_type |||| motor - motor_type,horsepower | hp | motor type | power,1 hp | motor,product type,application | machine type
1 hp motor,4,2,5,4,2,2,80.0%,100.0%,motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,1 hp - horsepower | power | hp |||| motor - motor_type,horsepower | hp | motor type | power,1 hp | motor,product type,
1 phase electric motor,2,0,4,4,2,2,50.0%,0.0%,motor - motor_type | product_type |||| single phase - phase | supply_phase,1 phase - phase | phase_type |||| electric motor - motor_type | type,motor type | phase,,product type | supply phase,phase type | type
1 piece 750 watt 3000 rpm AC Servo Motor,6,2,9,9,4,5,66.7%,50.0%,servo motor - motor_type | product_type |||| 750 w - power | wattage |||| 3000 rpm - speed | rpm | rated_speed |||| ac - current_type | supply_type,1 piece - quantity | pack_size |||| 750 watt - power | wattage |||| 3000 rpm - rpm | speed |||| AC Servo Motor - motor_type | servo |||| AC - current_type,current type | motor type | power | rpm | speed | wattage,3000 rpm | ac,product type | rated speed | supply type,pack size | quantity | servo
1 piece ABB Soft Starters,3,1,7,6,2,3,42.9%,50.0%,abb - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,1 piece - quantity | pack_size |||| ABB - brand | manufacturer |||| Soft Starters - product_type | category,brand | category | manufacturer,abb,application | company | product category | use,pack size | product type | quantity
1 piece Allen Bradley Soft Starters,3,1,7,7,2,3,42.9%,50.0%,allen bradley - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,Allen Bradley - brand | manufacturer |||| Soft Starters - product_type | category | type |||| 1 piece - quantity | pack_size,brand | category | manufacturer,allen bradley,application | company | product category | use,pack size | product type | quantity | type
1 piece Slip Rings,1,0,2,4,1,2,50.0%,0.0%,slip ring - product_category | category,1 piece - quantity | unit |||| Slip Rings - product_type | category,category,,product category,product type | quantity | unit
1.5 KW Halcyon Three Phase Induction Motor,5,3,7,8,3,4,71.4%,100.0%,induction motor - motor_type | product_type |||| 1.5 kw - power | kilowatt | wattage |||| three phase - phase | supply_phase,Halcyon - brand |||| 1.5 KW - power | wattage | kilowatt |||| Three Phase - phase | phase_type |||| Induction Motor - motor_type | type,kilowatt | motor type | phase | power | wattage,1.5 kw | induction motor | three phase,product type | supply phase,brand | phase type | type
1.5 kw crompton single phase motor,8,4,10,9,4,4,80.0%,100.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1.5 kw - power | kilowatt | wattage |||| single phase - phase | supply_phase,crompton - brand | manufacturer | company |||| 1.5 kw - power | wattage | kilowatt |||| single phase - phase | phase_type |||| motor - motor_type,brand | company | kilowatt | manufacturer | motor type | phase | power | wattage,1.5 kw | crompton | motor | single phase,product type | supply phase,phase type
10 HP Transtech Gear Electric Motor,4,1,5,7,2,3,80.0%,50.0%,motor - motor_type | product_type |||| 10 hp - power | horsepower | hp,10 HP - power | horsepower | hp |||| Transtech - brand | manufacturer |||| Gear Electric Motor - motor_type | type,horsepower | hp | motor type | power,10 hp,product type,brand | manufacturer | type
10 hp crompton motor,6,3,8,7,3,3,75.0%,100.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp,crompton - brand | manufacturer |||| 10 hp - horsepower | power | hp |||| motor - motor_type | type,brand | horsepower | hp | manufacturer | motor type | power,10 hp | crompton | motor,company | product type,type
100 HP Slip Ring Motor Starter,6,3,7,7,3,3,85.7%,100.0%,slip ring motor - motor_type | product_type |||| 100 hp - power | horsepower | hp |||| starter - application | use,100 HP - power | horsepower | hp |||| Slip Ring Motor - motor_type | application |||| Starter - product_type | type,application | horsepower | hp | motor type | power | product type,100 hp | slip ring motor | starter,use,type
100 HP to 2000 HP  Slip Ring Motor Starter,2,2,7,7,3,3,28.6%,66.7%,slip ring motor - motor_type | product_type |||| 100 hp - power | horsepower | hp |||| starter - application | use,100 HP to 2000 HP - power_range | horsepower_range | hp_range |||| Starter - product_type | type |||| Slip Ring Motor - application | motor_compatibility,application | product type,slip ring motor | starter,horsepower | hp | motor type | power | use,horsepower range | hp range | motor compatibility | power range | type
100 W Chimney Motor,5,1,6,5,3,2,83.3%,33.3%,motor - motor_type | product_type |||| 100 w - power | wattage |||| chimney - application | use,100 w - power | wattage |||| chimney motor - application | use | motor_type,application | motor type | power | use | wattage,100 w,product type,
100 mm linear motor,1,1,2,5,1,2,50.0%,100.0%,linear motor - motor_type | product_type,100 mm - stroke_length | travel | length |||| linear motor - motor_type | type,motor type,linear motor,product type,length | stroke length | travel | type
1000 RPM Electric Sliding Gate Motor,3,1,5,7,2,3,60.0%,50.0%,motor - motor_type | product_type |||| 1000 rpm - speed | rpm | rated_speed,sliding gate motor - application | use | motor_type |||| 1000 rpm - rpm | speed |||| electric - power_source | type,motor type | rpm | speed,1000 rpm,product type | rated speed,application | power source | type | use
1000 n (100 kg) 1 100 mm 24 v telescopic linear actuators,0,0,6,0,2,0,0.0%,0.0%,24v - voltage | supply_voltage |||| actuator - application | use |||| actuator - product_category | category,,,,application | category | product category | supply voltage | use | voltage,
101-200 KW 1 HP Bharat Bijlee Ac Motor,0,0,12,0,5,0,0.0%,0.0%,bharat bijlee - brand | manufacturer | company |||| ac motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| 200 kw - power | kilowatt | wattage |||| ac - current_type | supply_type,,,,brand | company | current type | horsepower | hp | kilowatt | manufacturer | motor type | power | product type | supply type | wattage,
105 W Alqer 16 Inch Super Cooler Motor,3,2,6,8,3,5,50.0%,66.7%,cooler motor - motor_type | product_type |||| 105 w - power | wattage |||| cooler - application | use,105 W - power | wattage |||| Alqer - brand |||| 16 Inch - size | dimension |||| Cooler Motor - application | type |||| Super - model_series,application | power | wattage,105 w | cooler motor,motor type | product type | use,brand | dimension | model series | size | type
105 Wat Single Phase Cooler Motor,5,2,8,6,4,3,62.5%,50.0%,cooler motor - motor_type | product_type |||| 105 w - power | wattage |||| single phase - phase | supply_phase |||| cooler - application | use,105 Wat - power | wattage |||| Single Phase - phase | phase_type |||| Cooler Motor - application | motor_type,application | motor type | phase | power | wattage,cooler motor | single phase,product type | supply phase | use,phase type
10hp motor,4,1,5,4,2,2,80.0%,50.0%,motor - motor_type | product_type |||| 10 hp - power | horsepower | hp,10hp - horsepower | power | hp |||| motor - motor_type,horsepower | hp | motor type | power,motor,product type,
10m3flow rate 30 mtr headpumpwith motor,1,0,4,8,2,3,25.0%,0.0%,motor - motor_type | product_type |||| pump - application | use,pump with motor - product_type | type |||| 10 m3 - flow_rate | capacity | discharge |||| 30 mtr - head | head_range | lift,product type,,application | motor type | use,capacity | discharge | flow rate | head | head range | lift | type
10w deep freezer motor,3,1,4,5,2,3,75.0%,50.0%,motor - motor_type | product_type |||| 10 w - power | wattage,10w - power | wattage |||| deep freezer - application | use |||| motor - motor_type,motor type | power | wattage,motor,product type,application | use
11 KW 15 HP Crompton Greaves Electric Motor,8,3,10,9,4,4,80.0%,75.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| 15 hp - power | horsepower | hp |||| 11 kw - power | kilowatt | wattage,11 KW - power | wattage | kilowatt |||| 15 HP - horsepower | hp |||| Crompton Greaves - brand | manufacturer |||| Electric Motor - product_type | type,brand | horsepower | hp | kilowatt | manufacturer | power | product type | wattage,11 kw | 15 hp | crompton greaves,company | motor type,type
110HS20 Two Phase Stepper Motor,3,2,5,6,2,3,60.0%,100.0%,stepper motor - motor_type | product_type |||| 110HS20 - model_number | part_number | model,110HS20 - model | part_number |||| Two Phase - phase | phase_type |||| Stepper Motor - motor_type | stepper,model | motor type | part number,110hs20 | stepper motor,model number | product type,phase | phase type | stepper
11KW Kirloskar Electric Motor,7,1,8,7,3,3,87.5%,33.3%,kirloskar - brand | manufacturer | company |||| motor - motor_type | product_type |||| 11 kw - power | kilowatt | wattage,11KW - power | wattage | kilowatt |||| Kirloskar - brand | manufacturer |||| Electric Motor - product_type | motor_type,brand | kilowatt | manufacturer | motor type | power | product type | wattage,kirloskar,company,
12 Inch 3000W Scooter Brushless DC Wheel Hub Motor Controller,3,0,6,12,3,6,50.0%,0.0%,hub motor - motor_type | product_type |||| 3000 w - power | wattage |||| dc - current_type | supply_type,12 Inch - size | wheel_size |||| 3000W - power | wattage |||| Scooter - application | vehicle_type |||| Brushless DC - motor_type | technology |||| Wheel Hub Motor - design | mounting |||| Controller - included_part | accessory,motor type | power | wattage,,current type | product type | supply type,accessory | application | design | included part | mounting | size | technology | vehicle type | wheel size
12v 775 Dc Motor,2,2,6,6,3,3,33.3%,66.7%,dc motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| dc - current_type | supply_type,12v - voltage | volt |||| 775 - model | motor_size |||| Dc Motor - motor_type | dc,motor type | voltage,12v | dc motor,current type | product type | supply type | supply voltage,dc | model | motor size | volt
12v bldc,2,1,4,4,2,2,50.0%,50.0%,bldc motor - motor_type | product_type |||| 12v - voltage | supply_voltage,12v - voltage | volt |||| bldc - motor_type | brushless_dc,motor type | voltage,12v,product type | supply voltage,brushless dc | volt
12v dc dual shaft motor,4,2,8,7,4,3,50.0%,50.0%,motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| dc - current_type | supply_type |||| dual shaft - shaft_type | shaft,dc motor - motor_type | dc |||| 12v - voltage | volt |||| dual shaft - shaft_type | shaft | feature,motor type | shaft | shaft type | voltage,12v | dual shaft,current type | product type | supply type | supply voltage,dc | feature | volt
12v dc motor,2,2,6,4,3,2,33.3%,66.7%,dc motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| dc - current_type | supply_type,12v - voltage | volt |||| dc motor - motor_type | dc,motor type | voltage,12v | dc motor,current type | product type | supply type | supply voltage,dc | volt
130 Flat Motor,1,0,2,4,1,2,50.0%,0.0%,motor - motor_type | product_type,130 - model | size |||| flat motor - motor_type | shape,motor type,,product type,model | shape | size
1400 rpm 230 v apex cool 410w single phase exhaust fan motor,8,2,13,12,7,6,61.5%,28.6%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| 230v - voltage | supply_voltage |||| single phase - phase | supply_phase |||| 1400 rpm - speed | rpm | rated_speed |||| fan - application | use,apex cool - brand | manufacturer |||| 410w - power | wattage |||| 230 v - voltage | volt |||| 1400 rpm - rpm | speed |||| single phase - phase | phase_type |||| exhaust fan motor - application | use,application | phase | power | rpm | speed | use | voltage | wattage,1400 rpm | single phase,motor type | product type | rated speed | supply phase | supply voltage,brand | manufacturer | phase type | volt
1400 rpm apex cool 410w single phase exhaust fan motor,7,2,11,9,6,5,63.6%,33.3%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| single phase - phase | supply_phase |||| 1400 rpm - speed | rpm | rated_speed |||| fan - application | use,1400 rpm - rpm | speed |||| apex cool - brand |||| 410w - power | wattage |||| single phase - phase | phase_type |||| exhaust fan motor - application | motor_type,application | motor type | phase | power | rpm | speed | wattage,1400 rpm | single phase,product type | rated speed | supply phase | use,brand | phase type
1400 rpm single phase 230 v 230v apex cool 410w single phase exhaust fan motor,8,3,13,11,7,6,61.5%,42.9%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| 230v - voltage | supply_voltage |||| single phase - phase | supply_phase |||| 1400 rpm - speed | rpm | rated_speed |||| fan - application | use,1400 rpm - rpm | speed |||| single phase - phase | phase_type |||| 230v - voltage | volt |||| apex cool - brand |||| 410w - power | wattage |||| exhaust fan motor - application | motor_type,application | motor type | phase | power | rpm | speed | voltage | wattage,1400 rpm | 230v | single phase,product type | rated speed | supply phase | supply voltage | use,brand | phase type | volt
1400 rpm single phase 230 v flange mounted 230v apex cool 410w exhaust fan motor,10,2,15,13,8,7,66.7%,25.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| 230v - voltage | supply_voltage |||| single phase - phase | supply_phase |||| 1400 rpm - speed | rpm | rated_speed |||| flange mount - mounting_type | mounting |||| fan - application | use,1400 rpm - rpm | speed |||| single phase - phase | phase_type |||| 230 v - voltage | volt |||| flange mounted - mounting | mounting_type |||| apex cool - brand |||| 410w - power | wattage |||| exhaust fan motor - application | motor_type,application | motor type | mounting | mounting type | phase | power | rpm | speed | voltage | wattage,1400 rpm | single phase,product type | rated speed | supply phase | supply voltage | use,brand | phase type | volt
1440 rpm three phase 9841043643 3 hp crompton greaves motor,9,5,13,11,5,5,69.2%,100.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| 1440 rpm - speed | rpm | rated_speed,1440 rpm - rpm | speed | rotation_speed |||| three phase - phase | phase_type |||| 3 hp - horsepower | power | hp |||| crompton greaves - brand | manufacturer |||| motor - motor_type,brand | horsepower | hp | manufacturer | motor type | phase | power | rpm | speed,1440 rpm | 3 hp | crompton greaves | motor | three phase,company | product type | rated speed | supply phase,phase type | rotation speed
1450 Rpm 1 Hp Motor Cg Make,8,3,11,10,4,4,72.7%,75.0%,cg power - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| 1450 rpm - speed | rpm | rated_speed,1450 Rpm - rpm | speed | rotation_speed |||| 1 Hp - horsepower | power | hp |||| Cg - brand | make | manufacturer |||| Motor - motor_type,brand | horsepower | hp | manufacturer | motor type | power | rpm | speed,1 hp | 1450 rpm | motor,company | product type | rated speed,make | rotation speed
15 hp motor,4,2,5,4,2,2,80.0%,100.0%,motor - motor_type | product_type |||| 15 hp - power | horsepower | hp,15 hp - horsepower | power | hp |||| motor - motor_type,horsepower | hp | motor type | power,15 hp | motor,product type,
1500 cfm FAN MOTOR,2,1,4,5,2,2,50.0%,50.0%,fan motor - motor_type | product_type |||| fan - application | use,1500 cfm - airflow | capacity | cfm |||| fan motor - application | motor_type,application | motor type,fan motor,product type | use,airflow | capacity | cfm
1500 kv ccw multirotor motor,4,1,6,7,3,3,66.7%,33.3%,motor - motor_type | product_type |||| drone - application | use |||| 1500 kv - kv_rating | kv,1500 kv - kv_rating | kv |||| ccw - rotation | direction | rotation_direction |||| multirotor motor - application | use,application | kv | kv rating | use,1500 kv,motor type | product type,direction | rotation | rotation direction
150HP 960 RPM ELECTRIC MOTOR,6,1,8,8,3,3,75.0%,33.3%,motor - motor_type | product_type |||| 150 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,150HP - horsepower | power | hp |||| 960 RPM - rpm | speed | rotation_speed |||| ELECTRIC MOTOR - motor_type | type,horsepower | hp | motor type | power | rpm | speed,960 rpm,product type | rated speed,rotation speed | type
150c43nbd smc3 soft starter,0,0,4,7,1,3,0.0%,0.0%,starter - application | use |||| starter - product_category | category,150c43nbd - part_number | model_number | mpn |||| smc3 - series | model_series |||| soft starter - product_type | type,,,application | category | product category | use,model number | model series | mpn | part number | product type | series | type
170M7167-6500A,2,0,3,3,1,1,66.7%,0.0%,170M7167 - model_number | part_number | model,170M7167-6500A - part_number | model_number | mpn,model number | part number,,model,mpn
18 inch g c exhaust fan motor housing,2,0,4,8,3,4,50.0%,0.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| fan - application | use,18 inch - size | dimension |||| g c - brand | manufacturer |||| exhaust fan - application | use |||| motor housing - part_type | component,application | use,,motor type | product type,brand | component | dimension | manufacturer | part type | size
180 Watt Electro Magnetic Brake Motor,3,0,4,5,2,3,75.0%,0.0%,brake motor - motor_type | product_type |||| 180 w - power | wattage,180 Watt - power | wattage |||| Electro Magnetic Brake - feature | brake_type |||| Motor - motor_type,motor type | power | wattage,,product type,brake type | feature
1FK2104-6AF01-1MB0,2,1,3,3,1,1,66.7%,100.0%,1FK2104-6AF01-1MB0 - model_number | part_number | model,1FK2104-6AF01-1MB0 - mpn | part_number | model,model | part number,1fk2104-6af01-1mb0,model number,mpn
1FK2104-6AF01-1SB0,2,1,3,3,1,1,66.7%,100.0%,1FK2104-6AF01-1SB0 - model_number | part_number | model,1FK2104-6AF01-1SB0 - part_number | mpn | model,model | part number,1fk2104-6af01-1sb0,model number,mpn
1FK2104-6AF10-0MB0,2,1,3,3,1,1,66.7%,100.0%,1FK2104-6AF10-0MB0 - model_number | part_number | model,1FK2104-6AF10-0MB0 - model_number | mpn | part_number,model number | part number,1fk2104-6af10-0mb0,model,mpn
1FK2104-6AF10-0SB0,2,1,3,3,1,1,66.7%,100.0%,1FK2104-6AF10-0SB0 - model_number | part_number | model,1FK2104-6AF10-0SB0 - part_number | model_number | mpn,model number | part number,1fk2104-6af10-0sb0,model,mpn
1FK2104-6AF10-1MB0,2,1,3,3,1,1,66.7%,100.0%,1FK2104-6AF10-1MB0 - model_number | part_number | model,1FK2104-6AF10-1MB0 - part_number | model_number | mpn,model number | part number,1fk2104-6af10-1mb0,model,mpn
1FK2104-6AF11-0MB0,2,1,3,3,1,1,66.7%,100.0%,1FK2104-6AF11-0MB0 - model_number | part_number | model,1FK2104-6AF11-0MB0 - part_number | model_number | mpn,model number | part number,1fk2104-6af11-0mb0,model,mpn
1HP Single Phase Godrej Lawkim Foot Mounted,8,2,10,9,4,4,80.0%,50.0%,godrej lawkim - brand | manufacturer | company |||| 1 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| foot mount - mounting_type | mounting,godrej lawkim - brand | manufacturer |||| 1hp - horsepower | power | hp |||| single phase - phase | phase_type |||| foot mounted - mounting | mounting_type,brand | horsepower | hp | manufacturer | mounting | mounting type | phase | power,godrej lawkim | single phase,company | supply phase,phase type
1hp single phase ac motor,6,3,9,7,4,4,66.7%,75.0%,ac motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| ac - current_type | supply_type,1hp - horsepower | power | hp |||| single phase - phase | phase_type |||| ac motor - motor_type | current_type,current type | horsepower | hp | motor type | phase | power,ac | ac motor | single phase,product type | supply phase | supply type,phase type
1hp three phase ac vibration motor,6,2,9,8,4,4,66.7%,50.0%,vibrator motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| ac - current_type | supply_type,1hp - horsepower | power | hp |||| three phase - phase | phase_type |||| ac - current_type |||| vibration motor - motor_type | type,current type | horsepower | hp | motor type | phase | power,ac | three phase,product type | supply phase | supply type,phase type | type
1kw( 1.3hp) bldc motor,6,1,7,7,4,3,85.7%,25.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| 1.3 hp - power | horsepower | hp |||| 1 kw - power | kilowatt | wattage,1kw - power | wattage | kilowatt |||| 1.3hp - horsepower | hp |||| bldc motor - motor_type | brushless_dc,horsepower | hp | kilowatt | motor type | power | wattage,bldc motor,product type,brushless dc
1kw( 1.3hp) bldc motor near jharsuguda,6,1,7,7,4,3,85.7%,25.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| 1.3 hp - power | horsepower | hp |||| 1 kw - power | kilowatt | wattage,bldc motor - motor_type | brushless_dc |||| 1kw - power | wattage | kilowatt |||| 1.3hp - horsepower | power | hp,horsepower | hp | kilowatt | motor type | power | wattage,bldc motor,product type,brushless dc
1le7501‑1bb23‑5aa4,0,0,0,3,0,1,N/A,N/A,,1le7501‑1bb23‑5aa4 - model_number | mpn | part_number,,,,model number | mpn | part number
2 200 w chimney motor,5,1,6,5,3,2,83.3%,33.3%,motor - motor_type | product_type |||| 200 w - power | wattage |||| chimney - application | use,200 w - power | wattage |||| chimney motor - application | use | motor_type,application | motor type | power | use | wattage,200 w,product type,
2 HP single phase,4,2,5,5,2,2,80.0%,100.0%,2 hp - power | horsepower | hp |||| single phase - phase | supply_phase,2 HP - horsepower | power | hp |||| single phase - phase | phase_type,horsepower | hp | phase | power,2 hp | single phase,supply phase,phase type
2 advanced features 2 10 hp mobile starter,0,0,7,0,2,0,0.0%,0.0%,10 hp - power | horsepower | hp |||| starter - application | use |||| starter - product_category | category,,,,application | category | horsepower | hp | power | product category | use,
2 hp flange motor,4,2,5,6,2,3,80.0%,100.0%,motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,2 hp - horsepower | power | hp |||| flange - mounting | mounting_type |||| motor - motor_type,horsepower | hp | motor type | power,2 hp | motor,product type,mounting | mounting type
2 hp gear motor,4,2,5,5,2,2,80.0%,100.0%,gear motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,2 hp - horsepower | power | hp |||| gear motor - motor_type | type,horsepower | hp | motor type | power,2 hp | gear motor,product type,type
2 hp three phase induction motor,5,3,7,7,3,3,71.4%,100.0%,induction motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| three phase - phase | supply_phase,2 hp - horsepower | power | hp |||| three phase - phase | phase_type |||| induction motor - motor_type | type,horsepower | hp | motor type | phase | power,2 hp | induction motor | three phase,product type | supply phase,phase type | type
2 hp three phase motor,5,3,7,6,3,3,71.4%,100.0%,motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| three phase - phase | supply_phase,2 hp - horsepower | power | hp |||| three phase - phase | phase_type |||| motor - motor_type,horsepower | hp | motor type | phase | power,2 hp | motor | three phase,product type | supply phase,phase type
20 HP Three Phase Electric Motor,5,2,7,7,3,3,71.4%,66.7%,motor - motor_type | product_type |||| 20 hp - power | horsepower | hp |||| three phase - phase | supply_phase,20 hp - horsepower | power | hp |||| three phase - phase | phase_type |||| electric motor - motor_type | type,horsepower | hp | motor type | phase | power,20 hp | three phase,product type | supply phase,phase type | type
