Query,Key Match Count,Value Match Count,GT Unique Keys,QMeans Unique Keys,GT Unique Values,QMeans Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),QMeans: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,QMeans Only Keys
1 for business use piece 22 kw Allen Bradley 150-C43NBD SMC-3 Soft Starter 43A 480V 3-Phase 100-240V AC Control,3,3,14,6,6,6,21.4%,50.0%,allen bradley - brand | manufacturer | company |||| 22 kw - power | kilowatt | wattage |||| 480v - voltage | supply_voltage |||| 240v - voltage | supply_voltage |||| ac - current_type | supply_type |||| starter - application | use |||| starter - product_category | category,150-c43nbd - model name/number |||| 22 kw - power |||| 3-phase - phase |||| 480v - voltage |||| allen bradley - brand |||| soft starter - starter type,brand | power | voltage,22 kw | 480v | allen bradley,application | category | company | current type | kilowatt | manufacturer | product category | supply type | supply voltage | use | wattage,model name/number | phase | starter type
1 for business use piece ABB Soft Starters,1,1,7,3,2,3,14.3%,50.0%,abb - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,abb - brand |||| business - usage |||| soft - starter type,brand,abb,application | category | company | manufacturer | product category | use,starter type | usage
1 for reselling piece Panasonic Geared Motor,1,1,5,1,2,1,20.0%,50.0%,panasonic - brand | manufacturer | company |||| gear motor - motor_type | product_type,panasonic - brand,brand,panasonic,company | manufacturer | motor type | product type,
1 hp bench polisher motor,0,1,5,2,2,2,0.0%,50.0%,motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,1 hp - motor power |||| bench polisher motor - product,,1 hp,horsepower | hp | motor type | power | product type,motor power | product
1 hp motor,1,2,5,2,2,2,20.0%,100.0%,motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,1 hp - power |||| motor - part type,power,1 hp | motor,horsepower | hp | motor type | product type,part type
1 phase electric motor,1,0,4,2,2,2,25.0%,0.0%,motor - motor_type | product_type |||| single phase - phase | supply_phase,1 phase - phase |||| electric - power source,phase,,motor type | product type | supply phase,power source
1 piece 750 watt 3000 rpm AC Servo Motor,3,3,9,4,4,4,33.3%,75.0%,servo motor - motor_type | product_type |||| 750 w - power | wattage |||| 3000 rpm - speed | rpm | rated_speed |||| ac - current_type | supply_type,3000 rpm - speed |||| 750 watt - power |||| ac - motor type |||| servo motor - product,motor type | power | speed,3000 rpm | ac | servo motor,current type | product type | rated speed | rpm | supply type | wattage,product
1 piece ABB Soft Starters,1,1,7,3,2,3,14.3%,50.0%,abb - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,1 piece - quantity per pack |||| abb - brand |||| soft - starter type,brand,abb,application | category | company | manufacturer | product category | use,quantity per pack | starter type
1 piece Allen Bradley Soft Starters,1,1,7,3,2,3,14.3%,50.0%,allen bradley - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,1 piece - quantity per pack |||| allen bradley - brand |||| soft - starter type,brand,allen bradley,application | category | company | manufacturer | product category | use,quantity per pack | starter type
1 piece Slip Rings,0,0,2,2,1,2,0.0%,0.0%,slip ring - product_category | category,1 piece - set contains |||| slip - motor part type,,,category | product category,motor part type | set contains
1.5 KW Halcyon Three Phase Induction Motor,1,3,7,4,3,4,14.3%,100.0%,induction motor - motor_type | product_type |||| 1.5 kw - power | kilowatt | wattage |||| three phase - phase | supply_phase,1.5 kw - rated power |||| halcyon - brand |||| induction motor - motor type |||| three phase - no of phase,motor type,1.5 kw | induction motor | three phase,kilowatt | phase | power | product type | supply phase | wattage,brand | no of phase | rated power
1.5 kw crompton single phase motor,3,3,10,3,4,3,30.0%,75.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1.5 kw - power | kilowatt | wattage |||| single phase - phase | supply_phase,1.5 kw - power |||| crompton - brand |||| single phase - phase,brand | phase | power,1.5 kw | crompton | single phase,company | kilowatt | manufacturer | motor type | product type | supply phase | wattage,
10 HP Transtech Gear Electric Motor,2,1,5,4,2,4,40.0%,50.0%,motor - motor_type | product_type |||| 10 hp - power | horsepower | hp,10 hp - power |||| electric - power source |||| gear - motor type |||| transtech - brand,motor type | power,10 hp,horsepower | hp | product type,brand | power source
10 hp crompton motor,2,3,8,3,3,3,25.0%,100.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp,10 hp - power |||| crompton - brand |||| motor - part type,brand | power,10 hp | crompton | motor,company | horsepower | hp | manufacturer | motor type | product type,part type
100 HP Slip Ring Motor Starter,1,1,7,3,3,3,14.3%,33.3%,slip ring motor - motor_type | product_type |||| 100 hp - power | horsepower | hp |||| starter - application | use,100 hp - power |||| motor starter - usage |||| slip ring - starter type,power,100 hp,application | horsepower | hp | motor type | product type | use,starter type | usage
100 HP to 2000 HP  Slip Ring Motor Starter,1,0,7,3,3,3,14.3%,0.0%,slip ring motor - motor_type | product_type |||| 100 hp - power | horsepower | hp |||| starter - application | use,100 hp to 2000 hp - power |||| motor starter - usage |||| slip ring - starter type,power,,application | horsepower | hp | motor type | product type | use,starter type | usage
100 W Chimney Motor,1,2,6,2,3,2,16.7%,66.7%,motor - motor_type | product_type |||| 100 w - power | wattage |||| chimney - application | use,100 w - power |||| chimney - usage,power,100 w | chimney,application | motor type | product type | use | wattage,usage
100 mm linear motor,0,0,2,1,1,1,0.0%,0.0%,linear motor - motor_type | product_type,100 mm - diameter,,,motor type | product type,diameter
1000 RPM Electric Sliding Gate Motor,1,1,5,3,2,3,20.0%,50.0%,motor - motor_type | product_type |||| 1000 rpm - speed | rpm | rated_speed,1000 rpm - speed |||| electric - power source |||| sliding gate - usage,speed,1000 rpm,motor type | product type | rated speed | rpm,power source | usage
1000 n (100 kg) 1 100 mm 24 v telescopic linear actuators,1,0,6,2,2,2,16.7%,0.0%,24v - voltage | supply_voltage |||| actuator - application | use |||| actuator - product_category | category,100 mm - stroke length |||| 24 v - voltage,voltage,,application | category | product category | supply voltage | use,stroke length
105 W Alqer 16 Inch Super Cooler Motor,1,2,6,4,3,4,16.7%,66.7%,cooler motor - motor_type | product_type |||| 105 w - power | wattage |||| cooler - application | use,105 w - power |||| 16 inch - size |||| alqer - brand |||| cooler motor - usage,power,105 w | cooler motor,application | motor type | product type | use | wattage,brand | size | usage
105 Wat Single Phase Cooler Motor,2,2,8,3,4,3,25.0%,50.0%,cooler motor - motor_type | product_type |||| 105 w - power | wattage |||| single phase - phase | supply_phase |||| cooler - application | use,105 wat - power |||| cooler motor - usage |||| single phase - phase,phase | power,cooler motor | single phase,application | motor type | product type | supply phase | use | wattage,usage
10hp motor,1,1,5,2,2,2,20.0%,50.0%,motor - motor_type | product_type |||| 10 hp - power | horsepower | hp,10hp - power |||| motor - part type,power,motor,horsepower | hp | motor type | product type,part type
10m3flow rate 30 mtr headpumpwith motor,0,0,4,2,2,2,0.0%,0.0%,motor - motor_type | product_type |||| pump - application | use,10m3flow - model name/number |||| 30 mtr - head,,,application | motor type | product type | use,head | model name/number
10w deep freezer motor,1,1,4,3,2,3,25.0%,50.0%,motor - motor_type | product_type |||| 10 w - power | wattage,10w - power |||| deep freezer - usage |||| motor - spare type,power,motor,motor type | product type | wattage,spare type | usage
110HS20 Two Phase Stepper Motor,1,2,5,3,2,3,20.0%,100.0%,stepper motor - motor_type | product_type |||| 110HS20 - model_number | part_number | model,110hs20 - model name/number |||| stepper motor - motor type |||| two phase - phase,motor type,110hs20 | stepper motor,model | model number | part number | product type,model name/number | phase
11KW Kirloskar Electric Motor,2,1,8,3,3,3,25.0%,33.3%,kirloskar - brand | manufacturer | company |||| motor - motor_type | product_type |||| 11 kw - power | kilowatt | wattage,11kw - power |||| electric motor - product |||| kirloskar - brand,brand | power,kirloskar,company | kilowatt | manufacturer | motor type | product type | wattage,product
12 Inch 3000W Scooter Brushless DC Wheel Hub Motor Controller,2,1,6,4,3,4,33.3%,33.3%,hub motor - motor_type | product_type |||| 3000 w - power | wattage |||| dc - current_type | supply_type,12 inch - wheel size |||| 3000w - power |||| dc - motor type |||| scooter - usage,motor type | power,dc,current type | product type | supply type | wattage,usage | wheel size
12v 775 Dc Motor,2,2,6,2,3,2,33.3%,66.7%,dc motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| dc - current_type | supply_type,12v - voltage |||| dc - motor type,motor type | voltage,12v | dc,current type | product type | supply type | supply voltage,
12v bldc,2,1,4,2,2,2,50.0%,50.0%,bldc motor - motor_type | product_type |||| 12v - voltage | supply_voltage,12v - voltage |||| bldc - motor type,motor type | voltage,12v,product type | supply voltage,
12v dc dual shaft motor,1,0,8,1,4,1,12.5%,0.0%,motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| dc - current_type | supply_type |||| dual shaft - shaft_type | shaft,12v dc - voltage,voltage,,current type | motor type | product type | shaft | shaft type | supply type | supply voltage,
12v dc motor,2,2,6,2,3,2,33.3%,66.7%,dc motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| dc - current_type | supply_type,12v - voltage |||| dc - motor type,motor type | voltage,12v | dc,current type | product type | supply type | supply voltage,
130 Flat Motor,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,130 - model number,,,motor type | product type,model number
1400 rpm 230 v apex cool 410w single phase exhaust fan motor,4,2,13,5,7,5,30.8%,28.6%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| 230v - voltage | supply_voltage |||| single phase - phase | supply_phase |||| 1400 rpm - speed | rpm | rated_speed |||| fan - application | use,1400 rpm - speed |||| 230 v - voltage |||| 410w - power |||| exhaust fan - usage |||| single phase - phase,phase | power | speed | voltage,1400 rpm | single phase,application | motor type | product type | rated speed | rpm | supply phase | supply voltage | use | wattage,usage
1400 rpm apex cool 410w single phase exhaust fan motor,3,2,11,4,6,4,27.3%,33.3%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| single phase - phase | supply_phase |||| 1400 rpm - speed | rpm | rated_speed |||| fan - application | use,1400 rpm - speed |||| 410w - power |||| exhaust fan - usage |||| single phase - phase,phase | power | speed,1400 rpm | single phase,application | motor type | product type | rated speed | rpm | supply phase | use | wattage,usage
1400 rpm single phase 230 v 230v apex cool 410w single phase exhaust fan motor,4,2,13,6,7,6,30.8%,28.6%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| 230v - voltage | supply_voltage |||| single phase - phase | supply_phase |||| 1400 rpm - speed | rpm | rated_speed |||| fan - application | use,1400 rpm - speed |||| 230 v 230v - voltage |||| 410w - power |||| apex - brand |||| exhaust fan - usage |||| single phase - phase,phase | power | speed | voltage,1400 rpm | single phase,application | motor type | product type | rated speed | rpm | supply phase | supply voltage | use | wattage,brand | usage
1400 rpm single phase 230 v flange mounted 230v apex cool 410w exhaust fan motor,5,2,15,6,8,6,33.3%,25.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| 230v - voltage | supply_voltage |||| single phase - phase | supply_phase |||| 1400 rpm - speed | rpm | rated_speed |||| flange mount - mounting_type | mounting |||| fan - application | use,1400 rpm - speed |||| 230 v - voltage |||| 410w - power |||| exhaust fan - usage |||| flange - mounting type |||| single phase - phase,mounting type | phase | power | speed | voltage,1400 rpm | single phase,application | motor type | mounting | product type | rated speed | rpm | supply phase | supply voltage | use | wattage,usage
1440 rpm three phase 9841043643 3 hp crompton greaves motor,4,3,13,5,5,5,30.8%,60.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| 1440 rpm - speed | rpm | rated_speed,1440 rpm - speed |||| 3 hp - power |||| 9841043643 - model name/number |||| crompton - brand |||| three phase - phase,brand | phase | power | speed,1440 rpm | 3 hp | three phase,company | horsepower | hp | manufacturer | motor type | product type | rated speed | rpm | supply phase,model name/number
1450 Rpm 1 Hp Motor Cg Make,3,2,11,3,4,3,27.3%,50.0%,cg power - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| 1450 rpm - speed | rpm | rated_speed,1 hp - power |||| 1450 rpm - speed |||| cg - brand,brand | power | speed,1 hp | 1450 rpm,company | horsepower | hp | manufacturer | motor type | product type | rated speed | rpm,
15 hp motor,1,2,5,2,2,2,20.0%,100.0%,motor - motor_type | product_type |||| 15 hp - power | horsepower | hp,15 hp - power |||| motor - part type,power,15 hp | motor,horsepower | hp | motor type | product type,part type
1500 cfm FAN MOTOR,0,1,4,2,2,2,0.0%,50.0%,fan motor - motor_type | product_type |||| fan - application | use,1500 cfm - power |||| fan - usage,,fan,application | motor type | product type | use,power | usage
1500 kv ccw multirotor motor,1,1,6,2,3,2,16.7%,33.3%,motor - motor_type | product_type |||| drone - application | use |||| 1500 kv - kv_rating | kv,1500 kv - power |||| multirotor - motor type,motor type,1500 kv,application | kv | kv rating | product type | use,power
150HP 960 RPM ELECTRIC MOTOR,2,1,8,2,3,2,25.0%,33.3%,motor - motor_type | product_type |||| 150 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,150hp - power |||| 960 rpm - speed,power | speed,960 rpm,horsepower | hp | motor type | product type | rated speed | rpm,
150c43nbd smc3 soft starter,0,0,4,3,1,3,0.0%,0.0%,starter - application | use |||| starter - product_category | category,150c43nbd - model name/number |||| smc3 - series |||| soft starter - starter type,,,application | category | product category | use,model name/number | series | starter type
170M7167-6500A,0,0,3,0,1,0,0.0%,0.0%,170M7167 - model_number | part_number | model,,,,model | model number | part number,
18 inch g c exhaust fan motor housing,0,0,4,3,3,3,0.0%,0.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| fan - application | use,18 inch - size |||| exhaust fan - usage |||| motor housing - motor part type,,,application | motor type | product type | use,motor part type | size | usage
180 Watt Electro Magnetic Brake Motor,2,0,4,2,2,2,50.0%,0.0%,brake motor - motor_type | product_type |||| 180 w - power | wattage,180 watt - power |||| electro magnetic brake - motor type,motor type | power,,product type | wattage,
1FK2104-6AF01-1MB0,0,0,3,0,1,0,0.0%,0.0%,1FK2104-6AF01-1MB0 - model_number | part_number | model,,,,model | model number | part number,
1FK2104-6AF01-1SB0,0,0,3,0,1,0,0.0%,0.0%,1FK2104-6AF01-1SB0 - model_number | part_number | model,,,,model | model number | part number,
1FK2104-6AF10-0MB0,0,0,3,0,1,0,0.0%,0.0%,1FK2104-6AF10-0MB0 - model_number | part_number | model,,,,model | model number | part number,
1FK2104-6AF10-0SB0,0,0,3,0,1,0,0.0%,0.0%,1FK2104-6AF10-0SB0 - model_number | part_number | model,,,,model | model number | part number,
1FK2104-6AF10-1MB0,0,0,3,0,1,0,0.0%,0.0%,1FK2104-6AF10-1MB0 - model_number | part_number | model,,,,model | model number | part number,
1FK2104-6AF11-0MB0,0,0,3,0,1,0,0.0%,0.0%,1FK2104-6AF11-0MB0 - model_number | part_number | model,,,,model | model number | part number,
1HP Single Phase Godrej Lawkim Foot Mounted,2,1,10,4,4,4,20.0%,25.0%,godrej lawkim - brand | manufacturer | company |||| 1 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| foot mount - mounting_type | mounting,1hp - motor horsepower |||| godrej - brand |||| lawkim - model name/number |||| single phase - phase,brand | phase,single phase,company | horsepower | hp | manufacturer | mounting | mounting type | power | supply phase,model name/number | motor horsepower
1hp single phase ac motor,1,1,9,2,4,2,11.1%,25.0%,ac motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| ac - current_type | supply_type,1hp - power |||| single phase - no of phase,power,single phase,current type | horsepower | hp | motor type | phase | product type | supply phase | supply type,no of phase
1hp three phase ac vibration motor,3,1,9,3,4,3,33.3%,25.0%,vibrator motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| ac - current_type | supply_type,1hp - power |||| ac vibration motor - motor type |||| three phase - phase,motor type | phase | power,three phase,current type | horsepower | hp | product type | supply phase | supply type,
1kw( 1.3hp) bldc motor,2,0,7,2,4,2,28.6%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| 1.3 hp - power | horsepower | hp |||| 1 kw - power | kilowatt | wattage,1kw( 1.3hp) - power |||| bldc - motor type,motor type | power,,horsepower | hp | kilowatt | product type | wattage,
1kw( 1.3hp) bldc motor near jharsuguda,2,0,7,2,4,2,28.6%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| 1.3 hp - power | horsepower | hp |||| 1 kw - power | kilowatt | wattage,1kw( 1.3hp) - power |||| bldc - motor type,motor type | power,,horsepower | hp | kilowatt | product type | wattage,
1le7501‑1bb23‑5aa4,0,0,0,0,0,0,N/A,N/A,,,,,,
2 200 w chimney motor,1,2,6,2,3,2,16.7%,66.7%,motor - motor_type | product_type |||| 200 w - power | wattage |||| chimney - application | use,200 w - power |||| chimney - usage,power,200 w | chimney,application | motor type | product type | use | wattage,usage
2 HP single phase,2,2,5,2,2,2,40.0%,100.0%,2 hp - power | horsepower | hp |||| single phase - phase | supply_phase,2 hp - power |||| single phase - phase,phase | power,2 hp | single phase,horsepower | hp | supply phase,
2 advanced features 2 10 hp mobile starter,1,1,7,1,2,1,14.3%,50.0%,10 hp - power | horsepower | hp |||| starter - application | use |||| starter - product_category | category,10 hp - power,power,10 hp,application | category | horsepower | hp | product category | use,
2 hp flange motor,1,1,5,2,2,2,20.0%,50.0%,motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,2 hp - power |||| flange - mounting type,power,2 hp,horsepower | hp | motor type | product type,mounting type
2 hp gear motor,2,2,5,2,2,2,40.0%,100.0%,gear motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,2 hp - power |||| gear motor - motor type,motor type | power,2 hp | gear motor,horsepower | hp | product type,
2 hp three phase induction motor,1,3,7,3,3,3,14.3%,100.0%,induction motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| three phase - phase | supply_phase,2 hp - rated power |||| induction motor - motor type |||| three phase - no of phase,motor type,2 hp | induction motor | three phase,horsepower | hp | phase | power | product type | supply phase,no of phase | rated power
2 hp three phase motor,1,2,7,2,3,2,14.3%,66.7%,motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| three phase - phase | supply_phase,2 hp - power |||| three phase - no of phase,power,2 hp | three phase,horsepower | hp | motor type | phase | product type | supply phase,no of phase
20 HP Three Phase Electric Motor,1,2,7,3,3,3,14.3%,66.7%,motor - motor_type | product_type |||| 20 hp - power | horsepower | hp |||| three phase - phase | supply_phase,20 hp - power |||| electric motor - product |||| three phase - no of phase,power,20 hp | three phase,horsepower | hp | motor type | phase | product type | supply phase,no of phase | product
20 hp motor,1,2,5,2,2,2,20.0%,100.0%,motor - motor_type | product_type |||| 20 hp - power | horsepower | hp,20 hp - power |||| motor - part type,power,20 hp | motor,horsepower | hp | motor type | product type,part type
200HP Abb Induction Motor,2,2,8,3,3,3,25.0%,66.7%,abb - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| 200 hp - power | horsepower | hp,200hp - rated power |||| abb - brand |||| induction motor - motor type,brand | motor type,abb | induction motor,company | horsepower | hp | manufacturer | power | product type,rated power
200KW Flange Induction Motor,1,1,5,3,2,3,20.0%,50.0%,induction motor - motor_type | product_type |||| 200 kw - power | kilowatt | wattage,200kw - rated power |||| flange - mounting type |||| induction motor - motor type,motor type,induction motor,kilowatt | power | product type | wattage,mounting type | rated power
20W ALUMINUM HOUSING,1,0,4,2,2,2,25.0%,0.0%,20 w - power | wattage |||| housing - product_category | category,20w - wattage |||| aluminum - body material,wattage,,category | power | product category,body material
20hp Abb Induction Motor,2,2,8,3,3,3,25.0%,66.7%,abb - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| 20 hp - power | horsepower | hp,20hp - rated power |||| abb - brand |||| induction motor - motor type,brand | motor type,abb | induction motor,company | horsepower | hp | manufacturer | power | product type,rated power
20w fan dc motor,2,2,8,3,4,3,25.0%,50.0%,dc motor - motor_type | product_type |||| 20 w - power | wattage |||| dc - current_type | supply_type |||| fan - application | use,20w - power |||| dc - motor type |||| fan - usage,motor type | power,dc | fan,application | current type | product type | supply type | use | wattage,usage
220  v 1 dual shaft BLOWER FAN MOTOR,2,1,8,4,4,4,25.0%,25.0%,fan motor - motor_type | product_type |||| 220v - voltage | supply_voltage |||| fan - application | use |||| dual shaft - shaft_type | shaft,220 v - voltage |||| blower fan - usage |||| dual shaft - shaft type |||| motor - part type,shaft type | voltage,dual shaft,application | motor type | product type | shaft | supply voltage | use,part type | usage
220 v dual shaft BLOWER FAN MOTOR,2,1,8,4,4,4,25.0%,25.0%,fan motor - motor_type | product_type |||| 220v - voltage | supply_voltage |||| fan - application | use |||| dual shaft - shaft_type | shaft,220 v - voltage |||| blower fan - usage |||| dual shaft - shaft type |||| motor - part type,shaft type | voltage,dual shaft,application | motor type | product type | shaft | supply voltage | use,part type | usage
220hp 960 rpm ELECTRIC MOTOR,2,1,8,2,3,2,25.0%,33.3%,motor - motor_type | product_type |||| 220 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,220hp - power |||| 960 rpm - speed,power | speed,960 rpm,horsepower | hp | motor type | product type | rated speed | rpm,
2283752193 motor6v 20a,0,0,2,2,1,2,0.0%,0.0%,6v - voltage | supply_voltage,2283752193 - model name/number |||| 20a - current,,,supply voltage | voltage,current | model name/number
2285625342 statorhv 2030,0,0,0,1,0,1,N/A,N/A,,2285625342 - product number,,,,product number
230v apex cool 410w exhaust fan motor,2,1,8,4,5,4,25.0%,20.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| 230v - voltage | supply_voltage |||| fan - application | use,230v - voltage |||| 410w - power |||| apex - brand |||| exhaust fan - usage,power | voltage,230v,application | motor type | product type | supply voltage | use | wattage,brand | usage
23a paramoon motor starter,0,0,4,3,2,3,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,23a - current |||| motor starter - usage |||| paramoon - brand,,,application | motor type | product type | use,brand | current | usage
24  v 10 bldc 50w 24v 3000rpm,4,0,9,4,4,4,44.4%,0.0%,bldc motor - motor_type | product_type |||| 50 w - power | wattage |||| 24v - voltage | supply_voltage |||| 3000 rpm - speed | rpm | rated_speed,24 v - voltage |||| 3000rpm - speed |||| 50w - power |||| bldc - motor type,motor type | power | speed | voltage,,product type | rated speed | rpm | supply voltage | wattage,
24 inch three phase 4 exhaust fan fibre,1,1,4,4,2,4,25.0%,50.0%,three phase - phase | supply_phase |||| fan - application | use,24 inch - size |||| exhaust fan - usage |||| fibre - material |||| three phase - phase,phase,three phase,application | supply phase | use,material | size | usage
24v dc coffee machine motor,1,0,6,2,3,2,16.7%,0.0%,motor - motor_type | product_type |||| 24v - voltage | supply_voltage |||| dc - current_type | supply_type,24v dc - voltage |||| coffee machine - usage,voltage,,current type | motor type | product type | supply type | supply voltage,usage
25 Amp Motor Starter Fresh Material,0,0,4,2,2,2,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,25 amp - current |||| motor starter - usage,,,application | motor type | product type | use,current | usage
270Hp Siemens Motor,2,1,8,2,3,2,25.0%,33.3%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 270 hp - power | horsepower | hp,270hp - power |||| siemens - brand,brand | power,siemens,company | horsepower | hp | manufacturer | motor type | product type,
2800  rpm 4 abb electric motor,2,2,8,3,3,3,25.0%,66.7%,abb - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2800 rpm - speed | rpm | rated_speed,2800 rpm - speed |||| abb - brand |||| electric - power source,brand | speed,2800 rpm | abb,company | manufacturer | motor type | product type | rated speed | rpm,power source
2800  rpm 4 foot  mounted abb electric motor,2,2,10,3,4,3,20.0%,50.0%,abb - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2800 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,2800 rpm - speed |||| abb - brand |||| electric - power source,brand | speed,2800 rpm | abb,company | manufacturer | motor type | mounting | mounting type | product type | rated speed | rpm,power source
2800 rpm foot mounted abb electric motor,3,2,10,4,4,4,30.0%,50.0%,abb - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2800 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,2800 rpm - speed |||| abb - brand |||| electric - power source |||| foot mounted - mounting type,brand | mounting type | speed,2800 rpm | abb,company | manufacturer | motor type | mounting | product type | rated speed | rpm,power source
