pc_item_name,glcat_mcat_id,glcat_mcat_name
Three Phase Electric Motor 7.5,52930,Three Phase Electric Motor
Starter Motor Brush Set,145615,Industrial Carbon Brushes
"Eastman 7""Ag Carbon Brush",190885,Power Tool Carbon Brush
1.25 HP Geared Air Motor,21680,Air Motors
1.25 HP Geared Air Motor,21680,Air Motors
240 V WEG Electric Motor,657268,Weg Motor
V4055 Honeywell Fluid Power Actuator,28339,Fluid Power Actuators
Three Phase Gear Motor,150167,Three Phase Gear Motor
V4055 Honeywell Fluid Power Actuator,28339,Fluid Power Actuators
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
Motor Automatic Switch,140407,Motor Automatic Switch
1000Kg Electric Sliding Gate Motor,52905,Electric Sliding Gate Motor
1000Kg Electric Sliding Gate Motor,52905,Electric Sliding Gate Motor
MP 61 Sharp Lift Motor,77611,Lift Motor
Cooling Tower Motor,131722,Cooling Tower Motors
Connection Plate Kirloskar Y2-315,137749,Motor Terminal Plate
2HP Heavy Duty Vibrator Motor - MAXCENT VIBRATOR,2743,Vibration Motor
Three Phase EM Motor Brake,21078,Brake Motors
Single Phase Electronic Motor Starter,226793,Single Phase Motor Starter
Single Phase Electronic Motor Starter,226793,Single Phase Motor Starter
1500 Hp Rotor Motor,182245,External Rotor Motors
Slip Ring Motor,37228,Slip Ring Motor
Stainless Steel Cooling Tower Motor Pump Set,131722,Cooling Tower Motors
Unbalanced Vibrator  Motors,2743,Vibration Motor
DOL Starter,226794,3 Phase Motor Starter
Ego Deco Plus Ceiling Fan,146600,AC Fan Motor
3 Phase Motor Starter,226794,3 Phase Motor Starter
Mobile Motor Starter PRO,161896,Mobile Starter
Mobile Motor Starter PRO,161896,Mobile Starter
DMC Motor Starter,33567,Motor Starter
Single Phase Electronic Motor Starter,226793,Single Phase Motor Starter
GSM Motor Starter,161896,Mobile Starter
GSM Motor Starter,161896,Mobile Starter
GSM Motor Starter,161896,Mobile Starter
Air Brake Direct On Motor Starters,33567,Motor Starter
Ego Deco Plus Ceiling Fan,146600,AC Fan Motor
Three Phase Gear Motor,150167,Three Phase Gear Motor
MP 61 Sharp Lift Motor,77611,Lift Motor
DMC Motor Starter,33567,Motor Starter
Electric Linear Actuator,158987,Electromechanical Linear Actuator
Electric Linear Actuator,158987,Electromechanical Linear Actuator
KU DOL Motor Starter (also known as MU Starter),26266,DOL Starter
KU DOL Motor Starter (also known as MU Starter),26266,DOL Starter
Motor Automatic Switch,140407,Motor Automatic Switch
Motor Automatic Switch,140407,Motor Automatic Switch
Motor Automatic Switch,140407,Motor Automatic Switch
Motor Automatic Switch,140407,Motor Automatic Switch
Motor Automatic Switch,140407,Motor Automatic Switch
Hydraulic Motor,10834,Hydraulic Motor
Hydraulic Motor,10834,Hydraulic Motor
Ego Deco Plus Ceiling Fan,146600,AC Fan Motor
2HP Heavy Duty Vibrator Motor - MAXCENT VIBRATOR,2743,Vibration Motor
Ego Deco Plus Ceiling Fan,146600,AC Fan Motor
Three Phase EM Motor Brake,21078,Brake Motors
Three Phase EM Motor Brake,21078,Brake Motors
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
Three Phase Electric Motor 7.5,52930,Three Phase Electric Motor
Three Phase Electric Motor 7.5,52930,Three Phase Electric Motor
Slip Ring Assembly for Cranes,141589,Slip Ring Assemblies
240 V WEG Electric Motor,657268,Weg Motor
Solenoid Switch ... 391,7852,Starter Solenoid Switches
DC BO Motors With Wheels,445,DC Motor
DC BO Motors With Wheels,445,DC Motor
VCB Spring Charging Motor,161463,Spring Charging Motor
Industrial Sliding Gate Motor,29337,Gate Motor
Hydraulic Motor,10834,Hydraulic Motor
Cooling Tower Motor,131722,Cooling Tower Motors
"Eastman 7""Ag Carbon Brush",190885,Power Tool Carbon Brush
"Eastman 7""Ag Carbon Brush",190885,Power Tool Carbon Brush
"Eastman 7""Ag Carbon Brush",190885,Power Tool Carbon Brush
Ego Deco Plus Ceiling Fan,146600,AC Fan Motor
Delco Spring Charging Motor,161463,Spring Charging Motor
Delco Spring Charging Motor,161463,Spring Charging Motor
DC Motor .,445,DC Motor
DC Motor .,445,DC Motor
Agitator Helical Geared Motor,43308,Helical Geared Motor
Agitator Helical Geared Motor,43308,Helical Geared Motor
Agitator Helical Geared Motor,43308,Helical Geared Motor
Agitator Helical Geared Motor,43308,Helical Geared Motor
Industrial Sliding Gate Motor,29337,Gate Motor
MP 61 Sharp Lift Motor,77611,Lift Motor
Industrial Sliding Gate Motor,29337,Gate Motor
MH100-50 Metronix Hollowshaft Encoder With 50mm Bore Dia,30451,Hollow Shaft Encoders
Paco Motor Terminal Plate,137749,Motor Terminal Plate
Mobile Motor Starter PRO,161896,Mobile Starter
PMDC Worm Geared Motor Wiper Type,183437,PMDC Geared Motor
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
PMDC Worm Geared Motor Wiper Type,183437,PMDC Geared Motor
PMDC Worm Geared Motor Wiper Type,183437,PMDC Geared Motor
PMDC Worm Geared Motor Wiper Type,183437,PMDC Geared Motor
PMDC Worm Geared Motor Wiper Type,183437,PMDC Geared Motor
PMDC Worm Geared Motor Wiper Type,183437,PMDC Geared Motor
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
Flame Proof Monoblock Pumps,21079,Flame Proof Motors
PMDC Worm Geared Motor Wiper Type,183437,PMDC Geared Motor
PMDC Worm Geared Motor Wiper Type,183437,PMDC Geared Motor
PMDC Worm Geared Motor Wiper Type,183437,PMDC Geared Motor
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
Flame Proof Monoblock Pumps,21079,Flame Proof Motors
Flame Proof Monoblock Pumps,21079,Flame Proof Motors
PMDC MOTORS,52920,PMDC Motor
Cooling Tower Motor,131722,Cooling Tower Motors
Cooling Tower Motor,131722,Cooling Tower Motors
Cooling Tower Motor,131722,Cooling Tower Motors
Cooling Tower Motor,131722,Cooling Tower Motors
Cooling Tower Motor,131722,Cooling Tower Motors
Cooling Tower Motor,131722,Cooling Tower Motors
Hindustan Multi Speed Motors,33658,Multi Speed Motor
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
Electric Linear Actuator,158987,Electromechanical Linear Actuator
Dc Motor,445,DC Motor
Agitator Helical Geared Motor,43308,Helical Geared Motor
Agitator Helical Geared Motor,43308,Helical Geared Motor
PMDC Worm Geared Motor Wiper Type,183437,PMDC Geared Motor
PMDC MOTORS,52920,PMDC Motor
DC BO Motors With Wheels,445,DC Motor
DC BO Motors With Wheels,445,DC Motor
"12v DC RS-37-555 Side Shaft Gear, Geared Motor - 10 rpm",445,DC Motor
My1016z2 250w Pmdc Geared Motor,183437,PMDC Geared Motor
Dc 6V 30Rpm Micro Speed Reduction Gear Motor Metal Gearbox Wheel Shaft For Rc Car Robot,25556,DC Geared Motor
SMC CRA1 Rotary Actuator,36873,Rotary Actuators
STEPPER MOTOR CONTROLLER,13374,Stepper Motor Controller
Automatic Sliding Gate Motor  600 kg,52905,Electric Sliding Gate Motor
1 HP Three Phase Electric Motor,52930,Three Phase Electric Motor
2200 W PMDC Motor,52920,PMDC Motor
320RPM Sliding Gate Motor,29337,Gate Motor
10 HP 6 Pole Electric Motor,181114,ABB Electric Motor
V Type Carbon Brush Holder,55772,Carbon Brush Holder
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
1 HP Three Phase Electric Motor,52930,Three Phase Electric Motor
1 HP Three Phase Electric Motor,52930,Three Phase Electric Motor
Schneider Motor Starter,33567,Motor Starter
EF-3/3 Electric Terminal Connector Plate,137749,Motor Terminal Plate
STEPPER MOTOR CONTROLLER,13374,Stepper Motor Controller
Bhel Motor Slipring,37228,Slip Ring Motor
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
Pmdc Geared Motor,183437,PMDC Geared Motor
810T Carbon Brush,112046,Metal Carbon Brushes
Single Phase Electrical Actuator,27216,Electric Actuator
Copper Carbon Brushes,903,Carbon Brush
Copper Carbon Brushes,903,Carbon Brush
Doncheng Vacuum Cleaner Motors,40749,Vacuum Cleaner Motors
Doncheng Vacuum Cleaner Motors,40749,Vacuum Cleaner Motors
Single Phase Electrical Actuator,27216,Electric Actuator
Star Delta Dryrun starters,33567,Motor Starter
Star Delta Dryrun starters,33567,Motor Starter
10 HP 6 Pole Electric Motor,181114,ABB Electric Motor
10 HP 6 Pole Electric Motor,181114,ABB Electric Motor
"40W ,60W ,90 Watt Ac Induction Gear Motor",21549,AC Geared Motor
Zbotic TowerPro SG90 180 Degree Rotation Servo Motor,13275,DC Servo Motor
Industrial Flowserve Positioner,20641,Pneumatic Positioner
Doncheng Vacuum Cleaner Motors,40749,Vacuum Cleaner Motors
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
V Type Carbon Brush Holder,55772,Carbon Brush Holder
320RPM Sliding Gate Motor,29337,Gate Motor
300 RPM BO Motor Dual Shaft BO Motor - Straight,139590,Double Shaft Motor
Pmdc Geared Motor,183437,PMDC Geared Motor
Hydraulic Press Machine Servo Motor,14970,AC Servo Motor
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
Regular Auto Switch,140407,Motor Automatic Switch
Regular Auto Switch,140407,Motor Automatic Switch
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
Electronic Spices 3v -12v Toy Motor DC Motor Mini Electric Motor Carbon Brush High Speed Motor,39979,Toy Motor
10 HP 6 Pole Electric Motor,181114,ABB Electric Motor
Bakelite Connection Plates,137749,Motor Terminal Plate
STEPPER MOTOR CONTROLLER,13374,Stepper Motor Controller
Bakelite Connection Plates,137749,Motor Terminal Plate
Carbon Brush,903,Carbon Brush
Pin Type Miniature Slip Ring,43307,Modular Slip Ring
Cage Rotor And Wound Rotor,156253,Wound Rotor Induction Motor
Industrial Flowserve Positioner,20641,Pneumatic Positioner
Inline Helical Geared Motors,43308,Helical Geared Motor
810T Carbon Brush,112046,Metal Carbon Brushes
Automatic Rolling Shutter Motor,77612,Rolling Shutter Motor
Shaded Pole Motors,36931,Shaded Pole Motors
810T Carbon Brush,112046,Metal Carbon Brushes
Automatic Rolling Shutter Motor,77612,Rolling Shutter Motor
"MY6812 24VDC 150W, 2750 RPM Electric Motor (Chain)",445,DC Motor
Cooling Tower Motor,131722,Cooling Tower Motors
Cooling Tower Motor,131722,Cooling Tower Motors
Two Stage Helical Gear Motor,29373,Gear Motor
Inline Helical Geared Motors,43308,Helical Geared Motor
Industrial Flowserve Positioner,20641,Pneumatic Positioner
MVE-E 4 Pole Electric Vibration Motor,2743,Vibration Motor
General Electric Motors,181196,General Electric AC Motors
Encoders,30451,Hollow Shaft Encoders
IRS SunnySky M5380 450KV Brushless Motor,23616,Brushless Motors
Automatic Rolling Shutter Motor,77612,Rolling Shutter Motor
Doncheng Vacuum Cleaner Motors,40749,Vacuum Cleaner Motors
Doncheng Vacuum Cleaner Motors,40749,Vacuum Cleaner Motors
Ingersoll Rand Air Motor 5hp,21680,Air Motors
Doncheng Vacuum Cleaner Motors,40749,Vacuum Cleaner Motors
L&T Single Phase Starter,226793,Single Phase Motor Starter
Dc 6V 30Rpm Micro Speed Reduction Gear Motor Metal Gearbox Wheel Shaft For Rc Car Robot,25556,DC Geared Motor
TAMAGAWA MAKE STEPPER MOTOR,18794,Stepper Motor
30 Hp DC Motor,445,DC Motor
Hydraulic Motor,10834,Hydraulic Motor
Starter Motor Brush Set,145615,Industrial Carbon Brushes
30 horse power electric motor,52930,Three Phase Electric Motor
Solenoid Switch ... 391,7852,Starter Solenoid Switches
240 V WEG Electric Motor,657268,Weg Motor
Hindustan Multi Speed Motors,33658,Multi Speed Motor
Sliding Gate Motor,52905,Electric Sliding Gate Motor
Sliding Gate Motor,52905,Electric Sliding Gate Motor
Flame Proof Monoblock Pumps,21079,Flame Proof Motors
Blue Cooling Tower Electric Motor,443716,Tower Fan Motor
Slip Ring Assembly for Cranes,141589,Slip Ring Assemblies
Simple DC motor,445,DC Motor
Hindustan Multi Speed Motors,33658,Multi Speed Motor
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
Agitator Helical Geared Motor,43308,Helical Geared Motor
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
ABB Three Phase Induction  Motor 75HP,131725,Three Phase Induction Motor
Agitator Helical Geared Motor,43308,Helical Geared Motor
Blue Cooling Tower Electric Motor,443716,Tower Fan Motor
Blue Cooling Tower Electric Motor,443716,Tower Fan Motor
Slip Ring Assembly for Cranes,141589,Slip Ring Assemblies
Sliding Gate Motor,52905,Electric Sliding Gate Motor
Flame Proof Monoblock Pumps,21079,Flame Proof Motors
Dc Motor,445,DC Motor
Dc Motor,445,DC Motor
Dc Motor,445,DC Motor
Dc Motor,445,DC Motor
Sliding Gate Motor,52905,Electric Sliding Gate Motor
Slip Ring Assembly for Cranes,141589,Slip Ring Assemblies
Flame Proof Monoblock Pumps,21079,Flame Proof Motors
Slip Ring Assembly for Cranes,141589,Slip Ring Assemblies
Sliding Gate Motor,52905,Electric Sliding Gate Motor
1000Kg Electric Sliding Gate Motor,52905,Electric Sliding Gate Motor
1.25 HP Geared Air Motor,21680,Air Motors
DC Motor Commutator,106204,Commutator
Auto Part Commutator,106204,Commutator
Auto Part Commutator,106204,Commutator
Power Tools  Commutator,106204,Commutator
Power Tools  Commutator,106204,Commutator
Power Tools  Commutator,106204,Commutator
Power Tools  Commutator,106204,Commutator
Power Tools  Commutator,106204,Commutator
Delco Spring Charging Motor,161463,Spring Charging Motor
Delco Spring Charging Motor,161463,Spring Charging Motor
PMDC MOTORS,52920,PMDC Motor
PMDC MOTORS,52920,PMDC Motor
DC Motor 535,445,DC Motor
DC Motor 535,445,DC Motor
DC Motor 535,445,DC Motor
DC Motor 535,445,DC Motor
DC Motor .,445,DC Motor
DC Motor .,445,DC Motor
DC Motor .,445,DC Motor
12V DC Motor,445,DC Motor
DC BO Motors With Wheels,445,DC Motor
DC BO Motors With Wheels,445,DC Motor
DC BO Motors With Wheels,445,DC Motor
220V 14W Permanent Magnetic Synchronous AC Motor Gear Machine 50Hz 110RPM/min,1275,Permanent Magnet Motor
220V 14W Permanent Magnetic Synchronous AC Motor Gear Machine 50Hz 110RPM/min,1275,Permanent Magnet Motor
"12v DC RS-37-555 Side Shaft Gear, Geared Motor - 10 rpm",445,DC Motor
"12v DC RS-37-555 Side Shaft Gear, Geared Motor - 10 rpm",445,DC Motor
"12v DC RS-37-555 Side Shaft Gear, Geared Motor - 10 rpm",445,DC Motor
My1016z2 250w Pmdc Geared Motor,183437,PMDC Geared Motor
My1016z2 250w Pmdc Geared Motor,183437,PMDC Geared Motor
My1016z2 250w Pmdc Geared Motor,183437,PMDC Geared Motor
Dc 6V 30Rpm Micro Speed Reduction Gear Motor Metal Gearbox Wheel Shaft For Rc Car Robot,25556,DC Geared Motor
Dc 6V 30Rpm Micro Speed Reduction Gear Motor Metal Gearbox Wheel Shaft For Rc Car Robot,25556,DC Geared Motor
Dc 6V 30Rpm Micro Speed Reduction Gear Motor Metal Gearbox Wheel Shaft For Rc Car Robot,25556,DC Geared Motor
Dc 6V 30Rpm Micro Speed Reduction Gear Motor Metal Gearbox Wheel Shaft For Rc Car Robot,25556,DC Geared Motor
Dc 6V 30Rpm Micro Speed Reduction Gear Motor Metal Gearbox Wheel Shaft For Rc Car Robot,25556,DC Geared Motor
TAMAGAWA MAKE STEPPER MOTOR,18794,Stepper Motor
TAMAGAWA MAKE STEPPER MOTOR,18794,Stepper Motor
30 Hp DC Motor,445,DC Motor
Industrial Sliding Gate Motor,29337,Gate Motor
Industrial Sliding Gate Motor,29337,Gate Motor
Industrial Sliding Gate Motor,29337,Gate Motor
Industrial Sliding Gate Motor,29337,Gate Motor
Nema 34 Stepper Motor,18794,Stepper Motor
Nema 34 Stepper Motor,18794,Stepper Motor
Nema 34 Stepper Motor,18794,Stepper Motor
Nema 34 Stepper Motor,18794,Stepper Motor
Globe Valves With Electrical Actuator,40795,Valve Actuators
MG90S Mini Digital Servo Motor,13275,DC Servo Motor
PMDC Mini Inline Geared Motor,183437,PMDC Geared Motor
Unbalanced Vibro Motor,2743,Vibration Motor
MG90S Mini Digital Servo Motor,13275,DC Servo Motor
Torque Electric Motors,19705,Torque Motor
Planetary Gear Motor,153816,Planetary Gear Motor
93Watt to 235Watt / PMDC Motor,445,DC Motor
DC Motor,445,DC Motor
DC 24V Motor,445,DC Motor
High Frequency Servo Actuator,37975,Servo Actuators
High Frequency Servo Actuator,37975,Servo Actuators
MG90S Mini Digital Servo Motor,13275,DC Servo Motor
Servo Motors Repair,168060,Servo Motor Repair
Planetary Gear Motor,153816,Planetary Gear Motor
Unbalanced Vibro Motor,2743,Vibration Motor
Planetary Gear Motor,153816,Planetary Gear Motor
Torque Electric Motors,19705,Torque Motor
Paddle Wheel Aerator Waterproof Motor Cover,117875,Motor Cover
Paddle Wheel Aerator Waterproof Motor Cover,117875,Motor Cover
Unbalanced Vibro Motor,2743,Vibration Motor
Globe Valves With Electrical Actuator,40795,Valve Actuators
Globe Valves With Electrical Actuator,40795,Valve Actuators
Crompton Greaves Electric Motor,126348,Crompton Greaves Motor
DC 24V Motor,445,DC Motor
10Kg Ac Synchronous Motor,45525,AC Synchronous Motor
Geared Motors,29373,Gear Motor
MG90S Mini Digital Servo Motor,13275,DC Servo Motor
Globe Valves With Electrical Actuator,40795,Valve Actuators
Three Phase Quarter Turn Actuator,27216,Electric Actuator
Stepper Motors,18794,Stepper Motor
10 KG Synchronous Motor,18917,Synchronous Motor
MITSUBISHI SERVO MOTOR HC-MFS73K,184101,Mitsubishi Servo Motors
MITSUBISHI SERVO MOTOR HC-MFS73K,184101,Mitsubishi Servo Motors
MITSUBISHI SERVO MOTOR HC-MFS73K,184101,Mitsubishi Servo Motors
DC Motor,19815,Universal DC Motor
Torque Electric Motors,19705,Torque Motor
Servo Motors Repair,168060,Servo Motor Repair
Three Phase Vibratory Motor,2743,Vibration Motor
Three Phase Vibratory Motor,2743,Vibration Motor
Three Phase Vibratory Motor,2743,Vibration Motor
Three Phase Vibratory Motor,2743,Vibration Motor
Servo Motors Repair,168060,Servo Motor Repair
Globe Valves With Electrical Actuator,40795,Valve Actuators
Globe Valves With Electrical Actuator,40795,Valve Actuators
MG90S Mini Digital Servo Motor,13275,DC Servo Motor
Globe Valves With Electrical Actuator,40795,Valve Actuators
10 KG Synchronous Motor,18917,Synchronous Motor
Three Phase Induction Motor,131725,Three Phase Induction Motor
DC Motor,19815,Universal DC Motor
DC Motor,19815,Universal DC Motor
DC Motor,445,DC Motor
DC Motor,445,DC Motor
DC Brake Motor,21078,Brake Motors
DC Brake Motor,21078,Brake Motors
DC Brake Motor,21078,Brake Motors
DC Brake Motor,21078,Brake Motors
DC Brake Motor,21078,Brake Motors
Crompton Greaves Electric Motor,126348,Crompton Greaves Motor
Crompton Greaves Electric Motor,126348,Crompton Greaves Motor
Crompton Greaves Electric Motor,126348,Crompton Greaves Motor
Stepper Motors,18794,Stepper Motor
