success,query,gemini_attr_count,gemini_isq_list,gemini_isq_pipe,gemini_raw_output
True,ricebran esterification plant,2,"['ricebran:material:specification', 'esterification:type:specification']",ricebran:material:specification | esterification:type:specification,"[""ricebran:material:specification"", ""esterification:type:specification""]"
True,gold-refining-plant,2,"['gold refining:usage:specification', 'plant:type:specification']",gold refining:usage:specification | plant:type:specification,"[""gold refining:usage:specification"", ""plant:type:specification""]"
True,ld extruder machine,2,"['extruder:type:specification', 'ld:material:specification']",extruder:type:specification | ld:material:specification,"[""extruder:type:specification"", ""ld:material:specification""]"
True,65mm ld extruder machine,3,"['65mm:size:specification', 'ld:material:specification', 'extruder:type:specification']",65mm:size:specification | ld:material:specification | extruder:type:specification,"[""65mm:size:specification"", ""ld:material:specification"", ""extruder:type:specification""]"
True,Solvent Extraction Plant Equipment,2,"['solvent extraction:usage:specification', 'equipment:product:specification']",solvent extraction:usage:specification | equipment:product:specification,"[""solvent extraction:usage:specification"", ""equipment:product:specification""]"
True,lab scale twin screw extruder,2,"['lab scale:usage:specification', 'twin screw extruder:type:specification']",lab scale:usage:specification | twin screw extruder:type:specification,"[""lab scale:usage:specification"", ""twin screw extruder:type:specification""]"
True,Silver Refining Plant,2,"['silver:usage:specification', 'refining:type:specification']",silver:usage:specification | refining:type:specification,"[""silver:usage:specification"", ""refining:type:specification""]"
True,Rice Bran Oil Extraction Plant and Machinery,4,"['rice bran oil:material:specification', 'extraction:process:specification', 'plant:type:specification', 'machinery:type:specification']",rice bran oil:material:specification | extraction:process:specification | plant:type:specification | machinery:type:specification,"[""rice bran oil:material:specification"", ""extraction:process:specification"", ""plant:type:specification"", ""machinery:type:specification""]"
True,twin screw extruder 50 kg/hr extruder machine,3,"['[""twin screw:type:specification""', '""50 kg/hr:capacity:specification""', '""extruder:type:specification""]']","[""twin screw:type:specification"" | ""50 kg/hr:capacity:specification"" | ""extruder:type:specification""]","```
[""twin screw:type:specification"", ""50 kg/hr:capacity:specification"", ""extruder:type:specification""]
```"
True,gold refining machine,2,"['gold:usage:specification', 'refining:process:specification']",gold:usage:specification | refining:process:specification,"[""gold:usage:specification"", ""refining:process:specification""]"
True,co rotating twin screw extruders,2,"['co rotating twin screw:type:specification', 'extruders:product:specification']",co rotating twin screw:type:specification | extruders:product:specification,"[""co rotating twin screw:type:specification"", ""extruders:product:specification""]"
True,Electric Wood Shavings Extractor,3,"['electric:power_source:specification', 'wood shavings:material:specification', 'extractor:type:specification']",electric:power_source:specification | wood shavings:material:specification | extractor:type:specification,"[""electric:power_source:specification"", ""wood shavings:material:specification"", ""extractor:type:specification""]"
True,Automatic Monolayer Blown Film Extrusion Machine,4,"['automatic:feature:specification', 'monolayer:layer:specification', 'film:usage:specification', 'extrusion:machine type:specification']",automatic:feature:specification | monolayer:layer:specification | film:usage:specification | extrusion:machine type:specification,"[""automatic:feature:specification"", ""monolayer:layer:specification"", ""film:usage:specification"", ""extrusion:machine type:specification""]"
True,Extruder,1,['extruder:type:specification'],extruder:type:specification,"[""extruder:type:specification""]"
True,co extruder machine,1,['extruder:type:specification'],extruder:type:specification,"[""extruder:type:specification""]"
True,Solid Phase Extraction vacuum Manifold,2,"['solid phase extraction:type:specification', 'vacuum manifold:type:specification']",solid phase extraction:type:specification | vacuum manifold:type:specification,"[""solid phase extraction:type:specification"", ""vacuum manifold:type:specification""]"
True,Aluminum Plant,2,"['aluminum:material:specification', 'plant:type:specification']",aluminum:material:specification | plant:type:specification,"[""aluminum:material:specification"", ""plant:type:specification""]"
True,rag gold refined,2,"['gold:material:specification', 'refined:process:specification']",gold:material:specification | refined:process:specification,"[""gold:material:specification"", ""refined:process:specification""]"
True,benchtop extruder,2,"['extruder:type:specification', 'benchtop:usage:specification']",extruder:type:specification | benchtop:usage:specification,"[""extruder:type:specification"", ""benchtop:usage:specification""]"
True,Metal Refining Plant,2,"['metal:material:specification', 'refining:type:specification']",metal:material:specification | refining:type:specification,"[""metal:material:specification"", ""refining:type:specification""]"
True,soap extruder machine,2,"['soap:product:specification', 'extruder:type:specification']",soap:product:specification | extruder:type:specification,"[""soap:product:specification"", ""extruder:type:specification""]"
True,Automatic Gold Refining Machine,2,"['gold refining:usage:specification', 'automatic:feature:specification']",gold refining:usage:specification | automatic:feature:specification,"[""gold refining:usage:specification"", ""automatic:feature:specification""]"
True,Cable Extruder,2,"['cable:usage:specification', 'extruder:type:specification']",cable:usage:specification | extruder:type:specification,"[""cable:usage:specification"", ""extruder:type:specification""]"
True,extruder-machine,1,['extruder:type:specification'],extruder:type:specification,"[""extruder:type:specification""]"
True,Mini Extruder Machine,2,"['extruder:type:specification', 'mini:size:specification']",extruder:type:specification | mini:size:specification,"[""extruder:type:specification"", ""mini:size:specification""]"
True,Twin Screw Extruder,2,"['twin screw:type:specification', 'extruder:type:specification']",twin screw:type:specification | extruder:type:specification,"[""twin screw:type:specification"", ""extruder:type:specification""]"
True,blown-film-extrusion-machine,2,"['film:usage:specification', 'extrusion:machine type:specification']",film:usage:specification | extrusion:machine type:specification,"[""film:usage:specification"", ""extrusion:machine type:specification""]"
True,cable extruder machine,2,"['cable:usage:specification', 'extruder:type:specification']",cable:usage:specification | extruder:type:specification,"[""cable:usage:specification"", ""extruder:type:specification""]"
True,pv solar cable extrusion line machines - labh group,2,"['[""pv solar cable:product:specification""', '""extrusion line:type:specification""]']","[""pv solar cable:product:specification"" | ""extrusion line:type:specification""]","```
[""pv solar cable:product:specification"", ""extrusion line:type:specification""]
```"
