query,success,unique_value_count,total_key_count,raw_output,attributes_json,input_tokens,output_tokens,cost
brushless dc motor,True,1,3,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""motor_type"",
      ""value"": ""brushless dc motor"",
      ""key_priority"": 1,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""brushless_dc"",
      ""value"": ""brushless dc motor"",
      ""key_priority"": 2,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""dc_motor_type"",
      ""value"": ""brushless dc motor"",
      ""key_priority"": 3,
      ""attribute_priority"": 1
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""brushless dc motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""brushless_dc"", ""value"": ""brushless dc motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""dc_motor_type"", ""value"": ""brushless dc motor"", ""key_priority"": 3, ""attribute_priority"": 1}]}",2220,133,$0.001310
ABB Electric Motor,True,2,5,"{""attributes"":[{""attribute_key"":""brand"",""value"":""abb"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""abb"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""abb"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""motor_type"",""value"":""electric motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""motor"",""value"":""electric motor"",""key_priority"":2,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""abb"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""abb"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""abb"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""electric motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""motor"", ""value"": ""electric motor"", ""key_priority"": 2, ""attribute_priority"": 2}]}",2217,2055,$0.004191
sensor plate,True,1,3,"{""attributes"":[{""attribute_key"":""product_type"",""value"":""sensor plate"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""type"",""value"":""sensor plate"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""component_type"",""value"":""sensor plate"",""key_priority"":3,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""product_type"", ""value"": ""sensor plate"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""type"", ""value"": ""sensor plate"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""component_type"", ""value"": ""sensor plate"", ""key_priority"": 3, ""attribute_priority"": 1}]}",2215,1350,$0.003132
electronic components bo moters,True,2,5,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""category"",
      ""value"": ""electronic components"",
      ""key_priority"": 1,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""component_type"",
      ""value"": ""electronic components"",
      ""key_priority"": 2,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""product_type"",
      ""value"": ""motors"",
      ""key_priority"": 1,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""motor_type"",
      ""value"": ""motors"",
      ""key_priority"": 2,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""motor"",
      ""value"": ""motors"",
      ""key_priority"": 3,
      ""attribute_priority"": 2
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""category"", ""value"": ""electronic components"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""component_type"", ""value"": ""electronic components"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""motors"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""motor_type"", ""value"": ""motors"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""motor"", ""value"": ""motors"", ""key_priority"": 3, ""attribute_priority"": 2}]}",2221,199,$0.001409
1500 kv ccw multirotor motor,True,3,6,"{""attributes"":[{""attribute_key"":""kv_rating"",""value"":""1500 kv"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""kv"",""value"":""1500 kv"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""rotation_direction"",""value"":""ccw"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""direction"",""value"":""ccw"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""motor_type"",""value"":""multirotor motor"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""multirotor"",""value"":""multirotor motor"",""key_priority"":2,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""kv_rating"", ""value"": ""1500 kv"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""kv"", ""value"": ""1500 kv"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""rotation_direction"", ""value"": ""ccw"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""direction"", ""value"": ""ccw"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""motor_type"", ""value"": ""multirotor motor"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""multirotor"", ""value"": ""multirotor motor"", ""key_priority"": 2, ""attribute_priority"": 3}]}",2224,2309,$0.004576
Panasonic Geared Motor,False,0,0,,,2216,4095,$0.007251
worm geared brake motor,True,3,4,"{""attributes"":[{""attribute_key"":""motor_type"",""value"":""worm geared motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""gear_type"",""value"":""worm gear"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""feature"",""value"":""brake"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""brake"",""value"":""brake"",""key_priority"":2,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""motor_type"", ""value"": ""worm geared motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""gear_type"", ""value"": ""worm gear"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""feature"", ""value"": ""brake"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""brake"", ""value"": ""brake"", ""key_priority"": 2, ""attribute_priority"": 3}]}",2217,2303,$0.004563
eletical motors 40hp,True,2,5,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""power"",
      ""value"": ""40hp"",
      ""key_priority"": 1,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""horsepower"",
      ""value"": ""40hp"",
      ""key_priority"": 2,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""hp"",
      ""value"": ""40hp"",
      ""key_priority"": 3,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""motor_type"",
      ""value"": ""motors"",
      ""key_priority"": 1,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""motor"",
      ""value"": ""motors"",
      ""key_priority"": 2,
      ""attribute_priority"": 2
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""power"", ""value"": ""40hp"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""horsepower"", ""value"": ""40hp"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""hp"", ""value"": ""40hp"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""motors"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""motor"", ""value"": ""motors"", ""key_priority"": 2, ""attribute_priority"": 2}]}",2224,199,$0.001411
Rotomotive Induction Motor 3 Phase,True,3,7,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""brand"",
      ""value"": ""Rotomotive"",
      ""key_priority"": 1,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""manufacturer"",
      ""value"": ""Rotomotive"",
      ""key_priority"": 2,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""company"",
      ""value"": ""Rotomotive"",
      ""key_priority"": 3,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""motor_type"",
      ""value"": ""induction motor"",
      ""key_priority"": 1,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""induction"",
      ""value"": ""induction motor"",
      ""key_priority"": 2,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""phase"",
      ""value"": ""3 phase"",
      ""key_priority"": 1,
      ""attribute_priority"": 3
    },
    {
      ""attribute_key"": ""phase_type"",
      ""value"": ""3 phase"",
      ""key_priority"": 2,
      ""attribute_priority"": 3
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""Rotomotive"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""Rotomotive"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""Rotomotive"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""motor_type"", ""value"": ""induction motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""induction"", ""value"": ""induction motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""phase"", ""value"": ""3 phase"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""phase_type"", ""value"": ""3 phase"", ""key_priority"": 2, ""attribute_priority"": 3}]}",2225,274,$0.001524
100 W Chimney Motor,True,2,5,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""power"",
      ""value"": ""100 W"",
      ""key_priority"": 1,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""wattage"",
      ""value"": ""100 W"",
      ""key_priority"": 2,
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""application"",
      ""value"": ""chimney motor"",
      ""key_priority"": 1,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""use"",
      ""value"": ""chimney motor"",
      ""key_priority"": 2,
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""motor_type"",
      ""value"": ""chimney motor"",
      ""key_priority"": 3,
      ""attribute_priority"": 2
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""power"", ""value"": ""100 W"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""wattage"", ""value"": ""100 W"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""application"", ""value"": ""chimney motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""use"", ""value"": ""chimney motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""motor_type"", ""value"": ""chimney motor"", ""key_priority"": 3, ""attribute_priority"": 2}]}",2224,207,$0.001423
1 for reselling piece Panasonic Geared Motor,True,5,8,"```json
{
  ""attributes"": [
    {
      ""attribute_key"": ""quantity"", 
      ""value"": ""1"", 
      ""key_priority"": 1, 
      ""attribute_priority"": 1
    },
    {
      ""attribute_key"": ""unit"", 
      ""value"": ""piece"", 
      ""key_priority"": 1, 
      ""attribute_priority"": 2
    },
    {
      ""attribute_key"": ""purpose"", 
      ""value"": ""reselling"", 
      ""key_priority"": 1, 
      ""attribute_priority"": 3
    },
    {
      ""attribute_key"": ""use"", 
      ""value"": ""reselling"", 
      ""key_priority"": 2, 
      ""attribute_priority"": 3
    },
    {
      ""attribute_key"": ""brand"", 
      ""value"": ""Panasonic"", 
      ""key_priority"": 1, 
      ""attribute_priority"": 4
    },
    {
      ""attribute_key"": ""manufacturer"", 
      ""value"": ""Panasonic"", 
      ""key_priority"": 2, 
      ""attribute_priority"": 4
    },
    {
      ""attribute_key"": ""motor_type"", 
      ""value"": ""geared motor"", 
      ""key_priority"": 1, 
      ""attribute_priority"": 5
    },
    {
      ""attribute_key"": ""gear_motor"", 
      ""value"": ""geared motor"", 
      ""key_priority"": 2, 
      ""attribute_priority"": 5
    }
  ]
}
```","{""attributes"": [{""attribute_key"": ""quantity"", ""value"": ""1"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""unit"", ""value"": ""piece"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""purpose"", ""value"": ""reselling"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""use"", ""value"": ""reselling"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""brand"", ""value"": ""Panasonic"", ""key_priority"": 1, ""attribute_priority"": 4}, {""attribute_key"": ""manufacturer"", ""value"": ""Panasonic"", ""key_priority"": 2, ""attribute_priority"": 4}, {""attribute_key"": ""motor_type"", ""value"": ""geared motor"", ""key_priority"": 1, ""attribute_priority"": 5}, {""attribute_key"": ""gear_motor"", ""value"": ""geared motor"", ""key_priority"": 2, ""attribute_priority"": 5}]}",2226,328,$0.001605
Motor Cover,False,0,0,,,2215,3000,$0.005607
b04420065,True,1,2,"{""attributes"":[{""attribute_key"":""model_number"",""value"":""b04420065"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""model"",""value"":""b04420065"",""key_priority"":2,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""model_number"", ""value"": ""b04420065"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""model"", ""value"": ""b04420065"", ""key_priority"": 2, ""attribute_priority"": 1}]}",2222,563,$0.001955
