success,query,attr_count,isq_list,isq_pipe,error,request_number,raw_output
True,"labh group semi-automatic silver refining plant, 1 tpd, 480 v, 3 phase",6,"['labh group:brand:specification', 'semi-automatic:automation grade:specification', 'silver refining plant:product:specification', '1 tpd:capacity:specification', '480 v:voltage:specification', '3 phase:phase:specification']",labh group:brand:specification | semi-automatic:automation grade:specification | silver refining plant:product:specification | 1 tpd:capacity:specification | 480 v:voltage:specification | 3 phase:phase:specification,,49,"[""labh group:brand:specification"", ""semi-automatic:automation grade:specification"", ""silver refining plant:product:specification"", ""1 tpd:capacity:specification"", ""480 v:voltage:specification"", ""3 phase:phase:specification""]"
True,pp multi layer extruder 200 kg capacity,4,"['pp:material to be extruded:specification', 'multi layer:machine type:specification', 'extruder:product:specification', '200 kg:capacity:specification']",pp:material to be extruded:specification | multi layer:machine type:specification | extruder:product:specification | 200 kg:capacity:specification,,50,"[""pp:material to be extruded:specification"", ""multi layer:machine type:specification"", ""extruder:product:specification"", ""200 kg:capacity:specification""]"
False,laxmi manual silver refinery machine,0,[],,'NoneType' object has no attribute 'strip',51,
False,25 kg/hr automatic jockey extruder,0,[],,'NoneType' object has no attribute 'strip',52,
True,100 kg/hr manual conical twin screw extruder 480 v 3 phase ss 304 body,8,"['""100 kg/hr:capacity:specification""', '""manual:automation grade:specification""', '""conical:design:specification""', '""twin screw:machine type:specification""', '""extruder:product:specification""', '""480 v:voltage:specification""', '""3 phase:phase:specification""', '""ss 304:body material:specification""']","""100 kg/hr:capacity:specification"" | ""manual:automation grade:specification"" | ""conical:design:specification"" | ""twin screw:machine type:specification"" | ""extruder:product:specification"" | ""480 v:voltage:specification"" | ""3 phase:phase:specification"" | ""ss 304:body material:specification""",,53,"Based on the patterns in the training data and the specific query, here is the extracted attribute list:

```python
[
    ""100 kg/hr:capacity:specification"",
    ""manual:automation grade:specification"",
    ""conical:design:specification"",
    ""twin screw:machine type:specification"",
    ""extruder:product:specification"",
    ""480 v:voltage:specification"",
    ""3 phase:phase:specification"",
    ""ss 304:body material:specification""
]
```"
False,200 kg/hr automatic oleoresin extraction plant,0,[],,'NoneType' object has no attribute 'strip',54,
True,new plastic recycling extruder,3,"['new:i deal in:specification', 'plastic:material to be extruded:specification', 'recycling extruder:product:specification']",new:i deal in:specification | plastic:material to be extruded:specification | recycling extruder:product:specification,,55,"[""new:i deal in:specification"", ""plastic:material to be extruded:specification"", ""recycling extruder:product:specification""]"
True,aluminium extrusion plant for recycling,3,"['aluminium:material to be extruded:specification', 'extrusion plant:product:specification', 'recycling:usage/application:specification']",aluminium:material to be extruded:specification | extrusion plant:product:specification | recycling:usage/application:specification,,56,"[""aluminium:material to be extruded:specification"", ""extrusion plant:product:specification"", ""recycling:usage/application:specification""]"
True,gold refinery plant with 50 hp power 415 v,3,"['gold refinery plant:product:specification', '50 hp:power:specification', '415 v:voltage:specification']",gold refinery plant:product:specification | 50 hp:power:specification | 415 v:voltage:specification,,57,"[""gold refinery plant:product:specification"", ""50 hp:power:specification"", ""415 v:voltage:specification""]"
False,"high quality automatic wire extruder conical type, 300 kg/hr, 230 v supply, 3 phase, stainless steel body, prism brand for wire & cable",0,[],,'NoneType' object has no attribute 'strip',58,
False,monolayer extruder machine 100 liter output 400 v three phase hdpe,0,[],,'NoneType' object has no attribute 'strip',59,
True,conical mother baby extruder 5 kg fully automatic 440 v,6,"['conical:design:specification', 'mother baby:machine type:specification', 'extruder:product:specification', '5 kg:capacity:specification', 'fully automatic:automation grade:specification', '440 v:voltage:specification']",conical:design:specification | mother baby:machine type:specification | extruder:product:specification | 5 kg:capacity:specification | fully automatic:automation grade:specification | 440 v:voltage:specification,,60,"[""conical:design:specification"", ""mother baby:machine type:specification"", ""extruder:product:specification"", ""5 kg:capacity:specification"", ""fully automatic:automation grade:specification"", ""440 v:voltage:specification""]"
False,sheet extruder with 20 hp power 380 v,0,[],,'NoneType' object has no attribute 'strip',61,
True,"tube extrusion machine - rajco make, 10 ton, pp, three phase",5,"['""tube extrusion machine:product:specification""', '""rajco:brand:specification""', '""10 ton:capacity:specification""', '""pp:material to be extruded:specification""', '""three phase:phase:specification""']","""tube extrusion machine:product:specification"" | ""rajco:brand:specification"" | ""10 ton:capacity:specification"" | ""pp:material to be extruded:specification"" | ""three phase:phase:specification""",,62,"Based on the patterns in the training data and the specific query, here is the extracted attribute list:

```python
[
    ""tube extrusion machine:product:specification"",
    ""rajco:brand:specification"",
    ""10 ton:capacity:specification"",
    ""pp:material to be extruded:specification"",
    ""three phase:phase:specification""
]
```"
False,pvc lab extruder,0,[],,'NoneType' object has no attribute 'strip',63,
False,"industrial grade automatic film extrusion machine with twin screw design, 1000 kg/hr capacity, operating voltage 400 v, three phase, ss 304 body material",0,[],,'NoneType' object has no attribute 'strip',64,
True,"popular manual herbal extraction plant, 20 kg, 400 v, 3 phase",6,"['""popular:brand:specification""', '""manual:automation grade:specification""', '""herbal extraction plant:product:specification""', '""20 kg:capacity:specification""', '""400 v:voltage:specification""', '""3 phase:phase:specification""']","""popular:brand:specification"" | ""manual:automation grade:specification"" | ""herbal extraction plant:product:specification"" | ""20 kg:capacity:specification"" | ""400 v:voltage:specification"" | ""3 phase:phase:specification""",,65,"Based on the patterns in the training data, here is the extracted attribute list:

```python
[
    ""popular:brand:specification"",
    ""manual:automation grade:specification"",
    ""herbal extraction plant:product:specification"",
    ""20 kg:capacity:specification"",
    ""400 v:voltage:specification"",
    ""3 phase:phase:specification""
]
```"
True,30 kg fully automatic conical twin screw extruder,5,"['30 kg:capacity:specification', 'fully automatic:automation grade:specification', 'conical:design:specification', 'twin screw:design:specification', 'extruder:product:specification']",30 kg:capacity:specification | fully automatic:automation grade:specification | conical:design:specification | twin screw:design:specification | extruder:product:specification,,66,"[""30 kg:capacity:specification"", ""fully automatic:automation grade:specification"", ""conical:design:specification"", ""twin screw:design:specification"", ""extruder:product:specification""]"
False,industrial oil extraction plant unique 10 ton 440 v semi-automatic,0,[],,'NoneType' object has no attribute 'strip',67,
False,mother baby extruder for food processing 25 kg,0,[],,'NoneType' object has no attribute 'strip',68,
True,wire extruder with 10 hp power 400 v,3,"['wire extruder:product:specification', '10 hp:power:specification', '400 v:voltage:specification']",wire extruder:product:specification | 10 hp:power:specification | 400 v:voltage:specification,,69,"[""wire extruder:product:specification"", ""10 hp:power:specification"", ""400 v:voltage:specification""]"
False,30 kg automatic metal refining plant 380 v 1 phase hdpe body,0,[],,'NoneType' object has no attribute 'strip',70,
True,25 kg three phase solvent extraction plant,3,"['25 kg:capacity:specification', 'three phase:phase:specification', 'solvent extraction plant:product:specification']",25 kg:capacity:specification | three phase:phase:specification | solvent extraction plant:product:specification,,71,"[""25 kg:capacity:specification"", ""three phase:phase:specification"", ""solvent extraction plant:product:specification""]"
False,1000 liter automatic lab extruder,0,[],,'NoneType' object has no attribute 'strip',72,
True,"curcumin extraction plant for recycling use, 50 tpd, 380 v, turbo brand",5,"['""curcumin extraction plant:product:specification""', '""recycling:usage/application:specification""', '""50 tpd:capacity:specification""', '""380 v:voltage:specification""', '""turbo:brand:specification""']","""curcumin extraction plant:product:specification"" | ""recycling:usage/application:specification"" | ""50 tpd:capacity:specification"" | ""380 v:voltage:specification"" | ""turbo:brand:specification""",,73,"Based on the training data and the specific query provided, here is the extracted attribute list:

```python
[
    ""curcumin extraction plant:product:specification"",
    ""recycling:usage/application:specification"",
    ""50 tpd:capacity:specification"",
    ""380 v:voltage:specification"",
    ""turbo:brand:specification""
]
```"
False,"high quality automatic basket extruder conical type, 5 kg/hr, 440 v supply, three phase, titanium body, mahindra brand for agricultural",0,[],,'NoneType' object has no attribute 'strip',74,
False,semi-automatic sheet extruder 415 v,0,[],,'NoneType' object has no attribute 'strip',75,
False,herbal extraction plant,0,[],,'NoneType' object has no attribute 'strip',76,
True,fully automatic foam extruder,3,"['fully automatic:automation grade:specification', 'foam:product type:specification', 'extruder:machine type:specification']",fully automatic:automation grade:specification | foam:product type:specification | extruder:machine type:specification,,77,"[""fully automatic:automation grade:specification"", ""foam:product type:specification"", ""extruder:machine type:specification""]"
False,"manual sheet extruder for chemical industries applications, 100 ton capacity, 220 v voltage rating, three phase power supply, ss 304 body",0,[],,'NoneType' object has no attribute 'strip',78,
False,500 tpd manual epe foam extruder,0,[],,'NoneType' object has no attribute 'strip',79,
True,turbo pipe extrusion machine 25 kg,3,"['[""turbo:brand:specification""', '""pipe extrusion machine:product:specification""', '""25 kg:capacity:specification""]']","[""turbo:brand:specification"" | ""pipe extrusion machine:product:specification"" | ""25 kg:capacity:specification""]",,80,"Based on the training data and the query provided, here is the extracted attribute list:

```python
[""turbo:brand:specification"", ""pipe extrusion machine:product:specification"", ""25 kg:capacity:specification""]
```"
False,"high quality automatic centrifuge extractor co-rotating type, 300 kg/hr, 440 v supply, single phase, mild steel body, labh group brand for food processing",0,[],,'NoneType' object has no attribute 'strip',81,
True,"automatic hdpe basket extruder, capacity: 200 liter, voltage: 480 v, phase: single phase",6,"['""automatic:automation grade:specification""', '""hdpe:material to be extruded:specification""', '""basket extruder:product:specification""', '""200 liter:capacity:specification""', '""480 v:voltage:specification""', '""single phase:phase:specification""']","""automatic:automation grade:specification"" | ""hdpe:material to be extruded:specification"" | ""basket extruder:product:specification"" | ""200 liter:capacity:specification"" | ""480 v:voltage:specification"" | ""single phase:phase:specification""",,82,"Based on the patterns in the training data and the specific query provided, here is the extracted attribute list:

```python
[
    ""automatic:automation grade:specification"",
    ""hdpe:material to be extruded:specification"",
    ""basket extruder:product:specification"",
    ""200 liter:capacity:specification"",
    ""480 v:voltage:specification"",
    ""single phase:phase:specification""
]
```"
True,"rajco automatic polymer extruder, 1000 kg/hr, 380 v, three phase",6,"['""rajco:brand:specification""', '""automatic:automation grade:specification""', '""polymer extruder:product:specification""', '""1000 kg/hr:capacity:specification""', '""380 v:voltage:specification""', '""three phase:phase:specification""']","""rajco:brand:specification"" | ""automatic:automation grade:specification"" | ""polymer extruder:product:specification"" | ""1000 kg/hr:capacity:specification"" | ""380 v:voltage:specification"" | ""three phase:phase:specification""",,83,"Based on the patterns in the training data and the specific query, here is the extracted attribute list:

```python
[
    ""rajco:brand:specification"",
    ""automatic:automation grade:specification"",
    ""polymer extruder:product:specification"",
    ""1000 kg/hr:capacity:specification"",
    ""380 v:voltage:specification"",
    ""three phase:phase:specification""
]
```"
False,"automatic film extrusion machine for wire & cable applications, 100 liter capacity, 230 v voltage rating, three phase power supply, titanium body",0,[],,'NoneType' object has no attribute 'strip',84,
True,100 tpd fully automatic plastic extruder,4,"['100 tpd:capacity:specification', 'fully automatic:automation grade:specification', 'plastic:material to be extruded:specification', 'extruder:product:specification']",100 tpd:capacity:specification | fully automatic:automation grade:specification | plastic:material to be extruded:specification | extruder:product:specification,,85,"[""100 tpd:capacity:specification"", ""fully automatic:automation grade:specification"", ""plastic:material to be extruded:specification"", ""extruder:product:specification""]"
True,5 ton manual plastic extruder 230 v 1 phase cast iron body,7,"['5 ton:capacity:specification', 'manual:automation grade:specification', 'plastic:material to be extruded:specification', 'extruder:product:specification', '230 v:voltage:specification', '1 phase:phase:specification', 'cast iron:body material:specification']",5 ton:capacity:specification | manual:automation grade:specification | plastic:material to be extruded:specification | extruder:product:specification | 230 v:voltage:specification | 1 phase:phase:specification | cast iron:body material:specification,,86,"[""5 ton:capacity:specification"", ""manual:automation grade:specification"", ""plastic:material to be extruded:specification"", ""extruder:product:specification"", ""230 v:voltage:specification"", ""1 phase:phase:specification"", ""cast iron:body material:specification""]"
False,20 tpd pvc extruder,0,[],,'NoneType' object has no attribute 'strip',87,
True,"manual ms polymer extruder, capacity: 10 tpd, voltage: 380 v, phase: three phase",6,"['manual:automation grade:specification', 'ms:body material:specification', 'polymer extruder:product:specification', '10 tpd:capacity:specification', '380 v:voltage:specification', 'three phase:phase:specification']",manual:automation grade:specification | ms:body material:specification | polymer extruder:product:specification | 10 tpd:capacity:specification | 380 v:voltage:specification | three phase:phase:specification,,88,"[""manual:automation grade:specification"", ""ms:body material:specification"", ""polymer extruder:product:specification"", ""10 tpd:capacity:specification"", ""380 v:voltage:specification"", ""three phase:phase:specification""]"
True,fully automatic pet extruder 380 v,4,"['fully automatic:automation grade:specification', 'pet:material to be extruded:specification', 'extruder:machine type:specification', '380 v:voltage:specification']",fully automatic:automation grade:specification | pet:material to be extruded:specification | extruder:machine type:specification | 380 v:voltage:specification,,89,"[""fully automatic:automation grade:specification"", ""pet:material to be extruded:specification"", ""extruder:machine type:specification"", ""380 v:voltage:specification""]"
False,aluminium extrusion plant 220 v,0,[],,'NoneType' object has no attribute 'strip',90,
False,"semi-automatic stainless steel solid phase extraction system, capacity: 100 liter, voltage: 415 v, phase: 1 phase",0,[],,'NoneType' object has no attribute 'strip',91,
False,"semi-automatic mother baby extruder for chemical industries applications, 5 kg/hr capacity, 240 v voltage rating, 1 phase power supply, titanium body",0,[],,'NoneType' object has no attribute 'strip',92,
False,used pet extruder,0,[],,'NoneType' object has no attribute 'strip',93,
True,single screw aluminium extrusion plant 750 kg/hr manual 230 v,6,"['single screw:design:specification', 'aluminium:material to be extruded:specification', 'extrusion plant:product:specification', '750 kg/hr:capacity:specification', 'manual:automation grade:specification', '230 v:voltage:specification']",single screw:design:specification | aluminium:material to be extruded:specification | extrusion plant:product:specification | 750 kg/hr:capacity:specification | manual:automation grade:specification | 230 v:voltage:specification,,94,"[""single screw:design:specification"", ""aluminium:material to be extruded:specification"", ""extrusion plant:product:specification"", ""750 kg/hr:capacity:specification"", ""manual:automation grade:specification"", ""230 v:voltage:specification""]"
