query,ground_truth_count,qmeans_count,gemini_count,gemma_count,ground_truth_attrs,qmeans_attrs,gemini_attrs,gemma_attrs,GT_ATTR1_KEY,GT_ATTR1_VAL,QM_ATTR1_KEY,QM_ATTR1_VAL,GM_ATTR1_KEY,GM_ATTR1_VAL,GM_ATTR2_KEY,GM_ATTR2_VAL,QM_vs_GN_ATTR1_KEY_FOUND,QM_vs_GN_ATTR1_VAL_MATCH,QM_vs_GN_ATTR2_KEY_FOUND,QM_vs_GN_ATTR2_VAL_MATCH,QM_vs_GN_ATTR3_KEY_FOUND,QM_vs_GN_ATTR3_VAL_MATCH,QM_vs_GN_ATTR4_KEY_FOUND,QM_vs_GN_ATTR4_VAL_MATCH,QM_vs_GN_ATTR5_KEY_FOUND,QM_vs_GN_ATTR5_VAL_MATCH,QM_vs_GN_ATTR6_KEY_FOUND,QM_vs_GN_ATTR6_VAL_MATCH,QM_vs_GN_ATTR7_KEY_FOUND,QM_vs_GN_ATTR7_VAL_MATCH,QM_vs_GN_ATTR8_KEY_FOUND,QM_vs_GN_ATTR8_VAL_MATCH,QM_vs_GN_ATTR9_KEY_FOUND,QM_vs_GN_ATTR9_VAL_MATCH,GN_vs_QM_ATTR1_KEY_FOUND,GN_vs_QM_ATTR1_VAL_MATCH,GN_vs_QM_ATTR2_KEY_FOUND,GN_vs_QM_ATTR2_VAL_MATCH,GN_vs_QM_ATTR3_KEY_FOUND,GN_vs_QM_ATTR3_VAL_MATCH,GN_vs_QM_ATTR4_KEY_FOUND,GN_vs_QM_ATTR4_VAL_MATCH,GN_vs_QM_ATTR5_KEY_FOUND,GN_vs_QM_ATTR5_VAL_MATCH,GN_vs_QM_ATTR6_KEY_FOUND,GN_vs_QM_ATTR6_VAL_MATCH,GN_vs_QM_ATTR7_KEY_FOUND,GN_vs_QM_ATTR7_VAL_MATCH,GN_vs_QM_ATTR8_KEY_FOUND,GN_vs_QM_ATTR8_VAL_MATCH,GN_vs_QM_ATTR9_KEY_FOUND,GN_vs_QM_ATTR9_VAL_MATCH,QM_vs_GM_ATTR1_KEY_FOUND,QM_vs_GM_ATTR1_VAL_MATCH,QM_vs_GM_ATTR2_KEY_FOUND,QM_vs_GM_ATTR2_VAL_MATCH,QM_vs_GM_ATTR3_KEY_FOUND,QM_vs_GM_ATTR3_VAL_MATCH,QM_vs_GM_ATTR4_KEY_FOUND,QM_vs_GM_ATTR4_VAL_MATCH,QM_vs_GM_ATTR5_KEY_FOUND,QM_vs_GM_ATTR5_VAL_MATCH,QM_vs_GM_ATTR6_KEY_FOUND,QM_vs_GM_ATTR6_VAL_MATCH,QM_vs_GM_ATTR7_KEY_FOUND,QM_vs_GM_ATTR7_VAL_MATCH,QM_vs_GM_ATTR8_KEY_FOUND,QM_vs_GM_ATTR8_VAL_MATCH,QM_vs_GM_ATTR9_KEY_FOUND,QM_vs_GM_ATTR9_VAL_MATCH,GM_vs_QM_ATTR1_KEY_FOUND,GM_vs_QM_ATTR1_VAL_MATCH,GM_vs_QM_ATTR2_KEY_FOUND,GM_vs_QM_ATTR2_VAL_MATCH,GM_vs_QM_ATTR3_KEY_FOUND,GM_vs_QM_ATTR3_VAL_MATCH,GM_vs_QM_ATTR4_KEY_FOUND,GM_vs_QM_ATTR4_VAL_MATCH,GM_vs_QM_ATTR5_KEY_FOUND,GM_vs_QM_ATTR5_VAL_MATCH,GM_vs_QM_ATTR6_KEY_FOUND,GM_vs_QM_ATTR6_VAL_MATCH,GM_vs_QM_ATTR7_KEY_FOUND,GM_vs_QM_ATTR7_VAL_MATCH,GM_vs_QM_ATTR8_KEY_FOUND,GM_vs_QM_ATTR8_VAL_MATCH,GM_vs_QM_ATTR9_KEY_FOUND,GM_vs_QM_ATTR9_VAL_MATCH,GN_vs_GM_ATTR1_KEY_FOUND,GN_vs_GM_ATTR1_VAL_MATCH,GN_vs_GM_ATTR2_KEY_FOUND,GN_vs_GM_ATTR2_VAL_MATCH,GN_vs_GM_ATTR3_KEY_FOUND,GN_vs_GM_ATTR3_VAL_MATCH,GN_vs_GM_ATTR4_KEY_FOUND,GN_vs_GM_ATTR4_VAL_MATCH,GN_vs_GM_ATTR5_KEY_FOUND,GN_vs_GM_ATTR5_VAL_MATCH,GN_vs_GM_ATTR6_KEY_FOUND,GN_vs_GM_ATTR6_VAL_MATCH,GN_vs_GM_ATTR7_KEY_FOUND,GN_vs_GM_ATTR7_VAL_MATCH,GN_vs_GM_ATTR8_KEY_FOUND,GN_vs_GM_ATTR8_VAL_MATCH,GN_vs_GM_ATTR9_KEY_FOUND,GN_vs_GM_ATTR9_VAL_MATCH,GM_vs_GN_ATTR1_KEY_FOUND,GM_vs_GN_ATTR1_VAL_MATCH,GM_vs_GN_ATTR2_KEY_FOUND,GM_vs_GN_ATTR2_VAL_MATCH,GM_vs_GN_ATTR3_KEY_FOUND,GM_vs_GN_ATTR3_VAL_MATCH,GM_vs_GN_ATTR4_KEY_FOUND,GM_vs_GN_ATTR4_VAL_MATCH,GM_vs_GN_ATTR5_KEY_FOUND,GM_vs_GN_ATTR5_VAL_MATCH,GM_vs_GN_ATTR6_KEY_FOUND,GM_vs_GN_ATTR6_VAL_MATCH,GM_vs_GN_ATTR7_KEY_FOUND,GM_vs_GN_ATTR7_VAL_MATCH,GM_vs_GN_ATTR8_KEY_FOUND,GM_vs_GN_ATTR8_VAL_MATCH,GM_vs_GN_ATTR9_KEY_FOUND,GM_vs_GN_ATTR9_VAL_MATCH,GT_vs_QM_ATTR1_KEY_FOUND,GT_vs_QM_ATTR1_VAL_MATCH,GT_vs_QM_ATTR2_KEY_FOUND,GT_vs_QM_ATTR2_VAL_MATCH,GT_vs_QM_ATTR3_KEY_FOUND,GT_vs_QM_ATTR3_VAL_MATCH,GT_vs_QM_ATTR4_KEY_FOUND,GT_vs_QM_ATTR4_VAL_MATCH,GT_vs_QM_ATTR5_KEY_FOUND,GT_vs_QM_ATTR5_VAL_MATCH,GT_vs_QM_ATTR6_KEY_FOUND,GT_vs_QM_ATTR6_VAL_MATCH,GT_vs_QM_ATTR7_KEY_FOUND,GT_vs_QM_ATTR7_VAL_MATCH,GT_vs_QM_ATTR8_KEY_FOUND,GT_vs_QM_ATTR8_VAL_MATCH,GT_vs_QM_ATTR9_KEY_FOUND,GT_vs_QM_ATTR9_VAL_MATCH,GT_vs_GN_ATTR1_KEY_FOUND,GT_vs_GN_ATTR1_VAL_MATCH,GT_vs_GN_ATTR2_KEY_FOUND,GT_vs_GN_ATTR2_VAL_MATCH,GT_vs_GN_ATTR3_KEY_FOUND,GT_vs_GN_ATTR3_VAL_MATCH,GT_vs_GN_ATTR4_KEY_FOUND,GT_vs_GN_ATTR4_VAL_MATCH,GT_vs_GN_ATTR5_KEY_FOUND,GT_vs_GN_ATTR5_VAL_MATCH,GT_vs_GN_ATTR6_KEY_FOUND,GT_vs_GN_ATTR6_VAL_MATCH,GT_vs_GN_ATTR7_KEY_FOUND,GT_vs_GN_ATTR7_VAL_MATCH,GT_vs_GN_ATTR8_KEY_FOUND,GT_vs_GN_ATTR8_VAL_MATCH,GT_vs_GN_ATTR9_KEY_FOUND,GT_vs_GN_ATTR9_VAL_MATCH,GT_vs_GM_ATTR1_KEY_FOUND,GT_vs_GM_ATTR1_VAL_MATCH,GT_vs_GM_ATTR2_KEY_FOUND,GT_vs_GM_ATTR2_VAL_MATCH,GT_vs_GM_ATTR3_KEY_FOUND,GT_vs_GM_ATTR3_VAL_MATCH,GT_vs_GM_ATTR4_KEY_FOUND,GT_vs_GM_ATTR4_VAL_MATCH,GT_vs_GM_ATTR5_KEY_FOUND,GT_vs_GM_ATTR5_VAL_MATCH,GT_vs_GM_ATTR6_KEY_FOUND,GT_vs_GM_ATTR6_VAL_MATCH,GT_vs_GM_ATTR7_KEY_FOUND,GT_vs_GM_ATTR7_VAL_MATCH,GT_vs_GM_ATTR8_KEY_FOUND,GT_vs_GM_ATTR8_VAL_MATCH,GT_vs_GM_ATTR9_KEY_FOUND,GT_vs_GM_ATTR9_VAL_MATCH,GT_ATTR2_KEY,GT_ATTR2_VAL,QM_ATTR2_KEY,QM_ATTR2_VAL,GN_ATTR1_KEY,GN_ATTR1_VAL,GM_ATTR3_KEY,GM_ATTR3_VAL,GN_ATTR2_KEY,GN_ATTR2_VAL,GN_ATTR3_KEY,GN_ATTR3_VAL,GT_ATTR3_KEY,GT_ATTR3_VAL,QM_ATTR3_KEY,QM_ATTR3_VAL,GM_ATTR4_KEY,GM_ATTR4_VAL,QM_ATTR4_KEY,QM_ATTR4_VAL,GM_ATTR5_KEY,GM_ATTR5_VAL,GT_ATTR4_KEY,GT_ATTR4_VAL,GN_ATTR4_KEY,GN_ATTR4_VAL,GN_ATTR5_KEY,GN_ATTR5_VAL,GN_ATTR6_KEY,GN_ATTR6_VAL,GN_ATTR7_KEY,GN_ATTR7_VAL,GM_ATTR6_KEY,GM_ATTR6_VAL,GM_ATTR7_KEY,GM_ATTR7_VAL,GM_ATTR8_KEY,GM_ATTR8_VAL,GN_ATTR8_KEY,GN_ATTR8_VAL,GN_ATTR9_KEY,GN_ATTR9_VAL,QM_ATTR5_KEY,QM_ATTR5_VAL
Automatic Silver Refining Plant (50kg),4,1,3,2,"{'type': 'refining plant', 'material': 'silver', 'automation': 'automatic', 'capacity': '50kg'}",{'automation': 'automatic'},"{'automation': '[""automatic', 'metal': 'silver', 'capacity(kg)': '50 kg'}","{'automation': 'automatic', 'refining machine': 'silver refining plant (50kg)'}",type,refining plant,automation,automatic,automation,automatic,refining machine,silver refining plant (50kg),TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,material,silver,,,automation,"[""automatic",,,metal,silver,capacity(kg),50 kg,automation,automatic,,,,,,,,,capacity,50kg,,,,,,,,,,,,,,,,,,,,
Automatic Silver Refining Plant Capacity(kg): 10,3,2,3,3,"{'type': 'refining plant', 'material': 'silver', 'automation': 'automatic'}","{'capacity': '10', 'automation': 'automatic'}","{'automation': '[""automatic', 'usage': 'silver refining plant', 'capacity(kg)': '10'}","{'automation': 'automatic', 'heating range': 'silver refining plant', 'capacity': 'capacity(kg): 10'}",type,refining plant,capacity,10,automation,automatic,heating range,silver refining plant,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,material,silver,automation,automatic,automation,"[""automatic",capacity,capacity(kg): 10,usage,silver refining plant,capacity(kg),10,automation,automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Automatic Soybean Solvent Extraction Plant, 100 ton/day, 100 kW",3,1,4,2,"{'type': 'extraction plant', 'automation': 'automatic', 'usage': 'solvent extraction'}","{'capacity': '100 ton/day, 100 kw'}","{'automation': '[""automatic', 'plant capacity': '100 ton/day', 'capacity': '100 kg/hr', 'power': '100 kw'}","{'automation': 'automatic', 'type of extraction plant': 'soybean solvent extraction plant, 100 ton/day, 100 kw'}",type,extraction plant,capacity,"100 ton/day, 100 kw",automation,automatic,type of extraction plant,"soybean solvent extraction plant, 100 ton/day, 100 kw",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,automation,automatic,,,automation,"[""automatic",,,plant capacity,100 ton/day,capacity,100 kg/hr,usage,solvent extraction,,,,,,,,,,,power,100 kw,,,,,,,,,,,,,,,,,,
"Automatic Stainless steel Twin Screw Extruder, Electric, Production Capacity: Up To 100 kg/hr",3,2,5,5,"{'type': 'twin screw extruder', 'automation': 'automatic', 'capacity': '100kg/hr'}","{'automation': 'automatic', 'material': 'stainless steel'}","{'automation': '[""automatic', 'body material': 'stainless steel', 'type': 'twin screw', 'power source': 'electric', 'capacity': '100 kg/hr'}","{'automation': 'automatic', 'meterial': 'stainless steel', 'type': 'twin screw extruder', 'heating source': 'electric', 'output': 'production capacity: up to 100 kg/hr'}",type,twin screw extruder,automation,automatic,automation,automatic,meterial,stainless steel,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,automation,automatic,material,stainless steel,automation,"[""automatic",type,twin screw extruder,body material,stainless steel,type,twin screw,capacity,100kg/hr,,,heating source,electric,,,output,production capacity: up to 100 kg/hr,,,power source,electric,capacity,100 kg/hr,,,,,,,,,,,,,,,,
Automatic Twin Screw Corn Pola Bamboo Extruder,2,1,3,2,"{'type': 'twin screw extruder', 'automation': 'automatic'}",{'operation mode': 'automatic'},"{'automation': '[""automatic', 'screw design': 'twin screw', 'type': 'extruder'}","{'automation': 'automatic', 'screw': 'twin screw corn pola bamboo extruder'}",type,twin screw extruder,operation mode,automatic,automation,automatic,screw,twin screw corn pola bamboo extruder,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,automation,automatic,,,automation,"[""automatic",,,screw design,twin screw,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automatic Twin Screw Corn Puffed Ring Extruder,2,1,3,2,"{'type': 'twin screw extruder', 'automation': 'automatic'}",{'operation mode': 'automatic'},"{'automation': '[""automatic', 'screw design': 'twin screw', 'material': 'plastic'}","{'automation': 'automatic', 'design type': 'twin screw corn puffed ring extruder'}",type,twin screw extruder,operation mode,automatic,automation,automatic,design type,twin screw corn puffed ring extruder,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,automation,automatic,,,automation,"[""automatic",,,screw design,twin screw,material,plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automatic Twin Screw Corn Puffed Stick Extruder,2,0,3,2,"{'type': 'twin screw extruder', 'automation': 'automatic'}",,"{'automation': '[""automatic', 'screw design': 'twin screw', 'material': 'plastic'}","{'automation': 'automatic', 'type': 'twin screw corn puffed stick extruder'}",type,twin screw extruder,,,automation,automatic,type,twin screw corn puffed stick extruder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,automation,automatic,,,automation,"[""automatic",,,screw design,twin screw,material,plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automatic Twin Screw Extruders,2,2,3,2,"{'type': 'twin screw extruder', 'automation': 'automatic'}","{'automation': 'automatic', 'type': 'screw'}","{'automation': '[""automatic', 'screw design': 'twin screw', 'type': 'extruder'}","{'automation': 'automatic', 'type': 'twin screw extruders'}",type,twin screw extruder,automation,automatic,automation,automatic,type,twin screw extruders,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,automation,automatic,type,screw,automation,"[""automatic",,,screw design,twin screw,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automatic Two Layer Blown Film Extrusion Machine,3,2,3,2,"{'type': 'blown film extrusion machine', 'automation': 'automatic', 'layer': '2 layer'}","{'type': 'automatic', 'layer': 'two layer'}","{'automation': '[""automatic', 'layer': 'two layer', 'type': 'blown film extrusion machine'}","{'type': 'blown film extrusion machine', 'layer': 'two layer'}",type,blown film extrusion machine,type,automatic,type,blown film extrusion machine,layer,two layer,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,automation,automatic,layer,two layer,automation,"[""automatic",,,layer,two layer,type,blown film extrusion machine,layer,2 layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASKET EXTRUDER,1,1,0,1,{'type': 'extruder'},{'type': 'extruder'},,{'type': 'extruder'},type,extruder,type,extruder,type,extruder,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITUMEN EXTRACTOR (HAND OPERATED),2,1,3,1,"{'type': 'bitumen extractor', 'automation': 'manual'}",{'type': 'bitumen extractor'},"{'hand operated': 'hand operated', 'type of testing machines': 'bitumen extractor', 'type': 'bitumen extractor'}",{'type of testing machines': 'bitumen extractor (hand operated)'},type,bitumen extractor,type,bitumen extractor,type of testing machines,bitumen extractor (hand operated),,,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,automation,manual,,,hand operated,hand operated,,,type of testing machines,bitumen extractor,type,bitumen extractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
