success,query,qmeans_attr_count,qmeans_isq_list,qmeans_isq_pipe,response_time
True,PP Sheet Extruder Machine,2,"['extruder:type:specification', 'pp:material:specification']",extruder:type:specification | pp:material:specification,18.47
True,automatic+silver+refining+plant+(50kg),1,['automatic+silver+refining+plant+(50kg):automation grade:specification'],automatic+silver+refining+plant+(50kg):automation grade:specification,18.83
True,10 Silver Refining Plant,2,"['refining plant:type:specification', 'silver:refining material:specification']",refining plant:type:specification | silver:refining material:specification,21.72
True,silver gold refining machine,2,"['gold:refining material:specification', 'refining machine:type:specification']",gold:refining material:specification | refining machine:type:specification,17.34
True,Solvent Extraction Systems,0,[],,16.99
True,5Kg Gold  Refining Machine,3,"['5kg:capacity:specification', 'gold:refining material:specification', 'refining machine:type:specification']",5kg:capacity:specification | gold:refining material:specification | refining machine:type:specification,17.99
True,Extraction Machinery,0,[],,16.94
True,Bak,0,[],,15.94
True,Centrifuge Extractor,1,['extractor:product:specification'],extractor:product:specification,21.32
True,automatic silver refining plant,2,"['automatic:automation grade:specification', 'silver:refining material:specification']",automatic:automation grade:specification | silver:refining material:specification,16.63
True,silver-refining--plant,0,[],,17.07
True,Gold Refining System Plant,2,"['gold:refining material:specification', 'refining:type:specification']",gold:refining material:specification | refining:type:specification,16.98
True,Plastic Sheet Extrusion Plant,0,[],,17.47
True,thiokol lp 12,0,[],,14.62
True,silver refinery,0,[],,25.53
True,Extruder Machine mother baby,1,['extruder:type:specification'],extruder:type:specification,17.22
True,T Die Sheet Extruder Machine,1,['extruder:type:specification'],extruder:type:specification,16.69
True,5HP Twin Screw Extruder,2,"['5hp:motor horsepower:specification', 'screw extruder:type:specification']",5hp:motor horsepower:specification | screw extruder:type:specification,16.74
True,solvent plant,1,['solvent:ink type:specification'],solvent:ink type:specification,16.27
True,Two Layer Blown Film Extrusion Plant Exporter,1,['exporter:business type:specification'],exporter:business type:specification,17.71
True,PVC  Cable Extrusion Plant,1,['pvc:pipe material:specification'],pvc:pipe material:specification,16.65
True,gold and silver refining machine,1,['refining machine:type:specification'],refining machine:type:specification,17.64
True,Rice Bran Preparatory Section,2,"['bran:material:specification', 'preparatory:type:specification']",bran:material:specification | preparatory:type:specification,17.39
True,lab scale twin screw extruder 40 (kw) capacity:10 - 50 (kg/hour),3,"['- 50 (kg/hour):capacity:specification', 'lab:usage:specification', 'screw:machine type:specification']",- 50 (kg/hour):capacity:specification | lab:usage:specification | screw:machine type:specification,35.37
True,Order Refine Machines,1,['refine:product:specification'],refine:product:specification,16.76
True,PP Mat Extruders,2,"['extruders:type:specification', 'pp:material:specification']",extruders:type:specification | pp:material:specification,20.91
True,film extrusion,1,['extrusion:process:specification'],extrusion:process:specification,17.05
True,250 kg/hr 0.5-4 inch twin screw thibak machine,2,"['0.5-4 inch:size:specification', '250 kg/hr:capacity:specification']",0.5-4 inch:size:specification | 250 kg/hr:capacity:specification,16.22
True,Tape Extrusion Plant,1,['tape extrusion:usage:specification'],tape extrusion:usage:specification,17.11
True,PVC Blister film extrusion machine,1,['pvc:material:specification'],pvc:material:specification,25.56
True,silver refining machine,2,"['refining:type:specification', 'silver:refining material:specification']",refining:type:specification | silver:refining material:specification,15.36
True,twin screw-extruder,0,[],,18.29
True,gold refinery machine,0,[],,16.58
True,Solvent Extraction Plants,1,['solvent extraction:usage:specification'],solvent extraction:usage:specification,21.84
True,solvent-extraction-plant,0,[],,15.5
True,500 tpd solvent-extraction-plant,1,['500 tpd:capacity:specification'],500 tpd:capacity:specification,16.31
True,automatic gold refining equipment,1,['automatic:automation grade:specification'],automatic:automation grade:specification,17.09
True,double screw pasta extruder,2,"['double screw:screw type:specification', 'pasta extruder:usage:specification']",double screw:screw type:specification | pasta extruder:usage:specification,16.78
True,Power Cable Extrusion  150 Mm,3,"['150 mm:diameter:specification', 'extrusion:process:specification', 'power cable:usage:specification']",150 mm:diameter:specification | extrusion:process:specification | power cable:usage:specification,16.04
True,pet sheet extrusion line,0,[],,31.32
True,Biodegradable Film Extrusion Machine,1,['biodegradable:features:specification'],biodegradable:features:specification,21.63
True,basket extruder machine (pesticid ),0,[],,18.11
True,Solid Phase Extraction System,1,['extraction:product:specification'],extraction:product:specification,17.06
True,solid phase extraction,0,[],,16.81
True,flour extrooder machine,1,['flour:usage:specification'],flour:usage:specification,16.36
True,ldpe blown film extrusion machine 20 kg/h,2,"['20 kg/h:capacity:specification', 'ldpe:material:specification']",20 kg/h:capacity:specification | ldpe:material:specification,44.53
True,ldpe blown film extrusion machine,1,['ldpe:material:specification'],ldpe:material:specification,31.13
True,gold police machine,1,['machine:products included:specification'],machine:products included:specification,28.77
True,herbal decoction tank,0,[],,16.59
True,Gold Refining Plant,2,"['gold:refining material:specification', 'refining plant:type:specification']",gold:refining material:specification | refining plant:type:specification,17.08
True,Rice Bran Solvent Extraction Plant,2,"['rice bran:usage:specification', 'solvent extraction:type:specification']",rice bran:usage:specification | solvent extraction:type:specification,18.85
True,Two Layer Blown Film Extrusion Machinery in India,2,"['india:country of origin:specification', 'two layer blown film extrusion machinery:machine name:specification']",india:country of origin:specification | two layer blown film extrusion machinery:machine name:specification,16.83
True,golden refined,2,"['golden:color:specification', 'refined:processing type:specification']",golden:color:specification | refined:processing type:specification,17.1
True,clay extruder,1,['extruder:type:specification'],extruder:type:specification,17.55
True,"wdg basket extruder machine (pesticid ), production capacity: 200 kg/hr",2,"['200 kg/hr:capacity:specification', 'wdg:model name/number:specification']",200 kg/hr:capacity:specification | wdg:model name/number:specification,20.12
True,basket extruder machine pesticid,1,['extruder:type:specification'],extruder:type:specification,17.65
True,extruder machine in noida,1,['extruder:model name/number:specification'],extruder:model name/number:specification,17.0
True,Mini Extruder Machine 3 Inch to 20 Inch,2,"['3 inch to 20 inch:capacity:specification', 'extruder:model name/number:specification']",3 inch to 20 inch:capacity:specification | extruder:model name/number:specification,16.63
True,bitumen extractor hand operated,1,['bitumen extractor:machine type:specification'],bitumen extractor:machine type:specification,16.14
True,sliver refinery palnt 10 kg,2,"['10 kg:packaging size:specification', 'sliver:color:specification']",10 kg:packaging size:specification | sliver:color:specification,18.4
True,automatic-gold-refining-machine,1,['automatic-gold-refining-machine:automation grade:specification'],automatic-gold-refining-machine:automation grade:specification,18.74
True,lichen+moss,0,[],,25.97
True,solvent turmeric extraction plant,1,['turmeric extraction:usage:specification'],turmeric extraction:usage:specification,33.24
True,automatic 30kg silver refining machine,2,"['30kg:capacity:specification', 'automatic:automation grade:specification']",30kg:capacity:specification | automatic:automation grade:specification,17.98
True,5 TPH Metal Recovery Plant,2,"['5 tph:capacity:specification', 'metal recovery plant:type:specification']",5 tph:capacity:specification | metal recovery plant:type:specification,18.78
True,2 TPH Metal Recovery Plant,2,"['2 tph:capacity:specification', 'metal recovery plant:type:specification']",2 tph:capacity:specification | metal recovery plant:type:specification,17.67
True,compounding twin screw extruder,1,['screw extruder:type:specification'],screw extruder:type:specification,17.53
True,Water Extraction Machine,1,['water extraction:usage:specification'],water extraction:usage:specification,16.88
True,Oil Cooler For Solvent Extraction Plant,2,"['oil cooler:type:specification', 'solvent extraction plant:usage:specification']",oil cooler:type:specification | solvent extraction plant:usage:specification,18.3
True,Mechanical Solvent Wax Extraction Plant,0,[],,26.81
True,second hand pp granules extruder machine,3,"['extruder:type:specification', 'pp:material:specification', 'second hand:condition:specification']",extruder:type:specification | pp:material:specification | second hand:condition:specification,49.68
True,Corotating Twin Screw Extruder,2,"['corotating:driven type:specification', 'screw extruder:type:specification']",corotating:driven type:specification | screw extruder:type:specification,19.12
True,three layer blown film extrusion machine,1,['three layer:layer:specification'],three layer:layer:specification,18.19
True,rajangoan sp waluj aurangabad 431136,1,['431136:model name/number:specification'],431136:model name/number:specification,18.23
True,Vented Extruder,1,['extruder:type:specification'],extruder:type:specification,16.73
True,plastic tube extrusion,2,"['extrusion:process:specification', 'plastic:material:specification']",extrusion:process:specification | plastic:material:specification,16.65
True,mulch film machine manufacturers,1,['mulch:type:specification'],mulch:type:specification,17.11
True,rice-bran-solvent-extraction-plant,0,[],,18.84
True,Automatic Silver Refining Machine,2,"['automatic:automation grade:specification', 'refining:usage:specification']",automatic:automation grade:specification | refining:usage:specification,15.21
True,famsun,1,['famsun:brand:specification'],famsun:brand:specification,17.63
True,semi automatic centrifugal water extractor machine,2,"['semi automatic:automation grade:specification', 'water extractor:product:specification']",semi automatic:automation grade:specification | water extractor:product:specification,17.28
True,centrifugal water extractor machine,1,['centrifugal:blower type:specification'],centrifugal:blower type:specification,20.69
True,aloe vera gel nikaalne wali machine,0,[],,18.66
True,Ergot mushroom,1,['mushroom:variety available:specification'],mushroom:variety available:specification,17.4
True,planetary extruder machine,0,[],,18.42
True,planetary extruder,0,[],,16.72
True,Barwell Eco20 Preformer,1,['eco20:model name/number:specification'],eco20:model name/number:specification,19.72
True,suldin liquid 500ml,2,"['500ml:packaging size:specification', 'liquid:form:specification']",500ml:packaging size:specification | liquid:form:specification,17.32
True,"लूम,प्लांट,वाइंदर एवलेबल फॉर सेल (loom plant winder available for sale)",0,[],,101.83
True,लूम प्लांट वाइंदर एवलेबल फॉर सेल (Loom Plant Winder Available For Sale),0,[],,17.27
True,Loom Plant Winder Available for Sale,1,['loom plant:usage:specification'],loom plant:usage:specification,17.72
True,"लूम,प्लांट,वाइंदर एवलेबल फॉर सेल",1,"['लूम,प्लांट,वाइंदर एवलेबल:composition:specification']","लूम,प्लांट,वाइंदर एवलेबल:composition:specification",17.99
True,लूम प्लांट वाइंदर एवलेबल फॉर सेल,1,['प्लांट:book name:specification'],प्लांट:book name:specification,15.98
True,silver refinery machine,2,"['refinery:type:specification', 'silver:melting material:specification']",refinery:type:specification | silver:melting material:specification,26.88
True,Drier unit with air blast in extruder machine,0,[],,20.09
True,shilajit extract plant manufactures,1,['shilajit:common name:specification'],shilajit:common name:specification,14.67
True,gold popular machine,1,['machine:products included:specification'],machine:products included:specification,18.48
True,45MM Monolayer Extruder,1,['extruder:type:specification'],extruder:type:specification,21.49
True,"Silver Refinery Plant, Capacity(kg): 10",1,['10:capacity:specification'],10:capacity:specification,26.72
True,clay extruder bolat hain,1,['clay:material:specification'],clay:material:specification,24.63
True,100 kg/hr no twin screw extruder Extruder Machine,2,"['100 kg/hr:capacity:specification', 'screw:machine type:specification']",100 kg/hr:capacity:specification | screw:machine type:specification,30.51
True,100 kg/hr twin screw extruder Extruder Machine,1,['100 kg/hr:capacity:specification'],100 kg/hr:capacity:specification,18.61
True,50 kg/hr no Extruder Machine,2,"['50 kg/hr:capacity:specification', 'extruder:type:specification']",50 kg/hr:capacity:specification | extruder:type:specification,18.12
True,100 kg/hr no twin screw extruder Wire Extruder Machine,1,['100 kg/hr:capacity:specification'],100 kg/hr:capacity:specification,17.43
True,100 kg/hr no noodle extruder machine Sioplas HT - XLPE Cable Extrusion Line,1,['100 kg/hr:capacity:specification'],100 kg/hr:capacity:specification,19.8
True,twin screw extruder installation service,2,"['installation service:service:specification', 'screw extruder:machine type:specification']",installation service:service:specification | screw extruder:machine type:specification,17.24
True,1 piece Metal Recovery Unit,2,"['1 piece:set contains:specification', 'metal recovery:usage:specification']",1 piece:set contains:specification | metal recovery:usage:specification,17.15
True,silver-recovery-unit,0,[],,22.1
True,1 for business use piece yes Metal Recovery Unit,1,['metal recovery:usage:specification'],metal recovery:usage:specification,16.48
True,Mivan Shuttering Degree cutting Machine,2,"['degree cutting machine:type:specification', 'mivan:brand:specification']",degree cutting machine:type:specification | mivan:brand:specification,16.65
True,pp exstruder,1,['pp:plastic type:specification'],pp:plastic type:specification,17.81
True,"Automatic Rice Bran Solvent Extraction Plant, 100 ton/day, 100 kW",3,"['100 ton/day, 100:capacity:specification', 'automatic:automation grade:specification', 'rice bran solvent:usage:specification']","100 ton/day, 100:capacity:specification | automatic:automation grade:specification | rice bran solvent:usage:specification",17.25
True,small gold refining machine,2,"['gold:refining material:specification', 'small:size:specification']",gold:refining material:specification | small:size:specification,17.26
True,Twin Screw Extrusion Line 65-22V for the Production of Pipe,2,"['65-22v:voltage:specification', 'twin screw extrusion line:machine name:specification']",65-22v:voltage:specification | twin screw extrusion line:machine name:specification,17.53
True,blown film double die extruder machine with double station winder for ldpe /ld and hm,1,['extruder:machine name:specification'],extruder:machine name:specification,17.22
True,THEYsohn PVC Twin Screw Extrusion Line,2,"['pvc:material:specification', 'twin screw extrusion:product:specification']",pvc:material:specification | twin screw extrusion:product:specification,17.1
True,centax,0,[],,16.26
True,Automatic EPE Sheet Extruder Plant,2,"['automatic:automation grade:specification', 'extruder:type:specification']",automatic:automation grade:specification | extruder:type:specification,18.0
True,Mech O Tech Mini,1,['mini:model name/number:specification'],mini:model name/number:specification,17.37
True,Extruder Side Feeding,0,[],,24.62
True,t die extruder,1,['extruder:type:specification'],extruder:type:specification,16.61
True,metal-refining-plant,1,['metal-refining-plant:material:specification'],metal-refining-plant:material:specification,16.86
True,soxtherm rapid fat extraction system,1,['rapid fat extraction system:product:specification'],rapid fat extraction system:product:specification,27.43
True,fat extraction system,1,['fat extraction:usage:specification'],fat extraction:usage:specification,16.34
True,centrifuge-extractor,0,[],,18.78
True,hdpe geomembrane sheets blown film machine,1,['hdpe:material:specification'],hdpe:material:specification,29.37
True,hdpe+geomembrane+sheets Blown film machine,1,['hdpe+geomembrane+sheets:material:specification'],hdpe+geomembrane+sheets:material:specification,16.75
True,three layer aba oscillation haul off unit blown film machine,2,"['aba:brand:specification', 'three layer:layer:specification']",aba:brand:specification | three layer:layer:specification,21.85
True,extruder 200kg per hour,2,"['200kg per hour:capacity:specification', 'extruder:type:specification']",200kg per hour:capacity:specification | extruder:type:specification,17.21
True,ultraautosonic,0,[],,17.26
True,Small herbal extraction plant for domestic use,2,"['domestic:usage:specification', 'small:size:specification']",domestic:usage:specification | small:size:specification,25.73
True,small herbal extraction plant,1,['small:size:specification'],small:size:specification,20.35
True,"gold refinery machine semi automatic, capacity(kg): 80 kg",3,"['80 kg:capacity:specification', 'automatic,:automation grade:specification', 'gold refinery:model name/number:specification']","80 kg:capacity:specification | automatic,:automation grade:specification | gold refinery:model name/number:specification",25.52
True,conical twin screw extruder for cpvc machine  60hp  production capacity: 80 -150 kghr,3,"['60hp:motor power:specification', '80 -150 kghr:capacity:specification', 'cpvc:usage:specification']",60hp:motor power:specification | 80 -150 kghr:capacity:specification | cpvc:usage:specification,17.68
True,"Conical Twin Screw Extruder for CPVC Machine, 60HP, Production Capacity: 80 -150 Kg/Hr",2,"['60hp,:motor power:specification', '80 -150 kg/hr:capacity:specification']","60hp,:motor power:specification | 80 -150 kg/hr:capacity:specification",17.42
True,Twin Extruder Machine,1,['extruder:type:specification'],extruder:type:specification,28.27
True,ragg gold refiend,1,['gold:color:specification'],gold:color:specification,17.15
True,GOLD Refinery Machine Semi Automatic Capacity(kg): 5 Kg,2,"['5 kg:capacity:specification', 'semi automatic:automation grade:specification']",5 kg:capacity:specification | semi automatic:automation grade:specification,19.48
True,Supercritical Anti Solvent Systems,1,['anti solvent:type:specification'],anti solvent:type:specification,19.71
True,Automatic Gold Refinery Machine,2,"['automatic:automation grade:specification', 'gold refinery:usage:specification']",automatic:automation grade:specification | gold refinery:usage:specification,17.36
True,PP Stationery Sheet Extruder Machine,2,"['extruder:type:specification', 'pp:material:specification']",extruder:type:specification | pp:material:specification,17.39
True,sunflower solvent extraction plant,1,['solvent extraction:type:specification'],solvent extraction:type:specification,17.54
True,Cannabis Plant,2,"['cannabis:fruit type:specification', 'plant:product:specification']",cannabis:fruit type:specification | plant:product:specification,16.48
True,twin screw snack extruder machine,2,"['extruder:type:specification', 'twin screw:screw type:specification']",extruder:type:specification | twin screw:screw type:specification,16.82
True,Gold Pure Krane Ki Machine,0,[],,18.38
True,extruder+heater,0,[],,25.15
True,80 kg automatic gold refining machine,3,"['80 kg:capacity:specification', 'automatic:automation grade:specification', 'gold refining:usage:specification']",80 kg:capacity:specification | automatic:automation grade:specification | gold refining:usage:specification,17.23
True,gold tach machine,1,['gold:color:specification'],gold:color:specification,16.42
True,gold tach machine in ahmedabad,1,['gold tach machine:model name/number:specification'],gold tach machine:model name/number:specification,16.43
True,gold tach machin in ahmedabad,1,['gold tach machin:model name/number:specification'],gold tach machin:model name/number:specification,16.91
