query,success,unique_value_count,total_key_count,raw_output,attributes_json
automatic switch,True,1,4,"{""attributes"":[{""attribute_key"":""power_source"",""value"":""Automatic"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""power_supply"",""value"":""Automatic"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""power_type"",""value"":""Automatic"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""automation_grade"",""value"":""Automatic"",""key_priority"":4,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""power_source"", ""value"": ""Automatic"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""power_supply"", ""value"": ""Automatic"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""power_type"", ""value"": ""Automatic"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""automation_grade"", ""value"": ""Automatic"", ""key_priority"": 4, ""attribute_priority"": 1}]}"
Telescopic Linear Actuators,True,2,7,"{""attributes"":[{""attribute_key"":""type"",""value"":""Telescopic"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""product_type"",""value"":""Telescopic"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""device_type"",""value"":""Telescopic"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""actuator_type"",""value"":""Telescopic"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""number_of_poles"",""value"":""Linear Actuators"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""no_of_poles"",""value"":""Linear Actuators"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""poles"",""value"":""Linear Actuators"",""key_priority"":3,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""type"", ""value"": ""Telescopic"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""product_type"", ""value"": ""Telescopic"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""device_type"", ""value"": ""Telescopic"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""actuator_type"", ""value"": ""Telescopic"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""number_of_poles"", ""value"": ""Linear Actuators"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""no_of_poles"", ""value"": ""Linear Actuators"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""poles"", ""value"": ""Linear Actuators"", ""key_priority"": 3, ""attribute_priority"": 2}]}"
speed on  outdoor motar,True,2,8,"{""attributes"":[{""attribute_key"":""speed"",""value"":""Speed on"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""rpm"",""value"":""Speed on"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""motor_speed"",""value"":""Speed on"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""rated_speed"",""value"":""Speed on"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""usage_application"",""value"":""Outdoor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""application"",""value"":""Outdoor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""usage"",""value"":""Outdoor"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""suitable_for"",""value"":""Outdoor"",""key_priority"":4,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""speed"", ""value"": ""Speed on"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""rpm"", ""value"": ""Speed on"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""motor_speed"", ""value"": ""Speed on"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""rated_speed"", ""value"": ""Speed on"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""usage_application"", ""value"": ""Outdoor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""application"", ""value"": ""Outdoor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""usage"", ""value"": ""Outdoor"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""suitable_for"", ""value"": ""Outdoor"", ""key_priority"": 4, ""attribute_priority"": 2}]}"
Motor Automatic Switch,True,2,7,"{""attributes"":[{""attribute_key"":""power_source"",""value"":""Automatic"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""power_supply"",""value"":""Automatic"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""power_type"",""value"":""Automatic"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""automation_grade"",""value"":""Automatic"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""number_of_poles"",""value"":""Motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""no_of_poles"",""value"":""Motor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""poles"",""value"":""Motor"",""key_priority"":3,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""power_source"", ""value"": ""Automatic"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""power_supply"", ""value"": ""Automatic"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""power_type"", ""value"": ""Automatic"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""automation_grade"", ""value"": ""Automatic"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""number_of_poles"", ""value"": ""Motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""no_of_poles"", ""value"": ""Motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""poles"", ""value"": ""Motor"", ""key_priority"": 3, ""attribute_priority"": 2}]}"
speed on outdoor motar,True,1,8,"{""attributes"": [{""attribute_key"": ""speed"", ""value"": ""outdoor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""rpm"", ""value"": ""outdoor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""motor_speed"", ""value"": ""outdoor"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""rated_speed"", ""value"": ""outdoor"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""usage_application"", ""value"": ""Outdoor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""application"", ""value"": ""Outdoor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""usage"", ""value"": ""Outdoor"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""suitable_for"", ""value"": ""Outdoor"", ""key_priority"": 4, ""attribute_priority"": 2}]}","{""attributes"": [{""attribute_key"": ""speed"", ""value"": ""outdoor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""rpm"", ""value"": ""outdoor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""motor_speed"", ""value"": ""outdoor"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""rated_speed"", ""value"": ""outdoor"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""usage_application"", ""value"": ""Outdoor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""application"", ""value"": ""Outdoor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""usage"", ""value"": ""Outdoor"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""suitable_for"", ""value"": ""Outdoor"", ""key_priority"": 4, ""attribute_priority"": 2}]}"
Crompton Greaves Flameproof IE3 Motor,True,3,10,"{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""Crompton Greaves"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""Crompton Greaves"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""Crompton Greaves"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""make"", ""value"": ""Crompton Greaves"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""efficiency"", ""value"": ""IE3"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""energy_efficiency_grade"", ""value"": ""IE3"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""star_rating"", ""value"": ""IE3"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""enclosure"", ""value"": ""Flameproof"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""body_enclosure"", ""value"": ""Flameproof"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""housing_protection"", ""value"": ""Flameproof"", ""key_priority"": 3, ""attribute_priority"": 3}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""Crompton Greaves"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""Crompton Greaves"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""Crompton Greaves"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""make"", ""value"": ""Crompton Greaves"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""efficiency"", ""value"": ""IE3"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""energy_efficiency_grade"", ""value"": ""IE3"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""star_rating"", ""value"": ""IE3"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""enclosure"", ""value"": ""Flameproof"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""body_enclosure"", ""value"": ""Flameproof"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""housing_protection"", ""value"": ""Flameproof"", ""key_priority"": 3, ""attribute_priority"": 3}]}"
a c blower motor spal 24v,True,3,12,"{""attributes"":[{""attribute_key"":""voltage"",""value"":""24V"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""operating_voltage"",""value"":""24V"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""supply_voltage"",""value"":""24V"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""rated_voltage"",""value"":""24V"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""brand"",""value"":""SPAL"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""company"",""value"":""SPAL"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""manufacturer"",""value"":""SPAL"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""make"",""value"":""SPAL"",""key_priority"":4,""attribute_priority"":2},{""attribute_key"":""type"",""value"":""A C Blower Motor"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""motor_type"",""value"":""A C Blower Motor"",""key_priority"":2,""attribute_priority"":3},{""attribute_key"":""product_type"",""value"":""A C Blower Motor"",""key_priority"":3,""attribute_priority"":3},{""attribute_key"":""device_type"",""value"":""A C Blower Motor"",""key_priority"":4,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""voltage"", ""value"": ""24V"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""operating_voltage"", ""value"": ""24V"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""supply_voltage"", ""value"": ""24V"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""rated_voltage"", ""value"": ""24V"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""brand"", ""value"": ""SPAL"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""company"", ""value"": ""SPAL"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""manufacturer"", ""value"": ""SPAL"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""make"", ""value"": ""SPAL"", ""key_priority"": 4, ""attribute_priority"": 2}, {""attribute_key"": ""type"", ""value"": ""A C Blower Motor"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""motor_type"", ""value"": ""A C Blower Motor"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""product_type"", ""value"": ""A C Blower Motor"", ""key_priority"": 3, ""attribute_priority"": 3}, {""attribute_key"": ""device_type"", ""value"": ""A C Blower Motor"", ""key_priority"": 4, ""attribute_priority"": 3}]}"
brake motor,True,1,14,"{""attributes"":[{""attribute_key"":""power_source"",""value"":""brake motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""power_supply"",""value"":""brake motor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""power_type"",""value"":""brake motor"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""power_requirement"",""value"":""brake motor"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""number_of_poles"",""value"":""brake motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""no_of_poles"",""value"":""brake motor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""poles"",""value"":""brake motor"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""ambient_temperature"",""value"":""brake motor"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""operating_temperature"",""value"":""brake motor"",""key_priority"":2,""attribute_priority"":3},{""attribute_key"":""temperature_range"",""value"":""brake motor"",""key_priority"":3,""attribute_priority"":3},{""attribute_key"":""usage_application"",""value"":""brake motor"",""key_priority"":1,""attribute_priority"":4},{""attribute_key"":""application"",""value"":""brake motor"",""key_priority"":2,""attribute_priority"":4},{""attribute_key"":""usage"",""value"":""brake motor"",""key_priority"":3,""attribute_priority"":4},{""attribute_key"":""suitable_for"",""value"":""brake motor"",""key_priority"":4,""attribute_priority"":4}]}","{""attributes"": [{""attribute_key"": ""power_source"", ""value"": ""brake motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""power_supply"", ""value"": ""brake motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""power_type"", ""value"": ""brake motor"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""power_requirement"", ""value"": ""brake motor"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""number_of_poles"", ""value"": ""brake motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""no_of_poles"", ""value"": ""brake motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""poles"", ""value"": ""brake motor"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""ambient_temperature"", ""value"": ""brake motor"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""operating_temperature"", ""value"": ""brake motor"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""temperature_range"", ""value"": ""brake motor"", ""key_priority"": 3, ""attribute_priority"": 3}, {""attribute_key"": ""usage_application"", ""value"": ""brake motor"", ""key_priority"": 1, ""attribute_priority"": 4}, {""attribute_key"": ""application"", ""value"": ""brake motor"", ""key_priority"": 2, ""attribute_priority"": 4}, {""attribute_key"": ""usage"", ""value"": ""brake motor"", ""key_priority"": 3, ""attribute_priority"": 4}, {""attribute_key"": ""suitable_for"", ""value"": ""brake motor"", ""key_priority"": 4, ""attribute_priority"": 4}]}"
star-delta-starter,True,1,4,"{""attributes"":[{""attribute_key"":""starter_type"",""value"":""Star-Delta-Starter"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""starting_method"",""value"":""Star-Delta-Starter"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""starter"",""value"":""Star-Delta-Starter"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""starting_mode"",""value"":""Star-Delta-Starter"",""key_priority"":4,""attribute_priority"":1}]}","{""attributes"": [{""attribute_key"": ""starter_type"", ""value"": ""Star-Delta-Starter"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""starting_method"", ""value"": ""Star-Delta-Starter"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""starter"", ""value"": ""Star-Delta-Starter"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""starting_mode"", ""value"": ""Star-Delta-Starter"", ""key_priority"": 4, ""attribute_priority"": 1}]}"
deep vibrator motor,True,1,7,"{""attributes"":[{""attribute_key"":""power_source"",""value"":""Deep Vibrator Motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""power_supply"",""value"":""Deep Vibrator Motor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""power_type"",""value"":""Deep Vibrator Motor"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""usage_application"",""value"":""Deep Vibrator Motor"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""application"",""value"":""Deep Vibrator Motor"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""usage"",""value"":""Deep Vibrator Motor"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""suitable_for"",""value"":""Deep Vibrator Motor"",""key_priority"":4,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""power_source"", ""value"": ""Deep Vibrator Motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""power_supply"", ""value"": ""Deep Vibrator Motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""power_type"", ""value"": ""Deep Vibrator Motor"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""usage_application"", ""value"": ""Deep Vibrator Motor"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""application"", ""value"": ""Deep Vibrator Motor"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""usage"", ""value"": ""Deep Vibrator Motor"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""suitable_for"", ""value"": ""Deep Vibrator Motor"", ""key_priority"": 4, ""attribute_priority"": 2}]}"
Hydromatik Rexroth A2F-12-Wp6 Hydraulic Piston Motor,True,3,12,"{""attributes"":[{""attribute_key"":""brand"",""value"":""Hydromatik"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""Hydromatik"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""Hydromatik"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""make"",""value"":""Hydromatik"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""model_number"",""value"":""A2F-12-Wp6"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""model_name"",""value"":""A2F-12-Wp6"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""model"",""value"":""A2F-12-Wp6"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""model_no"",""value"":""A2F-12-Wp6"",""key_priority"":4,""attribute_priority"":2},{""attribute_key"":""model_no"",""value"":""Rexroth"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""model_name"",""value"":""Rexroth"",""key_priority"":2,""attribute_priority"":3},{""attribute_key"":""model"",""value"":""Rexroth"",""key_priority"":3,""attribute_priority"":3},{""attribute_key"":""model_number"",""value"":""Rexroth"",""key_priority"":4,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""Hydromatik"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""Hydromatik"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""Hydromatik"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""make"", ""value"": ""Hydromatik"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""model_number"", ""value"": ""A2F-12-Wp6"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""model_name"", ""value"": ""A2F-12-Wp6"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""model"", ""value"": ""A2F-12-Wp6"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""model_no"", ""value"": ""A2F-12-Wp6"", ""key_priority"": 4, ""attribute_priority"": 2}, {""attribute_key"": ""model_no"", ""value"": ""Rexroth"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""model_name"", ""value"": ""Rexroth"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""model"", ""value"": ""Rexroth"", ""key_priority"": 3, ""attribute_priority"": 3}, {""attribute_key"": ""model_number"", ""value"": ""Rexroth"", ""key_priority"": 4, ""attribute_priority"": 3}]}"
vibrator cover,True,2,8,"{""attributes"":[{""attribute_key"":""brand"",""value"":""vibrator"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""vibrator"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""vibrator"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""make"",""value"":""vibrator"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""material"",""value"":""cover"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""body_material"",""value"":""cover"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""material_type"",""value"":""cover"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""casing_material"",""value"":""cover"",""key_priority"":4,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""vibrator"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""vibrator"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""vibrator"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""make"", ""value"": ""vibrator"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""material"", ""value"": ""cover"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""body_material"", ""value"": ""cover"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""material_type"", ""value"": ""cover"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""casing_material"", ""value"": ""cover"", ""key_priority"": 4, ""attribute_priority"": 2}]}"
Rotork Yt 3300 Smart Positioner,True,2,8,"{""attributes"":[{""attribute_key"":""brand"",""value"":""Rotork"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""company"",""value"":""Rotork"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""manufacturer"",""value"":""Rotork"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""make"",""value"":""Rotork"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""model_number"",""value"":""Yt 3300"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""model_name"",""value"":""Yt 3300"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""model"",""value"":""Yt 3300"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""model_no"",""value"":""Yt 3300"",""key_priority"":4,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""brand"", ""value"": ""Rotork"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""company"", ""value"": ""Rotork"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""manufacturer"", ""value"": ""Rotork"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""make"", ""value"": ""Rotork"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""model_number"", ""value"": ""Yt 3300"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""model_name"", ""value"": ""Yt 3300"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""model"", ""value"": ""Yt 3300"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""model_no"", ""value"": ""Yt 3300"", ""key_priority"": 4, ""attribute_priority"": 2}]}"
Concrete Vibrator Motor,True,3,10,"{""attributes"":[{""attribute_key"":""power_source"",""value"":""Concrete Vibrator Motor"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""power_supply"",""value"":""Concrete Vibrator Motor"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""power_type"",""value"":""Concrete Vibrator Motor"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""material"",""value"":""Concrete"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""body_material"",""value"":""Concrete"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""material_type"",""value"":""Concrete"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""usage_application"",""value"":""Motor"",""key_priority"":1,""attribute_priority"":3},{""attribute_key"":""application"",""value"":""Motor"",""key_priority"":2,""attribute_priority"":3},{""attribute_key"":""usage"",""value"":""Motor"",""key_priority"":3,""attribute_priority"":3},{""attribute_key"":""suitable_for"",""value"":""Motor"",""key_priority"":4,""attribute_priority"":3}]}","{""attributes"": [{""attribute_key"": ""power_source"", ""value"": ""Concrete Vibrator Motor"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""power_supply"", ""value"": ""Concrete Vibrator Motor"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""power_type"", ""value"": ""Concrete Vibrator Motor"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""material"", ""value"": ""Concrete"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""body_material"", ""value"": ""Concrete"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""material_type"", ""value"": ""Concrete"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""usage_application"", ""value"": ""Motor"", ""key_priority"": 1, ""attribute_priority"": 3}, {""attribute_key"": ""application"", ""value"": ""Motor"", ""key_priority"": 2, ""attribute_priority"": 3}, {""attribute_key"": ""usage"", ""value"": ""Motor"", ""key_priority"": 3, ""attribute_priority"": 3}, {""attribute_key"": ""suitable_for"", ""value"": ""Motor"", ""key_priority"": 4, ""attribute_priority"": 3}]}"
blower motors in port blair,True,2,8,"{""attributes"":[{""attribute_key"":""location"",""value"":""Port Blair"",""key_priority"":1,""attribute_priority"":1},{""attribute_key"":""location_type"",""value"":""Port Blair"",""key_priority"":2,""attribute_priority"":1},{""attribute_key"":""applicable_location"",""value"":""Port Blair"",""key_priority"":3,""attribute_priority"":1},{""attribute_key"":""usage_location"",""value"":""Port Blair"",""key_priority"":4,""attribute_priority"":1},{""attribute_key"":""usage_application"",""value"":""Blower Motors"",""key_priority"":1,""attribute_priority"":2},{""attribute_key"":""application"",""value"":""Blower Motors"",""key_priority"":2,""attribute_priority"":2},{""attribute_key"":""usage"",""value"":""Blower Motors"",""key_priority"":3,""attribute_priority"":2},{""attribute_key"":""suitable_for"",""value"":""Blower Motors"",""key_priority"":4,""attribute_priority"":2}]}","{""attributes"": [{""attribute_key"": ""location"", ""value"": ""Port Blair"", ""key_priority"": 1, ""attribute_priority"": 1}, {""attribute_key"": ""location_type"", ""value"": ""Port Blair"", ""key_priority"": 2, ""attribute_priority"": 1}, {""attribute_key"": ""applicable_location"", ""value"": ""Port Blair"", ""key_priority"": 3, ""attribute_priority"": 1}, {""attribute_key"": ""usage_location"", ""value"": ""Port Blair"", ""key_priority"": 4, ""attribute_priority"": 1}, {""attribute_key"": ""usage_application"", ""value"": ""Blower Motors"", ""key_priority"": 1, ""attribute_priority"": 2}, {""attribute_key"": ""application"", ""value"": ""Blower Motors"", ""key_priority"": 2, ""attribute_priority"": 2}, {""attribute_key"": ""usage"", ""value"": ""Blower Motors"", ""key_priority"": 3, ""attribute_priority"": 2}, {""attribute_key"": ""suitable_for"", ""value"": ""Blower Motors"", ""key_priority"": 4, ""attribute_priority"": 2}]}"
